BV号：BV11EGsz8E1W
标题：BV11EGsz8E1W
链接：https://www.bilibili.com/video/BV11EGsz8E1W
识别语言：zh
语言置信度：1
分段数：373
生成时间：2026-08-30 00:53:49

[00:00:00 - 00:00:02] 大家好,我是为什么叫QQ
[00:00:02 - 00:00:04] 一个星期前呢
[00:00:04 - 00:00:08] 在旧金山举办的Y-Convenitor AI创业学校活动上
[00:00:08 - 00:00:10] 艾罗马斯克以远程视频的形式
[00:00:10 - 00:00:12] 参加了一场卢边谈话
[00:00:12 - 00:00:16] 面对一屋子充满招气的年轻工程师与创始人
[00:00:16 - 00:00:20] 他并没有以世界首富高高在上的姿态
[00:00:20 - 00:00:22] 去做什么宏大空洞的步道
[00:00:22 - 00:00:24] 而是一种近乎朴素的坦诚
[00:00:24 - 00:00:27] 回顾了自己从一个修于言辞的程序员
[00:00:27 - 00:00:30] 到颠覆好几个行业的领军人物的心路历程
[00:00:30 - 00:00:33] 在我看来,这不仅仅是一场访谈
[00:00:33 - 00:00:36] 更是一次思想的深度抛白
[00:00:36 - 00:00:40] 马斯克不仅详细阐述了被他奉为超能力的第一性原理
[00:00:40 - 00:00:43] 也坦白了自己如何将对终结者的恐惧
[00:00:43 - 00:00:45] 转变为投身于AI浪潮的决心
[00:00:45 - 00:00:49] 并且最终抛出了一个震撼人心的论断
[00:00:49 - 00:00:52] 那就是在即将到来的数字超级智能时代
[00:00:52 - 00:00:55] 人类或许只是一个生物引导程序
[00:00:55 - 00:00:59] 今天就来给大家分享一下这次谈话的主要内容
[00:00:59 - 00:01:01] 相信大家一定会有不少的收获
[00:01:04 - 00:01:06] 首先当主持人问到
[00:01:06 - 00:01:09] 是什么点燃了他创造伟大事业的火花时
[00:01:09 - 00:01:11] 马斯克的回答出人意料的迁迅
[00:01:11 - 00:01:12] 他说
[00:01:12 - 00:01:16] 其实他最初并没有想要过创造什么伟大的东西
[00:01:16 - 00:01:19] 只是当时想尝试做一些有用的事情
[00:01:19 - 00:01:23] 但是他也并不认为自己能够做出什么特别伟大的东西来
[00:01:23 - 00:01:25] 因为从概率上来看的话
[00:01:25 - 00:01:26] 这似乎是不太可能的
[00:01:26 - 00:01:28] 不过呢,他至少想去试一试
[00:01:28 - 00:01:31] 如果了解过马斯克的创业过程
[00:01:31 - 00:01:33] 其实就知道这并不是什么客套话
[00:01:33 - 00:01:35] 可以说,马斯克的创业之路
[00:01:35 - 00:01:38] 开始于一个几乎无法被称之为公司的状态
[00:01:38 - 00:01:42] 他回忆到,自己甚至都不是主动想去创业的
[00:01:42 - 00:01:46] 起初呢,他尝试在当时如日中天的网警公司
[00:01:46 - 00:01:48] 也就是Nest Gay 去找一份工作
[00:01:48 - 00:01:50] 他投了简历,但时辰大海
[00:01:50 - 00:01:53] 他甚至呢,亲自跑到网警公司的大厅里
[00:01:53 - 00:01:54] 希望能够碰见谁
[00:01:54 - 00:01:56] 但是因为自己感到太害羞了
[00:01:56 - 00:01:59] 不敢和任何人说话而最终放弃
[00:01:59 - 00:02:01] 他觉得这实在是太荒谬了
[00:02:01 - 00:02:03] 于是决定还是自己去写软件吧
[00:02:03 - 00:02:05] 看看会怎么样
[00:02:05 - 00:02:09] 这个决定将他带到了1995年的一个关键的岔路口
[00:02:09 - 00:02:11] 当时他面临着一个选择
[00:02:11 - 00:02:14] 要么去斯坦福大学公读材料科学的博士
[00:02:14 - 00:02:17] 研究用在电动汽车上的超级电容器
[00:02:17 - 00:02:20] 要么投身到一个当时大多数人都没有听过的
[00:02:20 - 00:02:21] 叫做互联网的东西上
[00:02:21 - 00:02:23] 所幸他选择了后者
[00:02:23 - 00:02:26] 并且向他的教授申请了修学一个学期
[00:02:26 - 00:02:28] 因为他觉得这个项目很可能会失败
[00:02:28 - 00:02:31] 然后自己就得回到学校继续上学了
[00:02:31 - 00:02:33] 他的教授甚至直言不惠地说道
[00:02:33 - 00:02:35] 这可能是我们最后一次谈话了
[00:02:35 - 00:02:38] 而事实呢也的确如此
[00:02:38 - 00:02:39] 于是呢马斯克和他的弟弟
[00:02:39 - 00:02:42] 以及另一位联合创始人格雷克·库里
[00:02:42 - 00:02:44] 一起创办了第一兔
[00:02:44 - 00:02:45] 创业初期的窘迫
[00:02:45 - 00:02:48] 至今仍然是硅谷的传奇故事之一
[00:02:48 - 00:02:50] 由于买不起昂贵的替换专线
[00:02:50 - 00:02:53] 他直接在办公室的地板上钻了个洞
[00:02:53 - 00:02:55] 从楼下的互联网服务提供商那里
[00:02:55 - 00:02:56] 接力跟网线
[00:02:56 - 00:02:57] 因为租不起住处
[00:02:57 - 00:02:59] 他们干脆就睡在一间
[00:02:59 - 00:03:01] 月租只有500美元的办公室里
[00:03:01 - 00:03:03] 然后去附近的基督教青年会里洗澡
[00:03:04 - 00:03:05] 在这个时期
[00:03:05 - 00:03:08] 马斯克自己亲手编写了Zip2的核心软件
[00:03:08 - 00:03:10] 他认为那是互联网上第一批
[00:03:10 - 00:03:12] 及地图、岛航、白业和黄业
[00:03:12 - 00:03:13] 予益体的应用
[00:03:14 - 00:03:16] 尽管Zip2最终以大约3亿美元的价格
[00:03:16 - 00:03:17] 成功的出售
