BV号：BV11sQaYqEAU
标题：BV11sQaYqEAU
链接：https://www.bilibili.com/video/BV11sQaYqEAU
识别语言：zh
语言置信度：1
分段数：318
生成时间：2026-08-30 10:32:00

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 就在13号 欧普安针对于美国政府
[00:00:05 - 00:00:07] 即将出台的AI行动计划
[00:00:07 - 00:00:09] 提交了一份提案
[00:00:09 - 00:00:11] 矛头直指Deep Sake
[00:00:11 - 00:00:13] 几乎把它等同于第二个华为
[00:00:13 - 00:00:16] 试图锁死中国乃至全球AI的发展
[00:00:16 - 00:00:17] 这个提议已经公开
[00:00:17 - 00:00:20] 瞬间又引起了大家的讨论和争议
[00:00:20 - 00:00:22] 今天 大飞就来给大家解读一下
[00:00:22 - 00:00:25] 欧普安的这份提案究竟都说了些什么
[00:00:25 - 00:00:28] 先来给大家介绍一下这件事情的背景
[00:00:28 - 00:00:29] 那就是2025年的1月份
[00:00:30 - 00:00:32] 特朗普推翻了拜登在2023年10月
[00:00:32 - 00:00:34] 签署的人工智能行政命令
[00:00:34 - 00:00:36] 随后就发布了新的行政命令
[00:00:37 - 00:00:38] 明确的表示
[00:00:38 - 00:00:41] 维持和加强美国在全球人工智能领域的主导地位
[00:00:41 - 00:00:42] 是美国的政策
[00:00:42 - 00:00:47] 并且要求在180天内向总统提交一份AI行动计划
[00:00:47 - 00:00:49] 为了影响这份计划的制定
[00:00:49 - 00:00:52] 众多的机构和企业就开始纷纷的建言宪策
[00:00:52 - 00:00:56] 其中就包括OpI提交的这份长达15页的提案
[00:00:56 - 00:00:57] 在提案中
[00:00:57 - 00:01:00] OPEN-I重点针对于中国的DeepSeg
[00:01:00 - 00:01:01] 展开了一系列的指责
[00:01:01 - 00:01:04] 不仅声称DeepSeg是由国家补贴
[00:01:04 - 00:01:05] 和被国家控制的
[00:01:05 - 00:01:08] 还认为DeepSeg会受到中国政府的指示
[00:01:08 - 00:01:11] 操纵他们的模型来造成伤害
[00:01:11 - 00:01:11] 除此以外
[00:01:11 - 00:01:12] OPEN-I还认为
[00:01:12 - 00:01:15] 中国决心在2030年前
[00:01:15 - 00:01:17] 成为全球人工智能的领导者
[00:01:17 - 00:01:19] 而DeepSeg发布的R1模型
[00:01:19 - 00:01:21] 不仅因为推理能力令人印象深刻
[00:01:21 - 00:01:22] 更重要的是
[00:01:22 - 00:01:26] 它被看作是中美AI竞争状态的一个指标
[00:01:26 - 00:01:27] 在OpenACC来
[00:01:27 - 00:01:29] DeepSig就像是第二个华为
[00:01:29 - 00:01:30] 存在着许多的风险
[00:01:30 - 00:01:33] 比如说在关键的基础设施
[00:01:33 - 00:01:35] 和其他高风险的使用场景中
[00:01:35 - 00:01:38] 如果一个系统构建在DeepSig模型之上
[00:01:38 - 00:01:39] 那么就会面临巨大的风险
[00:01:39 - 00:01:41] 因为它可能会被迫受到
[00:01:41 - 00:01:42] 中国政府的指令控制
[00:01:42 - 00:01:45] 另外由于DeepSig是免费提供的
[00:01:45 - 00:01:47] 所以用户要付出自身的隐私
[00:01:47 - 00:01:49] 和安全作为代价
[00:01:49 - 00:01:51] 而实际上DeepSig在用户数据的
[00:01:51 - 00:01:53] 收集方面十分克制
[00:01:53 - 00:01:54] 在用户协议里
[00:01:54 - 00:01:57] Deepsec明确了信息收集的多重处理前提
[00:01:57 - 00:02:01] 收集到的内容只用于模型服务的优化和封控
[00:02:01 - 00:02:04] 并且强调在经过安全加密技术处理
[00:02:04 - 00:02:05] 严格的去标识化
[00:02:05 - 00:02:08] 并且无法重新识别特定个人的前提下
[00:02:08 - 00:02:10] 才会进行相关的操作
[00:02:10 - 00:02:13] 同时Deepsec保留了用户在提交的书中
[00:02:13 - 00:02:14] 拥有的任何权利
[00:02:14 - 00:02:16] 所有权和利益
[00:02:16 - 00:02:18] 并且将服务输出内容的任何权利
[00:02:18 - 00:02:20] 所有权和权益也归属于用户
[00:02:20 - 00:02:23] 还明确了用户可以将服务的输入和输出
[00:02:23 - 00:02:25] 用在广泛的使用场景中
[00:02:25 - 00:02:27] 包括个人的使用、学术研究、
[00:02:27 - 00:02:30] 衍生产品的开发以及训练其他模型等等
[00:02:30 - 00:02:32] 而OpenI在提案中还认为
[00:02:32 - 00:02:34] DeepSig会根据中国法律的需要
[00:02:34 - 00:02:36] 把用户的数据提供给政府
[00:02:36 - 00:02:39] 并且利用这些数据来训练更为强大的系统
[00:02:39 - 00:02:41] 但是明眼人应该都能看得出来
[00:02:41 - 00:02:44] 这些指责并没有具体的证据来实证
[00:02:44 - 00:02:47] 相反从DeepSig公开的信息来看
[00:02:47 - 00:02:49] 它在保护用户隐私和数据安全方面
[00:02:49 - 00:02:51] 有着自己明确的规定和措施
[00:02:51 - 00:02:53] 除了对DeepSake的攻击以外
[00:02:53 - 00:02:56] OPI在提案中还提出了一系列的建议
[00:02:56 - 00:02:58] 我们再来讲讲这一部分
[00:02:58 - 00:02:59] 在出口管制方面
[00:02:59 - 00:03:00] OPI建议美国政府
[00:03:00 - 00:03:03] 制定一项全面的出口管制战略
[00:03:03 - 00:03:05] 把全球希望获取美国AI技术的国家
[00:03:05 - 00:03:06] 分成两种
[00:03:06 - 00:03:09] 分别是总可服务市场TAM
[00:03:09 - 00:03:12] 也就是中国及其盟友以外的国家
[00:03:12 - 00:03:14] 和可服务市场SAM
[00:03:14 - 00:03:16] 也就是倾向于在民主轨道上
[00:03:16 - 00:03:17] 构建AI的国家
[00:03:17 - 00:03:18] 通过这种话分
[00:03:18 - 00:03:20] 美国政府可以主动的推动
[00:03:20 - 00:03:23] 主动的推动全球采用美国所谓的民主AI系统
[00:03:23 - 00:03:27] 同时利用出口管制来保护美国的AI领先地位
[00:03:27 - 00:03:30] 包括对于AI扩散规则进行更新
[00:03:30 - 00:03:31] 总的来说
[00:03:31 - 00:03:34] 我们还建议维持AI扩散规则的三级空架
[00:03:34 - 00:03:35] 扩大一级国家的数量
[00:03:35 - 00:03:37] 缩小二级国家的范围
[00:03:37 - 00:03:39] 对于那些想要部署AI系统的国家
[00:03:39 - 00:03:42] 只要承诺了遵守民主AI原则
[00:03:42 - 00:03:44] 目的是给本国的公民带来更多的自由
[00:03:44 - 00:03:46] 都可以视为一级国家
[00:03:46 - 00:03:48] 而二级国家仅限于那些
[00:03:48 - 00:03:50] 没有能够防止管制芯片
[00:03:50 - 00:03:52] 和其他美国原产知识产权
[00:03:52 - 00:03:54] 被转移到三级国家的国家
[00:03:54 - 00:03:56] 但是美国又鼓励和支持他们
[00:03:56 - 00:03:57] 随着时间的推移
[00:03:57 - 00:03:59] 可以获得一级身份
[00:03:59 - 00:04:01] 前提是这些国家在过渡期间
[00:04:01 - 00:04:04] 需要遵守更为严格的安全要求
[00:04:04 - 00:04:05] 三级国家就是中国
[00:04:05 - 00:04:07] 以及与中国结盟的少数国家
[00:04:07 - 00:04:09] 美国将完全禁止这些国家
[00:04:09 - 00:04:11] 获取民主的AI系统
[00:04:11 - 00:04:13] 此外为了在一级国家中
[00:04:13 - 00:04:14] 扩大市场份额
[00:04:14 - 00:04:16] 美国的商业外交政策
[00:04:16 - 00:04:18] 应该鼓励跨境的资本流动
[00:04:18 - 00:04:21] 并且推广为国内芯片设计优化过的软件框架
[00:04:21 - 00:04:25] 协调全球对于中国结盟的AI技术设施的禁令
[00:04:25 - 00:04:28] 继续代表美国企业在安全和标准制定机构中的利益
[00:04:28 - 00:04:30] 并且鼓励全球监管机构
[00:04:30 - 00:04:32] 采纳有利于增长的安全政策
[00:04:32 - 00:04:34] 修改现有的出口管制规则
[00:04:34 - 00:04:36] 消除对计算能力的国家上限
[00:04:36 - 00:04:38] 保持现有的出口许可例外
[00:04:38 - 00:04:41] 以便于美国自己的盟友进行技术合作
[00:04:41 - 00:04:43] 并且维护经济关键供应链
[00:04:43 - 00:04:48] 另外為了保護在一級國家運營數據中心所需要的美國開發知識產權
[00:04:48 - 00:04:53] 提案的請求還包括禁止與三級國家的外國軍事和情報機構建立關係
[00:04:53 - 00:04:57] 禁止利用數據中心支持三級國家或者是侵犯人權的行動
[00:04:57 - 00:05:01] 禁止使用中國國產設備比如華為的生騰芯片
[00:05:01 - 00:05:05] 以及那些侵犯用戶隱私或者會造成知識產權盜竊風險的模型
[00:05:05 - 00:05:09] 確保AI企業有總部位於一級國家的實體控制
[00:05:09 - 00:05:14] 这些企业的网络安全、模型权重安全和人员控制安全
[00:05:14 - 00:05:18] 理想情况下应该在一级国家之间实现全球的同步和协调
[00:05:18 - 00:05:20] 对于二级国家来说
[00:05:20 - 00:05:23] 应该继续努力扩大美国模型在这些国家的市场份额
[00:05:23 - 00:05:25] 但是应该更加的谨慎
[00:05:25 - 00:05:29] 包括对美国AI基础设施的出口实施更为严格的控制
[00:05:29 - 00:05:32] 同时也要给二级国家提供透明的路径
