BV号：BV12qrhYVEi5
标题：BV12qrhYVEi5
链接：https://www.bilibili.com/video/BV12qrhYVEi5
识别语言：zh
语言置信度：1
分段数：41
生成时间：2026-08-30 20:40:24

[00:00:00 - 00:00:05] 大家好 我給大家講講entropic公司推出的模型上下文協議mcp
[00:00:06 - 00:00:08] 隨著AI技術的非素眼鏡
[00:00:08 - 00:00:13] 大語言模型的推理能力和推理質量也得到了快速提升
[00:00:13 - 00:00:16] 然而現實中存在很多信息孤島和遺留系統
[00:00:17 - 00:00:19] 即便是使用如此強大的模型
[00:00:19 - 00:00:22] 可能也因為獲取不到數據而受到限制
[00:00:22 - 00:00:24] 此外每新增一個數據來源
[00:00:25 - 00:00:28] 都需要為大模型進行定制的實現方式
[00:00:28 - 00:00:32] 这使得真正互联互通的系统难以大规模发展
[00:00:32 - 00:00:35] MCP正式为了解决这一挑战
[00:00:35 - 00:00:39] MCP为将AI系统与数据员联接提供了一个通用
[00:00:39 - 00:00:44] 开放的标准用一个协议替代了碎片化的集成方式
[00:00:44 - 00:00:47] 从而以更简洁更可靠的方法
[00:00:47 - 00:00:50] 为AI系统提供所需的数据访问
[00:00:50 - 00:00:52] MCP是一种开放协议
[00:00:52 - 00:00:57] 用于标准化应用程序如何为大语言模型提供上下文
[00:00:57 - 00:01:00] 可以将mcp比做ai应用的usbc接口
[00:01:00 - 00:01:04] 就像usbc提供了连接各类外设和配件的标准方式
[00:01:05 - 00:01:07] mcp提供了连接ai模型
[00:01:07 - 00:01:09] 与不同数据员和工具的标准方式
[00:01:10 - 00:01:14] mcp帮助你基于LLM购建智能代理和复杂工作流
[00:01:15 - 00:01:18] mcp提供一个持续增长的于购建集成
[00:01:18 - 00:01:21] 使您的LLM可以直接连接
[00:01:21 - 00:01:25] 在不同LLM提供商和供应商之间切换的灵活性
[00:01:25 - 00:01:29] 在您的基础设施内保护数据的最佳
[00:01:29 - 00:01:32] MCP的核心采用客户端服务器架构
[00:01:32 - 00:01:35] 主机应用程序可以连接多个服务器
[00:01:35 - 00:01:42] MCP主机向Cloud桌面应用或希望通过MCP访问数据的AI工具
[00:01:42 - 00:01:47] MCP客户端通过连接与服务器通信的协议客户端
[00:01:47 - 00:01:53] MCP服务器每个服务器都通过标准化的MCP协议暴露特定功能
[00:01:53 - 00:01:57] 本地数据员、铭电脑中的文件、数据库和服务
[00:01:58 - 00:02:00] MCP服务器可以安全访问
[00:02:00 - 00:02:04] 远程服务通过互联网可用的外部系统
[00:02:04 - 00:02:05] 如 API
[00:02:05 - 00:02:08] MCP服务器可以连接
[00:02:08 - 00:02:12] Antropic给大家提供了协议规范和 SDK
[00:02:12 - 00:02:14] MCP服务器的开源仓库
[00:02:15 - 00:02:17] Cloud桌面应用对MCP的支持
[00:02:17 - 00:02:19] MCP是一个协作的
[00:02:20 - 00:02:22] 开源的项目和生态体系
[00:02:22 - 00:02:34] 無論 AI 工具的開發者,想要利用現有數據的企業,還是正處於探索前沿的早期採用者,都可以構建具有上下文感之能力的 AI 未來。
