BV号：BV134dgYhEpi
标题：BV134dgYhEpi
链接：https://www.bilibili.com/video/BV134dgYhEpi
识别语言：zh
语言置信度：1
分段数：254
生成时间：2026-08-30 09:07:38

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:06] YC的创始人保罗格雷厄姆最新发了一篇博客文章
[00:00:06 - 00:00:08] 我觉得写的很好
[00:00:08 - 00:00:10] 应该是他这些年来最好的一篇
[00:00:10 - 00:00:11] 聊到了一个我们到了一定岁数之后
[00:00:11 - 00:00:13] 一定会触碰到的话题
[00:00:13 - 00:00:15] 那就是我们来这人世间一趟
[00:00:15 - 00:00:16] 到底应该做点什么
[00:00:16 - 00:00:19] 估计格雷厄姆自己也是有感而发
[00:00:19 - 00:00:20] 有的人可能会说
[00:00:20 - 00:00:23] 我们应该尽情享乐 活得潇洒
[00:00:23 - 00:00:24] 也有的人会说
[00:00:24 - 00:00:26] 我们应该平平淡淡过完这一生
[00:00:26 - 00:00:27] 不过 实际上
[00:00:27 - 00:00:30] 单纯的享乐也并不会让我们得到持久的快乐
[00:00:31 - 00:00:32] 其实享乐也是一门学问
[00:00:32 - 00:00:34] 并不是有了钱有了闲
[00:00:34 - 00:00:37] 就真的能一直开开心心一辈子的
[00:00:37 - 00:00:40] 而所谓的平淡也并不会像想象的那样
[00:00:40 - 00:00:43] 我们总会被生活家庭情感的波浪果斜
[00:00:43 - 00:00:46] 又或许会在柴米油盐的当下向往一番成就
[00:00:47 - 00:00:48] 说的直白点
[00:00:48 - 00:00:51] 我们人总会从一个困境里跳到另一个困境里
[00:00:51 - 00:00:54] 正所谓六道轮回不得解脱
[00:00:54 - 00:00:56] 而对于这个问题
[00:00:56 - 00:00:57] 格雷厄姆的回答是
[00:00:57 - 00:00:59] 人应该试图创造点什么新的
[00:00:59 - 00:01:00] 美好的东西
[00:01:00 - 00:01:03] 这期视频我们不聊科技
[00:01:03 - 00:01:04] 聊点人生感悟
[00:01:04 - 00:01:05] 大家也都轻松一下
[00:01:05 - 00:01:08] 接下来大飞就来跟大家分享一下
[00:01:08 - 00:01:10] 这篇文章人当何为
[00:01:10 - 00:01:12] 人应当做些什么
[00:01:12 - 00:01:13] 这问题乍一听上去
[00:01:13 - 00:01:14] 或许有些奇怪
[00:01:14 - 00:01:16] 但是这并非是一个毫无意义
[00:01:16 - 00:01:18] 或者无从解答的问题
[00:01:18 - 00:01:19] 小孩子们在学会
[00:01:19 - 00:01:21] 不再向大人追问红大的问题前
[00:01:21 - 00:01:23] 就会经常提出这样的疑问
[00:01:23 - 00:01:25] 我自己也是在研究其他的事情
[00:01:25 - 00:01:27] 是偶然想到这个问题的
[00:01:27 - 00:01:28] 那既然想到了
[00:01:28 - 00:01:31] 我觉得至少应该试着去解答一番
[00:01:31 - 00:01:34] 那么人究竟应该做些什么呢
