BV号：BV13ZQeYXEnb
标题：BV13ZQeYXEnb
链接：https://www.bilibili.com/video/BV13ZQeYXEnb
识别语言：zh
语言置信度：1
分段数：14
生成时间：2026-08-30 10:27:47

[00:00:00 - 00:00:05] 我一直感觉我还没有达到任何东西
[00:00:07 - 00:00:09] 我自己很怀疑
[00:00:10 - 00:00:13] 我花了很多年时间在这儿
[00:00:14 - 00:00:15] 达到那么少
[00:00:16 - 00:00:21] 但是我的梦想很大
[00:00:22 - 00:00:24] 我的心情很大
[00:00:25 - 00:00:27] 我小时候是体验人物
[00:00:27 - 00:00:29] 但是我的梦想很大
[00:00:29 - 00:00:31] 當你的夢長大
[00:00:32 - 00:00:34] 你總是很憤怒
[00:00:34 - 00:00:36] 你總是很憤怒
[00:00:36 - 00:00:40] 你總是在夜中醒來
[00:00:40 - 00:00:44] 想想解決的問題
[00:00:44 - 00:00:47] 所以那是我現在的
