BV号：BV13aAxeZEbj
标题：BV13aAxeZEbj
链接：https://www.bilibili.com/video/BV13aAxeZEbj
识别语言：zh
语言置信度：1
分段数：301
生成时间：2026-08-30 12:58:57

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:03] 就在18日的下午
[00:00:03 - 00:00:05] 马斯克刚刚发布了《Grogg3》之后
[00:00:05 - 00:00:09] DeepSake团队就在X平台上发布了一项重磅的研究成果
[00:00:09 - 00:00:11] 瞬间吸引了大量用户的围观
[00:00:11 - 00:00:13] C研究刚刚发布4个小时之后
[00:00:13 - 00:00:16] 也就是我在写这篇稿子的时候
[00:00:16 - 00:00:18] 就超过60万的浏览量
[00:00:18 - 00:00:19] 有意思的是 在论文作者中
[00:00:19 - 00:00:21] 出现了DeepSake的创始人
[00:00:21 - 00:00:22] 减CEO梁文峰的名字
[00:00:22 - 00:00:25] 说明他深度参与到了一线的研究工作中
[00:00:25 - 00:00:26] 另外必须要提的是
[00:00:26 - 00:00:28] 论文的第一作者 袁靖扬
[00:00:28 - 00:00:31] 他在完成这项研究的时候还是一名实习生
[00:00:31 - 00:00:34] 以实习生的身份主导如此重要的研究并且取得成果
[00:00:34 - 00:00:37] 这一方面展示了他自身的科研能力
[00:00:37 - 00:00:39] 另一方面说明DeepSake为年轻的人才
[00:00:39 - 00:00:41] 提供了广阔的发展空间和实践机会
[00:00:41 - 00:00:44] 让新人能够在前沿研究中展露头角
[00:00:44 - 00:00:46] 好了 话不多说
[00:00:46 - 00:00:49] 今天大飞就来为大家简单解读一下这篇论文的内容
[00:00:49 - 00:00:51] 简单来说DeepSake的这篇新论文
[00:00:51 - 00:00:53] 提出了一种新的注意力机制
[00:00:53 - 00:00:56] Native Spots Attention 简称ASA
[00:00:56 - 00:00:58] 中文翻译过来应该是原生吸收注意力
[00:00:58 - 00:01:01] 这是一个用于超快上下文训练和推理的
[00:01:01 - 00:01:03] 本地可训练的吸收注意力机制
[00:01:03 - 00:01:06] 并且还具有与硬件对齐的特点
[00:01:06 - 00:01:08] 有望大幅提升下一代大语言模型
[00:01:08 - 00:01:09] 处理长文本的能力
[00:01:09 - 00:01:11] 同时还能够兼顾效率
[00:01:11 - 00:01:12] 在论文一开始
[00:01:12 - 00:01:15] 研究人员就先交代了NSA诞生的背景
[00:01:15 - 00:01:16] 那就是在人工智能领域
[00:01:16 - 00:01:19] 长文本建模是下一代语言模型的关键能力
[00:01:19 - 00:01:21] 随着模型应用场景的不断拓展
[00:01:21 - 00:01:24] 处理长序列文本的需求越来越迫切
[00:01:24 - 00:01:26] 像是在一些文档的分析
[00:01:26 - 00:01:28] 长篇故事生成这些场景中
[00:01:28 - 00:01:30] 常文们的理解和处理至关重要
[00:01:30 - 00:01:31] 然而在这些情况下
[00:01:31 - 00:01:34] 传统的注意力机制却成了蓝鹿虎
[00:01:34 - 00:01:36] 传统注意力机制在处理长序列的时候
[00:01:36 - 00:01:39] 由于计算量是以序列长度的平方成正比的
[00:01:39 - 00:01:41] 所以导致计算的复杂度极高
[00:01:41 - 00:01:44] 与方说在解码64k长度的上下文时
[00:01:44 - 00:01:48] 注意力计算消耗就占据了总延迟的70%-80%
[00:01:48 - 00:01:49] 为了解决这个问题
[00:01:49 - 00:01:51] 吸收注意力机制应用而生
[00:01:51 - 00:01:54] 他的原理是通过选择性的计算关键的查询建制队
[00:01:54 - 00:01:57] 从而减少不必要的计算开销
[00:01:57 - 00:01:59] 只不过虽然想法是好的
[00:01:59 - 00:02:02] 但是现有的稀疏注意力方法却存在着不少的缺陷
[00:02:02 - 00:02:06] 比如说有些方法只能在自回归解码阶段应用稀疏性
[00:02:06 - 00:02:08] 预天中阶段仍然需要进行密集计算
[00:02:08 - 00:02:10] 这就好比是一个运动员
[00:02:10 - 00:02:12] 在比赛的后半程直到去结成体力
[00:02:12 - 00:02:15] 但是在前半程却已经耗费了太多的精力
[00:02:15 - 00:02:17] 所以还是无法实现全程的高效
[00:02:17 - 00:02:21] 还有一些方法只关注于预天中阶段的稀疏性
[00:02:21 - 00:02:24] 这导致在某些工作负载下无法实现全阶段的加速
[00:02:24 - 00:02:26] 同样无法发挥出最大的效能
[00:02:26 - 00:02:30] 另外 部分的吸收方法无法适应现代高效的减码架构
[00:02:30 - 00:02:34] 比如说多查询注意力MQA和分组查询注意力GQA
[00:02:34 - 00:02:37] 这就如同给麦巴赫装上了拖拉机的零件
[00:02:37 - 00:02:39] 即使麦巴赫本身的性能再好
[00:02:39 - 00:02:41] 也无法充分发挥自己的优势
[00:02:41 - 00:02:43] 而且 现有的吸收注意力方法
[00:02:43 - 00:02:45] 大多只能在推理阶段应用吸收性
[00:02:45 - 00:02:47] 缺乏对训练阶段的支持
[00:02:47 - 00:02:48] 综合考虑这些问题
[00:02:48 - 00:02:50] 那么开发一种更加高效
