BV号：BV13bP7zwEEL
标题：BV13bP7zwEEL
链接：https://www.bilibili.com/video/BV13bP7zwEEL
识别语言：zh
语言置信度：1
分段数：113
生成时间：2026-08-29 20:54:27

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:05] 当今世界 AI的进化速度远超想象
[00:00:05 - 00:00:07] 但一个核心问题始终悬而未决
[00:00:07 - 00:00:09] AI能真正做科学吗
[00:00:09 - 00:00:11] 当一个AI模型告诉你
[00:00:11 - 00:00:13] 它证明了某个百年数学猜想
[00:00:13 - 00:00:14] 你敢信吗
[00:00:14 - 00:00:15] 就在科技剧头门
[00:00:15 - 00:00:17] 还在比评模型参数的宣销中
[00:00:17 - 00:00:20] 一位当代最伟大的数学家
[00:00:20 - 00:00:22] 菲尔兹奖德主陶哲轩
[00:00:22 - 00:00:24] 决定亲自下场为AI戴上警固罩
[00:00:24 - 00:00:27] 用科学的规则重塑AI
[00:00:27 - 00:00:29] 它联合创立的SAIR基金会
[00:00:29 - 00:00:32] 正在发起一场深刻的 AI for Science 革命
[00:00:32 - 00:00:35] AI2 全称科学与人工智能研究基金会
[00:00:35 - 00:00:38] 它的诞生源于一个深刻的洞察
[00:00:38 - 00:00:40] AI很强大 但它不可靠
[00:00:40 - 00:00:41] AI会产生幻觉
[00:00:41 - 00:00:44] 它的推理过程是个难以捉摸的黑盒
[00:00:44 - 00:00:46] 这与科学研究要求的严谨
[00:00:46 - 00:00:49] 可验证可追溯的精神被盗而驰
[00:00:49 - 00:00:52] 陶哲轩认为 科学界不能做等科技
[00:00:52 - 00:00:54] 公司把商业化的 AI 产品塞给我们
[00:00:54 - 00:00:56] 而必须主动出击
[00:00:56 - 00:00:59] 建立一个由科学家主导的非盈利的平台
[00:00:59 - 00:01:02] 去探索如何讓AI成為一個值得信賴的科研夥伴
[00:01:02 - 00:01:06] SAIR的陣容堪稱科學復仇者聯盟
[00:01:06 - 00:01:07] 除了陶哲軒
[00:01:07 - 00:01:10] 還有諾貝爾物理學獎得主巴里巴里時
[00:01:10 - 00:01:12] 圖靈獎得主李查德
[00:01:12 - 00:01:13] 薩頓等一眾頂級大腦
[00:01:13 - 00:01:16] 他們的目標不是讓AI取代科學家
[00:01:16 - 00:01:18] 而是把AI訓練成一個能力超強
[00:01:18 - 00:01:20] 絕對可靠的實習生
[00:01:20 - 00:01:22] 由人類科學家提出核心構想
[00:01:22 - 00:01:25] AI負責執行繁瑣的計算推理和驗證工作
[00:01:25 - 00:01:28] 那麼CIR的緊咕咒究竟是什麼
[00:01:28 - 00:01:29] 答案是形式化验证
[00:01:30 - 00:01:31] formal verification
[00:01:31 - 00:01:33] 这正是本期视频的硬核所在
[00:01:33 - 00:01:34] 想象一下这个流程
[00:01:34 - 00:01:36] 第一步让一个大语言模型
[00:01:36 - 00:01:38] 比如GPT 5.2
[00:01:38 - 00:01:40] 去解决一个复杂的数学问题
[00:01:40 - 00:01:42] 它可能会给出一个看似正确的
[00:01:42 - 00:01:43] 自然语言证明
[00:01:43 - 00:01:45] 但我们不直接相信它
[00:01:45 - 00:01:46] 第二步
[00:01:46 - 00:01:48] 我们将这份自然语言证明
[00:01:48 - 00:01:50] 翻译成一种计算机能无其意理解的
[00:01:50 - 00:01:52] 高度精确的形式化语言
[00:01:52 - 00:01:54] 这其中最关键的工具之一
[00:01:54 - 00:01:57] 就是名为Ling的编程语言和证明助手
[00:01:57 - 00:01:59] 第三步也是最关键的一步
[00:01:59 - 00:02:00] 我们用一个极其严格
[00:02:00 - 00:02:02] 可靠的传统编译器
[00:02:02 - 00:02:03] 去检查这份链带嘛
[00:02:03 - 00:02:05] 这个编译器就像一个
[00:02:05 - 00:02:06] 绝对公正的数学裁判
[00:02:06 - 00:02:08] 它不关心AI的名气有多大
[00:02:08 - 00:02:10] 只关心每一步逻辑推导
[00:02:10 - 00:02:12] 是否100%正确
[00:02:12 - 00:02:14] 只要有一个微小的瑕疵证明
[00:02:14 - 00:02:15] 就无法通过
[00:02:15 - 00:02:16] 通过这个流程
[00:02:16 - 00:02:18] AI的创造力与传统计算的可靠性
[00:02:18 - 00:02:19] 被完美结合
[00:02:19 - 00:02:21] 我们利用了AI强大的模式识别
[00:02:21 - 00:02:23] 和内容生成能力
[00:02:23 - 00:02:24] 但最终的裁决权
[00:02:24 - 00:02:26] 老老掌握在确定性的
[00:02:26 - 00:02:27] 可验证的计算手中
[00:02:27 - 00:02:29] AI的黑盒被彻底打破
[00:02:29 - 00:02:31] 它的输出变得完全可信
[00:02:31 - 00:02:34] 这套方法已经取得了惊人的成果
[00:02:34 - 00:02:35] 在陶哲轩的指导下
[00:02:35 - 00:02:37] 研究人员已经利用AI和LIN
[00:02:37 - 00:02:39] 成功形式化验证了
[00:02:39 - 00:02:41] 超过60个埃尔德时问题的解
[00:02:41 - 00:02:42] 在某些案例中
[00:02:43 - 00:02:44] AI甚至能发现
[00:02:44 - 00:02:45] 人类数学家未曾想到的
[00:02:45 - 00:02:48] 连接不同数学领域的巧妙路径
[00:02:48 - 00:02:50] 例如将一个单调子序列问题转化
[00:02:50 - 00:02:52] 为一个已知的正方形填充问题
[00:02:52 - 00:02:56] 这就证明了AI不仅能做重复性工作
[00:02:56 - 00:02:58] 还能成为激发新想法的催化剂
[00:02:58 - 00:03:00] 它降低了数学研究的门槛
[00:03:00 - 00:03:03] 让更多人能参与到前沿探索中
[00:03:03 - 00:03:07] SIR要做的就是将这种强大的人家AI协作范氏
[00:03:07 - 00:03:12] 从数学推广到物理、化学、生物等所有科学领域
[00:03:12 - 00:03:15] SIR的出现标志着一个新时代的到来
[00:03:15 - 00:03:18] 它解决了AI for Science最核心的新人问题
[00:03:18 - 00:03:22] 为科学发现的规模化和加速提供了引擎
[00:03:22 - 00:03:24] 它不仅仅是一个基金会
[00:03:24 - 00:03:25] 更是一种宣言
[00:03:25 - 00:03:27] 在人工智能的浪潮中
[00:03:27 - 00:03:30] 人类最顶级的智慧选择的不是被动接受
[00:03:30 - 00:03:31] 而是主动引领
[00:03:31 - 00:03:34] 在未来当一项诺奖级别的成果宣布
[00:03:34 - 00:03:37] 有某位科学家和他的AI助手共同完成时
[00:03:37 - 00:03:39] 请不要惊讶
[00:03:39 - 00:03:40] 因为陶哲轩和他的Sare
[00:03:40 - 00:03:43] 正在为我们扑射通往那个未来的监视道路
[00:03:43 - 00:03:45] 科学的下一次飞跃
[00:03:45 - 00:03:46] 将由人类的动茶力
[00:03:46 - 00:03:48] 与AI的计算力共同驱动
[00:03:48 - 00:03:49] 好了
[00:03:49 - 00:03:50] 本期视频就到这里
[00:03:50 - 00:03:51] 如果对你有帮助
[00:03:51 - 00:03:54] 别忘了点赞关注和一键三连
[00:03:54 - 00:03:55] 感谢观看,我们下期见!
