BV号：BV13gNe6cEjN
标题：BV13gNe6cEjN
链接：https://www.bilibili.com/video/BV13gNe6cEjN
识别语言：zh
语言置信度：1
分段数：201
生成时间：2026-08-29 18:42:42

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 你还在熬夜调API写增山改茶吗?
[00:00:04 - 00:00:07] DeepMind CEO Demis Hasbis刚发了一篇长文
[00:00:07 - 00:00:10] 他认为AGI在短短几年内就会到来
[00:00:10 - 00:00:13] 如果你觉得这只是大厂公关 那就错了
[00:00:13 - 00:00:15] 这篇文章里藏着未来几年整个
[00:00:15 - 00:00:18] 软件工程和AI行业的洗牌密码
[00:00:18 - 00:00:20] 大家都在说AI要取代程序员
[00:00:20 - 00:00:23] 但真正可怕的根本不是co-pilot帮你写代码
[00:00:23 - 00:00:25] 真正可怕的是
[00:00:25 - 00:00:28] 当AI变成能自己改代码的Agent时 谁来控制它?
[00:00:28 - 00:00:31] Haspis提出建立一个前沿AI标准机构
[00:00:31 - 00:00:33] 这个机构到底是为了保护人类
[00:00:33 - 00:00:38] 还是巨头们锁死出创公司和开源社区的羊毛
[00:00:38 - 00:00:41] 今天我们从工程视角把这篇长文硬核拆解一下
[00:00:41 - 00:00:44] 我们先搞清楚Demis Haspis是谁
[00:00:44 - 00:00:48] 国际相机生同Alphago之父刚拿了诺贝尔化学奖
[00:00:48 - 00:00:51] 他绝对是这个星球上最懂AI的人之一
[00:00:51 - 00:00:55] 他在X上发表了前沿AI框架与新时代的曙光
[00:00:55 - 00:00:57] 文章里说AGI的到来
[00:00:57 - 00:01:00] 影响可能是工业革命的10倍速度快10倍
[00:01:00 - 00:01:02] 但因为大家都在疯狂内卷
[00:01:02 - 00:01:05] 技术发展速度已经超过了我们的理解速度
[00:01:05 - 00:01:07] 没人知道接下来会发生什么
[00:01:07 - 00:01:09] 所以他呼吁美国牵头搞一个
[00:01:09 - 00:01:13] 类似金融监管机构的组织来管管这些前沿 AI
[00:01:13 - 00:01:15] 作为工程师我们怎么看这份倡议
[00:01:15 - 00:01:17] 我总结了三个关键点
[00:01:17 - 00:01:19] Haspis提出了前沿实验室的概念
[00:01:19 - 00:01:23] 这意味着未来的AI开发将被分为两类
[00:01:23 - 00:01:26] 一类是能玩得起前沿模型的国家队和巨头
[00:01:26 - 00:01:29] 另一类是只能玩非前沿模型的普通开发者
[00:01:29 - 00:01:31] 出创公司和学术界
[00:01:31 - 00:01:32] 从工程角度看
[00:01:32 - 00:01:35] 这直接决定了未来开发者的技术站走向
[00:01:35 - 00:01:38] 如果你不在这些前沿实验室里
[00:01:38 - 00:01:40] 你可能彻底沦为API调用工
[00:01:40 - 00:01:43] 底层架构的创新将被少数几个实验室垄断
[00:01:43 - 00:01:45] 你想自己搞个大模型
[00:01:45 - 00:01:46] 算力你买不起
[00:01:46 - 00:01:47] 测试你也通不过
[00:01:47 - 00:01:51] 目前训练一个GPT 5.6级别的模型
[00:01:51 - 00:01:53] 需要上万张显卡跑几个月
[00:01:53 - 00:01:55] 成本数千万美元起步
[00:01:55 - 00:01:57] 而Hasubis提到的AGI
[00:01:57 - 00:02:01] 参数量和计算复杂度可能是现在的指数级倍数
[00:02:01 - 00:02:03] 算力壁垒将变得肩不可催
[00:02:03 - 00:02:06] 普通开发者即使有再好的算法点子
[00:02:06 - 00:02:08] 也无法在单机或者小机群上验证
[00:02:08 - 00:02:11] 这就好比你想研究航空发动机
[00:02:11 - 00:02:13] 但手里只有一堆乐高机幕
[00:02:13 - 00:02:16] Hasubis提议的这个标准机构要求前沿实验室
[00:02:16 - 00:02:19] 提供充足的资源用于安全研究
[00:02:19 - 00:02:20] 还要发布详细的模型卡
[00:02:20 - 00:02:22] 这听起来很合理
[00:02:22 - 00:02:24] 但实际上编写和维护一份符合
[00:02:24 - 00:02:28] 国家安全级别审查的模型卡需要庞大的合规团队
[00:02:28 - 00:02:30] 出创公司根本养不起这样的人
[00:02:30 - 00:02:34] 这就像给AI行业设定了一个极高的注册资本门槛
[00:02:34 - 00:02:37] 直接把草根创业者提出了高端局
[00:02:37 - 00:02:40] 文章提到要要求模型生成
[00:02:40 - 00:02:43] 人类可读的输出token来理解推理过程
[00:02:43 - 00:02:45] 这在工程上极难实现
[00:02:45 - 00:02:48] 现在的深度学习模型就是一个巨大的黑盒
[00:02:48 - 00:02:50] 你怎么让黑盒变成白盒
