BV号：BV13hkSBeEDC
标题：BV13hkSBeEDC
链接：https://www.bilibili.com/video/BV13hkSBeEDC
识别语言：zh
语言置信度：1
分段数：34
生成时间：2026-08-29 22:12:18

[00:00:00 - 00:00:02] 你以为英伟达只是在卖显卡?
[00:00:02 - 00:00:03] 错
[00:00:03 - 00:00:06] 黄仁勋最新的GTC演讲
[00:00:06 - 00:00:09] 其实在描绘一个全新的世界伦途
[00:00:09 - 00:00:13] 五个颠覆性的想法正在重写AI的未来
[00:00:13 - 00:00:17] 过去软件是人用的工具
[00:00:17 - 00:00:20] 而现在AI是工人本身
[00:00:20 - 00:00:23] 第一次科技开始真正干活
[00:00:23 - 00:00:25] 而不只是帮忙
[00:00:25 - 00:00:27] 数据中心不再是存储服务器
[00:00:27 - 00:00:29] 而是AI工厂
[00:00:29 - 00:00:31] 它的产品叫Token
[00:00:31 - 00:00:35] 聚能成了一种可以替量制造的工业产品
[00:00:35 - 00:00:38] 因为达要让AI跑进我的信号塔
[00:00:38 - 00:00:41] 打造6G网络AI平台
[00:00:41 - 00:00:44] 让全球通信网络变成巨大的边缘运用
[00:00:44 - 00:00:49] AI将在任何有信号的地方实施工作
[00:00:49 - 00:00:52] 模耳定义终结 没关系
[00:00:52 - 00:00:55] 因为达靠极具协同设计
[00:00:55 - 00:00:57] 免壓物理極限
[00:00:57 - 00:00:58] 芯片
[00:00:58 - 00:00:59] 系統
[00:00:59 - 00:01:00] 軟件
[00:01:00 - 00:01:01] 網絡
[00:01:01 - 00:01:03] 同時共設計
[00:01:03 - 00:01:05] 性能暴漲十倍
[00:01:05 - 00:01:07] 黃仁勳展示了科幻螢幕
[00:01:07 - 00:01:10] AI與量子並肩作戰
[00:01:10 - 00:01:12] GPU控制量子電腦AI
[00:01:12 - 00:01:14] 幫量子糾錯
[00:01:14 - 00:01:16] 因為它已經不只是造芯片
[00:01:16 - 00:01:19] 而是在造未來的世界
[00:01:19 - 00:01:20] 這場工業革命
[00:01:20 - 00:01:22] 已經在數字世界開工
