BV号：BV13qX8YyEXN
标题：BV13qX8YyEXN
链接：https://www.bilibili.com/video/BV13qX8YyEXN
识别语言：zh
语言置信度：1
分段数：290
生成时间：2026-08-30 10:17:46

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:06] 我们经常会看到一些AI被用来诈骗的新闻
[00:00:06 - 00:00:08] 通常都是一些资金的诈骗
[00:00:08 - 00:00:09] 不过你可能想象不到的是
[00:00:09 - 00:00:12] AI如今竟然也已经被用于求职的诈骗
[00:00:12 - 00:00:14] 而且还有不少公司中招
[00:00:14 - 00:00:15] 想象一下
[00:00:15 - 00:00:18] 一家公司在招聘关键岗位人才的时候
[00:00:18 - 00:00:21] 满心期待的以为自己找到了技术大牛
[00:00:21 - 00:00:24] 结果却发现所谓的精英竟然是AI伪装的假人
[00:00:24 - 00:00:26] 这究竟是怎么一回事呢
[00:00:26 - 00:00:28] 今天大飞就来给大家讲一讲
[00:00:28 - 00:00:30] 先给大家介绍一下事件的主角之一
[00:00:30 - 00:00:32] VDoc Security公司
[00:00:32 - 00:00:35] 这是一家专注于自动化带往安全审查的出装公司
[00:00:35 - 00:00:37] 它的两位联合创始人
[00:00:37 - 00:00:40] 达维德·莫查德沃和克里迪亚·克罗茨
[00:00:40 - 00:00:43] 都是资深的安全公众师和白帽黑客
[00:00:43 - 00:00:45] 这两位在业界可以说是相当有名
[00:00:45 - 00:00:48] 他们曾经成功入侵过META等等科技巨头
[00:00:48 - 00:00:49] 通过披露漏洞
[00:00:49 - 00:00:51] 赚起了高额的漏洞赏金
[00:00:51 - 00:00:54] 还登上了多个公司的道德黑客排行榜
[00:00:54 - 00:00:56] 可以说他们在安全领域有着丰富的经验
[00:00:56 - 00:00:58] 和卓越的技术能力
[00:00:58 - 00:01:00] 随着大语言模型技术的迅速发展
[00:01:00 - 00:01:03] 达维德和克劳迪亚也看到了其中的机遇
[00:01:03 - 00:01:04] 他们想开发一款
[00:01:04 - 00:01:06] 机遇大语言模型的自动化安全工具
[00:01:06 - 00:01:10] 这款工具就像是把他们的黑客经验系统化了
[00:01:10 - 00:01:11] 能够扫描代码库
[00:01:11 - 00:01:12] 分析组建的交互
[00:01:12 - 00:01:15] 精准的找到潜在的安全隐患等等
[00:01:15 - 00:01:18] 这个创新的想法就吸引了不少投资者的目光
[00:01:18 - 00:01:19] 在2023年
[00:01:19 - 00:01:23] Vidoc Security公司就获得了60万美元的种子轮融资
[00:01:23 - 00:01:24] 到了2024年8月
[00:01:24 - 00:01:26] 又进一步籌集到了250万美元
[00:01:26 - 00:01:28] 有了资金的支持
[00:01:28 - 00:01:29] 公司就开始扩充团队
[00:01:29 - 00:01:32] 发布了后端工程师的职位招聘广告
[00:01:32 - 00:01:33] 没想到
[00:01:33 - 00:01:34] 正是这个招聘过程
[00:01:34 - 00:01:36] 却让他们陷入了AI诈骗的漩涡
[00:01:36 - 00:01:40] 我们先来看看第一位AI伪装者的应聘过程
[00:01:40 - 00:01:42] 在众多的应聘者中
[00:01:42 - 00:01:43] 一位名叫马卡利克罗尔的人
[00:01:43 - 00:01:45] 引起了公司的注意
[00:01:45 - 00:01:46] 从他的简历来看
[00:01:46 - 00:01:47] 简直堪称完美
[00:01:47 - 00:01:48] 简历显示
[00:01:48 - 00:01:50] 他是一位有这9年以上经验的
[00:01:50 - 00:01:52] 资深全阵开发者
[00:01:52 - 00:01:54] 熟练掌握多种编程语言
[00:01:54 - 00:01:58] 像JavaScript、TypeScript、Python、Java、Csharp等等
[00:01:58 - 00:02:00] 前端和后端技术更是不在话下
[00:02:00 - 00:02:03] 还涉及到各种存储技术和开发平台
[00:02:03 - 00:02:07] 它在工作经历中列举了在多家知名公司的亮眼成绩
[00:02:07 - 00:02:09] 比如说在Borin Capital AI公司
[00:02:09 - 00:02:13] 它通过整合GBT4、React.js、Python、Flask和AeroFull
[00:02:13 - 00:02:16] 开发出了高性能的广告生成工具
[00:02:16 - 00:02:18] 为公司提升了用户满意度和收入
[00:02:18 - 00:02:20] 在CAP Gemini公司
[00:02:20 - 00:02:21] 它通过技术优化
[00:02:21 - 00:02:23] 使网页应用的性能提升了40%
[00:02:23 - 00:02:26] 用戶参与度增加了20%等等
[00:02:26 - 00:02:28] 这样的简历很难不让招聘团队心动
[00:02:28 - 00:02:30] 在初轮筛选的时候
[00:02:30 - 00:02:32] 马卡里克老尔与阴营主管保利娜
[00:02:32 - 00:02:34] 进行了15-30分钟的通话
[00:02:34 - 00:02:35] 奇怪的是
[00:02:35 - 00:02:37] 他虽然自称来自于波兰
[00:02:37 - 00:02:38] 毕业于华沙理工大学
[00:02:38 - 00:02:40] 却完全不会说波兰语
[00:02:40 - 00:02:42] 英语还带着农种的亚洲口音
[00:02:42 - 00:02:45] 不过他表现出了强烈的求职动机
[00:02:45 - 00:02:47] 这样保利娜也没有过多的怀疑
[00:02:47 - 00:02:48] 还是让他进入了下一轮
[00:02:48 - 00:02:50] 接下来是招聘经理的面试
[00:02:50 - 00:02:51] 在这一轮中
[00:02:51 - 00:02:53] 应聘者表现的也比较全面
[00:02:53 - 00:02:56] 尽管达维德对他的沟通能力有所疑虑
[00:02:56 - 00:02:58] 但想着技术面试能够更加准确的
[00:02:58 - 00:02:59] 检验他的能力
[00:02:59 - 00:03:00] 所以也没有太过在意
[00:03:00 - 00:03:03] 还是决定让他进入到技术面试环节
[00:03:03 - 00:03:04] 到了技术面试环节
[00:03:04 - 00:03:06] 这位应聘者的表现堪称经验
[00:03:07 - 00:03:08] 在两小时的技术测试中
[00:03:08 - 00:03:10] 他不仅完成了所有的任务
[00:03:10 - 00:03:12] 而且是第一位在限定时间内
[00:03:12 - 00:03:13] 达完所有题目的人
[00:03:14 - 00:03:16] 这样达维德对他的编程能力大为惊叹
[00:03:16 - 00:03:18] 认为他是一位经验丰富
[00:03:18 - 00:03:19] 能力初中的工程师
[00:03:19 - 00:03:23] 然而呢在最终面试的时候问题逐渐爆热了出来
[00:03:23 - 00:03:26] 这一顿面试是由联合创神Claudia负责的
[00:03:26 - 00:03:29] 主要是深入了解音频者的背景
[00:03:29 - 00:03:30] 随着对话的深入
[00:03:30 - 00:03:34] Claudia发现她的过往经历越来越难以让人信服
[00:03:34 - 00:03:36] 达维德也有同样的感觉
[00:03:36 - 00:03:39] 开始怀疑屏幕上的人并非其自称的身份
[00:03:39 - 00:03:41] 直到招聘流程接近尾声
[00:03:41 - 00:03:43] 公司才发现自己差点被欺骗
[00:03:43 - 00:03:46] 原来这位音频者不仅使用了伪造的简历
[00:03:46 - 00:03:49] 还在视频中利用AI工具伪装了外贸
[00:03:49 - 00:03:51] 但是由于当时没有录制面试的过程
[00:03:51 - 00:03:53] 无法提供确凿的证据
[00:03:53 - 00:03:55] 只能凭借主观判断放弃录用它
[00:03:56 - 00:03:58] 当达威德向同行讲述这件事情的时候
[00:03:58 - 00:04:00] 很多人都不太相信
[00:04:00 - 00:04:02] 甚至会觉得是他们反应过度了
[00:04:02 - 00:04:04] 或者是误会了应评者
[00:04:04 - 00:04:06] 这样达威德一度也开始怀疑
[00:04:06 - 00:04:07] 自己的判断是否正确
[00:04:07 - 00:04:08] 在这次事件之后
[00:04:08 - 00:04:11] Vidoc Security公司吸取了教训
[00:04:11 - 00:04:12] 调整了招聘的流程
