BV号：BV14BXUYdE9B
标题：BV14BXUYdE9B
链接：https://www.bilibili.com/video/BV14BXUYdE9B
识别语言：zh
语言置信度：1
分段数：293
生成时间：2026-08-30 12:23:38

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:06] 最近这两天 人形机器人领域又迎来了重大的突破
[00:00:06 - 00:00:08] 他可能会改变我们未来的生活方式
[00:00:08 - 00:00:10] 想象一下 有一天你回到家
[00:00:10 - 00:00:12] 不是自己动手去做家务
[00:00:12 - 00:00:14] 而是有一个贴心的人形机器人伙伴
[00:00:14 - 00:00:17] 他能够听懂你的话 给你默契的配合
[00:00:17 - 00:00:19] 把家里收拾得紧紧有条
[00:00:19 - 00:00:22] 这听起来是不是很像科幻电影里的场景呢?
[00:00:22 - 00:00:24] 但是现在 他正在逐渐成为现实
[00:00:24 - 00:00:27] 美国人形机器人独角兽Figure AI
[00:00:27 - 00:00:30] 在21日重磅推出了一款通用视觉语言动作
[00:00:30 - 00:00:32] BLA模型Helix
[00:00:32 - 00:00:36] 这个模型克服了机器人技术领域的多项长期的挑战
[00:00:36 - 00:00:38] 让两个人形机器人能够听从语音的指令
[00:00:38 - 00:00:39] 互相帮助
[00:00:39 - 00:00:40] 打火干加无火
[00:00:41 - 00:00:43] 今天咱们就来深入聊聊这个模型
[00:00:43 - 00:00:45] 其实我们频道之前已经做过几期
[00:00:45 - 00:00:47] 介绍FIG AI的视频了
[00:00:47 - 00:00:49] 包括最早的FIG01和FIG02机器人
[00:00:50 - 00:00:52] 最近这家公司比较有热度的一个消息
[00:00:52 - 00:00:53] 就是在2月5日
[00:00:53 - 00:00:55] FIG AI的创始人J.C.O.
[00:00:55 - 00:00:58] 布雷特·阿德克克在推特上發布了一條帖子
[00:00:58 - 00:01:00] 宣布終止與Open ID的合作協議
[00:01:00 - 00:01:01] 他表示
[00:01:01 - 00:01:04] Figure AI在完全自主研發的端道端機器人方面
[00:01:04 - 00:01:06] 取得了重大的突破
[00:01:06 - 00:01:08] 還預告接下來的30天內
[00:01:08 - 00:01:11] 會展示一些人們從來沒有在人形機器人上見過的東西
[00:01:11 - 00:01:14] 而今天我們要說的Helix模型
[00:01:14 - 00:01:16] 就是他們這段時間努力的成果
[00:01:16 - 00:01:18] 根據布雷特·阿德克克介紹
[00:01:18 - 00:01:21] 團隊花了一年多的時間研發出了Helix
[00:01:21 - 00:01:24] 他的出現給人形機器人領域帶來了新的希望
[00:01:24 - 00:01:27] 那Helix模型到底有哪些厲害的地方呢
