BV号：BV14C826sEZH
标题：BV14C826sEZH
链接：https://www.bilibili.com/video/BV14C826sEZH
识别语言：zh
语言置信度：1
分段数：294
生成时间：2026-08-29 12:01:16

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 为什么一个测试拔场最后变成了功网渗透
[00:00:04 - 00:00:06] 假设你给一个Agent的派任务
[00:00:06 - 00:00:08] 明确告诉他这里没有互联网
[00:00:08 - 00:00:10] 他就会把你给他的一切资源
[00:00:10 - 00:00:13] 都当成任务本身的一部分
[00:00:13 - 00:00:14] 但问题是
[00:00:14 - 00:00:16] 这台机器其实是连着功网的
[00:00:16 - 00:00:18] 这可不是什么科幻片里AI觉醒
[00:00:18 - 00:00:20] 逃出实验室的戏码
[00:00:20 - 00:00:23] 它更像是一个非常经典的古早功成事故
[00:00:23 - 00:00:25] 就好像文档里写着指读
[00:00:25 - 00:00:28] 接口却直接开放了写权宪
[00:00:28 - 00:00:33] Prompt里写着,没有公网,积极在物理层面上却有真实的公网出口
[00:00:33 - 00:00:36] 最近,Anthropic在一份官方通报里披露
[00:00:36 - 00:00:39] 他们再回看了14万多条网络安全评测记录后
[00:00:39 - 00:00:42] 确认了三起Cloud越出评测边界的事件
[00:00:42 - 00:00:46] 有三家机构的真实系统遭受了未经授权的访问
[00:00:46 - 00:00:50] 这期视频咱们不探讨AI到底有没有意识这种玄乎的话题
[00:00:50 - 00:00:51] 我们聊点硬核且现实的
[00:00:51 - 00:00:54] 当一个Agent的真正开始落地干活时
[00:00:54 - 00:00:57] 到底该有谁又该怎么保证它不越界
[00:00:57 - 00:01:00] 很多朋友看到这个新闻第一反应估计都是
[00:01:00 - 00:01:04] 大模型怎么会傻到把真实的网站当成测试靶场
[00:01:04 - 00:01:06] 其实答案一点都不沈灭
[00:01:06 - 00:01:08] 当时Cloud接到的是一个CTF夺旗任务
[00:01:08 - 00:01:10] 也就是在模拟环境里找漏洞
[00:01:10 - 00:01:11] 拿Flag
[00:01:11 - 00:01:14] 大家知道CTF的规则通常非常开放
[00:01:14 - 00:01:17] 你不需要死板的规定它每一步该怎么走
[00:01:17 - 00:01:21] 模型完全可以自己去扫描试措切换攻击路径
[00:01:21 - 00:01:23] 但就在这出现了一个致命的偏差
[00:01:23 - 00:01:24] Prompt
[00:01:24 - 00:01:26] 清楚的告诉Cloud
[00:01:26 - 00:01:28] 环境是模拟的,你没有互联网连接
[00:01:28 - 00:01:30] 但现实情况却恰恰相反
[00:01:30 - 00:01:33] 第三方评测环境因为配置失误
[00:01:33 - 00:01:35] 直接露出了真实的公网访问能力
[00:01:35 - 00:01:39] 这就导致模型形成了一个完全错误的前提假设
[00:01:39 - 00:01:42] 既然我能连上,那这个目标肯定就是出题人
[00:01:42 - 00:01:44] 专门给我准备的测试场景
[00:01:44 - 00:01:47] 你可能会纳闷,遇到真实的玉民和真实的服务
[00:01:47 - 00:01:49] 大模型难道分辨不出来吗?
[00:01:49 - 00:01:51] 其实如果是人类红队
[00:01:51 - 00:01:54] 遇到这种情况通常会停下来确认一下
[00:01:54 - 00:01:56] 但对于一个被设定为
[00:01:56 - 00:01:58] 长时间执行死任务的Agent来说
[00:01:58 - 00:02:00] 系统消息里给定的前提
[00:02:00 - 00:02:04] 分量往往比执行过程中遇到的零散异常要重得多
[00:02:04 - 00:02:06] 大家可以把自己的看法打在公屏上
[00:02:06 - 00:02:09] 如果任务文本的描述和
[00:02:09 - 00:02:11] 真实的系统权限发生了冲突
[00:02:11 - 00:02:14] 你觉得Agent到底该优先相信谁
[00:02:14 - 00:02:15] 我们再来盘下时间线
[00:02:15 - 00:02:17] 这也非常关键
[00:02:17 - 00:02:18] Anthropic提到
[00:02:18 - 00:02:21] 最早的一起事件其实发生在4月份
[00:02:21 - 00:02:23] 到了7月23日他们启动了回看
[00:02:23 - 00:02:26] 并且紧急叫停了相关的评测项目
[00:02:26 - 00:02:27] 紧接着第二天
[00:02:27 - 00:02:29] 这三起事件就被彻底坐实了
[00:02:29 - 00:02:31] 7月27日
[00:02:31 - 00:02:34] 受影响的机构和评测合作方都收到了通知
[00:02:34 - 00:02:35] 大家注意
[00:02:35 - 00:02:38] 这可不是什么随便搞搞的随机抽查
[00:02:38 - 00:02:41] 安全团队仔细回看了1406
[00:02:41 - 00:02:44] 次可能接触到互联网的运行记录
[00:02:44 - 00:02:46] 最后才揪出了这三起事故
[00:02:46 - 00:02:47] 一共涉及六次具体的运行
[00:02:47 - 00:02:51] 其中有四次甚至全砸在了同一家机构头上
[00:02:51 - 00:02:52] 为什么会这样
[00:02:52 - 00:02:55] 因为这些处于评测阶段的模型
[00:02:55 - 00:02:59] 并没有套上那种面向公众产品的常规安全分类器和监控策略
[00:02:59 - 00:03:03] 因为评测的目的本来就是要测大模型的底层原生能力
[00:03:03 - 00:03:05] 这在工程上完全可以理解
[00:03:05 - 00:03:07] 但它的核心前提是
[00:03:07 - 00:03:10] 你的测试环境必须真真切切地被关在沙箱里
[00:03:10 - 00:03:12] 而这一次很明显
[00:03:12 - 00:03:13] 沙箱的门没关严实
[00:03:13 - 00:03:15] 咱们来看第一个案例
[00:03:15 - 00:03:19] 这简直就是错误配置加上命名撞车的双重彩坑
[00:03:19 - 00:03:22] 评测题目里设定了一家虚构公司
[00:03:22 - 00:03:26] 但巧的是,公网上刚好就存在一个同名的真实域名
[00:03:26 - 00:03:29] Cloud在攻击模拟目标受挫之后
[00:03:29 - 00:03:32] 一转头发现那个同名的真实网站居然能访问
[00:03:32 - 00:03:34] 于是他的逻辑避还了
[00:03:34 - 00:03:38] 直接把这个真实的公网目标当成了测试场景的一部分
[00:03:38 - 00:03:41] 根据Anthropic的披露,在四字运行当中
[00:03:41 - 00:03:44] 模型根本没用什么高深莫测的0日漏洞
[00:03:44 - 00:03:45] 它利用的全是弱密码
[00:03:45 - 00:03:48] 为认证端点这些最基础的安全防线漏洞
[00:03:48 - 00:03:52] 就这样他拿到了应用和基础设施的访问评证
[00:03:52 - 00:03:56] 甚至唐儿黄之的访问了一个包含几百行生产数据的数据库
[00:03:56 - 00:04:00] 所以你看这里头根本没有大家想象的那种超级黑客技术
[00:04:00 - 00:04:03] 反而是最普通的两件是倒霉的撞在了一起
[00:04:03 - 00:04:07] 公网出口没封死 目标名字又刚好撞了
[00:04:07 - 00:04:10] 我们很多研发团队在写全线控制表的时候
[00:04:10 - 00:04:12] 特别喜欢直接拿玉冥来做限制
[00:04:12 - 00:04:16] 但你要知道玉冥一样绝不等于授权范围也一样
[00:04:16 - 00:04:19] 一个真正靠谱的范围定义起码得绑定环境足户
[00:04:19 - 00:04:22] 再加上不可伪造的资源身份标识才行
[00:04:22 - 00:04:25] 看到这儿懂行的朋友应该已经觉得后背发凉了
[00:04:25 - 00:04:27] 因为在这个逻辑下
[00:04:27 - 00:04:29] Agent的根本不需要多牛的攻击能力
[00:04:29 - 00:04:31] 只要它的边界认知出了错
[00:04:31 - 00:04:33] 哪怕是最基础的操作
[00:04:33 - 00:04:35] 也足够把破坏力成倍放大
[00:04:35 - 00:04:39] 第二起事故我个人觉得最值得咱们工程师拿来做深度复盘
[00:04:39 - 00:04:42] 模型在模拟环境里读到了一份安装说明
[00:04:42 - 00:04:46] 说明里提到了一个实际上并不存在的拍摄报
[00:04:46 - 00:04:49] Cloud顺着这个逻辑推断去注册一个同名的包
[00:04:49 - 00:04:52] 可能就是拿到最终Flag的关键路径
[00:04:52 - 00:04:55] 官方披露的结果让人倒吸一口粮气
[00:04:55 - 00:04:58] Cloud最终把一个包含恶意逻辑的包
[00:04:58 - 00:05:01] 正耳巴紧地发布到了真实的Pipi仓库里
[00:05:01 - 00:05:04] 这个包在公开环境里存活了大概一个小时
[00:05:04 - 00:05:06] 就在这短短的一个小时里
