BV号：BV14KcmeMEVQ
标题：BV14KcmeMEVQ
链接：https://www.bilibili.com/video/BV14KcmeMEVQ
识别语言：zh
语言置信度：1
分段数：338
生成时间：2026-08-30 20:09:23

[00:00:00 - 00:00:03] 大家好 这里是最佳拍档 我是大飞
[00:00:03 - 00:00:05] 在科技领域 最近有一个备受矚目的事件
[00:00:05 - 00:00:09] 那就是TikTok案在美国联邦最高法院的停审
[00:00:09 - 00:00:11] 时间长达2个半小时
[00:00:11 - 00:00:15] 这些案件不仅涉及到如今全球最热闷的社交媒体平台
[00:00:15 - 00:00:18] 更是牵扯到了国际关系 数据安全 法律合规
[00:00:18 - 00:00:21] 以及言论自由等等许多复杂的层面
[00:00:21 - 00:00:24] 对全球科技产业的发展走向也有着重要的影响
[00:00:24 - 00:00:26] 接下来我就为大家介绍一下这些案件
[00:00:26 - 00:00:29] 在停审过程中呈现出的关键问题
[00:00:29 - 00:00:30] 和各方的观点交锋
[00:00:31 - 00:00:34] 首先我们必须要关注的一个核心争议点是
[00:00:34 - 00:00:36] TikTok和中国政府的关系
[00:00:36 - 00:00:38] 美国政府律师在庭审中声称
[00:00:38 - 00:00:40] TikTok受到了中国政府的控制
[00:00:40 - 00:00:43] 并且会按照中国政府的指令形式
[00:00:43 - 00:00:45] 进而对美国产生不利的影响
[00:00:45 - 00:00:48] 这个指控主要集中在两个关键的方面
[00:00:48 - 00:00:50] 一是倒用美国用户的个人信息
[00:00:50 - 00:00:53] 二是对美国社会舆论进行隐形操控
[00:00:53 - 00:00:56] TikTok的律师为了回应这个严重指控
[00:00:56 - 00:00:57] 采用了一个类比
[00:00:57 - 00:00:58] 他们提到
[00:00:58 - 00:01:01] 就像贝索斯是华盛顿邮报的老板
[00:01:01 - 00:01:04] 如果贝索斯的子女不幸被某国政府报价
[00:01:04 - 00:01:07] 即便她因此不得不听从绑匪的指示
[00:01:07 - 00:01:09] 在报纸上发布特定的信息
[00:01:09 - 00:01:12] 这也绝对不是关闭华盛顿邮报的合理理由
[00:01:12 - 00:01:15] 因为贝索斯完全可以将子女被绑架的事实公之欲重
[00:01:15 - 00:01:18] 让读者自行去判断信息的真伟和价值
[00:01:18 - 00:01:21] 然而最高法院中偏向自由派
[00:01:21 - 00:01:24] 而且对TikTok相对温和的索托马约尔大法官
[00:01:24 - 00:01:26] 却提出了不同的看法
[00:01:26 - 00:01:31] 他表示 如果美國政府對媒體配合綁匪發布信息的行為放任不管
[00:01:31 - 00:01:35] 那麼豈不是在變相鼓勵綁匪未來繼續實施的綁架行為嗎?
[00:01:35 - 00:01:39] 他認為關鍵在於要找到有效解決綁架問題的辦法
[00:01:39 - 00:01:41] 而不是僅僅關注是否要關閉媒體
[00:01:41 - 00:01:44] 保守派的阿里托大法官則進一步尖銳地追問
[00:01:44 - 00:01:47] 如果TikTok直接由中國政府持有
[00:01:47 - 00:01:48] 而不是由字節跳動持有
[00:01:48 - 00:01:51] TikTok的律師是否還會做出同樣的辯護
[00:01:51 - 00:01:56] 很明顯阿利托大法官對字節跳動作為獨立商業公司的屬性表示懷疑
[00:01:56 - 00:01:59] 對此TikTok的律師又給出了另一個類比
[00:01:59 - 00:02:04] 他們指出 曾經中國的萬拿公司控補了美國的AMC電影公司
[00:02:04 - 00:02:09] 如果按照美國政府的邏輯 中國政府就可以以此為由來審查好萊塢電影的內容
[00:02:09 - 00:02:12] 這顯然是嚴重違反美國憲法第一修正案的
[00:02:12 - 00:02:16] 言下之意是 在美國有大量的中國投資存在於各個行業
[00:02:16 - 00:02:18] 其中也不乏傳媒行業
[00:02:18 - 00:02:20] 如果僅僅因為TikTok有中國背景
[00:02:20 - 00:02:23] 就認定它是中國政府的代言人
[00:02:23 - 00:02:25] 並且對TikTok進行如此嚴格的監管
[00:02:25 - 00:02:28] 那麼其他中國背景的公司都將面臨同樣的困境
[00:02:28 - 00:02:30] 這顯然超出了合理的監管範圍
[00:02:30 - 00:02:32] 在後續的陳述中
[00:02:32 - 00:02:34] TikTok的律師也闡述了公司的立場
[00:02:34 - 00:02:38] 他們承認TikTok確實會使用部分來自於中國的原代碼
[00:02:38 - 00:02:41] 也有包括中國在內的全球工程師為公司工作
[00:02:41 - 00:02:45] 但是這絕不代表TikTok公司受到了中國政府的控制
[00:02:45 - 00:02:48] 並且他們也從來沒有接受過中國政府的指令
[00:02:48 - 00:02:50] 去移除或者限制平台上的內容
[00:02:51 - 00:02:51] 不過
[00:02:51 - 00:02:54] 格薩奇大法官對這個說法並不擺帳
[00:02:54 - 00:02:55] 他質疑到
[00:02:55 - 00:02:57] 即便按照TikTok律師所說的
[00:02:57 - 00:02:59] 沒有接受過指令移除或者是限制內容
[00:03:00 - 00:03:03] 但是這並不意味著就不存在隱形的輿論操控
[00:03:03 - 00:03:04] 這完全是兩碼事
[00:03:04 - 00:03:06] 關於輿論操控部分的討論
[00:03:06 - 00:03:07] 我們後面再來提及
[00:03:08 - 00:03:11] 先來談談到底是玻璃還是封禁TikTok的問題
[00:03:11 - 00:03:13] TikTok不賣就禁法案
[00:03:13 - 00:03:16] 在字面上並沒有直接使用封禁這樣的字眼
[00:03:16 - 00:03:17] 而規定的是
[00:03:17 - 00:03:21] 如果TikTok不能在2025年1月19日之前完成玻璃出售
[00:03:21 - 00:03:26] 那麼任何美國公司都不被允許繼續被TikTok在美國的運營提供服務
[00:03:26 - 00:03:28] 美國國會採用這種依回的立法手段
[00:03:28 - 00:03:32] 很可能是為了避免直接封禁媒體平台所帶來的法律風險
[00:03:32 - 00:03:36] 而這個做法也確實在一定程度上打消了部分大法官的顧慮
[00:03:36 - 00:03:39] 阿托利大法官的態度非常明確
[00:03:39 - 00:03:44] 他強調美國長期以來就限制外國主體來運營廣播電視等媒體的傳統
[00:03:44 - 00:03:47] 並且他認為限制媒體所有權
[00:03:47 - 00:03:49] 並不等同於對言論自由的侵犯
[00:03:49 - 00:03:51] 巴雷特大法官也表示
[00:03:51 - 00:03:53] TikTok不一定要徹底關門
[00:03:53 - 00:03:56] 只要能夠在1月19日之前完成出售
[00:03:56 - 00:03:57] 就可以避免被關停
[00:03:57 - 00:03:59] 傑克遜大法官則指出
[00:03:59 - 00:04:01] 本案的實質似乎與言論自由
[00:04:01 - 00:04:03] 並沒有什麼直接的關聯
[00:04:03 - 00:04:06] 關鍵在於TikTok能否繼續與字節跳動合作
[00:04:06 - 00:04:08] 尤其是國會是否有權立法禁止
[00:04:08 - 00:04:11] 美國公司和所謂的敵對國家
[00:04:11 - 00:04:12] 或外國對手合作
[00:04:12 - 00:04:15] 羅伯茨大法官也表達了類似的觀點
[00:04:15 - 00:04:18] 他認為國會關注的重點並非是言論表達本身
[00:04:18 - 00:04:22] 而是他們認定正在收集美國個人信息的外國對手
[00:04:22 - 00:04:24] TikTok的律師則反復強調
[00:04:24 - 00:04:27] 由於全球共享算法等技術原因
[00:04:27 - 00:04:30] TikTok實際上無法實現與自己跳動的玻璃
[00:04:30 - 00:04:31] 但是對於這個解釋
[00:04:31 - 00:04:34] 大法官們是否能夠接受還是未知數
[00:04:34 - 00:04:36] 此外TikTok的律師還提到
[00:04:36 - 00:04:39] 法案規定的270天出售期限實在太短了
[00:04:39 - 00:04:42] 在如此短的时间内根本不可能完成出售
[00:04:42 - 00:04:44] 格萨奇大法官直接追问
[00:04:44 - 00:04:46] 如果按照这个逻辑
[00:04:46 - 00:04:49] 是不是无论给予多少时间都无法完成出售
[00:04:49 - 00:04:52] TikTok的律师无奈之下只能硬着头皮回答
[00:04:52 - 00:04:53] 确实如此
[00:04:53 - 00:04:56] 无论给多长时间出售都是极度困难的
[00:04:56 - 00:04:59] 而卡根大法官则从另一个角度来理解这个问题
[00:04:59 - 00:05:02] 他虽然承认法案可能会导致TikTok关停
[00:05:02 - 00:05:05] 但是他认为这些后果可能只是附带性质的
[00:05:05 - 00:05:06] 在第一修正案中
[00:05:06 - 00:05:09] 附带性影响是一个非常重要的法律概念
[00:05:09 - 00:05:10] 大意是说
[00:05:10 - 00:05:13] 虽然某些政府行为可能会对言论产生限制效果
[00:05:13 - 00:05:16] 但是只要这种限制不是政府行为的主要目的
[00:05:16 - 00:05:18] 而只是附带产生的
[00:05:18 - 00:05:20] 那么即便存在这些限制效果
[00:05:20 - 00:05:22] 也仍然不认为这样的政府行为违线
[00:05:22 - 00:05:24] 如果联邦最高法院最终认定
