BV号：BV14b3VzcEqb
标题：BV14b3VzcEqb
链接：https://www.bilibili.com/video/BV14b3VzcEqb
识别语言：zh
语言置信度：1
分段数：44
生成时间：2026-08-30 00:55:28

[00:00:00 - 00:00:01] 在1.2版本中
[00:00:01 - 00:00:02] 我们带来了重大更新
[00:00:02 - 00:00:04] 改进了Cursor获取代码库籍
[00:00:04 - 00:00:06] 其他来源上下文信息的方式
[00:00:06 - 00:00:07] 以更好的完成任务
[00:00:07 - 00:00:08] 此次更新中
[00:00:08 - 00:00:11] 我们对任务规划和管理方式做了重要改进
[00:00:11 - 00:00:13] 现在代理可以创建代办事项列表
[00:00:13 - 00:00:15] 帮助它保持任务轨道
[00:00:15 - 00:00:15] 我们发现
[00:00:15 - 00:00:18] 这让Cursor在处理长期任务时表现更好
[00:00:18 - 00:00:18] 此外
[00:00:18 - 00:00:21] 代办事项列表还能让你提前查看
[00:00:21 - 00:00:22] 代理的计划
[00:00:22 - 00:00:24] 在它开始执行任务之前
[00:00:24 - 00:00:25] 你也可以发送后续消息
[00:00:25 - 00:00:26] 这些消息会排队
[00:00:26 - 00:00:28] 而不会打断当前对话
[00:00:28 - 00:00:30] 在代理完成当前任务后自动发送
[00:00:30 - 00:00:33] 我们准备让记忆功能正式退出测试阶段
[00:00:33 - 00:00:34] 在你编码的过程中
[00:00:34 - 00:00:36] Cursor会学习你的习惯和偏好
[00:00:36 - 00:00:39] 从而在你下次处理类似任务时
[00:00:39 - 00:00:40] 提供更好的结果
[00:00:40 - 00:00:41] 未来我们也很期待
[00:00:41 - 00:00:44] 将这些记忆分享给你的整个团队
[00:00:44 - 00:00:46] Cursor现在可以搜索你和团队的
[00:00:46 - 00:00:48] 所有Poll Request
[00:00:48 - 00:00:51] 这是我们帮助你加快工作流程的最新举措
[00:00:51 - 00:00:53] 通过学习团队过去的工作成果
[00:00:53 - 00:00:56] PR搜索功能让Cursor能够轻松
[00:00:56 - 00:00:57] 附用之前修改的步骤
[00:00:57 - 00:00:59] 我们还升级了代码库搜索功能
[00:00:59 - 00:01:01] 采用了新的模型
[00:01:01 - 00:01:04] Cursor现在在查找大型复杂代码库中
[00:01:04 - 00:01:06] 相关代码快的表现更好了
[00:01:06 - 00:01:07] 在本次更新中
[00:01:07 - 00:01:10] 我们还推出了一些其他令人兴奋的变化
[00:01:10 - 00:01:12] 包括更快的态不模型
[00:01:12 - 00:01:14] 以及一件修复合并冲突功能
[00:01:14 - 00:01:17] 我喜欢那些和Cursor完美配合的瞬间
[00:01:17 - 00:01:19] 仿佛我们想法一致
[00:01:19 - 00:01:20] 希望这次更新能带来
[00:01:20 - 00:01:22] 更多这样的体验
