BV号：BV14exKzyEPN
标题：BV14exKzyEPN
链接：https://www.bilibili.com/video/BV14exKzyEPN
识别语言：zh
语言置信度：1
分段数：61
生成时间：2026-08-29 22:24:24

[00:00:00 - 00:00:01] 你這個經驗私內容產出我看了
[00:00:01 - 00:00:03] 但缺少數據之稱
[00:00:03 - 00:00:04] 一世地上雙
[00:00:04 - 00:00:05] 這個比喻的用戶薪值還不夠
[00:00:05 - 00:00:06] 我們做個A B測試
[00:00:06 - 00:00:08] 看看一世地上血的點擊率會不會更高
[00:00:08 - 00:00:09] 好的老闆
[00:00:09 - 00:00:10] 你的狂人日記我看了
[00:00:10 - 00:00:11] 批判性是夠了
[00:00:11 - 00:00:12] 但建設性不足
[00:00:12 - 00:00:13] 我們做內容要正能量
[00:00:13 - 00:00:15] 要傳遞向上向上的價值觀
[00:00:15 - 00:00:16] 你這個智能的隱喻太Heavy了
[00:00:16 - 00:00:17] 又不體驗不友好
[00:00:17 - 00:00:18] 我建議你轉行做
[00:00:18 - 00:00:20] 111MC踏西哥工程的商業化路徑
[00:00:20 - 00:00:21] 我們要再推演一下
[00:00:21 - 00:00:22] 你先釋出一版PRD
[00:00:22 - 00:00:24] 把相對論的核心賣點提煉出來
[00:00:30 - 00:00:31] 光在实验室闷头搞研发是不行的
[00:00:31 - 00:00:32] 你得建立个人IP
[00:00:32 - 00:00:34] 开通社交媒体账号
[00:00:34 - 00:00:35] 做做科普直播带货
[00:00:35 - 00:00:36] 你这个有些无类类的货科测流我理解
[00:00:36 - 00:00:37] 但转化率呢
[00:00:37 - 00:00:39] 3000滴子里只有72弦人
[00:00:39 - 00:00:40] 这个load模型有问题
[00:00:40 - 00:00:41] 我们要做精细化运营
[00:00:41 - 00:00:42] 筛选高精质用户
[00:00:42 - 00:00:43] 提升课单价
[00:00:43 - 00:00:44] 俊严已有理
[00:00:44 - 00:00:45] 红楼梦这个项目
[00:00:45 - 00:00:46] 叉乱拖太久了
[00:00:46 - 00:00:48] 灵带玉和血保柴两个人设重叠
[00:00:48 - 00:00:49] 建议和病同类相
[00:00:49 - 00:00:50] 还有120回的篇幅不符
[00:00:50 - 00:00:51] 和用户閱讀習慣
[00:00:51 - 00:00:52] 我們要壓縮到30回
[00:00:52 - 00:00:53] 做成短
[00:00:53 - 00:00:53] 納多
[00:00:53 - 00:00:55] 你這個技能數太分散了
[00:00:55 - 00:00:56] 畫畫雕塑建築
[00:00:56 - 00:00:57] 發明都稿
[00:00:57 - 00:00:58] 看似是跨界人才
[00:00:58 - 00:01:00] 實則沒有核心競爭力
[00:01:00 - 00:01:01] 我建議你聚焦到一個賽道
[00:01:01 - 00:01:02] 盟納利沙這種項目
[00:01:02 - 00:01:04] 這是冰山理論論對用户不友好
[00:01:04 - 00:01:06] 現在短劇需要爽感和及時反饋
[00:01:06 - 00:01:08] 一個老頭釣魚的故事講那麼久
[00:01:08 - 00:01:09] 我們壓縮到三級
[00:01:09 - 00:01:10] 第一級就要讓沙漁出現
[00:01:10 - 00:01:11] 林林
[00:01:11 - 00:01:11] 你這個出師表
[00:01:11 - 00:01:12] 情懷是夠了
[00:01:12 - 00:01:13] 但沒有數據之稱
[00:01:13 - 00:01:15] 六出齊山的ROI是多少
[00:01:15 - 00:01:16] 我們要看轉化率
[00:01:16 - 00:01:17] 另外你勢必公清
[00:01:17 - 00:01:18] 不懂授權
[00:01:18 - 00:01:19] 這不利於團隊成長
