BV号：BV15H6VYqEvB
标题：BV15H6VYqEvB
链接：https://www.bilibili.com/video/BV15H6VYqEvB
识别语言：zh
语言置信度：1
分段数：35
生成时间：2026-08-30 21:51:32

[00:00:00 - 00:00:02] 你開始了《深入心》在2010年
[00:00:02 - 00:00:04] 沒有人在AI工作過
[00:00:04 - 00:00:05] 有些人在...
[00:00:05 - 00:00:06] 對,除了有很少...
[00:00:06 - 00:00:07] 你還在這裡工作
[00:00:07 - 00:00:08] 在學校
[00:00:08 - 00:00:10] 然後現在15年後
[00:00:10 - 00:00:11] 沒有太多時間
[00:00:11 - 00:00:13] 當然整個世界都在說
[00:00:13 - 00:00:16] 但是我們已經 foresaw
[00:00:16 - 00:00:18] 這是一個最貴的
[00:00:18 - 00:00:19] 發展技術
[00:00:19 - 00:00:20] 如果能夠做到
[00:00:20 - 00:00:22] 如果你看到一些東西
[00:00:22 - 00:00:23] 就算是在自己的
[00:00:23 - 00:00:24] 你聽到什麼?
[00:00:24 - 00:00:26] 你跟Resonate
[00:00:26 - 00:00:27] 是的
[00:00:27 - 00:00:28] 所以
[00:00:28 - 00:00:31] 學生會想到我的部門
[00:00:31 - 00:00:32] 想要工作
[00:00:32 - 00:00:34] 還有其他教授在我的部門會說
[00:00:34 - 00:00:35] 如果你是和他工作
[00:00:35 - 00:00:36] 然後這就結束了
[00:00:36 - 00:00:37] 這件事是很無聊的
[00:00:38 - 00:00:39] 你覺得如何
[00:00:39 - 00:00:41] 幸好我沒有知道
[00:00:44 - 00:00:45] 當你期待發生
[00:00:45 - 00:00:46] 不可能發生
[00:00:46 - 00:00:47] 那是你真的學到的
[00:00:47 - 00:00:48] 那就是最好的
[00:00:48 - 00:00:51] 是在第一天上學
[00:00:52 - 00:00:54] 有肌肉的感情
[00:00:54 - 00:00:55] 因為你會有
[00:00:55 - 00:01:00] 人們在生活中獲得了獎勵
