BV号：BV17GwZz7ECW
标题：BV17GwZz7ECW
链接：https://www.bilibili.com/video/BV17GwZz7ECW
识别语言：zh
语言置信度：1
分段数：285
生成时间：2026-08-29 19:51:00

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] 想搞懂AI Agent
[00:00:03 - 00:00:05] 一百行代码就够了 你没听错
[00:00:05 - 00:00:07] 不用啃那些天花乱坠的框架
[00:00:07 - 00:00:10] 也不用看什么复杂的论文 就是一百行代码
[00:00:10 - 00:00:13] 你可能会问AI Agent这东西天天听人说
[00:00:13 - 00:00:16] 什么自主智能数字员工
[00:00:16 - 00:00:17] 听起来是不是特别悬活
[00:00:17 - 00:00:19] 怎么可能这么简单啊
[00:00:19 - 00:00:20] 很多人觉得
[00:00:20 - 00:00:21] Agent的背后
[00:00:21 - 00:00:24] 肯定藏着什么普通人搞不懂的黑魔法
[00:00:24 - 00:00:26] 但今天 我就带你把这个泡沫戳破
[00:00:26 - 00:00:29] 最近 GitHub上伙了一个叫Nano Agent的项目
[00:00:29 - 00:00:32] 他核心文件就一个agent的pytome文件
[00:00:32 - 00:00:33] 代码真的就100来行
[00:00:33 - 00:00:34] 但你敢信吗
[00:00:34 - 00:00:36] 他实现了一个功能完整的agent
[00:00:36 - 00:00:37] 能听懂你的话
[00:00:37 - 00:00:38] 能上网
[00:00:38 - 00:00:39] 能读写文件
[00:00:39 - 00:00:41] 还能自己敲代码
[00:00:41 - 00:00:43] 今天咱们就来解剖这只麻雀
[00:00:43 - 00:00:46] 从他的每一行代码里看懂agent的灵魂
[00:00:46 - 00:00:49] 所有agent不管包装的多复杂
[00:00:49 - 00:00:51] 心脏都是一个简单的循环
[00:00:51 - 00:00:53] 说白了就是思考到行动的循环
[00:00:53 - 00:00:56] 难道agent把这个过程简化到了极致
[00:00:56 - 00:00:57] 我们直接看代码
[00:00:57 - 00:00:59] 首先它定义了自己有什么手脚
[00:00:59 - 00:01:00] 也就是工具
[00:01:00 - 00:01:02] 这里定义了三个工具
[00:01:02 - 00:01:04] 执行bash命令读文件写文件
[00:01:04 - 00:01:05] 注意这个description字段
[00:01:05 - 00:01:07] execute bash command
[00:01:07 - 00:01:08] 这就是告诉大模型
[00:01:08 - 00:01:11] 我有一个叫execute bash的锤子
[00:01:11 - 00:01:12] 能帮你敲命令
[00:01:12 - 00:01:15] 这种通过Jason格式描述工具
[00:01:15 - 00:01:17] 让大模型自己决定用不用怎么用的技术
[00:01:17 - 00:01:20] 就是大名鼎鼎的function calling
[00:01:20 - 00:01:23] 这是agent能够连接虚拟与现实的桥梁
[00:01:23 - 00:01:23] 有了工具
[00:01:23 - 00:01:25] 我们再来看核心的run
[00:01:25 - 00:01:26] agent函数
[00:01:26 - 00:01:28] 这就是Agent的心跳
[00:01:28 - 00:01:30] 函数一上来就创建了一个叫Messages的列表
[00:01:30 - 00:01:31] 这非常关键
[00:01:31 - 00:01:34] 它就是Agent的短期记忆
[00:01:34 - 00:01:36] 记录了整个对话的上下文
[00:01:36 - 00:01:38] 一开始里面只有两条信息
[00:01:38 - 00:01:41] 一条是系统指令告诉模型它是什么角色
[00:01:41 - 00:01:42] 另一条就是你的任务
[00:01:42 - 00:01:45] 接下来就是那个核心的Forward循环
[00:01:45 - 00:01:46] 我们一步步拆解
[00:01:46 - 00:01:48] 第一步 思考
[00:01:48 - 00:01:50] 这里它把整个Message的列表
[00:01:50 - 00:01:52] 和前面定义的Tooth工具箱
[00:01:52 - 00:01:53] 一起打包发给大模型
[00:01:53 - 00:01:58] 模型会根据你给的任务和它能用的工具来决定下一步干嘛
[00:01:58 - 00:02:01] 如果它觉得能直接回答,就会返回一句话
[00:02:01 - 00:02:05] 如果它觉得需要用工具,比如你想让它列出当前目录的文件
[00:02:05 - 00:02:08] 它就会返回一个特殊的工具调用请求
[00:02:08 - 00:02:13] 如果模型没有要求调用工具,说明它觉得任务完成了直接把回答返回给你
[00:02:13 - 00:02:17] 循环结束,但真正有趣的是当它决定用工具的时候
[00:02:17 - 00:02:19] 第二步,行动
[00:02:19 - 00:02:22] 代码会便利模型要求的所有工具调用
[00:02:22 - 00:02:23] 拿到工具的名字和参数
[00:02:23 - 00:02:26] 比如NAM是execute bash
[00:02:26 - 00:02:28] 参数是具体执行的命令
[00:02:28 - 00:02:30] 然后它就真的在你的电脑上执行了
[00:02:30 - 00:02:32] ls-l这个命令
[00:02:32 - 00:02:33] 第三步 观察
[00:02:33 - 00:02:35] 执行完命令会得到一个结果
[00:02:35 - 00:02:37] 比如文件列表
[00:02:37 - 00:02:38] 最关键的一步来了
[00:02:38 - 00:02:39] 代码会把这个结果
[00:02:39 - 00:02:42] 包装成一个Rowway2的新消息
[00:02:42 - 00:02:44] 再塞回到Messages列表里
[00:02:44 - 00:02:46] 现在Messages列表里就有了三方对话
[00:02:46 - 00:02:48] 你AI还有工具
[00:02:48 - 00:02:50] 然后Four循环进入下一次迭代
[00:02:50 - 00:02:51] 这个被更新过的
[00:02:51 - 00:02:54] 包含着世界最新变化的Messages列表
[00:02:54 - 00:02:56] 会再一次被发给大模型
[00:02:56 - 00:02:59] 这时候模型就看到了los-l的结果
[00:02:59 - 00:03:01] 它就能根据这个结果进行下一步的思考
[00:03:01 - 00:03:04] 这就是Agent的智能来源
[00:03:04 - 00:03:06] 它不是一次性想好所有事
[00:03:06 - 00:03:09] 而是通过思考、行动、观察这个循环
[00:03:09 - 00:03:11] 不断地和真实世界交互
[00:03:11 - 00:03:13] 获取信息、迭代自己的计划
[00:03:13 - 00:03:15] 这个100行的版本虽然简单
[00:03:15 - 00:03:17] 但武藏俱全
[00:03:17 - 00:03:18] 可它的问题也非常明显
[00:03:18 - 00:03:20] 它很脆弱,一碰就碎
[00:03:20 - 00:03:23] 比如如果模型给的参数是错的
[00:03:23 - 00:03:24] 程序直接就崩了
[00:03:24 - 00:03:26] 而且它没有长期记忆
[00:03:26 - 00:03:28] 关掉再开它就什么都不记得了
[00:03:28 - 00:03:31] 所以作者很快就放出了增强版Agent Plus
[00:03:31 - 00:03:33] 这个版本开始真正像一个产品了
[00:03:33 - 00:03:35] 因为它解决了三个核心问题
[00:03:35 - 00:03:37] 规划记忆和建状性
[00:03:37 - 00:03:40] 如果你给第一个版本的Agent的一个复杂任务
[00:03:40 - 00:03:41] 比如分析项目结构
[00:03:41 - 00:03:43] 并写一份总结报告
[00:03:43 - 00:03:44] 它很可能会懵掉
[00:03:44 - 00:03:47] Agent Plus引入了一个绝妙的机制
[00:03:47 - 00:03:47] 规划
[00:03:47 - 00:03:49] 在正式执行任务前
[00:03:49 - 00:03:51] 它会先调用一次大模型
[00:03:51 - 00:03:53] 让模型把这个复杂任务
[00:03:53 - 00:03:55] 拆解成3-5个简单的小步骤
[00:03:55 - 00:03:57] 并返回一个Jason数组
[00:03:57 - 00:03:59] 比如任务是分析项目并写报告
[00:03:59 - 00:04:01] 它可能会生成这样的计划
[00:04:01 - 00:04:03] 1.执行Ls-2
[00:04:03 - 00:04:05] 命令帝规列出所有文件和目录
[00:04:05 - 00:04:09] 2.读取Agent和AgentPlus文件的内容
[00:04:09 - 00:04:11] 3.根据文件列表和代码内容
[00:04:11 - 00:04:13] 总结项目结构和核心功能
[00:04:13 - 00:04:17] 4.将总结写入ReportedMD文件
[00:04:17 - 00:04:18] 这不就跟我们人一样吗?
[00:04:18 - 00:04:22] 先想清楚再动手把大象分解成一小块一小块
[00:04:22 - 00:04:24] 成功率当然高了
[00:04:24 - 00:04:27] 但更离谱的是这个版本的Agent有了记忆
[00:04:27 - 00:04:28] 每次完成一个任务
[00:04:28 - 00:04:31] 它都会把任务内容和最终结果像写日记一样
[00:04:31 - 00:04:35] 追加到Agent Memory MD这个文件里
[00:04:35 - 00:04:38] 下次启动时它会先去读这个文件
[00:04:38 - 00:04:41] 把最近的几次经验加在到自己的系统提示词里
[00:04:41 - 00:04:43] 你评评一个会复盘会翻笔记的AI
[00:04:43 - 00:04:45] 是不是开始有点内味了
[00:04:45 - 00:04:47] 虽然这种记忆很简单粗暴
[00:04:47 - 00:04:48] 只是文本的堆器
[00:04:48 - 00:04:50] 但他已经让Agent拥有了跨越
[00:04:50 - 00:04:52] 单次绘画的持续学习能力
[00:04:52 - 00:04:55] 最后也是最体现工程思维的一点是健壮型
[00:04:55 - 00:04:57] Agent的PY很天真
[00:04:57 - 00:04:59] 他默认大模型永远是对的
[00:04:59 - 00:05:01] 但AgentPlus.PY很现实
[00:05:01 - 00:05:03] 他知道大模型经常发疯
[00:05:03 - 00:05:05] 他专门写了一个函数
[00:05:05 - 00:05:08] 用来解析模型返回的工具参数
[00:05:08 - 00:05:11] 如果模型返回的不是一个合法的Jason
[00:05:11 - 00:05:12] 程序不会崩溃
[00:05:12 - 00:05:14] 而是会把错误信息包装一下
[00:05:14 - 00:05:16] 在下一轮循环里告诉模型
[00:05:16 - 00:05:18] 你刚才给我的Jason格式错了重来
