BV号：BV17XZCYzEHp
标题：BV17XZCYzEHp
链接：https://www.bilibili.com/video/BV17XZCYzEHp
识别语言：zh
语言置信度：1
分段数：336
生成时间：2026-08-30 09:52:37

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:04] 最近 硅谷投资人
[00:00:04 - 00:00:05] Erofine的首席知星官
[00:00:05 - 00:00:07] 兼创始人Thom Deweyson等人
[00:00:07 - 00:00:09] 在一篇长文博客中提出了一个观点
[00:00:09 - 00:00:12] 那就是随着芯片规模扩大一万倍
[00:00:12 - 00:00:14] AI也正在逼近物理的极限
[00:00:14 - 00:00:16] 我们将迎来智能的大爆炸时刻
[00:00:16 - 00:00:19] 这篇博客详细讨论了智能爆炸的类型
[00:00:19 - 00:00:21] 以及对应的发生概率
[00:00:21 - 00:00:23] 其中的设想大胆又创新
[00:00:23 - 00:00:25] 却又让人们感觉似乎离限制
[00:00:25 - 00:00:25] 并不那么遥远
[00:00:25 - 00:00:27] 今天就来给大家分享一下
[00:00:27 - 00:00:29] 我们先来介绍一下
[00:00:29 - 00:00:30] 什么是智能爆炸
[00:00:30 - 00:00:33] intelligence explosion 简称IE
[00:00:33 - 00:00:35] 智能爆炸的概念最早是在1965年
[00:00:35 - 00:00:37] 由数学家埃及古德提出的
[00:00:37 - 00:00:40] 他假设存在一台超智能的机器
[00:00:40 - 00:00:41] 所谓超智能
[00:00:41 - 00:00:43] 就是指这台机器的智力水平
[00:00:43 - 00:00:45] 远远超越了最聪明的人类
[00:00:45 - 00:00:48] 由于设计机器本身就属于一种智力活动
[00:00:48 - 00:00:50] 那么这台超智能的机器
[00:00:50 - 00:00:52] 就可以设计出更加先进的机器
[00:00:52 - 00:00:55] 如此一来必然会引发一场智能爆炸
[00:00:55 - 00:00:56] 到那个时候
[00:00:56 - 00:00:58] 人类的智力就会被远远的抛在后面
[00:00:58 - 00:00:59] 从这个角度来看
[00:00:59 - 00:01:01] 第一台超智能机器
[00:01:01 - 00:01:03] 或许真的会成为人类的最后一项发明
[00:01:03 - 00:01:05] 文章作者指出
[00:01:05 - 00:01:07] 如今AI的发展正在让这个概念
[00:01:07 - 00:01:09] 逐渐从理论走向现实
[00:01:09 - 00:01:10] 在AI的开发过程中
[00:01:10 - 00:01:13] 有许的环节都能够产生正反馈
[00:01:13 - 00:01:14] 进而推动智能爆炸的发生
[00:01:15 - 00:01:17] 其中有三个关键的反馈循环
[00:01:17 - 00:01:19] 起到了至关重要的作用
[00:01:19 - 00:01:21] 首先是软件反馈循环
[00:01:21 - 00:01:22] 简单来说
[00:01:22 - 00:01:24] 就是AI对于自身的算法
[00:01:24 - 00:01:25] 数据 训练后的优化
[00:01:25 - 00:01:28] 以及其他的软件技术进行了改进
[00:01:28 - 00:01:31] 比如说在完全自动化的AI开发实验室中
[00:01:31 - 00:01:32] AI系统可以改进算法
[00:01:32 - 00:01:34] 而这些改进后的算法
[00:01:34 - 00:01:36] 又能够用来开发更好的AI系统
[00:01:36 - 00:01:38] 进而再次改进算法
[00:01:38 - 00:01:40] 形成一个不断优化的良性循环
[00:01:40 - 00:01:42] 这就像是一个自我进化的引擎
[00:01:42 - 00:01:44] 让AI在软件层面不断的提升
[00:01:44 - 00:01:47] 其次是芯片技术的反馈循环
[00:01:47 - 00:01:49] AI可以改进AI芯片的质量
[00:01:49 - 00:01:51] 像英伟达、台积链、阿斯曼
[00:01:51 - 00:01:53] 这些半导体公司的研发部门
[00:01:53 - 00:01:55] 就已经在利用AI进行自动化的研发了
[00:01:55 - 00:01:57] 通过这种方式
[00:01:57 - 00:01:58] 即便不增加工厂的数量
[00:01:58 - 00:02:01] 也能够制造出运算速度更快
[00:02:01 - 00:02:02] 性能更好的芯片
[00:02:02 - 00:02:05] 在这些先进的芯片上进行训练或者推理
[00:02:05 - 00:02:07] AI的能力也会随之提升
[00:02:07 - 00:02:09] 这就好比给AI换上了更加强大的心脏
[00:02:09 - 00:02:11] 让它的运行效率大幅的提高
[00:02:12 - 00:02:14] 然后是芯片生产的反馈循环
[00:02:14 - 00:02:17] 因为AI和机器人能够增加AI芯片的产量
[00:02:17 - 00:02:20] 以机器人完全自动化的芯片工厂为例
[00:02:20 - 00:02:21] 从开采原材料
[00:02:21 - 00:02:24] 运输到工厂的建设和日常运转
[00:02:24 - 00:02:26] 全部都可以由机器人来完成
[00:02:26 - 00:02:28] 机器人可以建造更多的工厂
[00:02:28 - 00:02:29] 生产更多的芯片
[00:02:29 - 00:02:32] 这些芯片又可以用来训练更强的AI系统
[00:02:32 - 00:02:34] 然后AI再设计更好的机器人
[00:02:34 - 00:02:36] 去建造更多的芯片工厂
[00:02:36 - 00:02:38] 从而形成一个循环发展的模式
[00:02:38 - 00:02:40] 这无疑为AI的大规模应用
[00:02:40 - 00:02:42] 提供了坚实的物质基础
[00:02:42 - 00:02:44] 基于这三种反馈循环
[00:02:44 - 00:02:46] 便产生了三种不同类型的智能爆炸
[00:02:46 - 00:02:48] 第一种是软件的智能爆炸
[00:02:48 - 00:02:51] 它只是一种由软件优化带来的结果
[00:02:51 - 00:02:52] 在这种情况下
[00:02:52 - 00:02:54] 仅由AI驱动的软件改进
[00:02:54 - 00:02:55] 就足以推动AI快速
[00:02:55 - 00:02:57] 而且持续的加速发展
[00:02:57 - 00:02:59] 由于软件是虚拟的
[00:02:59 - 00:03:00] 所以AI实验室
[00:03:00 - 00:03:01] 可以自己生成自动化
[00:03:01 - 00:03:02] 所需要的所有数据
[00:03:02 - 00:03:03] 并且直接管理
[00:03:03 - 00:03:04] 自己的工作流程
[00:03:05 - 00:03:07] 而且由于软件反馈的循环时间最短
[00:03:07 - 00:03:08] 所以这种智能爆炸
[00:03:08 - 00:03:10] 最有可能突然的发生
[00:03:10 - 00:03:12] 第二种是AI技术的智能爆炸
[00:03:12 - 00:03:14] 它是由软件和芯片技术
[00:03:14 - 00:03:15] 共同改进所引发的
[00:03:16 - 00:03:18] AI在改进软件和芯片技术的同时
[00:03:18 - 00:03:20] 虽然实现了认知工作的自动化
[00:03:20 - 00:03:23] 但是无需在芯片生产环节进行优化
[00:03:23 - 00:03:24] 与软件智能爆炸相比
[00:03:24 - 00:03:26] 他没有那么突然
[00:03:26 - 00:03:29] 因为芯片技术往往依赖于研究人员的专业知识
[00:03:29 - 00:03:30] 或许训练数据相对困难
[00:03:30 - 00:03:32] 涉及的任务也更为多样
[00:03:32 - 00:03:35] 所以实现自动化所需要的时间更长
[00:03:35 - 00:03:37] 第三种是全站智能爆炸
[00:03:37 - 00:03:38] 他要求软件
[00:03:38 - 00:03:42] 芯片技术和芯片生产三个方面都要有所改进
[00:03:42 - 00:03:45] 芯片生产由于涉及半导体供应链的各个环节
[00:03:45 - 00:03:47] 包含广泛的认知与物理任务
[00:03:47 - 00:03:50] 目前机器人技术在这方面的发展相对较慢
[00:03:50 - 00:03:52] 所以它通常是最后才会被自动化的环节
[00:03:52 - 00:03:54] 那么大家可能会问
[00:03:54 - 00:03:56] 这些智能爆炸真的能够实现吗?
[00:03:56 - 00:03:58] 它没有需要多久才能够发生呢?
[00:03:58 - 00:03:59] 作者指出
[00:03:59 - 00:04:02] 实际上智能爆炸不太可能一下子就发生
[00:04:02 - 00:04:05] 因为每个反馈循环都有时间上的延迟
[00:04:05 - 00:04:07] 在软件反馈循环中
[00:04:07 - 00:04:09] 训练最先进的AM模型大约需要3个月
[00:04:09 - 00:04:11] 这是主要的时间延迟
[00:04:11 - 00:04:13] 但是像微调等等优化操作的耗时
[00:04:13 - 00:04:14] 会少得多
[00:04:14 - 00:04:17] 芯片技术反馈循环则不同
[00:04:17 - 00:04:19] 因为将新技术集成到工厂
[00:04:19 - 00:04:20] 并且要生产出新的芯片
[00:04:20 - 00:04:22] 通常需要几个月的时间
[00:04:22 - 00:04:23] 这是因为芯片技术的研发
[00:04:23 - 00:04:25] 不仅需要专业的知识
[00:04:25 - 00:04:27] 还涉及到硬件的研发的实验
[00:04:27 - 00:04:29] 这些实验必须在现实实验中进行
[00:04:29 - 00:04:31] 很难自动判断任务完成的好不好
[00:04:31 - 00:04:33] 所以需要的时间较长
[00:04:33 - 00:04:36] 而芯片生产反馈循环所需要的时间最长
[00:04:36 - 00:04:38] 因为建设新的芯片制造厂
[00:04:38 - 00:04:39] 往往需要几年的时间
[00:04:39 - 00:04:43] 毕竟芯片生产涉及到半导体供应链的方方面面
[00:04:43 - 00:04:45] 从原材料的开采到工厂建设
[00:04:45 - 00:04:46] 再到日常的运营
[00:04:46 - 00:04:48] 每一个环节都很复杂
[00:04:48 - 00:04:50] 对技术和资源的要求都极高
[00:04:50 - 00:04:51] 另一个问题是
[00:04:51 - 00:04:54] AI的发展会随着时间的推移而加速吗
[00:04:54 - 00:04:57] 作者认为这就得看那些反馈循环的强度了
[00:04:57 - 00:05:00] 当反馈循环刚刚自动启动的时候
[00:05:00 - 00:05:01] AI的发展确实会提速
[00:05:02 - 00:05:03] 但是如果循环不够强
[00:05:03 - 00:05:05] 之后的发展速度可能又会降下来
