BV号：BV17ZLh6fEzK
标题：BV17ZLh6fEzK
链接：https://www.bilibili.com/video/BV17ZLh6fEzK
识别语言：zh
语言置信度：1
分段数：140
生成时间：2026-08-29 17:39:18

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 春天是毕业季 也是演讲季
[00:00:04 - 00:00:06] 但今年美国大学的毕业典礼上
[00:00:06 - 00:00:08] 发生了一件很离谱的事
[00:00:08 - 00:00:10] 只要台上的演讲嘉宾一夸AI
[00:00:10 - 00:00:13] 台下的毕业生就开始疯狂喝道采
[00:00:13 - 00:00:16] 被虚的最惨的是前谷歌CEO艾利克
[00:00:16 - 00:00:17] 世密特
[00:00:17 - 00:00:20] 他在亚利桑那大学对着上万名毕业生说
[00:00:20 - 00:00:22] AI就像一艘已经到来的火箭船
[00:00:22 - 00:00:24] 劝他们先上船
[00:00:24 - 00:00:27] 结果台下的虚声大到它不得不停下来
[00:00:27 - 00:00:30] 你可能会觉得这帮年轻人是不是太保守了
[00:00:30 - 00:00:34] 但其实这群最早学会使用生成是AI的Z时代
[00:00:34 - 00:00:36] 才是真正看透了AI残酷真相的人
[00:00:36 - 00:00:38] 看到这里你可能会想
[00:00:38 - 00:00:40] 既然年轻人是互联网原住民
[00:00:40 - 00:00:43] 是AI工具最重度的使用者
[00:00:43 - 00:00:46] 为什么他们会对AI产生这么大的愤怒
[00:00:46 - 00:00:47] 为什么那些站在台上
[00:00:47 - 00:00:50] 描绘着AI无限未来的科技精英
[00:00:50 - 00:00:52] 会成为毕业生眼中的反派
[00:00:52 - 00:00:54] 我们先来看看这几个月发生了什么
[00:00:54 - 00:00:56] 2026年的美國畢業季
[00:00:56 - 00:00:59] 簡直成了科技大佬們的受難日
[00:00:59 - 00:01:00] 中佛羅里達大學
[00:01:00 - 00:01:02] 一位高管把AI稱為
[00:01:02 - 00:01:04] 下一次工業革命
[00:01:04 - 00:01:06] 現場立刻爆發虛聲
[00:01:06 - 00:01:08] 那位高管只好停下來回應
[00:01:08 - 00:01:09] 看來我觸動了一個點
[00:01:09 - 00:01:11] 中田納西周力大學
[00:01:11 - 00:01:13] 唱片公司Big Machine Records的
[00:01:13 - 00:01:14] CEO Scott
[00:01:14 - 00:01:15] 博克塔說
[00:01:15 - 00:01:17] AI正在改寫音樂製作流程
[00:01:17 - 00:01:19] 面對虛聲直接甩了句
[00:01:19 - 00:01:20] 接受現實吧
[00:01:20 - 00:01:21] 這就是個工具
[00:01:21 - 00:01:22] 蓋洛普的最新調查數據
[00:01:22 - 00:01:24] 更是讓人吃驚
[00:01:24 - 00:01:26] 在14到29岁的年轻人中
[00:01:26 - 00:01:30] 虽然有一半人每周或每天使用生成是AI
[00:01:30 - 00:01:32] 但他们对AI感到充满希望的比例
[00:01:32 - 00:01:35] 在过去一年里暴跌到了18%
[00:01:35 - 00:01:38] 感到愤怒的人数达到了31%
[00:01:38 - 00:01:40] 而在已就业的Z世代中
[00:01:40 - 00:01:43] 48%认为AI在劳动力中的风险大于收益
[00:01:43 - 00:01:45] 这根本不是什么技术恐惧症
[00:01:45 - 00:01:48] 这是一场十打十的生存危机
[00:01:48 - 00:01:49] 为什么会这样
[00:01:49 - 00:01:51] 我们从三个位度来拆解
[00:01:51 - 00:01:53] 第一被改写的职场入场券
[00:01:53 - 00:01:56] 科技巨头们在台上大谈AI能提高效率
[00:01:56 - 00:01:59] 但在台下他们正在用AI重新定义初级岗位
[00:01:59 - 00:02:01] 根据求职平台的数据
[00:02:01 - 00:02:06] 美国入门级岗位发布量自2023年1月以来下降约35%
[00:02:06 - 00:02:08] AI是重要因素之一
