BV号：BV17ZwUzREwb
标题：BV17ZwUzREwb
链接：https://www.bilibili.com/video/BV17ZwUzREwb
识别语言：zh
语言置信度：1
分段数：165
生成时间：2026-08-29 12:21:04

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] 你有没有一种感觉
[00:00:03 - 00:00:06] AI一帮你写代码交付好像真的更快了
[00:00:06 - 00:00:08] 但过几天你再回头看那段代码
[00:00:08 - 00:00:10] 你居然说不清它为什么这么写
[00:00:10 - 00:00:13] 甚至连bug从哪来都讲不明白这不是你的错觉
[00:00:13 - 00:00:15] 最近arxiv上有一篇论文
[00:00:15 - 00:00:19] 标题叫How AI Impact Skill Formation
[00:00:19 - 00:00:21] 它问了一个很扎心的问题
[00:00:21 - 00:00:23] AI到底是在增强程序源
[00:00:23 - 00:00:25] 还是在悄悄掏空程序源
[00:00:25 - 00:00:28] 这篇研究没有停留在AI好不好用这种泛泛讨论上
[00:00:28 - 00:00:31] 他直接做了一个很像真实开发场景的实验
[00:00:31 - 00:00:34] 研究者找来了52名软件开发者
[00:00:34 - 00:00:36] 这些人都有拍桑经验
[00:00:36 - 00:00:37] 也平时会用AI
[00:00:37 - 00:00:38] 但都没学过Trio
[00:00:38 - 00:00:41] 也就是拍桑里一个相对没那么大众的一部库
[00:00:41 - 00:00:43] 然后他们被分成两组
[00:00:43 - 00:00:46] 一组可以在做任务时使用机遇GPT
[00:00:46 - 00:00:48] 4O的聊天室编码助手
[00:00:48 - 00:00:49] 另一组不准用AI
[00:00:49 - 00:00:51] 只能靠文档和搜索自己肯
[00:00:51 - 00:00:53] 两组都要完成两个Trio相关任务
[00:00:53 - 00:00:57] 做完之后所有人在参加一场禁用AI的测验
[00:00:57 - 00:01:00] 考的不是死忌应备而是三种真正关键的能力
[00:01:00 - 00:01:02] 概念理解,代码阅读还有调试
[00:01:02 - 00:01:04] 结果很有意思,也很残酷
[00:01:04 - 00:01:06] AI组确实快了一点
[00:01:06 - 00:01:08] 但这个提速并不显著
[00:01:08 - 00:01:10] 真正拉开差距的不是交付速度
[00:01:10 - 00:01:14] 而是离开AI之后你还剩下多少东西
[00:01:14 - 00:01:17] 在后面的测验里,AI组平均只有50%
[00:01:17 - 00:01:19] 而手写组是67%
[00:01:19 - 00:01:21] 中间差了17个百分点
[00:01:21 - 00:01:23] 大概相当于直接调了两档成绩
[00:01:23 - 00:01:26] 而且差距最大的偏偏不是被API
[00:01:26 - 00:01:27] 不是与法细节
[00:01:27 - 00:01:29] 而是最重要的一项
[00:01:29 - 00:01:30] 调试能力
[00:01:30 - 00:01:32] 这件是真正可怕的地方就在这里
[00:01:32 - 00:01:34] 因为在AI时代
[00:01:34 - 00:01:35] 程序员最稀缺的能力
[00:01:35 - 00:01:37] 已经不只是把代码写出来
[00:01:38 - 00:01:39] 而是看懂AI写的东西
[00:01:39 - 00:01:40] 发现它哪里不对
[00:01:40 - 00:01:42] 并且有能力接管
[00:01:42 - 00:01:43] 可这篇论文告诉你
[00:01:43 - 00:01:46] 恰恰是这项监督AI的核心能力
[00:01:46 - 00:01:48] 在AI辅助下调的最明显为什么会这样
[00:01:48 - 00:01:50] 我觉得这里面至少有两个
[00:01:50 - 00:01:52] 特别值得记住的机制
[00:01:52 - 00:01:53] 第一个机制
[00:01:53 - 00:01:55] 我把它叫做交互税
[00:01:55 - 00:01:57] 很多人以为AI能直接省时间
[00:01:57 - 00:01:59] 但现实是为了把AI真正用对
[00:01:59 - 00:02:01] 你要额外付出很多隐藏成本
[00:02:01 - 00:02:03] 你得想提示词
[00:02:03 - 00:02:04] 得补上下文
[00:02:04 - 00:02:05] 得来回追问
[00:02:05 - 00:02:06] 得等待生成
[00:02:06 - 00:02:07] 最后还得自己核对
[00:02:07 - 00:02:08] 论文里有些参与者
[00:02:08 - 00:02:10] 在一个35分钟的任务里
[00:02:10 - 00:02:12] 最多花了11分钟
[00:02:12 - 00:02:13] 再和AI对话
[00:02:13 - 00:02:14] 甚至问了15个问题
[00:02:14 - 00:02:16] 也就是说你不是在直接写代码
[00:02:16 - 00:02:19] 你是在不断的和一个外部系统协商
[00:02:19 - 00:02:21] 试图让它产出你真正想要的代码
[00:02:21 - 00:02:23] 这部分成本就是交互税
[00:02:23 - 00:02:27] 而且它会悄悄吃掉你原本以为能获得的效率红利
[00:02:27 - 00:02:28] 第二个机制更关键
[00:02:28 - 00:02:30] 少抱错反而可能不是好事
[00:02:30 - 00:02:34] 实验里不用AI的那组人抱错明显更多
[00:02:34 - 00:02:37] 中卫书上看总错误数大概是三次对一次
[00:02:37 - 00:02:40] 表面上看这好像说明AI很厉害
[00:02:40 - 00:02:41] 帮你少踩坑了
[00:02:41 - 00:02:42] 但问题是
[00:02:42 - 00:02:44] 抱错本来就是程序员训练自己的过程
[00:02:44 - 00:02:47] 真正让你变强的从来不是代码一次跑通
[00:02:47 - 00:02:51] 而是你遇到错误之后被迫走完整条腿里练
[00:02:51 - 00:02:55] 你要独报错信息,你要看调用站,你要猜测原因
[00:02:55 - 00:02:57] 你要修改假设,你要重新验证
[00:02:57 - 00:03:01] 这整个过程本质上是在建立你的新制模型
[00:03:01 - 00:03:04] 你开始真正理解这个异部机制为什么这么工作
[00:03:04 - 00:03:06] 这个API为什么不能这么用
[00:03:06 - 00:03:08] 这个bug到底暴露了什么底层约束
[00:03:08 - 00:03:12] 而AI的问题是它会把很多坑直接帮你铺平
[00:03:12 - 00:03:14] 坑少了,痛苦少了,摩擦少了
[00:03:14 - 00:03:16] 但与此同时,训练也少了
[00:03:16 - 00:03:19] 所以它缩短了你的产出路径
[00:03:19 - 00:03:21] 却可能也削弱了你的成才路径
[00:03:21 - 00:03:23] 更有意思的是
[00:03:23 - 00:03:26] 论文没有简单得出AI有害这种粗暴结论
[00:03:26 - 00:03:27] 他们进一步发现
[00:03:27 - 00:03:30] AI组内部其实也分成了不同的使用人格
[00:03:30 - 00:03:33] 最低分的那群人通常是两种模式
[00:03:33 - 00:03:35] 要么直接让AI代写
[00:03:35 - 00:03:38] 要么一出问题就把debug也整包给AI
[00:03:38 - 00:03:39] 你可以理解成
[00:03:39 - 00:03:41] 他们不是在用AI放大自己
[00:03:41 - 00:03:43] 而是在用AI替代自己
[00:03:43 - 00:03:45] 而得分最高的那几类人
[00:03:45 - 00:03:47] 反而更像在把AI当老师
[00:03:47 - 00:03:49] 比如指问概念不急着要答案
[00:03:49 - 00:03:53] 让AI一边生成一边解释为什么这么写
[00:03:53 - 00:03:54] 或者先让AI给方案
[00:03:54 - 00:03:57] 再反过来追问原理边界和可能的bug
[00:03:57 - 00:03:59] 这背后的区别特别重要
[00:03:59 - 00:04:01] 真正危险的不是你用的AI
[00:04:01 - 00:04:04] 真正危险的是你把思考整个外包了
[00:04:04 - 00:04:07] 所以这篇论文带来的结论不应该是别用AI
[00:04:07 - 00:04:11] 而应该是别把自己训练成指挥下指令的人
[00:04:11 - 00:04:14] 那程序员到底怎么用AI才不至于把自己用费
[00:04:14 - 00:04:15] 我给你三条最实用的
[00:04:15 - 00:04:18] 第一条先自己做10分钟再问AI
[00:04:18 - 00:04:21] 而且问法尽量从给我完整代码
[00:04:21 - 00:04:22] 改成帮我解释原理
[00:04:22 - 00:04:24] 指出我哪一步理解错了
[00:04:24 - 00:04:26] 告诉我下一步该验证什么
[00:04:26 - 00:04:28] 你要把AI从代打变成教练
[00:04:28 - 00:04:30] 第二条 遇到抱错
[00:04:30 - 00:04:33] 先写下自己的猜测再去问AI
[00:04:33 - 00:04:34] 哪怕你的猜测是错的
[00:04:34 - 00:04:36] 也要先自己建立一个假设
[00:04:36 - 00:04:38] 因为真正锻炼人的不是拿到答案
[00:04:38 - 00:04:41] 而是你有没有先形成自己的判断
[00:04:41 - 00:04:41] 第三条
[00:04:41 - 00:04:44] 每次拿到AI代码都强制复判一次
[00:04:44 - 00:04:45] 至少做两件事
[00:04:45 - 00:04:49] 第一 用自己的话讲 清楚关键API为什么这么用
[00:04:49 - 00:04:52] 第二 自己补一个额外测试用力
[00:04:52 - 00:04:54] 证明你不是看懂了 而是真的会用了
[00:04:54 - 00:04:56] 你会发现真正让人退化的
[00:04:56 - 00:04:59] 不是AI本身 而是你在使用AI时
[00:04:59 - 00:05:02] 跳过了那些原本属于你的认知负担
[00:05:02 - 00:05:04] 当然 这篇论文也不是最终答案
[00:05:04 - 00:05:05] 它的局限很明显
[00:05:05 - 00:05:08] 只测了一个库 只测了大约一个小时
[00:05:08 - 00:05:10] 工具型它也是聊天室助手
[00:05:10 - 00:05:12] 现实工作里还有代码评审
[00:05:12 - 00:05:15] 长期记忆自动补权代理师AI
[00:05:15 - 00:05:16] 还有团队协作
[00:05:16 - 00:05:19] 所以它不能证明所有AI编程都会让人变弱
[00:05:19 - 00:05:22] 但它至少给我们敲了一个非常重要的警钟
[00:05:22 - 00:05:24] AI能帮你更快铲出
[00:05:24 - 00:05:26] 却不天然保证你更快成长
[00:05:26 - 00:05:27] 把AI当教练
[00:05:27 - 00:05:28] 你会越来越强
[00:05:28 - 00:05:29] 把AI当拐杖
[00:05:29 - 00:05:31] 你会越来越离不开
[00:05:31 - 00:05:33] 而未来真正拉开差距的
[00:05:33 - 00:05:34] 可能不是谁更会写prompt
[00:05:34 - 00:05:37] 而是谁还能在AI时代
[00:05:37 - 00:05:38] 保住自己的理解力
[00:05:38 - 00:05:39] 判断力和调试能力
[00:05:39 - 00:05:42] 因为到最后决定你是不是顶级开发者的
[00:05:42 - 00:05:44] 从来不是你能不能让AI写出代码
[00:05:44 - 00:05:47] 而是当AI写错的时候,你有没有能力接管
[00:05:47 - 00:05:50] 好了,这期视频就到这里,你觉得AI让你变强了?
[00:05:50 - 00:05:52] 还是让你变懒了?
[00:05:52 - 00:05:53] 欢迎在评论区聊聊
[00:05:53 - 00:05:56] 还有,如果觉得视频不错,别忘了一键三连
[00:05:56 - 00:05:59] 你的支持对我很重要,我们下期见!
