BV号：BV17ccezyE2b
标题：BV17ccezyE2b
链接：https://www.bilibili.com/video/BV17ccezyE2b
识别语言：zh
语言置信度：1
分段数：91
生成时间：2026-08-29 21:36:52

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] 就在昨天2月11日
[00:00:03 - 00:00:06] 国产大模型领域迎来了两则重磅消息
[00:00:06 - 00:00:09] 仿佛世卫即将到来的春节假期
[00:00:09 - 00:00:11] 提前送上了一份技术大礼
[00:00:11 - 00:00:16] 制谱AI正式发布了其新一代旗舰机座模型GLM5
[00:00:16 - 00:00:17] 而几乎在同一时间
[00:00:17 - 00:00:20] 深度求索DeepSig也悄然开启了
[00:00:20 - 00:00:22] 新一轮大规模的灰度测试
[00:00:22 - 00:00:24] 更具戏剧性的是
[00:00:24 - 00:00:27] 此前在海外模型平台OpenRouter上匿名登顶
[00:00:27 - 00:00:30] 引发全球开发者热议的神秘模型Pony Alpha
[00:00:30 - 00:00:32] 也被制谱官方正式认领
[00:00:32 - 00:00:35] 今天我们就来详细解读一下
[00:00:35 - 00:00:38] 这场国产AI的双循会究竟放出了哪些网站
[00:00:38 - 00:00:42] 首先让我们聚焦制谱GLM55
[00:00:42 - 00:00:45] 相信关注AI圈的朋友们前几天都被一个叫
[00:00:45 - 00:00:47] Pony Alpha的匿名模型刷屏了
[00:00:47 - 00:00:50] 它在OpenRouter平台一惊上线
[00:00:50 - 00:00:52] 就凭借其惊人的编程和智能体能力
[00:00:52 - 00:00:56] 被誉为OpusG的黑马并迅速登顶热度榜
[00:00:56 - 00:01:00] 现在谜底揭晓,质普官方在2月11日正式确认
[00:01:00 - 00:01:04] Pony Alpha就是他们最新的旗舰模型GLM5
[00:01:04 - 00:01:08] 这次的GLM5可以说是一次史诗级的升级
[00:01:08 - 00:01:10] 我们来看一组核心数据
[00:01:10 - 00:01:14] 参数规模从上一代的355B直接越升至744B
[00:01:14 - 00:01:16] 实现了超过两倍的增长
[00:01:16 - 00:01:20] 价购创新方面,首次集成了DeepSync的西输注意力机制
[00:01:20 - 00:01:24] 这意味着在保持常温本处理效果的同时
[00:01:24 - 00:01:26] 能显著降低部署成本和提升效率
[00:01:26 - 00:01:29] 同时全新的Slime一步强化学习框架
[00:01:29 - 00:01:32] 也为模型能力的持续进化提供了动力
[00:01:32 - 00:01:34] 上下文窗口达到了200k
[00:01:34 - 00:01:37] 最大输出Token数为128k
[00:01:37 - 00:01:39] 处理常任务的能力物用质疑
[00:01:39 - 00:01:40] 在性能上
[00:01:40 - 00:01:44] GLM5尤其在编程和AZEN的智能体
[00:01:44 - 00:01:47] 两大核心能力上取得了开源模型的SOTA表现
[00:01:47 - 00:01:48] 官方数据显示
[00:01:48 - 00:01:52] 在SWEBench等权威编程停测级上
[00:01:52 - 00:01:58] GLM5的得分77.8已经超越了Gemini 3.0 Pro
[00:01:58 - 00:02:00] 在真实编程场景中的体验
[00:02:00 - 00:02:02] 更是直逼Cloud Opus 4.5
[00:02:02 - 00:02:04] 而在Agent能力方面
[00:02:04 - 00:02:05] 无论是在联网检索
[00:02:05 - 00:02:08] 工具调用还是复杂任务规划上
[00:02:08 - 00:02:11] GLM5都拿下了开源第一的成绩
[00:02:11 - 00:02:15] 这标志着国产大模型在最前沿的智能体工程领域
[00:02:15 - 00:02:16] 卖出了坚实的一步
[00:02:16 - 00:02:19] 就在制谱发布GLM5的同一天
[00:02:19 - 00:02:21] 另一位国产大模型的领军者
[00:02:21 - 00:02:23] 深度求索DeepSync
[00:02:23 - 00:02:25] 也给市场带来了巨大的想象空间
[00:02:25 - 00:02:27] 多为用户反馈
[00:02:27 - 00:02:30] DeepSync的网页端和APP端都收到了更新
[00:02:30 - 00:02:32] 并开始了新一轮的灰度测试
[00:02:32 - 00:02:35] 这次灰度测试最引人注目的
[00:02:35 - 00:02:38] 是其上下文穿口长度从之前的128K
[00:02:38 - 00:02:40] 直接提升到了惊人的EM
[00:02:40 - 00:02:42] 也就是100万token
[00:02:42 - 00:02:43] 这是什么概念
[00:02:43 - 00:02:46] 这意味着模型可以一次性处理象
[00:02:46 - 00:02:49] 三体三部曲全集这样体量的文本
[00:02:49 - 00:02:53] 同时,其知识库的截止日期也更新到了2025年5月
[00:02:53 - 00:02:56] 虽然DeepSig在与用户的对话中
[00:02:56 - 00:02:59] 将自己描述为V3系列的最终进化形态
[00:02:59 - 00:03:01] 但市场普遍裁测
[00:03:01 - 00:03:03] 这很可能是其下一代重爆模型
[00:03:03 - 00:03:06] DeepSig V4正式亮相前的终极挥肚板
[00:03:06 - 00:03:08] 根据此前券商报告的预测
[00:03:08 - 00:03:12] V4可能会引入如MHC和Angram等底层架构创新
[00:03:12 - 00:03:16] 只在从算法和工程层面突破算力与内存瓶颈
[00:03:16 - 00:03:18] 进一步降低训练和推理成本
[00:03:18 - 00:03:20] 推动AI应用的商业化落地
[00:03:20 - 00:03:22] 如果预测成真
[00:03:22 - 00:03:25] DeepSig V4将在编程能力上再次实现飞跃
[00:03:25 - 00:03:28] 并可能重塑AI应用的成本结构
[00:03:28 - 00:03:28] 总结来看
[00:03:28 - 00:03:30] 2026年的春节前夕
[00:03:30 - 00:03:35] 制谱GLM5的正式发布和DeepSig的百万Token挥度测试
[00:03:35 - 00:03:39] 无疑为全球AI领域注入了来自中国的强劲脉搏
[00:03:39 - 00:03:44] GLM5通过附用高效架构并实现性能的巨大飞跃
[00:03:44 - 00:03:47] 证明了国产模型在核心能力上的追赶速度
[00:03:47 - 00:03:51] 而DeepSig 則通過對長夏文和底層架構的極致探索
[00:03:51 - 00:03:55] 展現了其在推動AI普惠化和商業化上的雄心
[00:03:55 - 00:03:58] 這場發生在春節蕩的神仙打架
[00:03:58 - 00:04:00] 不僅是技術參數的比拼
[00:04:00 - 00:04:03] 更是對未來AI應用形態的深刻預言
[00:04:03 - 00:04:06] 我們有理由相信一個由更強、更高效、更易用的
[00:04:06 - 00:04:10] 國產大模型驅動的AI新時代正加速向我們走來
[00:04:10 - 00:04:13] 感謝收看本期節目,我們下期再見
