BV号：BV186j3zkEx7
标题：BV186j3zkEx7
链接：https://www.bilibili.com/video/BV186j3zkEx7
识别语言：zh
语言置信度：1
分段数：35
生成时间：2026-08-30 03:29:41

[00:00:00 - 00:00:02] if agents are gonna have access to data
[00:00:02 - 00:00:04] it needs to be subject to the same
[00:00:04 - 00:00:06] data protection and data rights
[00:00:06 - 00:00:08] you are gonna manage the agent environment
[00:00:08 - 00:00:09] like an endpoint
[00:00:10 - 00:00:11] so that's why defender
[00:00:11 - 00:00:13] is gonna make sure that there is no credential theft
[00:00:13 - 00:00:14] or what have been
[00:00:14 - 00:00:15] so absolutely thinking of
[00:00:16 - 00:00:17] all of the things we have done
[00:00:17 - 00:00:19] from identity management and security
[00:00:20 - 00:00:23] for people and their IT infrastructure
[00:00:23 - 00:00:24] is gonna be done for agents
[00:00:24 - 00:00:26] and their IT infrastructure
[00:00:26 - 00:00:27] you know, that makes a lot of sense
[00:00:27 - 00:00:29] and I also suspect
[00:00:29 - 00:00:32] 很多人會建立自己的個人生命
[00:00:32 - 00:00:34] 或是在未來的情況下
[00:00:34 - 00:00:37] 他們會把自己的個人生命
[00:00:37 - 00:00:38] 做到的
[00:00:38 - 00:00:39] 這是一個很好的問題
[00:00:39 - 00:00:42] 你把自己的個人生命
[00:00:42 - 00:00:44] 做到的這種方式
[00:00:44 - 00:00:45] 必須要做到
[00:00:45 - 00:00:47] 這些兩種世界
[00:00:47 - 00:00:49] 沒有資料的利益
[00:00:49 - 00:00:50] 所以這是問題
[00:00:50 - 00:00:52] 讓我們來簡單的
[00:00:52 - 00:00:55] 我的電郵和我的副電郵
[00:00:55 - 00:00:57] 今天他們兩件事都在一起
[00:00:57 - 00:00:59] 他們有兩種動力
[00:00:59 - 00:01:01] 我們知道如何分辨
[00:01:01 - 00:01:03] 他們的身分和性分別
[00:01:03 - 00:01:05] 他們的身分和性分別
[00:01:05 - 00:01:07] 他們的身分和性分別
