BV号：BV188QjBtEko
标题：BV188QjBtEko
链接：https://www.bilibili.com/video/BV188QjBtEko
识别语言：zh
语言置信度：1
分段数：173
生成时间：2026-08-29 16:59:29

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] AI正在改编软件工程
[00:00:04 - 00:00:06] 但问题是很多人理解错了
[00:00:06 - 00:00:07] 你以为OpenCloud只是个玩具
[00:00:07 - 00:00:10] 其实它正在用黑客式创新
[00:00:10 - 00:00:11] 打破大厂的数据壁垒
[00:00:11 - 00:00:13] 今天我们就从工程视角
[00:00:13 - 00:00:14] 硬核拆解一下这个
[00:00:14 - 00:00:17] 改写了AI Agent行业格局的项目
[00:00:17 - 00:00:19] 看看它到底是怎么做到的
[00:00:19 - 00:00:21] 自从彼得斯坦伯格加入OpenAI
[00:00:21 - 00:00:24] 整个技术圈都在焦虑一件事
[00:00:24 - 00:00:26] 这个完全开源本地优先的AI Agent的项目
[00:00:26 - 00:00:28] 会不会被OpenAI慢慢收编
[00:00:28 - 00:00:30] 最终从开放走向封闭
[00:00:30 - 00:00:32] 变成所谓的Closed Claw
[00:00:32 - 00:00:34] 毕竟OpenAI在开源社区的口碑
[00:00:34 - 00:00:35] 大家懂得都懂
[00:00:35 - 00:00:37] 看到这里你可能会想
[00:00:37 - 00:00:39] 这和我们普通开发者有什么关系
[00:00:39 - 00:00:42] 这决定了未来我们是继续被大厂绑架
[00:00:42 - 00:00:44] 还是能真正掌握自己的数据
[00:00:44 - 00:00:46] 如果你也关心自己的数据隐私
[00:00:46 - 00:00:47] 把关心打在公屏上
[00:00:47 - 00:00:50] 我们今天就来把这个问题彻底讲透
[00:00:50 - 00:00:52] 看看彼得是怎么在巨头之间
[00:00:52 - 00:00:52] 游人有余的
[00:00:52 - 00:00:54] 2026年4月9日
[00:00:54 - 00:00:57] 欧洲举办了一场顶级的AI Engineer大会
[00:00:57 - 00:01:00] 彼得斯坦伯格在会上做了一场深度分享
[00:01:00 - 00:01:02] 他没有任何暴流
[00:01:02 - 00:01:04] 直接回应了外界最关心的几个问题
[00:01:04 - 00:01:07] 包括必原争议、安全漏洞、黑暗工厂模式
[00:01:07 - 00:01:10] 甚至曝光了梦境功能的来源
[00:01:10 - 00:01:11] 今天这期视频
[00:01:11 - 00:01:14] 我们就来详细梳理一下彼得的核心干货
[00:01:14 - 00:01:17] 看看OpenCloud背后的技术逻辑与行业思考
[00:01:17 - 00:01:18] 以及他将走向何方
[00:01:18 - 00:01:21] 这不仅是关于一个开源项目的故事
[00:01:21 - 00:01:24] 更是关于未来AI生态走向的预言
[00:01:24 - 00:01:26] 我们作为开发者必须看懂着背后的趋势
[00:01:26 - 00:01:29] 彼得明确表示OpenCloud不会避源
[00:01:29 - 00:01:31] OpenAI不仅没有干预
[00:01:31 - 00:01:32] 反而提供了资源支持
[00:01:32 - 00:01:35] 因为OpenCloud的核心价值就在于开放
[00:01:35 - 00:01:36] 它能无缝介入各类模型
[00:01:36 - 00:01:39] 无论是云端大模型还是本地小模型
[00:01:39 - 00:01:43] 更重要的是它走的是一条黑客式的创新路径
[00:01:43 - 00:01:46] 普通开发者想要连接各类应用成本太高
[00:01:46 - 00:01:48] 比如一家出创公司想要介入Gmail
[00:01:48 - 00:01:50] 可能需要耗费半年时间
[00:01:50 - 00:01:51] 流程极其复杂
[00:01:51 - 00:01:54] 但OpenCloud可以直接模拟用户操作
[00:01:54 - 00:01:56] 点击验证访问网站获取数据
[00:01:56 - 00:01:59] 用更灵活的方式打破大公司的数据壁垒
[00:01:59 - 00:02:01] 让AI能力真正普会
[00:02:01 - 00:02:04] 这种欧洲人骨子里对数据隐私的重视
[00:02:04 - 00:02:07] 成为了OpenCloud本地优先理念的源头
[00:02:07 - 00:02:10] 只有在需要顶级模型处理高精度的任务时
[00:02:10 - 00:02:12] 才上传极少部分必要数据
[00:02:12 - 00:02:14] 其余全部在本地运行
[00:02:14 - 00:02:16] 这才是真正的个人虚拟助理
[00:02:16 - 00:02:18] 它不是一个简单的编程工具
[00:02:18 - 00:02:21] 而是一个能帮你处理各种所示的数字分身
[00:02:21 - 00:02:23] 无论是非疏QQ还是叮叮
[00:02:23 - 00:02:25] 它都能轻松介入
[00:02:25 - 00:02:28] 这才是他能迅速引爆全球开发者的真正原因
[00:02:28 - 00:02:31] 他把选择权真正交还给了用户
[00:02:31 - 00:02:34] 现在行业里很火的黑暗工厂模式
[00:02:34 - 00:02:36] 也就是AI自动生成合并部署代码
[00:02:36 - 00:02:38] 人类完全不参与
[00:02:38 - 00:02:40] 彼得认为这绝对做不出好的软件
[00:02:40 - 00:02:43] 通往山顶的最优路径从来不是直线
[00:02:43 - 00:02:45] 如果一开始就定死所有需求
[00:02:45 - 00:02:48] 相当于回到了老旧的瀑布开发模型
[00:02:48 - 00:02:50] 完全失去迭代与创新的空间
[00:02:50 - 00:02:53] AI很难自主判断正确的发展路径
[00:02:53 - 00:02:57] 即便可以搭建自动合并PR的流程也绝对不能完全依赖
[00:02:57 - 00:03:01] 因为大量PR本身没有实际价值会把产品带向混乱的方向
[00:03:01 - 00:03:03] 彼得的开发理念是高度迭代
[00:03:03 - 00:03:07] 编构建编测试编优化通过不断调整提示词
[00:03:07 - 00:03:11] 让AI agent的逐步完善而不是一次性自动化完成
[00:03:11 - 00:03:14] 这种理念其实也是我们在日常开发中应该坚持的
[00:03:14 - 00:03:16] 不要迷信全自动化
[00:03:16 - 00:03:18] 要保持对代码的掌控力
[00:03:18 - 00:03:21] 因为只有人类才能赴予代码真正的灵魂
[00:03:21 - 00:03:23] OpenCloud爆火后 安全争议不断
[00:03:24 - 00:03:26] 每天平均收到16.6条安全通告
[00:03:26 - 00:03:27] 看起来很吓人
[00:03:28 - 00:03:30] 但比得之严 这其中有大量噪音
[00:03:30 - 00:03:33] 很多高位漏洞 基于极其特殊的使用场景
[00:03:33 - 00:03:36] 现实中几乎没有用户会这样配置
[00:03:36 - 00:03:38] 还有些是外部攻击与供应链奉献
[00:03:38 - 00:03:40] 并非OpenCloud自身代码的问题
[00:03:41 - 00:03:43] 只要按照官方文档的默认配置使用
[00:03:43 - 00:03:45] OpenCloud完全可以保证安全
[00:03:45 - 00:03:48] 所谓的默认不安全 根本就是不识言论
[00:03:48 - 00:03:50] 任何强大的AZEN的系统
[00:03:50 - 00:03:53] 只要同时具备访问用户数据接触不可信内容
[00:03:53 - 00:03:57] 具备通信能力这三个条件就必然存在风险
[00:03:57 - 00:03:59] 这不是OpenCloud独有的问题
[00:03:59 - 00:04:01] 而是整个行业的共性挑战
[00:04:01 - 00:04:03] 用户需要做的不是拒绝使用
[00:04:03 - 00:04:05] 而是理解系统的能力
[00:04:05 - 00:04:06] 规范使用方式
[00:04:06 - 00:04:08] 比如不要强行用苏斗模式运行
[00:04:08 - 00:04:10] 不要把个人A阵的放入群聊
[00:04:10 - 00:04:12] 要开启杀箱保护
[00:04:12 - 00:04:13] 这些都是常识
[00:04:13 - 00:04:16] 但很多人为了拨眼球故意忽略了这些
[00:04:16 - 00:04:17] 我们要学会独立思考
[00:04:17 - 00:04:19] 不要被噪音带偏
[00:04:19 - 00:04:20] 看到这里你可能会想
[00:04:20 - 00:04:22] 既然AI不能完全自动化
[00:04:22 - 00:04:24] 那开发者的核心竞争力是什么
[00:04:24 - 00:04:26] 彼得反复强调了一个词
[00:04:26 - 00:04:27] 品位
[00:04:27 - 00:04:30] 在AI时代品位是开发者的终极互成合
[00:04:30 - 00:04:31] 这听起来很玄乎
[00:04:31 - 00:04:32] 但其实非常具体
[00:04:32 - 00:04:34] 它决定了你做出来的东西
[00:04:34 - 00:04:36] 是工业流水线上的残瓷品
[00:04:36 - 00:04:38] 还是有灵魂的艺术品
[00:04:38 - 00:04:40] 这也是我们和AI最大的区别
[00:04:40 - 00:04:41] 什么是好的品位
[00:04:41 - 00:04:44] 最基础的就是能立刻识别出AIV
[00:04:44 - 00:04:46] 无论是刻板的句式
[00:04:46 - 00:04:47] 还是模板化的UI
[00:04:47 - 00:04:50] 开发者需要从重复劳动中解放出来
[00:04:50 - 00:04:52] 把精力用来打磨细节
[00:04:52 - 00:04:54] 比如为AI注入符合场景的人格
[00:04:54 - 00:04:57] 让它不再是一个冰冷的搜索框
[00:04:57 - 00:04:59] 而是有温度的个人虚拟助理
[00:04:59 - 00:05:01] 就像OpenCloud的核心配置文件
[00:05:01 - 00:05:02] 搜.md
[00:05:02 - 00:05:05] 它用来定义AI的人格与行为方式
[00:05:05 - 00:05:07] 这背后都是品位的体现
[00:05:07 - 00:05:09] 除了品位系统设计能力和收布的能力
[00:05:09 - 00:05:10] 也同样重要
[00:05:10 - 00:05:12] 避免系统陷入局部最优
[00:05:12 - 00:05:13] 拒绝不合理的需求
[00:05:13 - 00:05:16] 才能保证系统的稳定性与可扩展性
[00:05:16 - 00:05:19] AI时代实现一个功能只需要一行提示词
[00:05:19 - 00:05:23] 但是大量功能的叠加会导致系统优种逻辑冲突
[00:05:23 - 00:05:26] 开发者必须学会拒绝以及聚焦核心架构
[00:05:26 - 00:05:29] 这就是为什么优秀的工程师永远不会被淘汰
[00:05:29 - 00:05:31] 因为他们懂得如何做检法
[00:05:31 - 00:05:33] 关于OpenCloud接下来的发展
[00:05:33 - 00:05:35] 彼得倡想了Agent的终极形态
[00:05:35 - 00:05:38] 无处不在的智能助手就像星际迷航里那样
[00:05:38 - 00:05:40] 随时随地响应你的需求
[00:05:40 - 00:05:42] 而OpenCloud的梦境功能
[00:05:42 - 00:05:44] 正是迈向这一步的关键
[00:05:44 - 00:05:48] 让Agent在闲置时自动整理记忆变得越来越懂你
[00:05:48 - 00:05:51] 未来token处理速度会持续加快
[00:05:51 - 00:05:53] 多绘化病情就不再是常态
[00:05:53 - 00:05:55] 用户可以用更简洁的方式完成任务
[00:05:55 - 00:05:57] 体验更接近本地软件
[00:05:57 - 00:06:00] 此外像OpenCloud这样的项目
[00:06:00 - 00:06:02] 绝对不可能从美国大公司里诞生
[00:06:02 - 00:06:05] 因为大公司面临极其严格的法律合规审查
[00:06:05 - 00:06:09] 只有来自社区由独立开发者发起的项目
[00:06:09 - 00:06:10] 才能承受这种创新风险
[00:06:10 - 00:06:12] 敢于探索未知的方向
[00:06:12 - 00:06:14] 这也是开源社区的魅力所在
[00:06:14 - 00:06:17] 它永远充满活力,永远让人期待
[00:06:17 - 00:06:19] AI时代的核心不是让AI替代人类
[00:06:19 - 00:06:22] 而是让人类用品位引导AI创造价值
[00:06:22 - 00:06:25] 你觉得未来的软件工程会变成什么样
[00:06:25 - 00:06:26] 把你的看法打在公屏上
[00:06:26 - 00:06:28] 我是为什么叫QQ
[00:06:28 - 00:06:29] 我们下期再见
[00:06:29 - 00:06:30] 记得一键三连
