BV号：BV18ackzsEvz
标题：BV18ackzsEvz
链接：https://www.bilibili.com/video/BV18ackzsEvz
识别语言：zh
语言置信度：1
分段数：165
生成时间：2026-08-29 20:25:29

[00:00:00 - 00:00:01] 大家好 我是为什么叫QQ
[00:00:01 - 00:00:03] 10.3亿美元
[00:00:03 - 00:00:05] 这是杨丽坤离开Meta之后
[00:00:05 - 00:00:07] 第一家公司拿到的手轮融资
[00:00:07 - 00:00:09] 折合人民币超过75亿
[00:00:09 - 00:00:11] 但更让人震惊的不是这个数字
[00:00:11 - 00:00:13] 而是他要做的事
[00:00:13 - 00:00:15] 他说大语言模型是一条走不通的路
[00:00:15 - 00:00:19] chatgpt, cloudgemini这些你每天在用的AI
[00:00:19 - 00:00:20] 在他眼里都是不够智能的
[00:00:20 - 00:00:22] 那他要做什么
[00:00:22 - 00:00:23] 先来履一下时间线
[00:00:23 - 00:00:26] 2022年杨丽坤在Meta AI研究院
[00:00:26 - 00:00:29] 提出了一个叫JBA的架构
[00:00:29 - 00:00:30] 联合嵌入预测架构
[00:00:30 - 00:00:33] 这是他世界模型理论的技术核心
[00:00:33 - 00:00:35] 但在当时CHAT GPT刚刚爆火
[00:00:35 - 00:00:38] 整个行业都在疯狂扩大于原模型
[00:00:38 - 00:00:39] 没人太在意这个方向
[00:00:39 - 00:00:41] 2025年11月消息传出
[00:00:41 - 00:00:43] 杨丽昆将离开Meta
[00:00:43 - 00:00:46] 创办一家专注世界模型的出创公司
[00:00:46 - 00:00:48] 这个消息在AI圈炸开了锅
[00:00:48 - 00:00:50] 毕竟他在Meta待了整整13年
[00:00:50 - 00:00:52] 是Meta首席AI科学家
[00:00:52 - 00:00:54] 2026年3月9日
[00:00:54 - 00:00:57] AMI Labs正式对外公布融资
[00:00:57 - 00:01:01] 10.3亿美元融資前估值35亿美元
[00:01:01 - 00:01:02] 領頭方包括
[00:01:02 - 00:01:04] Cathie Innovation Greencraft
[00:01:04 - 00:01:06] Hero Capital HV Capital
[00:01:06 - 00:01:08] 以及貝索斯家族基金
[00:01:08 - 00:01:09] Basos Expeditions
[00:01:09 - 00:01:10] 戰略投資方
[00:01:10 - 00:01:11] 英偉達
[00:01:11 - 00:01:12] 三星
[00:01:12 - 00:01:13] 蛋馬西
[00:01:13 - 00:01:14] 蜂田創投
[00:01:14 - 00:01:15] 天使投資人
[00:01:15 - 00:01:16] 萬維網發明者
[00:01:16 - 00:01:17] 蒂姆
[00:01:17 - 00:01:18] 伯納斯里
[00:01:18 - 00:01:19] 前谷歌CEO
[00:01:19 - 00:01:20] 埃里克
[00:01:20 - 00:01:21] 史密特
[00:01:21 - 00:01:21] 馬克
[00:01:21 - 00:01:22] 庫班
[00:01:22 - 00:01:25] 這份名單幾乎是歸骨的半個名人堂
[00:01:25 - 00:01:27] 那麼世界模型到底是什麼
[00:01:27 - 00:01:29] 为什么这么多顶级投资人愿意压住
[00:01:29 - 00:01:30] 我们来听三种声音
[00:01:30 - 00:01:31] 第一种声音
[00:01:31 - 00:01:33] 杨丽坤本人的判断
[00:01:33 - 00:01:36] 他认为大语言模型的本质是文字接笼
[00:01:36 - 00:01:39] 他通过预测下一个词来生成回答
[00:01:39 - 00:01:41] 但他对物理世界毫无概念
[00:01:41 - 00:01:45] 一个四岁的孩子通过视觉和触觉吸收的信息量
[00:01:45 - 00:01:48] 远超任何语言模型通过文本学道的东西
[00:01:48 - 00:01:52] 哪怕那个模型读了相当于人类30万年阅读量的数据
[00:01:52 - 00:01:54] 语言模型不知道苹果会掉落
[00:01:54 - 00:01:55] 不知道水会流动
[00:01:55 - 00:01:57] 不知道火会烫手
[00:01:57 - 00:02:00] 他只是知道这些词语之间的统计关系
[00:02:00 - 00:02:01] 第二种声音
[00:02:01 - 00:02:04] Amy Lab CEO的Alexander Lebron的判断
[00:02:04 - 00:02:07] Lebron之前是医疗AI公司Nabla的CEO
[00:02:07 - 00:02:08] 他说在医疗场景里
[00:02:08 - 00:02:11] 语言模型的幻觉问题不只是麻烦
[00:02:11 - 00:02:12] 他可能要命
[00:02:12 - 00:02:14] 如果AI给出了一个错误的诊断建议
[00:02:14 - 00:02:15] 后果是什么
[00:02:15 - 00:02:17] 这让他和杨丽昆走到了一起
[00:02:17 - 00:02:20] 他们都认为AI需要一个更可靠的底层架构
[00:02:20 - 00:02:21] 第三种声音
[00:02:21 - 00:02:24] 市场的反应这不是孤立
[00:02:24 - 00:02:27] 李菲菲的World Labs上个月刚拿了10亿美元
[00:02:27 - 00:02:30] 专注空间智能和3D世界理解
[00:02:30 - 00:02:33] Special也在欧洲拿到了1300万美元种子轮
[00:02:33 - 00:02:35] MELabs的CEO甚至预测
[00:02:35 - 00:02:39] 6个月内每家公司都会把自己叫做世界模型公司
[00:02:39 - 00:02:43] 这个赛道正在从学术讨论变成资本战场
[00:02:43 - 00:02:45] 世界模型的技术原理是什么
[00:02:45 - 00:02:47] 它和语言模型的根本区别在哪里
[00:02:47 - 00:02:52] 杨丽昆的核心架构叫JEPA联合欠入预测架构
[00:02:52 - 00:02:54] 简单说,他的工作方式是这样的
[00:02:54 - 00:02:57] 给模型一段视频或者一组传感器数据
[00:02:57 - 00:02:58] 他不是去预测下一个词
[00:02:58 - 00:03:01] 而是去预测世界的下一个状态
[00:03:01 - 00:03:04] 他在脑子里维护一个世界的内部模型
[00:03:04 - 00:03:06] 然后用这个模型来规划行动做出决策
[00:03:06 - 00:03:09] 这更接近人类的思维方式
[00:03:09 - 00:03:11] 当你想把一个杯子放到桌上
[00:03:11 - 00:03:13] 你不需要把这个动作描述成文字
[00:03:13 - 00:03:16] 你的大脑直接在空间里模拟了这个动作
[00:03:16 - 00:03:17] 预测了结果,然后执行
[00:03:17 - 00:03:19] 但语言模型没有这个能力
[00:03:19 - 00:03:22] 他只能告诉你把杯子放到桌上这句话应该怎么说
[00:03:22 - 00:03:24] 但他不理解这个动作本身
[00:03:24 - 00:03:27] 这就是杨丽坤说的结构性矛盾
[00:03:27 - 00:03:28] 当前AI的主流路线
