BV号：BV18kTb6QEb3
标题：BV18kTb6QEb3
链接：https://www.bilibili.com/video/BV18kTb6QEb3
识别语言：zh
语言置信度：1
分段数：305
生成时间：2026-08-29 10:22:15

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:05] 还记得前段时间那个超级火的AI炒币实验吗
[00:00:05 - 00:00:08] 2025年10月17日到11月3日
[00:00:08 - 00:00:10] Nove一搞了一个叫Alpha Arena的比赛
[00:00:10 - 00:00:13] 他们给6个AI模型各拿1万美元
[00:00:13 - 00:00:14] 规则很简单
[00:00:14 - 00:00:17] 在真实的加密货币期货市场里交易
[00:00:17 - 00:00:19] 完全自动化没有任何人类干预
[00:00:19 - 00:00:21] 当时全网都在惊呼
[00:00:21 - 00:00:22] 狼来了
[00:00:22 - 00:00:24] AI要颠覆华尔街了
[00:00:24 - 00:00:26] 人类交易员这下真要集体下岗了
[00:00:26 - 00:00:27] 但结果呢
[00:00:27 - 00:00:29] 没有全军覆没
[00:00:29 - 00:00:31] 但也没有想象中那么风光
[00:00:31 - 00:00:33] 这些模型在真实的金融市场里
[00:00:33 - 00:00:35] 表现出了明显的脆弱性
[00:00:35 - 00:00:36] 有的盈利有的亏损
[00:00:36 - 00:00:38] 这就暴露出一个问题
[00:00:38 - 00:00:41] 这些在各种人类考试里拿满分
[00:00:41 - 00:00:43] 在编程比赛里大杀四方的顶级AI
[00:00:43 - 00:00:44] 在这次实验里
[00:00:44 - 00:00:47] 不能证明他们具备稳定的交易优势
[00:00:47 - 00:00:49] 这画面实在太滑稽了
[00:00:49 - 00:00:51] 这就好比你请了一个
[00:00:51 - 00:00:52] 国际奥数金牌得主
[00:00:52 - 00:00:53] 来帮你管钱
[00:00:53 - 00:00:56] 结果他转头就去高位接盘的各种山寨币
[00:00:56 - 00:00:58] 这让人不禁想问
[00:00:58 - 00:01:01] 如果最顶级的AI在真实交易里表现这么差
[00:01:01 - 00:01:05] 那所谓AI加金融是不是彻头彻尾的骗局
[00:01:05 - 00:01:06] 别急着下结论
[00:01:06 - 00:01:08] 今天我们要看一个完全相反的故事
[00:01:08 - 00:01:12] 就在这些大模型在加密币市场里苦苦挣扎的时候
[00:01:12 - 00:01:14] 全球最大之一的对冲基金桥水
[00:01:14 - 00:01:17] 刚刚联合一家非常神秘的AI星星实验室
[00:01:17 - 00:01:19] 做成了一件真正可怕的事
[00:01:19 - 00:01:21] 他们没有让AI去直接交易
[00:01:21 - 00:01:23] 而是换了一个思路
[00:01:23 - 00:01:26] 他们把金融专家脑子里的直觉和判断力
[00:01:26 - 00:01:28] 成功地复制到了AI里面
[00:01:28 - 00:01:31] 这里面有一个巨大的反差值得我们深思
[00:01:31 - 00:01:32] 为什么让AI直接去交易
[00:01:32 - 00:01:34] 它会表现糟糕
[00:01:34 - 00:01:36] 但让AI去负质专家的判断
[00:01:36 - 00:01:38] 它却能超越最前沿的模型
[00:01:38 - 00:01:40] 我们在金融领域使用AI
[00:01:40 - 00:01:42] 是不是从一开始就找错了方向
[00:01:42 - 00:01:45] 金融市场到底是一个什么样的怪物
[00:01:45 - 00:01:48] 能让无所不知的大语言模型在这里集体吃憋
[00:01:48 - 00:01:50] 今天我们就用工程师的视角
[00:01:50 - 00:01:53] 硬核拆解这场AI与金融市场的较量
[00:01:53 - 00:01:55] 看懂了这个你不仅能明白AI
[00:01:55 - 00:01:57] 在金融领域的真正边界在哪里
[00:01:57 - 00:01:59] 更能看清未来三年
[00:01:59 - 00:02:02] AI在各种垂直行业落地的唯一正确路径
[00:02:02 - 00:02:05] 我们先来仔细看看这两个截然不同的实验
[00:02:05 - 00:02:06] 这场比赛的限制很死
[00:02:06 - 00:02:09] 模型只能看数字和技术指标
[00:02:09 - 00:02:10] 不能看新闻
[00:02:10 - 00:02:12] 不能上网搜现在的市场叙事
[00:02:12 - 00:02:13] 他们必须完全通过价格
[00:02:13 - 00:02:16] 成交量、技术指标和战护状态
[00:02:16 - 00:02:18] 每隔几分钟做一次交易决策
[00:02:18 - 00:02:21] 而且这是戴杠杆的永续合约市场
[00:02:21 - 00:02:22] 杠杆是个招邀镜
[00:02:22 - 00:02:25] 它能把微小的错误无限放大
[00:02:25 - 00:02:28] 真正暴露出来的不是谁一定最会赚钱
[00:02:28 - 00:02:31] 而是大模型在真实金融执行里的脆弱性
[00:02:31 - 00:02:32] Prompt稍微一遍
[00:02:32 - 00:02:36] 仓位直损,持仓时间和交易频率都会明显变化
[00:02:36 - 00:02:39] 这就是为什么不同模型的表现差异这么大
[00:02:39 - 00:02:42] 不是因为他们的分析能力有多大差别
[00:02:42 - 00:02:45] 而是因为他们对风险的理解和执行完全不同
[00:02:45 - 00:02:48] 第二个实验发生在桥水积极内部
[00:02:48 - 00:02:50] 桥水大家应该都知道
[00:02:50 - 00:02:51] 创始人士达利欧
[00:02:51 - 00:02:53] 他们最近搞了个AI-A-Labs
[00:02:53 - 00:02:54] 人工智能实验室
[00:02:54 - 00:02:57] 找来了一家叫Thinking Machines的创业公司合作
[00:02:57 - 00:02:59] 这家公司来头不小
[00:02:59 - 00:03:02] 创始人是OpenAI的前CTO Mira Murati
[00:03:02 - 00:03:05] 里面一堆从OpenAI和Meta出来的大牛
[00:03:05 - 00:03:07] 桥水和Thinking Machines
[00:03:07 - 00:03:09] 没有让AI去直接买卖股票
[00:03:09 - 00:03:11] 他们让AI做了一件看起来很不起眼
[00:03:11 - 00:03:14] 但极其耗费精力的是信息筛选
[00:03:14 - 00:03:15] 作为一个宏观投资者
[00:03:15 - 00:03:17] 每天要看海量的新闻
[00:03:17 - 00:03:19] 财报央行文件内部邮件
[00:03:19 - 00:03:21] 阅读本身不难 难的是判断
[00:03:21 - 00:03:23] 这篇东西对我们的投资决策有用吗
[00:03:23 - 00:03:25] 他们拿了6个日常任务来测试
[00:03:25 - 00:03:30] 比如判断这篇金融文章对高管级投资专业人士是否相关
[00:03:30 - 00:03:31] 结果非常有趣
[00:03:31 - 00:03:34] 当你把这些任务直接扔给前沿模型时
[00:03:34 - 00:03:36] 再只给普苏任务提示的情况下
[00:03:36 - 00:03:39] 他们的准确率平均只有50%左右
[00:03:39 - 00:03:41] 这跟抛硬币没什么区别
[00:03:41 - 00:03:43] 但是桥水和Thinking Machine是应自用了
[00:03:43 - 00:03:47] 基于开放权重的Quem 3-235B做定制训练
[00:03:47 - 00:03:49] 经过他们特殊的训练方法后
[00:03:49 - 00:03:52] 这个模型的准确率飙升到了84.7%
[00:03:52 - 00:03:55] 它不仅超过了本次测试的前沿模型
[00:03:55 - 00:03:59] 错误数量比最佳前沿模型少29.8%
[00:03:59 - 00:04:02] 而且推理成本降低13.8倍
[00:04:02 - 00:04:04] 最关键的是它达到了人类投资
