BV号：BV196aczdEtR
标题：BV196aczdEtR
链接：https://www.bilibili.com/video/BV196aczdEtR
识别语言：zh
语言置信度：1
分段数：381
生成时间：2026-08-29 23:53:55

[00:00:00 - 00:00:06] 大家好,我是为什么叫QQ,今天要给大家讲一个听起来几乎不可能完成的项目。
[00:00:06 - 00:00:11] 三个月的时间,从零开始,居然真的有人做出了一块能运行的TPU。
[00:00:11 - 00:00:15] 而且,既能推理又能训练,关键是还开源了。
[00:00:15 - 00:00:21] 听到这里,你可能会觉得不可思议,毕竟TPU作为谷歌设计的专用AI芯片,
[00:00:21 - 00:00:28] 从2015年部署到现在,已经迭代到了第七代,背后是顶尖的工程师团队,和先进的制成工艺。
[00:00:28 - 00:00:31] 但是来自加拿大西安大略大学的工程师们
[00:00:31 - 00:00:35] 用一个暑假的时间完成了这个看似不可能的挑战
[00:00:35 - 00:00:38] 他们把这个项目叫做TinyTPU
[00:00:38 - 00:00:40] 先说说这个项目的发起者们
[00:00:40 - 00:00:42] 他们并不是芯片设计专业的学生
[00:00:42 - 00:00:44] 甚至在开始的时候
[00:00:44 - 00:00:47] 对多层感知机MLP这样的神经网络基本概念
[00:00:47 - 00:00:49] 都需要从头理解
[00:00:49 - 00:00:50] 更有意思的是
[00:00:50 - 00:00:53] 他们为了搞清楚网络推理和训练的数学原理
[00:00:53 - 00:00:55] 竟然手工计算了所有需要的运算
[00:00:55 - 00:00:58] 这种从最基础开始的钻研精神
[00:00:58 - 00:01:01] 可以说为整个项目奠定了独特的基调
[00:01:01 - 00:01:04] 为什么他们要做这样一件事呢?
[00:01:04 - 00:01:08] 用他们自己的话说,一方面是觉得构建一个机器学习的专用芯片
[00:01:08 - 00:01:14] 这事听起来就很酷,另一方面,当时还没有一个能够同时支持推理和训练的
[00:01:14 - 00:01:17] 机器学习加速器的完整开源代码库
[00:01:17 - 00:01:21] 更重要的是,他们没有硬件设计的相关经验
[00:01:21 - 00:01:23] 没想到这反而成了一种动力
[00:01:23 - 00:01:27] 因为自己无法准确的估计难度,也就少了很多的心理负担
[00:01:27 - 00:01:30] 他们还定下了一个特别的设计理念
[00:01:30 - 00:01:32] 那就是始终尝试那些不靠谱的方法
[00:01:33 - 00:01:34] hacky way
[00:01:34 - 00:01:36] 意思是在咨询外部资源之前
[00:01:36 - 00:01:39] 先试试自己想到的那些愚蠢的想法
[00:01:39 - 00:01:41] 在这种想法的驱动下
[00:01:41 - 00:01:44] 他们简直不是在逆向工程谷歌的TPU
[00:01:44 - 00:01:46] 而是真正的在重新发明它
[00:01:46 - 00:01:48] 其中的很多关键机制
[00:01:48 - 00:01:50] 都是他们自己推导出来的
[00:01:50 - 00:01:51] 还有一个挺有意思的点
[00:01:51 - 00:01:55] 就是他们想把这个项目当做不依赖AI代写代码的一个练习
[00:01:55 - 00:02:15] 因为现在很多人遇到一些小问题,就会习惯性的求助AI工具,而他们希望培养一种能独立解决难题的思维方式。在整个过程中,他们仅可能多地学习了深度学习,硬件设计和算法创建的基础知识,并且发现是最好的学习方式,就是把所有的知识画出来。
[00:02:15 - 00:02:27] 这一点在他们的技术文档里,体现的淋漓静置,在正式讲解他们是如何做到的之前,有必要先明确一下,这个TinetyPU并不是谷歌TPU的1比1的复制品,而是他们基于自己的理解。
[00:02:28 - 00:02:34] 重新发明的一个尝试,所以我们接下来看到的,可以说是一条全新的探索路径。
[00:02:35 - 00:02:44] 首先,我们先要了解什么是TPU,TPU是谷歌设计的专用集成电路,也就是ASIC芯片,专门用来提高机器学习模型的推理和训练速度。
[00:02:44 - 00:02:46] 和GPU技能渲染图像
[00:02:46 - 00:02:48] 又能运行机器学习任务不同
[00:02:48 - 00:02:51] TPU完全专注在数学运算方面
[00:02:51 - 00:02:53] 这也是它效率如此之高的
[00:02:53 - 00:02:54] 一个重要原因
[00:02:54 - 00:02:55] 因为在芯片领域
[00:02:55 - 00:02:57] 专注单一任务
[00:02:57 - 00:02:58] 往往比兼顾多项任务
[00:02:58 - 00:03:00] 更容易做得好
[00:03:00 - 00:03:01] 要想理解硬件设计
[00:03:01 - 00:03:03] 我们有两个基础的概念需要知道
[00:03:03 - 00:03:05] 第一个是时钟周期
