BV号：BV198KWewEQ3
标题：BV198KWewEQ3
链接：https://www.bilibili.com/video/BV198KWewEQ3
识别语言：zh
语言置信度：1
分段数：318
生成时间：2026-08-30 13:34:37

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是小飞
[00:00:02 - 00:00:05] 在科技行业飞速发展的今天
[00:00:05 - 00:00:07] 智能驾驶领域一直被受瞩目
[00:00:07 - 00:00:10] 众多企业如雨后春损般崛起
[00:00:10 - 00:00:13] 试图在这片充满潜力的市场中占据一席之地
[00:00:13 - 00:00:15] 然而 就在最近
[00:00:15 - 00:00:18] 一家曾经在智能驾驶领域风光无限的明星企业
[00:00:18 - 00:00:22] 纵目科技却陷入了一场令人震惊的危机之中
[00:00:22 - 00:00:23] 总部断电封楼
[00:00:23 - 00:00:25] 创始人及首席执行官失联
[00:00:25 - 00:00:27] 高管集体离职消失
[00:00:27 - 00:00:29] 700多名員工被欠薪數月
[00:00:29 - 00:00:31] 甚至還傳出高管小團體
[00:00:31 - 00:00:33] 斯吞堡公款的消息
[00:00:33 - 00:00:35] 這一系列戲劇性的情節
[00:00:35 - 00:00:37] 讓縱目科技瞬間成為輿論的焦點
[00:00:37 - 00:00:39] 今天我們就來深入瞭解一下
[00:00:39 - 00:00:41] 這場風波的來龍去脈
[00:00:41 - 00:00:43] 先來說說這起事件的核心
[00:00:43 - 00:00:45] 欠薪問題
[00:00:45 - 00:00:47] 縱目科技原本每月10日是發薪日
[00:00:47 - 00:00:49] 對於員工們來說
[00:00:49 - 00:00:51] 這是一個再熟悉不過的日子
[00:00:51 - 00:00:52] 大家辛苦工作一個月
[00:00:52 - 00:00:53] 就盼著這一天
[00:00:53 - 00:00:55] 能暗示拿到自己的勞動報酬
[00:00:55 - 00:00:58] 然而2024年11月10日
[00:00:58 - 00:01:01] 这个平常的日子却变得不平常起来
[00:01:01 - 00:01:03] 工资并未按时到账
[00:01:03 - 00:01:04] 这一异常情况
[00:01:04 - 00:01:06] 让员工们心里开始隐隐不安
[00:01:06 - 00:01:10] 随后公司通知发信日延期至每月25日
[00:01:10 - 00:01:11] 员工们虽然有些无奈
[00:01:11 - 00:01:13] 但也选择了理解
[00:01:13 - 00:01:14] 毕竟企业经营
[00:01:14 - 00:01:16] 可能会遇到一些临时性的困难
[00:01:16 - 00:01:18] 可到了11月25日
[00:01:18 - 00:01:20] 情况并没有如大家所愿
[00:01:20 - 00:01:23] 公司再次通知员工无法发放全新
[00:01:23 - 00:01:25] 根据公司给出的方案
[00:01:25 - 00:01:27] 员工社保公积金将正常全额缴纳
[00:01:27 - 00:01:30] 但是税后月薪按封顶1万元发放
[00:01:30 - 00:01:33] 这对于那些月薪较高的员工来说
[00:01:33 - 00:01:35] 无疑是一个不小的打击
[00:01:35 - 00:01:37] 而且由于公司经营迹效目标
[00:01:37 - 00:01:40] 未达标并处于严重亏损状态
[00:01:40 - 00:01:42] 2023年迹效奖金取消
[00:01:42 - 00:01:45] 员工合同约定的13星也暂缓发放
[00:01:45 - 00:01:47] 在公司召开的内部全员大会上
[00:01:47 - 00:01:49] 管理层向员工们解释了
[00:01:49 - 00:01:51] 公司目前面临的经营困境
[00:01:51 - 00:01:53] 行业环境以及经济形势
[00:01:53 - 00:01:55] 试图让员工理解这一临时方案
[00:01:55 - 00:01:57] 公司承诺
[00:01:57 - 00:01:58] 在新一轮融资到位之前
[00:01:58 - 00:02:01] 会尽力保证公司的正常运营
[00:02:01 - 00:02:02] 并且表示融资到位后
[00:02:02 - 00:02:04] 当月就会补发剩余工资
[00:02:04 - 00:02:05] 同时
[00:02:05 - 00:02:06] 公司还强调
[00:02:06 - 00:02:09] 这一方案是为了维护全体员工的利益
[00:02:09 - 00:02:11] 希望员工们能在这个艰难时刻
[00:02:11 - 00:02:13] 与公司共度难关
[00:02:13 - 00:02:15] 这样的情况持续了两个月
[00:02:15 - 00:02:16] 在这两个月里
[00:02:16 - 00:02:18] 员工们虽然心里充满了担忧
[00:02:18 - 00:02:20] 但还是坚守在自己的岗位上
[00:02:20 - 00:02:23] 直到2024年12月24日
[00:02:23 - 00:02:25] 纵木科技再次发送全员邮件
[00:02:25 - 00:02:26] 宣布进入低功耗模式
[00:02:26 - 00:02:28] 同时发放了11月的工资
[00:02:28 - 00:02:31] 这让员工们稍微松了一口气
[00:02:31 - 00:02:33] 以为公司的情况正在逐渐好转
[00:02:33 - 00:02:36] 然而现实却给了他们沉重的一击
[00:02:36 - 00:02:38] 进入2025年1月初
[00:02:38 - 00:02:40] 纵木科技内部开始传出不好的消息
[00:02:40 - 00:02:42] 即使在低功耗模式下
[00:02:42 - 00:02:44] 工资也难以发放
[00:02:44 - 00:02:46] 而且2024年12月的社保攻击金
[00:02:46 - 00:02:47] 也持持未缴纳
[00:02:47 - 00:02:49] 这让员工们的担忧再次升级
[00:02:49 - 00:02:51] 大家开始纷纷猜测
[00:02:51 - 00:02:53] 公司到底发生了什么
[00:02:53 - 00:02:54] 1月24日
[00:02:54 - 00:02:57] 纵木科技首席执行官唐睿公开表态
[00:02:57 - 00:03:00] 建议员工提出离之后自行缴纳社保
[00:03:00 - 00:03:03] 这一表态让员工们感到无比心寒
[00:03:03 - 00:03:04] 自己为公司心情付出
[00:03:04 - 00:03:06] 如今却面临这样的局面
[00:03:06 - 00:03:07] 1月25日
[00:03:07 - 00:03:09] 本营是发放工资的日子
[00:03:09 - 00:03:11] 可员工们并没有收到工资
[00:03:11 - 00:03:13] 这已经是公司困境曝光后的
[00:03:13 - 00:03:14] 第三个发行日
[00:03:14 - 00:03:16] 工资却依旧没有着落
[00:03:16 - 00:03:17] 1月26日
[00:03:17 - 00:03:20] 纵木科技召开全体员工会议
[00:03:20 - 00:03:22] 宣布不再发放工资与缴纳社保
[00:03:22 - 00:03:23] 公司正式停摆
[00:03:23 - 00:03:26] 这一消息犹如一颗重磅炸弹
[00:03:26 - 00:03:28] 瞬间在员工中炸开
[00:03:28 - 00:03:29] 大家辛苦工作
[00:03:29 - 00:03:31] 不仅没有拿到英德的报酬
[00:03:31 - 00:03:34] 现在连基本的生活保障都成了问题
[00:03:34 - 00:03:36] 再把时间拉到2月8日
[00:03:36 - 00:03:39] 纵木科技总部再职员工收到行政通知
[00:03:39 - 00:03:42] 当日18点后公司断电封楼
[00:03:42 - 00:03:45] 员工需取走私人物品或办理离职
[00:03:45 - 00:03:48] 近期办理了离职的马力画明向媒体透露
[00:03:48 - 00:03:50] 由于离职通道一度中断
[00:03:50 - 00:03:52] 多数员工是在2月5日收价后
[00:03:52 - 00:03:55] 在熟悉流程的同时志愿服务下
[00:03:55 - 00:03:56] 才办理的离职手续
[00:03:56 - 00:03:58] 而且均为被迫离职
[00:03:58 - 00:04:00] 更让员工们无奈的是
[00:04:00 - 00:04:02] 由于掌握欠薪数据的高管先一步离职
[00:04:02 - 00:04:05] 他们都未被开聚任何欠薪证明
[00:04:05 - 00:04:08] 这使得员工在后续维护自己合法权益时
[00:04:08 - 00:04:09] 面临着诸多困难
[00:04:09 - 00:04:11] 据了解 欠薪发生前
[00:04:11 - 00:04:14] 纵木科技员工在1000人左右
[00:04:14 - 00:04:15] 截至2025年2月
[00:04:15 - 00:04:18] 上有700多名员工分布在上海总部
[00:04:18 - 00:04:22] 厦门 重庆 胡州 东洋等地的研发中心与工厂
[00:04:22 - 00:04:25] 这些员工的欠薪情况基本一致
[00:04:25 - 00:04:28] 包括2024年10月 11月部分工资
[00:04:28 - 00:04:31] 2024年12月 2025年1月全月工资
[00:04:31 - 00:04:35] 13新 还有被动离职员工的离职补偿部分
[00:04:35 - 00:04:38] 马力还提到 对于一部分员工来说
[00:04:38 - 00:04:40] 工资部分还只是久留一毛
[00:04:40 - 00:04:43] 有一些中层自费购买了二三十万的期权
[00:04:43 - 00:04:45] 如今已无法兑现
[00:04:45 - 00:04:47] 还有的员工因为涉及海外业务
[00:04:47 - 00:04:49] 垫付了高额差率费也未能报销
[00:04:49 - 00:04:50] 疫情期间
[00:04:50 - 00:04:54] 纵木科技也曾出现过无法发放全新的情况
[00:04:54 - 00:04:58] 当时公司采取的措施是某级杯以上发放70%工资
[00:04:58 - 00:05:01] 剩余部分延期发放或者转成期权
[00:05:01 - 00:05:03] 最终公司挺过了那段艰难时期
[00:05:03 - 00:05:05] 并在解封后获得了很多融资
[00:05:06 - 00:05:08] 所以这次很多员工为第一时间离职
[00:05:08 - 00:05:10] 可能也是相信公司能再次转为为安
[00:05:11 - 00:05:13] 然而这一次他们的希望落空了
[00:05:14 - 00:05:15] 说完欠薪问题
[00:05:15 - 00:05:17] 我们再来看看纵木科技高管门的行为
[00:05:18 - 00:05:21] 这也是导致这场风波预演预列的重要原因之一
[00:05:21 - 00:05:23] 自2024年11月以来
[00:05:23 - 00:05:25] 首席执行官唐锐多次提到
[00:05:25 - 00:05:27] 会有来自政府层面的融资
[00:05:27 - 00:05:30] 并且正在与宁波某上市公司商业出售支架业务
[00:05:30 - 00:05:32] 以此获取资金流
[00:05:32 - 00:05:35] 在2024年11月25日的内部邮件中也显示
[00:05:35 - 00:05:38] 若融资到位将会在当月补发欠薪部分
[00:05:38 - 00:05:41] 今年1月16日上海总部全员线下会议上
