BV号：BV19XASehEMu
标题：BV19XASehEMu
链接：https://www.bilibili.com/video/BV19XASehEMu
识别语言：zh
语言置信度：1
分段数：289
生成时间：2026-08-30 12:42:48

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:04] 在经典美剧《老有纪礼》
[00:00:04 - 00:00:07] 有这样一个让人忍俊不惊又印象深刻的场景
[00:00:07 - 00:00:11] 那就是罗斯满心欢喜地找人去帮忙搬新的沙发
[00:00:11 - 00:00:14] 可是这个沙发在经过走廊拐脚的时候
[00:00:14 - 00:00:15] 却怎么也过不去
[00:00:15 - 00:00:16] 罗斯着急的大喊
[00:00:16 - 00:00:18] Pivot!Pivot!
[00:00:18 - 00:00:20] 试图通过旋转沙发找到合适的角度
[00:00:20 - 00:00:22] 却还是徒劳无功
[00:00:22 - 00:00:24] 只能眼睁睁看着沙发卡在那
[00:00:24 - 00:00:26] 相信不少朋友看到这一幕的时候
[00:00:26 - 00:00:28] 都会跟着着急上火
[00:00:28 - 00:00:29] 不过估计很少有人会想到
[00:00:29 - 00:00:32] 这个看似平常的生活小差区
[00:00:32 - 00:00:34] 背后竟然隐藏着一个困扰了数学家们
[00:00:34 - 00:00:37] 整整60年的世界级数学难题
[00:00:37 - 00:00:38] 移动沙发难题
[00:00:38 - 00:00:41] 如今这个悬而未决长达60年的谜题
[00:00:41 - 00:00:42] 终于被成功的破解
[00:00:42 - 00:00:44] 一篇长达119页的论文
[00:00:44 - 00:00:46] 给出了惊人的证明
[00:00:46 - 00:00:48] 那就是世界上确实存在一种沙发
[00:00:48 - 00:00:51] 它的面积就是能够顺利通过拐脚的最大面积
[00:00:51 - 00:00:53] 今天我们就来一起了解一下
[00:00:53 - 00:00:55] 这个有趣的数学故事
[00:00:55 - 00:00:57] 时间回到1966年
[00:00:57 - 00:01:00] 加拿大数学家利奥莫泽以定量的形式
[00:01:00 - 00:01:01] 提出了移动沙发难题
[00:01:01 - 00:01:05] 想象一下有一条宽度为一单位的L型走廊
[00:01:05 - 00:01:06] 如果忽略沙发的高度
[00:01:06 - 00:01:09] 仅仅从平面几何的角度去考虑
[00:01:09 - 00:01:12] 现在要移动一个二维形状通过这个走廊
[00:01:12 - 00:01:14] 那么这个不会被卡住的最大形状的面积
[00:01:14 - 00:01:16] 究竟应该是多少呢
[00:01:16 - 00:01:18] 这个问题看似简单
[00:01:18 - 00:01:20] 却像是一道难以跨越的红沟
[00:01:20 - 00:01:21] 横在了数学家们的面前
[00:01:21 - 00:01:23] 难题刚刚提出的时候
[00:01:23 - 00:01:26] 人们首先想到的是一些简单的几何形状
[00:01:26 - 00:01:28] 比如说边长为一的正方形
[00:01:28 - 00:01:30] 它结构规准很容易就能通过转角
[00:01:30 - 00:01:31] 它的面积为1
[00:01:31 - 00:01:33] 但是大家很快发现
[00:01:33 - 00:01:35] 一旦把正方形拉长变成举行
[00:01:35 - 00:01:37] 在通过走廊拐角的时候
[00:01:37 - 00:01:38] 就会立刻撞上走廊
[00:01:38 - 00:01:40] 显然这种形状不是理想的答案
[00:01:40 - 00:01:43] 于是数学家们又开始思考其他的形状
[00:01:43 - 00:01:45] 他们想到了半圆
[00:01:45 - 00:01:46] 一个半径为1的半圆
[00:01:46 - 00:01:48] 面积约为1.57
[00:01:48 - 00:01:49] 也就是2分之派
[00:01:49 - 00:01:52] 因为半圆在撞到拐角处的时候
