BV号：BV1AAo4BxEfR
标题：BV1AAo4BxEfR
链接：https://www.bilibili.com/video/BV1AAo4BxEfR
识别语言：zh
语言置信度：1
分段数：251
生成时间：2026-08-29 08:02:17

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 索尔这样的生成式世界模型
[00:00:04 - 00:00:05] 动辄需要万卡集群
[00:00:05 - 00:00:09] 但杨丽坤力挺了一项最新研究刚发了论文
[00:00:09 - 00:00:11] 用一张显卡仅仅15兆参数
[00:00:11 - 00:00:13] 就把端到端的世界模型跑通了
[00:00:13 - 00:00:16] 而且他在做动作规划时的速度
[00:00:16 - 00:00:19] 比现有的主流基础世界模型快了整整48倍
[00:00:19 - 00:00:21] 你可能会问
[00:00:21 - 00:00:24] 大家都在卷索尔那样的生成式世界模型
[00:00:24 - 00:00:26] 为什么杨丽坤偏偏要走另一条路
[00:00:26 - 00:00:29] 这个问题触及了当前AI发展的一个核心矛盾
[00:00:29 - 00:00:32] 生成式模型能画出逼真的视频
[00:00:32 - 00:00:34] 但他们在理解物理规律时
[00:00:34 - 00:00:36] 往往会被无关的像素细节干扰
[00:00:36 - 00:00:38] 你让它规划一个机械臂的动作
[00:00:39 - 00:00:41] 它得先把每一帧画面都渲染出来
[00:00:41 - 00:00:42] 效率极低
[00:00:42 - 00:00:44] 而杨丽坤主推的JAP路线
[00:00:44 - 00:00:46] 也就是联合欠入预测架构
[00:00:46 - 00:00:49] 不画像素只预测抽象特征
[00:00:49 - 00:00:50] 这条路效率极高
[00:00:50 - 00:00:52] 但一直被一个致命缺陷困扰
[00:00:52 - 00:00:53] 表示贪塌
[00:00:53 - 00:00:56] 这篇由Mila纽约大学三星Cell实验室
[00:00:56 - 00:00:59] 和布朗大学联合发表的论文名字叫
[00:00:59 - 00:01:02] Lawyer的model是怎么用极其简单的方法
[00:01:02 - 00:01:05] 破解了这个困扰学界多年的难题
[00:01:05 - 00:01:07] 先说清楚什么是世界模型
[00:01:07 - 00:01:10] 世界模型就是让AI在脑海中模拟未来
[00:01:10 - 00:01:12] 你给它一个当前状态
[00:01:12 - 00:01:14] 它能预测接下来会发生什么
[00:01:14 - 00:01:16] 生成式模型像Sora
[00:01:16 - 00:01:19] 会把未来的每一张画面都画出来
[00:01:19 - 00:01:20] 这很直观
