BV号：BV1AC536CEGQ
标题：BV1AC536CEGQ
链接：https://www.bilibili.com/video/BV1AC536CEGQ
识别语言：zh
语言置信度：1
分段数：356
生成时间：2026-08-29 17:24:26

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] AI正在改编软件工程
[00:00:03 - 00:00:06] 但问题是很多人理解存在误区
[00:00:06 - 00:00:09] 你以为搞AI需要决定聪明的天才
[00:00:09 - 00:00:12] 前Anthropic线Google DeepMind研究员姚顺宇
[00:00:12 - 00:00:14] 在最近的四小时访谈中
[00:00:14 - 00:00:16] 抛出了一个极其反直觉的观点
[00:00:16 - 00:00:18] AI这个行业根本不需要太多脑子
[00:00:18 - 00:00:21] 听到这你可能觉得有点不可思议
[00:00:21 - 00:00:22] 但别急
[00:00:22 - 00:00:25] 这背后隐藏着当前大模型训练最残酷的真相
[00:00:25 - 00:00:28] 很多人会觉得像OpenAI Anthropic
[00:00:28 - 00:00:30] Google DeepMind这样的顶级AI实验室
[00:00:30 - 00:00:33] 里面肯定全都是像爱因斯坦一样的天才
[00:00:33 - 00:00:36] 每天在白板上写着普通人看不懂的数学公式
[00:00:36 - 00:00:39] 我们总以为是大神们的灵光一线
[00:00:39 - 00:00:41] 推动了GPT4或者Cloud3的诞生
[00:00:41 - 00:00:45] 但为什么同样是汇聚了全球最顶尖人才的Google
[00:00:45 - 00:00:46] 在很长一段时间里
[00:00:47 - 00:00:50] 却被规模小得多的Anthropic安代地上摩擦
[00:00:50 - 00:00:52] 为什么Cloud3写代码的能力
[00:00:52 - 00:00:55] 能一度超越拥有庞大资源的GPT4
[00:00:55 - 00:00:57] 这真的是因为Anthropic的人更聪明吗
[00:00:57 - 00:01:00] 还是说在AGI的军备竞赛中
[00:01:00 - 00:01:03] 我们对核心竞争力的理解从一开始就偏了
[00:01:03 - 00:01:04] 要回答这个问题
[00:01:04 - 00:01:07] 我们得先认识一下今天的主角姚顺宇
[00:01:07 - 00:01:09] 硅谷有两个出名的姚顺宇
[00:01:09 - 00:01:11] 一个是前OpenAI研究员
[00:01:11 - 00:01:14] 县腾讯AI首席科学家
[00:01:14 - 00:01:15] 而我们今天聊的是另一位
[00:01:15 - 00:01:18] 他本科在清华物理系搞凝聚态物理
[00:01:18 - 00:01:21] 后来去斯坦福搞高能物理和黑洞
[00:01:21 - 00:01:23] 在Barkley做了两周博后就跑路了
[00:01:23 - 00:01:26] 随后他加入了AntiPic待了一年左右
[00:01:26 - 00:01:29] 在2024年9月底跳槽到了Google DeepMind
[00:01:29 - 00:01:34] 作为一个横跨了目前最至首可热的两家AI大厂的研究员
[00:01:34 - 00:01:38] 他看到了大厂和出创公司在模型训练上最本质的差异
[00:01:38 - 00:01:43] 而这个差异正是决定谁能在这场AI军备竞赛中胜出的关键
[00:01:43 - 00:01:45] 今天我们就从工程师视角
[00:01:45 - 00:01:48] 深度分析这4小时访谈背后的技术真相
[00:01:48 - 00:01:49] 关键点1
[00:01:49 - 00:01:51] 大厂与出创的战略红沟
[00:01:51 - 00:01:54] 战略选择的差异是拉开差距的第一步
[00:01:54 - 00:01:55] 姚顺宇指出
