BV号：BV1AXs7zME2A
标题：BV1AXs7zME2A
链接：https://www.bilibili.com/video/BV1AXs7zME2A
识别语言：zh
语言置信度：1
分段数：50
生成时间：2026-08-29 22:16:02

[00:00:00 - 00:00:02] 我們不是在創造智能
[00:00:02 - 00:00:04] 而是在召喚幽靈
[00:00:04 - 00:00:06] 說這話的是親手打造
[00:00:06 - 00:00:08] chatgpt的AI大神
[00:00:08 - 00:00:10] Karpathy
[00:00:10 - 00:00:13] 這句話讓整個歸骨陷入了沉默
[00:00:13 - 00:00:14] 什麼意思
[00:00:14 - 00:00:18] 他認為我們並非在創造一個新物種
[00:00:18 - 00:00:19] 而是在互聯網
[00:00:19 - 00:00:21] 就做全球墳場裡
[00:00:21 - 00:00:22] 用算法當咒語
[00:00:22 - 00:00:24] 把人類所有的知識
[00:00:24 - 00:00:27] 瘋狂與偏見當作祭品
[00:00:27 - 00:00:28] 最終拼湊出了一個
[00:00:28 - 00:00:30] 清湊出了一個沒有靈魂的數字幻影
[00:00:30 - 00:00:33] 所以他才會幻覺屏出
[00:00:33 - 00:00:35] 因為他不是在思考
[00:00:35 - 00:00:37] 而是在做夢
[00:00:37 - 00:00:38] 你給他資料
[00:00:38 - 00:00:41] 他就像拿到一物一樣瞬間顯靈
[00:00:41 - 00:00:42] 你不給
[00:00:42 - 00:00:45] 他就在自己的夢境裡無言亂語
[00:00:45 - 00:00:47] 卡爾派斯的揭露
[00:00:47 - 00:00:49] 他從夢裡提起信息的效率
[00:00:49 - 00:00:51] 比直接看見
[00:00:51 - 00:00:53] 賣了3500萬倍
[00:00:53 - 00:00:55] 更殘酷的是現實
[00:00:55 - 00:00:57] 所有你看到的倩酷Demo
[00:00:57 - 00:00:59] 都只是90%的假象
[00:01:00 - 00:01:01] 而从90%
[00:01:03 - 00:01:06] 我们可能
[00:01:06 - 00:01:08] 这就是demo与产品之间
[00:01:08 - 00:01:10] 那条看不见底的红宫
[00:01:10 - 00:01:12] 而最令人不安的是
[00:01:12 - 00:01:13] 这个幽灵
[00:01:14 - 00:01:15] 不仅学会了我们的智慧
[00:01:16 - 00:01:17] 也继承了我们的谎言
[00:01:18 - 00:01:19] 暴力
[00:01:19 - 00:01:20] 和所有黑暗面
[00:01:21 - 00:01:22] 当它变得越来越像我们时
[00:01:23 - 00:01:25] 一个终极问题浮出水面
[00:01:25 - 00:01:28] 我们究竟是在为自己造一个中谱吗
[00:01:28 - 00:01:30] 还是在不自知中
[00:01:30 - 00:01:31] 為人類文明
[00:01:31 - 00:01:33] 悄想了第一聲喪鐘
[00:01:33 - 00:01:34] 你覺得呢
[00:01:34 - 00:01:36] 我們是在創造之能
[00:01:36 - 00:01:38] 還是在親手開啟
[00:01:38 - 00:01:40] 文明的倒計時
[00:01:40 - 00:01:42] 評論區告訴我你的答案
