BV号：BV1AdH9zcEcU
标题：BV1AdH9zcEcU
链接：https://www.bilibili.com/video/BV1AdH9zcEcU
识别语言：zh
语言置信度：1
分段数：1243
生成时间：2026-08-29 23:49:51

[00:00:00 - 00:00:02] 大家好,我是为什么叫QQ。
[00:00:03 - 00:00:05] 上周,国际顶级芯片会议
[00:00:05 - 00:00:07] Hotchaps正式落下维幕。
[00:00:08 - 00:00:11] 作为芯片集系统设计领域的年度风向标。
[00:00:12 - 00:00:14] 今年的大会没有让人失望,
[00:00:14 - 00:00:17] 从能把AI超算塞进桌面的芯片。
[00:00:17 - 00:00:20] 倒用光线替代电线的互联技术。
[00:00:20 - 00:00:23] 再倒能扛住11瓦及数据中心的散热方案。
[00:00:24 - 00:00:28] 每一个技术细节都在悄悄改写未来科技的底层逻辑。
[00:00:28 - 00:00:31] 今天这一期我会用近一小时的时间
[00:00:31 - 00:00:33] 主领域的拆解
[00:00:33 - 00:00:35] 本界Hotchips的核心突破
[00:00:35 - 00:00:37] 把那些藏在技术文档里的参数
[00:00:37 - 00:00:38] 架构和创新
[00:00:38 - 00:00:41] 用更加通俗易懂的方式讲透
[00:00:41 - 00:00:43] 也让大家看清楚
[00:00:43 - 00:00:45] 接下来一到二年芯片行业的真实走向
[00:00:45 - 00:00:49] 这些Hotchips的异程设计也很有逻辑
[00:00:49 - 00:00:52] 首日聚焦CPU 安全
[00:00:52 - 00:00:54] 图形与网络着四大基础支柱
[00:00:54 - 00:00:55] 英特尔
[00:00:55 - 00:00:57] IBMAMD
[00:00:57 - 00:00:59] 因为达这些巨头都带来了硬货
[00:00:59 - 00:01:02] 第二天,则转向光学、散热与机器学习
[00:01:02 - 00:01:05] 话题更贴近AI时代的核心痛点
[00:01:05 - 00:01:08] 比如怎么解决AI芯片的内存焦虑
[00:01:09 - 00:01:11] 怎么用更少的电,撑更大的算力
[00:01:12 - 00:01:15] 这个视频我会沿着大会的技术脉络
[00:01:15 - 00:01:18] 从最核心的AI计算开始讲起
[00:01:18 - 00:01:19] 再逐步延伸到网络
[00:01:19 - 00:01:21] 光IOCPU等领域
[00:01:22 - 00:01:24] 确保大家能跟上技术的逻辑链条
[00:01:24 - 00:01:29] AI计算现在最大的痛点是什么?
[00:01:29 - 00:01:32] 不是算力不够,而是数据传不动
[00:01:32 - 00:01:38] 当模型参数涨到千亿,万一急的时候,内存贷宽和容量就成了平价
[00:01:38 - 00:01:43] 很多时候,芯片的算力没跑满,就卡在数据的读取上了
[00:01:43 - 00:01:47] 本届HotTrips上,几乎所有AI计算相关的分享
