BV号：BV1AmSSBMErT
标题：BV1AmSSBMErT
链接：https://www.bilibili.com/video/BV1AmSSBMErT
识别语言：zh
语言置信度：1
分段数：208
生成时间：2026-08-29 07:35:51

[00:00:00 - 00:00:02] 大家好,我是为什么叫QQ
[00:00:02 - 00:00:04] 你以为RAG就是现在最好的知识库方案
[00:00:04 - 00:00:07] 你以为把一堆PDF扔给大模型
[00:00:07 - 00:00:10] 让它帮你检索,这就是AI时代的知识管理
[00:00:10 - 00:00:11] 错得离谱
[00:00:11 - 00:00:13] 最近潜特斯拉AI总监
[00:00:13 - 00:00:16] OpenAI创始成员Android Carpathy
[00:00:16 - 00:00:19] 分享了他自己构建个人知识库的方法
[00:00:19 - 00:00:21] 看完他的方案我倒吸一口粮气
[00:00:21 - 00:00:23] 因为他根本不用传统的RAG
[00:00:23 - 00:00:27] 他用大模型构建了一个会自己生长的持久化,Wiki
[00:00:27 - 00:00:31] 这个方法直接把现在市面上90%的知识库产品
[00:00:31 - 00:00:33] 按在地上摸擦
[00:00:33 - 00:00:34] 你可能会问
[00:00:34 - 00:00:35] 为什么RAD虽然能检索
[00:00:35 - 00:00:37] 但是总觉得不够聪明
[00:00:37 - 00:00:38] 你有没有遇到过这种情况
[00:00:38 - 00:00:40] 你存了一年的资料
[00:00:40 - 00:00:43] 问一个需要综合五篇文章的复杂问题
[00:00:43 - 00:00:45] 结果大模型总是漏掉关键信息
[00:00:45 - 00:00:47] 或者给你一个四射而飞的答案为什么
[00:00:47 - 00:00:49] 因为在传统的RAG系统里
[00:00:49 - 00:00:53] 大模型每次回答你的问题都是在重新发现知识
[00:00:53 - 00:00:55] 它没有记忆没有积累
[00:00:55 - 00:00:56] 你的知识库用了一年
[00:00:56 - 00:00:58] 本质上还是一堆散乱的文件
[00:00:58 - 00:01:01] 它从来没有真正变成你的知识
[00:01:01 - 00:01:04] 我们先来看看现在的知识库是怎么工作的
[00:01:04 - 00:01:07] 不管是notebook LM还是chatgpt的文件上传
[00:01:07 - 00:01:08] 本质上都是wrag
[00:01:08 - 00:01:11] 你上传文件系统把文件切成小块
[00:01:11 - 00:01:13] 你提问系统找出最相关的几块
[00:01:13 - 00:01:15] 扔给大模型让它总结
[00:01:15 - 00:01:17] 这套逻辑跑得通
[00:01:17 - 00:01:18] 但有一个致命缺陷
[00:01:18 - 00:01:19] 知识没有复利
[00:01:19 - 00:01:21] carpet发现了这个问题
[00:01:21 - 00:01:23] 它最近把大量的经历
[00:01:23 - 00:01:26] 从写代码转移到了处理知识上
[00:01:26 - 00:01:28] 他发现最新的大模型
[00:01:28 - 00:01:30] 能力已经强到可以做一件更伟大的事
[00:01:30 - 00:01:32] 他们不仅能检索知识
[00:01:32 - 00:01:34] 还能编译和维护知识
[00:01:34 - 00:01:37] 这个思路其实可以追溯到1945年
[00:01:37 - 00:01:40] Vannever Bush提出的Mimex构想
[00:01:40 - 00:01:42] 只不过当年Mimex解决不了
[00:01:42 - 00:01:44] 谁来维护这些知识链接的问题
[00:01:44 - 00:01:46] 现在Carpacy找到了完美的苦力
[00:01:46 - 00:01:47] 大模型
[00:01:47 - 00:01:48] 关键点一
[00:01:48 - 00:01:50] 持久Viki VS 临时检索
[00:01:50 - 00:01:53] 传统的RAG每次查询都是临时的
[00:01:53 - 00:01:54] 就像你每次遇到问题
[00:01:54 - 00:01:56] 也都要重新去图书馆翻译变书
[00:01:56 - 00:01:58] 找出几页纸临时拼凑
[00:01:58 - 00:02:00] 一个答案看完就扔了
[00:02:00 - 00:02:02] 下次遇到类似问题还得重来一遍
[00:02:02 - 00:02:04] 但Carbacy的方法完全不同
[00:02:04 - 00:02:08] 他让大模型增量构建和维护一个持久的Wiki
[00:02:08 - 00:02:11] 这是一个由Markdown文件组成的结构化
[00:02:11 - 00:02:13] 相互链接的集合
[00:02:13 - 00:02:14] 当你添加一篇新文章时
[00:02:14 - 00:02:16] 大模型不是简单的把它存起来
[00:02:16 - 00:02:17] 等以后检索
[00:02:17 - 00:02:19] 它是去阅读这篇文章
[00:02:19 - 00:02:20] 提取关键信息
[00:02:20 - 00:02:22] 然后把它整合到现有的Wiki里
[00:02:22 - 00:02:25] 更新实体页面修改主题摘要
[00:02:25 - 00:02:27] 甚至标记出新数据和旧观点的矛盾
[00:02:27 - 00:02:28] 关键来了
[00:02:28 - 00:02:30] 知识被编译了一次
[00:02:30 - 00:02:31] 然后保持更新
[00:02:31 - 00:02:33] 交叉引用已经存在了
[00:02:33 - 00:02:34] 矛盾已经被标记了
[00:02:34 - 00:02:37] 你的每一次阅读都在让这个Viki变得更丰富
[00:02:37 - 00:02:39] 这才是真正的知识复利
[00:02:39 - 00:02:40] 关键点二
[00:02:40 - 00:02:42] 优雅的三层架构
[00:02:42 - 00:02:44] Carpathy把这个系统设计
[00:02:44 - 00:02:46] 成了非常优雅的三层架构
[00:02:46 - 00:02:48] 第一层是Rossorces原始数据层
[00:02:48 - 00:02:51] 这里放着你收集的所有文章论文图片
[00:02:51 - 00:02:52] 这一层是不可辨的
[00:02:52 - 00:02:55] 大模型只能读不能改
[00:02:55 - 00:02:56] 这是你的真理之源
[00:02:56 - 00:02:59] 第二层是The Wiki知识库层
[00:02:59 - 00:03:01] 这里全是大模型生成的markdown文件
[00:03:01 - 00:03:03] 摘要概念对比分析
[00:03:03 - 00:03:05] 这一层大模型完全拥有
[00:03:05 - 00:03:07] 它创建页面维护链接保持一致性
[00:03:07 - 00:03:10] 你只管读大模型负责写
[00:03:10 - 00:03:12] 第三层是The Schema规则层
[00:03:12 - 00:03:13] 这是一个配置文件
[00:03:13 - 00:03:16] 告诉大模型这个Wiki的结构是什么
[00:03:16 - 00:03:17] 遇到新文章该怎么处理
[00:03:17 - 00:03:19] 但这里有个很离谱的地方
[00:03:19 - 00:03:22] 这个分离的设计彻底改变了人机协作的模式
[00:03:22 - 00:03:24] 原始数据保持纯净
[00:03:24 - 00:03:26] 大模型有了明确的工作边界
[00:03:26 - 00:03:29] 你不再是一个整理资料的苦力
[00:03:29 - 00:03:30] 你变成了一个知识架构师
[00:03:30 - 00:03:31] 关键点三
[00:03:31 - 00:03:33] 大模型做机杖
[00:03:33 - 00:03:34] 人类做策划
[00:03:34 - 00:03:36] 维护一个知识库最痛苦的是什么
[00:03:36 - 00:03:37] 不是阅读
[00:03:37 - 00:03:38] 不是思考
[00:03:38 - 00:03:39] 是机杖
[00:03:39 - 00:03:41] 是更新交叉引用
[00:03:41 - 00:03:42] 是保持摘要罪心
[00:03:42 - 00:03:45] 是发现两篇文章观点冲突时去打个补钉
[00:03:45 - 00:03:48] 人类之所以总是放弃维护微卡
[00:03:48 - 00:03:50] 就是因为维护成本远远大于收益
[00:03:50 - 00:03:52] 大模型简直就是天生的记账源
[00:03:52 - 00:03:54] 它不会觉得无聊
[00:03:54 - 00:03:55] 它不会忘记更新链接
[00:03:55 - 00:03:58] 它可以一次性处理15个文件
[00:03:58 - 00:03:59] 在carpacet的工作流理
[00:03:59 - 00:04:01] 人类的工作只剩下
[00:04:01 - 00:04:04] 挑选高质量的信息源指导分析方向
[00:04:04 - 00:04:05] 提出好问题
[00:04:05 - 00:04:07] 剩下的所有脏活、累活
[00:04:07 - 00:04:09] 全部交给大模型
[00:04:09 - 00:04:11] upcidian是ide
[00:04:11 - 00:04:12] 大模型是程序源
[00:04:12 - 00:04:14] vicky就是你的代码库
[00:04:14 - 00:04:16] 很多人会觉得reg现在的痛点
[00:04:16 - 00:04:18] 是因为检索算法不够好
[00:04:18 - 00:04:20] 只要我用了更牛的相量数据库
[00:04:20 - 00:04:23] 用了更复杂的re-rank算法问题就解决了
[00:04:23 - 00:04:24] 但真相是
[00:04:24 - 00:04:28] 检索再好也解决不了知识不积累的根本问题
[00:04:28 - 00:04:30] 即使你的检索准确率达到100%
[00:04:30 - 00:04:32] 大模型依然是在临时拼凑
[00:04:32 - 00:04:34] 答案为什么会这样
[00:04:34 - 00:04:36] 因为知识的本质不是信息的堆砌
[00:04:36 - 00:04:38] 而是信息之间的连接
[00:04:38 - 00:04:40] Carpety的实验证明了这一点
[00:04:40 - 00:04:43] 他的个人viki已经积累了大约100篇文章
[00:04:43 - 00:04:45] 将近40万字
[00:04:45 - 00:04:46] 在这个规模下
[00:04:46 - 00:04:49] 它根本不需要什么复杂的Rigid基础设施
[00:04:49 - 00:04:51] 就靠简单的索引文件
[00:04:51 - 00:04:53] 加上大模型自动维护的摘要
[00:04:53 - 00:04:55] 就能回答极其复杂的问题
[00:04:55 - 00:04:56] 大到致见
[00:04:56 - 00:04:58] 看到这里你可能会想
[00:04:58 - 00:05:00] 这套方法听起来很牛
[00:05:00 - 00:05:01] 但我该怎么落地
[00:05:01 - 00:05:02] 我的答案是
[00:05:02 - 00:05:06] 你需要建立一套基于大模型的知识编译工作流
[00:05:06 - 00:05:07] 它包含四个核心动作
[00:05:07 - 00:05:08] 第一设入
[00:05:08 - 00:05:09] Ingest
[00:05:09 - 00:05:12] 看到好文章用Obsidian Web Clipper抓取下来
[00:05:12 - 00:05:15] 让大模型阅读和你讨论要点
[00:05:15 - 00:05:17] 然后让它去更新相关的Wiki页面
[00:05:17 - 00:05:20] 一篇文章可能会触及10-15个Wiki页面
[00:05:20 - 00:05:22] 第二查询,query
[00:05:22 - 00:05:23] 向你的Wiki提问
[00:05:23 - 00:05:26] 大模型会搜索相关页面合成答案
[00:05:26 - 00:05:28] 它可以给你输出markdown
[00:05:28 - 00:05:30] 可以给你画mapplotlab图表
[00:05:30 - 00:05:33] 甚至可以直接生成marp幻灯片
[00:05:33 - 00:05:36] 把你的Wiki当成一个可以交互的知识图谱
[00:05:36 - 00:05:38] 第三规档,filing
[00:05:38 - 00:05:39] 这是最重要的一步
[00:05:39 - 00:05:43] 大模型给你生成的精彩回答对比表格深度分析
[00:05:43 - 00:05:45] 不要看完就關掉
[00:05:45 - 00:05:47] 把他們作為新的頁面存回Vickey裡
[00:05:47 - 00:05:50] 讓你的每一次探索都成為知識庫的新資產
[00:05:50 - 00:05:52] 你的問題也在給Vickey增值
[00:05:52 - 00:05:53] 第四體檢
[00:05:53 - 00:05:54] Lint
[00:05:54 - 00:05:57] 定期讓大模型給Vickey做健康檢查
[00:05:57 - 00:05:58] 找出矛盾的數據
[00:05:58 - 00:06:00] 找出沒有鏈接的孤島頁面
[00:06:00 - 00:06:03] 甚至讓它連網搜索補充缺失的信息
[00:06:03 - 00:06:06] 大模型還特別擅長建議你下一步應該研究什麼
[00:06:06 - 00:06:07] 換一個角度來看
[00:06:07 - 00:06:09] 你不是在用一個工具
[00:06:09 - 00:06:11] 你是在雇佣一個不知疲倦的知識管家
[00:06:11 - 00:06:14] 开源社区已经有人实现了这套引擎
[00:06:14 - 00:06:16] 比如GateHub上的Agent Memory项目
[00:06:16 - 00:06:18] 这套模式完全可以开箱及用
[00:06:18 - 00:06:20] 接下来会发生什么
[00:06:20 - 00:06:22] 短期内会有越来越多人意识到
[00:06:22 - 00:06:23] Rag的局限性
[00:06:23 - 00:06:26] 大家会开始从临时检索转向持久编译
[00:06:26 - 00:06:29] 我们会看到更多专门为这套工作流
[00:06:29 - 00:06:31] 设计的Obsidian插件和本地工具
[00:06:31 - 00:06:34] 中期来看这套模式会杀入企业市场
[00:06:34 - 00:06:36] Carpety说了一句非常扎心的话
[00:06:36 - 00:06:38] 每个企业都有一个wrong move
[00:06:38 - 00:06:40] 但从来没有人编译过它
[00:06:40 - 00:06:41] 这就是产品
[00:06:41 - 00:06:44] 未来的企业知识库不再是员工手动填写的confluence
[00:06:44 - 00:06:46] 而是由大模型自动从slag
[00:06:46 - 00:06:50] 会议记录客户反馈中编译出来的活体wiki
[00:06:50 - 00:06:53] 长期来看这会改变大模型本身的形态
[00:06:53 - 00:06:56] 随着合成数据生成和微调技术的发展
[00:06:56 - 00:06:59] 你的个人知识库最终会融入到大模型的权重力
[00:06:59 - 00:07:03] 它不再需要通过上下文窗口来读取你的知识
[00:07:03 - 00:07:04] 它会真正记住你的知识
[00:07:04 - 00:07:06] 到那时每个人都会拥有
[00:07:06 - 00:07:08] 一个真正懂你的数字分身
[00:07:08 - 00:07:10] 好了这就是今天的全部内容
[00:07:10 - 00:07:15] 我是为什么叫QQ,如果我觉得对你有帮助,可以一键三连谢谢
