BV号：BV1AqCtYeEPa
标题：BV1AqCtYeEPa
链接：https://www.bilibili.com/video/BV1AqCtYeEPa
识别语言：zh
语言置信度：1
分段数：371
生成时间：2026-08-30 22:05:06

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 在当前的GPU市场格局中
[00:00:05 - 00:00:07] 英伟达一直是处于领先的地位
[00:00:07 - 00:00:09] 而AMD则在不断努力追赶
[00:00:09 - 00:00:14] 近期Semi-Analysis发布了一篇急剧深度的分析文章
[00:00:14 - 00:00:18] 对AMD和英伟达的GPU进行了全方位的实测性能对比
[00:00:18 - 00:00:20] 为我们揭示了许多不为人知的细节
[00:00:20 - 00:00:24] 而且AMD的苏妈也和文章的作者谈了一个半小时
[00:00:24 - 00:00:26] 认为作者给的反馈很重要
[00:00:26 - 00:00:28] 足以说明这篇文章的含金量
[00:00:28 - 00:00:30] 今天我们就来给大家分享一下
[00:00:30 - 00:00:34] 我们先来看看这两家的三款备受主墨的GPU
[00:00:34 - 00:00:36] 分别是AMD的MI300X
[00:00:36 - 00:00:39] 英伟达的H100和H200的基本参数
[00:00:39 - 00:00:41] 从参数表中可以清晰的发现
[00:00:41 - 00:00:45] AMD MI300X在某些方面似乎更具有优势
[00:00:45 - 00:00:48] 它的功耗也就是TTP为750W
[00:00:48 - 00:00:51] 略高于英伟达H100和H200的700W
[00:00:51 - 00:00:54] 但是在系统整体功耗方面
[00:00:54 - 00:00:57] 三者军为每GPU1275W
[00:00:57 - 00:00:58] 在内存容量下
[00:00:58 - 00:01:01] mi300x拥有192GB
[00:01:01 - 00:01:03] 远超h100的80GB
[00:01:03 - 00:01:05] 和h200的141GB
[00:01:05 - 00:01:06] 内存带宽方面
[00:01:06 - 00:01:09] mi300x达到了每秒5300GB
[00:01:09 - 00:01:11] 也高于h200的4800GB
[00:01:11 - 00:01:14] 和h100的3352GB
[00:01:14 - 00:01:16] 在伏点运算性能上
[00:01:16 - 00:01:17] 无论是半径度伏点数
[00:01:17 - 00:01:19] ip16 bf16
[00:01:19 - 00:01:20] 还是说8位伏点数
[00:01:20 - 00:01:23] ip8,ip6和int8
[00:01:23 - 00:01:25] mi300x的理论T-flops
[00:01:25 - 00:01:27] 都高于英伟达的这两款产品
[00:01:27 - 00:01:29] 然而实际的性能表现
[00:01:29 - 00:01:31] 却并不是与参数完全成正比的
[00:01:31 - 00:01:35] 接下来我们进入到通用矩阵惩罚的性能测试环节
[00:01:35 - 00:01:38] 通用矩阵惩罚在训练像CATGBT、LAMA和Cloud
