BV号：BV1BTrKYoEpK
标题：BV1BTrKYoEpK
链接：https://www.bilibili.com/video/BV1BTrKYoEpK
识别语言：zh
语言置信度：1
分段数：332
生成时间：2026-08-30 21:06:58

[00:00:00 - 00:00:03] 大家好 这里是最佳拍檔 我是大飞
[00:00:03 - 00:00:05] 熟悉我们频道的观众应该知道
[00:00:05 - 00:00:08] 我们讲美国的AI发展和公司动态比较多
[00:00:08 - 00:00:10] 不过前一段有观众在评论区说
[00:00:10 - 00:00:14] 想听一听国内的大模型创业公司发展情况是怎么样的
[00:00:14 - 00:00:17] 所以今天我们就来大概的梳理和分析一下
[00:00:17 - 00:00:22] 也希望能够让海外的观众对AI大陆AI行业的发展现状
[00:00:22 - 00:00:24] 有一个更加清晰的了解
[00:00:24 - 00:00:25] 提前声明一下
[00:00:25 - 00:00:28] 今天我们主要的是梳理国内的大模型创业公司
[00:00:28 - 00:00:29] 傳統的科技巨頭
[00:00:29 - 00:00:32] 比如說像字節 百度 阿里這種
[00:00:32 - 00:00:33] 以及傳統的AI公司
[00:00:33 - 00:00:35] 比如商湯 衣圖等等
[00:00:35 - 00:00:37] 都不在今天的討論範圍之內
[00:00:37 - 00:00:40] 以後有機會我們再單獨的做節目
[00:00:40 - 00:00:41] 另外今天的視頻內容
[00:00:41 - 00:00:44] 都是基於對網上公開資料的整理
[00:00:44 - 00:00:45] 如果頻道觀眾
[00:00:45 - 00:00:47] 有某些公司的內部信息
[00:00:47 - 00:00:48] 歡迎在評論區爆料
[00:00:48 - 00:00:50] 我們先大致盤點一下
[00:00:50 - 00:00:52] 中國大模型創業公司的格局
[00:00:52 - 00:00:54] 2024年在經歷了百模大戰之後
[00:00:54 - 00:00:56] 大模型創業公司的第一梯隊
[00:00:56 - 00:00:59] 基本上已經形成了6加2的格局
[00:00:59 - 00:01:02] 其中的6也被稱為大模型6小虎
[00:01:02 - 00:01:03] 它們分別是
[00:01:03 - 00:01:06] 置普、Vinimax、百川智能、月之按面
[00:01:06 - 00:01:08] 接月星辰與01萬物
[00:01:08 - 00:01:10] 2指的是深度求索
[00:01:10 - 00:01:11] 也就是DeepSync
[00:01:11 - 00:01:14] 與面幣智能這兩家規模燒銷
[00:01:14 - 00:01:15] 但是比較有特色的公司
[00:01:15 - 00:01:18] 不過最近DeepSync的發展很猛
[00:01:18 - 00:01:20] 有幾近6小虎中的趨勢
[00:01:20 - 00:01:23] 我們再來回顧一下這些公司的起點
[00:01:23 - 00:01:25] 置普成立於2019年6月
[00:01:25 - 00:01:27] 是國內第一批探索大模型的公司之一
[00:01:27 - 00:01:32] 從成立之初就懷揣著讓機器像人一樣思考的願景
[00:01:32 - 00:01:34] 在公司一周年慶祝的時候
[00:01:34 - 00:01:35] OPEN發布了GPT3
[00:01:35 - 00:01:37] 這樣製浦的創始人張鹏
[00:01:37 - 00:01:40] 敏銳的察覺到了大模型技術的巨大潛力
[00:01:40 - 00:01:42] 堅定了在這條道路上前行的決心
[00:01:42 - 00:01:44] 兩年後的2021年
[00:01:44 - 00:01:45] MINIMAX成立
[00:01:45 - 00:01:46] 創始人嚴峻傑
[00:01:46 - 00:01:48] 在一個不到100平米的房間裡
[00:01:48 - 00:01:50] 規劃了公司的初心和路徑
[00:01:50 - 00:01:53] 那就是實現Intelligence with Error 1
[00:01:53 - 00:01:54] 而且提出了三個判斷
[00:01:54 - 00:01:56] 分別是做下一代的AI
[00:01:56 - 00:01:58] 做接近圖靈測試的智能體
[00:01:58 - 00:02:01] 以及通過智能創造極致的體驗
[00:02:01 - 00:02:02] ChideGPT的發布
[00:02:02 - 00:02:05] 無疑是大模型發展歷程中的一個關鍵節點
[00:02:05 - 00:02:07] 它瞬間點燃了市場的熱情
[00:02:07 - 00:02:09] 使得大模型從一個相對冷門的技術領域
[00:02:09 - 00:02:12] 迅速成為投融資市場的熱門話題
[00:02:12 - 00:02:14] 在這股熱潮的推動下
[00:02:14 - 00:02:15] 百川智能、月之按面、
[00:02:15 - 00:02:17] 節月星辰和靈異萬物的公司
[00:02:17 - 00:02:20] 在短短三個月的時間內相繼成立
[00:02:20 - 00:02:21] 百川智能的創始人王小川
[00:02:21 - 00:02:24] 在公司成立的時候感慨萬分
[00:02:24 - 00:02:26] 他表示生活在這個時代十分的幸運
[00:02:26 - 00:02:28] 互聯互革命尚未落幕
[00:02:28 - 00:02:30] 通用人工智能時代又即將來臨
[00:02:30 - 00:02:34] ChadGPT的出現更是讓曾經的暢向逐漸成為現實
[00:02:34 - 00:02:36] 而楊芝琳創立月之安眠的時候
[00:02:36 - 00:02:39] 也是被ChadGPT所展現出來的能力所震撼
[00:02:39 - 00:02:42] 她深知這將引發資本與人才的重大變革
[00:02:42 - 00:02:44] 於是毅然投身其中
[00:02:44 - 00:02:46] 而接月星辰的創神江大新
[00:02:46 - 00:02:48] 也是在與ChadGPT的對話中
[00:02:48 - 00:02:50] 激起了一身雞皮疙瘩
[00:02:50 - 00:02:52] 從而意識到畫時代的技術變革要到來了
[00:02:52 - 00:02:57] 而李開富應該算是這批AI創業者中年齡最大的一位了
[00:02:57 - 00:03:01] 他在40年前提交給CMU的博士申請信中就是探索AI
[00:03:01 - 00:03:05] 在看到AJI的夢想有了實現的可能後也按按不住
[00:03:05 - 00:03:09] 於2023年3月20日籌備成立了01萬物
[00:03:09 - 00:03:11] 在ChadGPT剛剛發布不久的時候
[00:03:11 - 00:03:14] 這6小虎可以說是創業賽道最閃耀的明星了
[00:03:14 - 00:03:17] 但是到了2024年的下半年
[00:03:17 - 00:03:19] 形勢正在巧然的發生變化
[00:03:19 - 00:03:22] 各家公司的發展也逐漸呈現出了不同的戰略分化
[00:03:22 - 00:03:24] 在志愿大会上
[00:03:24 - 00:03:27] 杨之林 王小川 张鹏 李大海等等几位创始人
[00:03:27 - 00:03:29] 虽然没有直接的积累交锋
[00:03:29 - 00:03:32] 但是各自分享了他们对于通往AZI之路的观点
[00:03:32 - 00:03:35] 也充分展现了他们不同的思路
