BV号：BV1C4g2z2EVf
标题：BV1C4g2z2EVf
链接：https://www.bilibili.com/video/BV1C4g2z2EVf
识别语言：zh
语言置信度：1
分段数：23
生成时间：2026-08-30 00:56:38

[00:00:00 - 00:00:03] 我们想要Cursor成为使用AI代理编写代码的最佳场所
[00:00:03 - 00:00:06] 目前,这意味着与代理并肩工作
[00:00:06 - 00:00:09] 在你的编辑中,或者让它在后台为您启动任务
[00:00:09 - 00:00:13] 今天我们将Cursor代理引入网络
[00:00:13 - 00:00:17] 只需输入任务,然后会有一个代理过来为你工作
[00:00:17 - 00:00:19] 更改您的代码库
[00:00:19 - 00:00:23] 回答上下文问题,并代表您打开PR
[00:00:23 - 00:00:28] 完成后,您可以直接在Cursor中进行代理的工作
[00:00:28 - 00:00:31] 或添加带有附加上下文的后续说明
[00:00:31 - 00:00:33] 甚至进行内联编辑
[00:00:33 - 00:00:35] 如果代理的工作完成了
[00:00:35 - 00:00:38] 您可以直接从应用程序创建和合并PR
[00:00:38 - 00:00:41] 您甚至可以并行启动多个代理
[00:00:41 - 00:00:42] 所以同样的任务
[00:00:42 - 00:00:45] 您可以使用多种不同的模型运行它
[00:00:45 - 00:00:46] 并比较结果
[00:00:46 - 00:00:48] 它现在也可以在手机上使用
[00:00:48 - 00:00:50] 所以如果你在散布或远离电脑
[00:00:50 - 00:00:51] 你可以告诉你的代理开始
[00:00:51 - 00:00:53] 晚点来取
[00:00:53 - 00:00:58] 我们的团队一直在使用Web版本的Cursor
[00:00:58 - 00:01:01] 編輯和審查來自任何地方的代碼
[00:01:01 - 00:01:03] 我們很高興你能嘗試一下
