BV号：BV1CQJDzEEPC
标题：BV1CQJDzEEPC
链接：https://www.bilibili.com/video/BV1CQJDzEEPC
识别语言：zh
语言置信度：1
分段数：229
生成时间：2026-08-29 22:47:55

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:03 - 00:00:05] 在当今人工智能高速发展的时代
[00:00:05 - 00:00:08] 算力已经成为了科技竞争的核心战场
[00:00:08 - 00:00:11] 当我们谈论AI计算市场时
[00:00:11 - 00:00:13] 首先想到的可能是亚马逊
[00:00:13 - 00:00:14] AWS
[00:00:14 - 00:00:16] 微软Ashell这些云服务巨头
[00:00:16 - 00:00:19] 但是最近有一家公司正在以惊人的速度崛起
[00:00:19 - 00:00:21] 它就是甲骨文
[00:00:21 - 00:00:24] 如今甲骨文的云基础设施业务正在全面发力
[00:00:24 - 00:00:26] 远远超出市场预期
[00:00:26 - 00:00:29] Semi-Analysis也刚刚发表了一篇长文
[00:00:29 - 00:00:33] 深入探討了甲骨文是如何在AI計算市場中找準定位
[00:00:33 - 00:00:36] 通過獨特的策略和技術優勢強戰先機的
[00:00:36 - 00:00:38] 今天就來給大家分享一下
[00:00:39 - 00:00:43] 應該說甲骨文長期以來都是一家純粹的軟件公司
[00:00:43 - 00:00:45] 在雲計算領域的起步
[00:00:45 - 00:00:48] 比競爭對手 AWS Azure 和谷歌雲要晚的多
[00:00:48 - 00:00:50] 在生成是 AI 爆發之前
[00:00:50 - 00:00:52] 甲骨文最引人注目的
[00:00:52 - 00:00:54] 還是它在企業軟件領域的強大地位
[00:00:54 - 00:00:56] 拉里埃里森的商業帝國
[00:00:56 - 00:00:59] 可以说是建立在关系型数据库的巨大堵住上的
[00:00:59 - 00:01:03] 这部分业务至今仍然都是公司收入的重要组成部分
[00:01:03 - 00:01:06] 此外,甲骨文在ERP软件领域的排名
[00:01:06 - 00:01:09] 世界第二仅次于德国的SAP公司
[00:01:09 - 00:01:11] 如果我们回顾拉里埃里森的战略愿景
[00:01:11 - 00:01:15] 再将甲骨文的发展路径和SAP进行对比
[00:01:15 - 00:01:17] 就会发现,在21世纪初
[00:01:17 - 00:01:20] 拉里埃里森曾经是云计算的坚定怀疑者
[00:01:20 - 00:01:25] 当时他还主要专注在从SAP手中夺取业务应用市场的份了
[00:01:25 - 00:01:28] 为了利用数据库和中间界的优势
[00:01:28 - 00:01:29] 甲骨文在2000年代
[00:01:29 - 00:01:31] 进行了一系列激进的收购
[00:01:31 - 00:01:33] 以便扩大产品组合
[00:01:33 - 00:01:35] 并实现垂直整合
[00:01:35 - 00:01:36] 比如2004年
[00:01:36 - 00:01:38] 甲骨文以103亿美元
[00:01:38 - 00:01:39] 收购了PeopleSoft
[00:01:39 - 00:01:42] 2009年又以74亿美元
[00:01:42 - 00:01:44] 收购了San Microsystem
[00:01:44 - 00:01:45] 随着2010年代
[00:01:45 - 00:01:47] 初云计算的加速发展
[00:01:47 - 00:01:50] AWS和Azure对甲骨文的数据库优势
[00:01:50 - 00:01:51] 构成了越来越大的威胁
[00:01:51 - 00:01:54] 这迫使甲骨文必须做出转变
[00:01:54 - 00:01:57] 开始推出基于云的数据库和ERP服务
[00:01:57 - 00:01:59] 拉里埃里森也看到了另一个机会
[00:01:59 - 00:02:03] 那就是通过向江数据迁移到云端的客户推销ERP
[00:02:03 - 00:02:05] 来抢占SAP的市场份额
[00:02:05 - 00:02:06] 作为回应
[00:02:06 - 00:02:08] 德国的SAP公司在2015年
[00:02:08 - 00:02:11] 也推出了基于云的S4 HANA ERP
[00:02:11 - 00:02:13] 同时放弃了对第三方数据库的支持
[00:02:13 - 00:02:17] 强制客户采用自家新推出的HANA数据库
[00:02:17 - 00:02:18] 为了支持云转型
[00:02:18 - 00:02:20] 这两家软件巨头
[00:02:20 - 00:02:21] 在2010年代中期
[00:02:21 - 00:02:24] 纷纷开始建设自己的计算基础设施
[00:02:24 - 00:02:25] 资本支出也大幅增加
[00:02:25 - 00:02:28] 然而,他们的发展路径在这个时候
[00:02:28 - 00:02:29] 出现了重大的分歧
[00:02:29 - 00:02:32] 为了服务全球的企业客户
[00:02:32 - 00:02:34] 需要大规模的基础设施建设
[00:02:34 - 00:02:35] 为了避免利润率的崩溃
[00:02:35 - 00:02:39] SAP不得不通过EAAS的业务来实现货币化
[00:02:39 - 00:02:41] 但是几年后就放弃了
[00:02:41 - 00:02:44] 转而选择与AWS Azure和谷歌云合作
[00:02:44 - 00:02:45] 而不是直接竞争
[00:02:45 - 00:02:48] 而甲骨文则采取了相反的策略
[00:02:48 - 00:02:49] 2016年
[00:02:49 - 00:02:52] 甲骨文推出了第二代云基础设施 OCI
[00:02:52 - 00:02:56] 标志着从单纯为支持自身软件而建设的基础设施
[00:02:56 - 00:02:59] 转变为了完整的端道端云服务提供商
[00:02:59 - 00:03:02] 它的明确目标是与 AWS 和 Azure 竞争
[00:03:02 - 00:03:04] 实现拉里埃里森的垂直整合愿景
[00:03:04 - 00:03:06] 在生成是 AI 爆发之前
[00:03:06 - 00:03:09] 甲骨文的数据中心策略更像是一家大型企业
[00:03:09 - 00:03:13] 而不是像 AWS 或者 Azure 这样的超大规模云服务商
[00:03:13 - 00:03:14] 举个例子
[00:03:14 - 00:03:17] 甲骨文与数据中心的主要合作伙伴
[00:03:17 - 00:03:21] Digital Realty从2019年到2022年中期
[00:03:21 - 00:03:25] 甲骨文与Digital Realty的合同加权平均租赁期限为2-3年
[00:03:25 - 00:03:28] 远低于微软的8-9年
[00:03:28 - 00:03:29] 由于规模较小
