BV号：BV1Ccf6YrEbJ
标题：BV1Ccf6YrEbJ
链接：https://www.bilibili.com/video/BV1Ccf6YrEbJ
识别语言：zh
语言置信度：1
分段数：282
生成时间：2026-08-30 18:08:13

[00:00:00 - 00:00:03] 大家好,这里是最佳拍档,我是大飞
[00:00:03 - 00:00:07] 最近呢,OpenI的星际之门项目可谓是赚足了眼球
[00:00:07 - 00:00:09] 这个项目不仅涉及到巨额的投资
[00:00:09 - 00:00:12] 还牵扯到了科技巨头之间的唇枪射箭
[00:00:12 - 00:00:14] 今天我们就来聊聊这个项目
[00:00:14 - 00:00:18] 简单来说,星际之门是OpenI、日本软银、Orco
[00:00:18 - 00:00:22] 以及中东主权财富基金MGX的合资企业
[00:00:22 - 00:00:25] 计划在短短4年内投资最多5000亿美元
[00:00:25 - 00:00:28] 用来资助AI数据中心的建设
[00:00:28 - 00:00:30] 这可不是一笔小数目
[00:00:30 - 00:00:31] 相当于曼哈顿计划
[00:00:31 - 00:00:33] 加阿波罗计划的总额
[00:00:33 - 00:00:35] 如此庞大的资金投入瞬间点燃了
[00:00:35 - 00:00:37] 全球科技圈的热议
[00:00:37 - 00:00:38] 消息已经公布
[00:00:38 - 00:00:39] 各界纷纷的猜测
[00:00:39 - 00:00:41] 质疑生也随之而来
[00:00:41 - 00:00:44] 其中马斯克的质疑最为引人注目
[00:00:44 - 00:00:45] 马斯克直接表示
[00:00:45 - 00:00:47] OpenI实际上并没有这么多钱
[00:00:47 - 00:00:48] 来支撑这个项目
[00:00:48 - 00:00:52] 还称软银的资金已经不到100亿美元
[00:00:52 - 00:00:53] 他的这份言论瞬间将
[00:00:53 - 00:00:56] 星际之门这个项目推到了舆论的风口浪尖
[00:00:56 - 00:00:58] 面对马斯克的质疑
[00:00:58 - 00:00:59] Samao的曼也是毫不示弱
[00:00:59 - 00:01:00] 直接回應稱
[00:01:00 - 00:01:02] 馬斯克的說法是錯誤的
[00:01:02 - 00:01:04] 並且邀請馬斯克來參觀
[00:01:04 - 00:01:06] 已經開工建設的第一個項目地點
[00:01:06 - 00:01:08] 兩個人的這番正面開懟
[00:01:08 - 00:01:10] 讓大眾對於星際之門項目的
[00:01:10 - 00:01:12] 真實性和可行性就更加好奇了
[00:01:12 - 00:01:15] 那星際之門項目的真實情況
[00:01:15 - 00:01:16] 到底是怎麼樣呢
[00:01:16 - 00:01:18] 經過多方的深入調查和分析
[00:01:18 - 00:01:21] 一些細節也是逐漸的浮出水面
[00:01:21 - 00:01:23] 包括項目的架構和成本
[00:01:23 - 00:01:25] 整個算力集群的真實情況
[00:01:25 - 00:01:26] 以及各方之間的關係
[00:01:26 - 00:01:30] 根据国外科技媒体Semi-analysis的报道
[00:01:30 - 00:01:33] 项目的第一阶段选址在德州阿比林
[00:01:33 - 00:01:35] 这里已经获批了875英亩的地
[00:01:35 - 00:01:38] 面积差不多和纽约中央公园一样大
[00:01:38 - 00:01:40] 星系之门计划在这片土地上
[00:01:40 - 00:01:42] 打造10个数据中心
[00:01:42 - 00:01:45] 其中首期打算投入1000亿美元
[00:01:45 - 00:01:48] 不过这里的1000美元和后续的5000亿美元
[00:01:48 - 00:01:50] Semi-analysis认为
[00:01:50 - 00:01:52] 并不是简单的资本支出
[00:01:52 - 00:01:55] 而是按照总拥有成本TCO来计算
[00:01:55 - 00:02:00] 其中不仅包含了數據中心、服務器、網絡設施、電力供應等等方面的資本支出
[00:02:00 - 00:02:04] 還涵蓋了債務融資等等各種運營成本
[00:02:04 - 00:02:06] 而且目前只有首期1000億美元的項目
[00:02:06 - 00:02:09] 確定了數據中心的選址和電力供應
[00:02:09 - 00:02:12] 整個星際之門項目的資金還沒有完全的到位
[00:02:12 - 00:02:14] 從合作方來看
[00:02:14 - 00:02:16] 星際之門計劃的股權創始方
[00:02:16 - 00:02:19] 包括軟銀、Orco、MGX和OpenI
[00:02:19 - 00:02:23] 其中軟銀、Orco和MGX負責前期的注資
[00:02:23 - 00:02:26] 软银和OpenI是核心的合作伙伴
[00:02:26 - 00:02:28] 软银主要负责财务管理
[00:02:28 - 00:02:30] 而OpenI则主导运营工作
[00:02:30 - 00:02:33] 几乎掌管着所有的算力集群管理软件
[00:02:33 - 00:02:34] 在建设方面
[00:02:34 - 00:02:36] 目前已经有10个数据中心
[00:02:36 - 00:02:38] 在德州阿比林开工建设
[00:02:38 - 00:02:40] 值得一提的是
[00:02:40 - 00:02:42] 这个项目的第一个算力集群
[00:02:42 - 00:02:43] 其实就是去年宣布的
[00:02:43 - 00:02:45] Orco和OpenI的合作项目
[00:02:45 - 00:02:49] 这个项目由Lancer,Crucil和Orco负责建设
[00:02:49 - 00:02:51] 而软银和MGX等其他方
[00:02:51 - 00:02:54] 并没有参与到这个算力集群的建设
[00:02:54 - 00:02:57] 我们再来看一看阿比利园区的具体规划
[00:02:57 - 00:02:59] 这个园区在Lancelot的网站上
[00:02:59 - 00:03:01] 被称为阿比利Clean Campus
[00:03:01 - 00:03:03] 它的建设规模十分的庞大
[00:03:03 - 00:03:05] 有多个建筑模块组成
[00:03:05 - 00:03:09] 有每4个大约11,150平方米的模块
[00:03:09 - 00:03:11] 构成一栋44,600平方米的建筑
[00:03:12 - 00:03:14] 目前仅有两栋建筑在建
[00:03:14 - 00:03:17] 总共关键IT负载容量大约为180兆瓦
[00:03:18 - 00:03:21] 不过整个园区的规划是由20栋建筑组成的
[00:03:21 - 00:03:23] 将会包含80个这样的模块
[00:03:23 - 00:03:25] 在供电能力方面
[00:03:25 - 00:03:29] 圆区原本声称2025年将实现一计瓦的供电能力
[00:03:29 - 00:03:32] 但是通过多个行业消息员和文件显示
[00:03:32 - 00:03:35] 圆区已经额外获得了一计瓦的容量
[00:03:35 - 00:03:37] 总供电能力将达到2.2计瓦
[00:03:37 - 00:03:41] 通过估算整体的关键ITE负载容量为1.8计瓦
[00:03:41 - 00:03:44] 能源使用效率POE大约为1.25
[00:03:44 - 00:03:47] 我们这里简单介绍一下能源使用效率POE
[00:03:47 - 00:03:50] 这是衡量数据中心能源效率的一个指标
[00:03:50 - 00:03:53] 它的计算方式是数据中心的总能耗
[00:03:53 - 00:03:54] 除以IT社会的能耗
[00:03:54 - 00:03:56] POE值越接近1
[00:03:56 - 00:03:58] 表示数据中心的能源效率越高
[00:03:58 - 00:04:00] 不过对于星际之门这个项目来说
[00:04:00 - 00:04:03] 考虑到后续一些硬件功率密度的提升
[00:04:03 - 00:04:05] 想要通过进一步优化
