BV号：BV1D9cceUEm3
标题：BV1D9cceUEm3
链接：https://www.bilibili.com/video/BV1D9cceUEm3
识别语言：zh
语言置信度：1
分段数：222
生成时间：2026-08-30 20:17:48

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:07] 上一期视频我们介绍了黄泳勋在CES上最新发布的内容
[00:00:07 - 00:00:11] 其中有一个Cosmos世界模型平台 广受大家的关注
[00:00:11 - 00:00:16] 正好因为达除了开源了模型之外 还公开了Cosmos的技术报告
[00:00:16 - 00:00:18] 今天大飞就来给大家解读一下
[00:00:18 - 00:00:20] 我们先再来介绍一下Cosmos
[00:00:20 - 00:00:24] 简单来说 Cosmos是一个世界模型平台
[00:00:24 - 00:00:27] 上面有一系列开源 开放全中的视频世界模型
[00:00:27 - 00:00:29] 参数量从4B到14B不等
[00:00:29 - 00:00:31] 這些模型的作用非常明確
[00:00:31 - 00:00:36] 就是為機器人自動駕駛汽車這些需要在物理世界中運行的AI系統
[00:00:36 - 00:00:40] 去生成大量照片及真實的基於物理的合成數據
[00:00:40 - 00:00:43] 來解決這些領域數據嚴重不足的問題
[00:00:43 - 00:00:46] 這次因為大的Cosmos平臺一共發布了8個模型
[00:00:46 - 00:00:50] 這些模型在2000萬小時的視頻數據上進行了訓練
[00:00:50 - 00:00:54] 分為擴散連續token和自揮規離散token兩種模型
[00:00:54 - 00:00:56] 支持通過文本生成視頻
[00:00:56 - 00:00:59] 以及文本加視頻來生成視頻兩種生成方式
[00:00:59 - 00:01:02] Cosmos一共包含了三種規格的模型
[00:01:02 - 00:01:04] 分別是Nano,Supr和Auto
[00:01:04 - 00:01:06] 與Video LDM基準相比
[00:01:06 - 00:01:10] Cosmos世界模型在幾何準確性方面表現更好
[00:01:10 - 00:01:13] 而且在視覺移制性方面可以持續超越VRDM
[00:01:13 - 00:01:16] 姿態估計成功率最高甚至可以飆升到14倍
[00:01:16 - 00:01:19] 黃二勳在CES的主題演象中也表示
[00:01:19 - 00:01:22] 機器人技術的Chad GPT時刻即將到來
[00:01:22 - 00:01:27] 但是因為並不是所有的開發者都具備訓練自己的世界模型的專業知識和資源
[00:01:27 - 00:01:29] 所以因為它創建了Cosmos
[00:01:29 - 00:01:32] 目的是为了让物理AI普及化
[00:01:32 - 00:01:34] 让每个开发者都能够用上通用机器人技术
[00:01:34 - 00:01:37] 而因为达这次公开的技术报告
[00:01:37 - 00:01:40] 主要就是介绍了Cosmos世界技术模型平台
[00:01:40 - 00:01:42] 简称WFM的工作研里
[00:01:42 - 00:01:44] 它一共包含了4大功能模块
[00:01:44 - 00:01:48] 分别是扩散模型、自回归模型、视频分支器
[00:01:48 - 00:01:50] 以及视频处理与编辑流程
[00:01:50 - 00:01:54] 在论文中研究人员主要关注的是视觉世界技术模型
[00:01:54 - 00:01:55] 因为在这种模型中
[00:01:55 - 00:01:58] 观察结果可以以视频的形式来呈现
[00:01:58 - 00:02:00] 绕动可以以各种形式存在
[00:02:00 - 00:02:01] 简单来说
[00:02:01 - 00:02:04] 研究人员提出了一个预训链加后训链的范式
[00:02:04 - 00:02:09] 将WFM分成了预训链WFM和后训链WFM
[00:02:09 - 00:02:11] 为了建立预训链WFM
[00:02:11 - 00:02:14] 他们利用了大规模的视频训练数据级
[00:02:14 - 00:02:16] 让模型可以接触到各种不同的视觉体验
[00:02:16 - 00:02:19] 从而能够生成高质量就有一致性的3D视频
[00:02:19 - 00:02:22] 得到一个通用的世界模型
[00:02:22 - 00:02:24] 而为了建立后训链WFM
[00:02:24 - 00:02:26] 他们使用了从特定物理AI环境中
[00:02:26 - 00:02:29] 收集到的提示視頻對數據級
[00:02:29 - 00:02:31] 對預訓鏈WFM進行微調
[00:02:31 - 00:02:34] 從而得到了用於特定目的的WFM
[00:02:34 - 00:02:36] 這種預訓鏈和後訓鏈相結合的策略
[00:02:36 - 00:02:39] 為構建物理AI系統提供了一種高效的方法
[00:02:39 - 00:02:42] 由預訓鏈WFM提供了良好的基礎
[00:02:42 - 00:02:45] 所以後訓鏈的數據級可以相對較小
