BV号：BV1D9cceUEur
标题：BV1D9cceUEur
链接：https://www.bilibili.com/video/BV1D9cceUEur
识别语言：zh
语言置信度：1
分段数：22
生成时间：2026-08-30 20:14:19

[00:00:00 - 00:00:06] 最近 菲爾自講獲得者 數學天才陶哲軒在社交平台上分享了自己最新論文被拒的過程和感受
[00:00:06 - 00:00:11] 陶哲軒說 他被拒稿其實是比較常見的事情 平均每年會發生一兩次
[00:00:11 - 00:00:16] 他向學生和同事提起這個事實的時候 他們會很驚訝 陶哲軒竟然也會被拒稿
[00:00:16 - 00:00:20] 所以他也意識到 在數學行業 大家都只願意公布成功的成果
[00:00:20 - 00:00:23] 而不願意公布失敗的事實 除非這些失敗具有一定的爭議性
[00:00:23 - 00:00:27] 正因為這樣 大家會覺得所有的數學家不是取得了成功 就是引起了爭議
[00:00:27 - 00:00:32] 他也推測这也是数学领域普遍存在冒名顶替综合症的诱因之一
[00:00:32 - 00:00:34] 所以他决定公开自己被拒搞的事实
[00:00:34 - 00:00:37] 也是对更准确披露信息的一种象征性姿态
[00:00:37 - 00:00:39] 帖子发布后瞬间引起了热议
[00:00:39 - 00:00:41] 甚至有网友这样评价陶哲轩
[00:00:41 - 00:00:44] 他这个级别的科学家更像是CEO而非典型科学家
[00:00:44 - 00:00:48] 他拥有多个大型实验室每隔几天就要进行演讲
[00:00:48 - 00:00:50] 值得一提的是从陶哲轩的公开演讲来看
[00:00:50 - 00:00:51] 除数学领域外
[00:00:51 - 00:00:54] 他本人也在AI领域花费了不少精力
[00:00:54 - 00:00:59] 前不久他還和OpenAI高管9OE模型如何與數學融合的問題進行了對談
[00:00:59 - 00:01:03] 此外陶哲軒近期發布的很多帖子也和AI相關
[00:01:03 - 00:01:05] 包括他本人也是AI的深度應用者
[00:01:05 - 00:01:08] 不過如果最優秀最聰明的數學家之一都能被拒搞
[00:01:08 - 00:01:10] 那麼這幾乎可能發生在任何人身上
[00:01:10 - 00:01:13] 至少說明某些系統運行的還算正常
