BV号：BV1DWCrYSEfp
标题：BV1DWCrYSEfp
链接：https://www.bilibili.com/video/BV1DWCrYSEfp
识别语言：zh
语言置信度：1
分段数：371
生成时间：2026-08-30 22:35:57

[00:00:00 - 00:00:03] 大家好 这里是最佳拍档 我是大飞
[00:00:03 - 00:00:06] 零件年底 大家都喜欢盘点一下过去
[00:00:06 - 00:00:07] 再展望一下未来
[00:00:07 - 00:00:09] 前几天我们做了一期
[00:00:09 - 00:00:13] 《红山美国对于AI行业2025年发展的三个预测》
[00:00:13 - 00:00:15] 今天再来给大家分享一期
[00:00:15 - 00:00:18] Reddick Winters的投资人罗布托斯
[00:00:18 - 00:00:21] 他对于2025年AI发展的十个预测
[00:00:21 - 00:00:23] 大家来看看有没有道理
[00:00:23 - 00:00:24] 第一个预测
[00:00:24 - 00:00:26] Metal将开始对拉马模型收费
[00:00:26 - 00:00:29] 可以说Metal是目前世界上开源AI的一个标杆
[00:00:29 - 00:00:33] 当OpenI和谷歌这些公司只提供必原的前沿模型
[00:00:33 - 00:00:35] 并且收取使用费的时候
[00:00:35 - 00:00:38] Meta却选择免费提供了自己最先进的拉马模型
[00:00:38 - 00:00:41] 因此 托斯预测的这第一条
[00:00:41 - 00:00:44] 明年Meta会开始向使用拉马的公司收费
[00:00:44 - 00:00:46] 可能会让很多人感到意外
[00:00:46 - 00:00:48] 不过需要澄清的是
[00:00:48 - 00:00:52] 托斯只是预测Meta将会对拉马的开源许可条款
[00:00:52 - 00:00:53] 做出更多的限制
[00:00:53 - 00:00:56] 使得在一定规模以上的商业环境中使用拉马
[00:00:56 - 00:00:57] 才需要付费
[00:00:57 - 00:01:01] 所以并不是说Mata会将拉马完全的避源
[00:01:01 - 00:01:04] 也不意味着所有使用拉马的用户都必须付费
[00:01:04 - 00:01:06] 其实Mata已经在这么做了
[00:01:06 - 00:01:08] 比如说在现在的许可条款中
[00:01:08 - 00:01:11] 就不允许云计算巨头和其他越活越用户
[00:01:11 - 00:01:12] 超过7亿的公司
[00:01:12 - 00:01:14] 自由的使用拉马博行
[00:01:14 - 00:01:17] 早在2023年小渣就说过
[00:01:17 - 00:01:19] 如果是微软、研磨讯或者谷歌这样的公司
[00:01:19 - 00:01:21] 基本上会转售拉马
[00:01:21 - 00:01:24] 那么Mata应该从中获得一部分的收入
[00:01:24 - 00:01:26] 所以说明年Mata可能会大幅扩大
[00:01:26 - 00:01:29] 必须付费才能使用拉马的企业范围
[00:01:29 - 00:01:32] 将更多的大中型企业纳入到其中
[00:01:32 - 00:01:36] 不过对于爱好者、学者、个人开发者和出创公司来说
[00:01:36 - 00:01:39] 明年应该还是能继续免费的使用拉马模型
[00:01:39 - 00:01:42] 第二个预测关于Skinning loss
[00:01:42 - 00:01:45] 如果说最近在AI领域引发讨论最多的话题
[00:01:45 - 00:01:47] 肯定就要说Skinning loss了
[00:01:47 - 00:01:50] 大家都在关心它是否即将终结
[00:01:50 - 00:01:53] 2020年OpenS首次提出了Skinning loss
[00:01:53 - 00:01:57] 指明隨著模型參數數量、訓練數據量和計算量的增加
