BV号：BV1DX6qYYEyJ
标题：BV1DX6qYYEyJ
链接：https://www.bilibili.com/video/BV1DX6qYYEyJ
识别语言：zh
语言置信度：1
分段数：313
生成时间：2026-08-30 21:14:21

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:04] 这两天稍微休息了一下
[00:00:04 - 00:00:07] 所以今天是2025年的第一期视频
[00:00:07 - 00:00:10] 我也一直在想聊点什么话题好
[00:00:10 - 00:00:13] 想来想去 我觉得还是从OPEN-I开始吧
[00:00:13 - 00:00:15] 毕竟在如今AI的发展浪潮中
[00:00:15 - 00:00:17] 它是一个绕不过去的公司
[00:00:17 - 00:00:19] 短短的两三年时间
[00:00:19 - 00:00:20] 就从一个研究实验室
[00:00:20 - 00:00:22] 成长为了AI领域的巨头
[00:00:22 - 00:00:24] 最快一点原因
[00:00:24 - 00:00:25] 就是它在今年
[00:00:25 - 00:00:27] 即将会实现一个重大的架构调整
[00:00:27 - 00:00:29] 很有可能会成为这次
[00:00:29 - 00:00:31] AI发展浪潮中的一个关键转折点
[00:00:31 - 00:00:35] 视频最后我会再对OPI做一些我个人的预测
[00:00:35 - 00:00:36] 大家可以参考一下
[00:00:37 - 00:00:39] 我们都知道OPI最初成立的时候
[00:00:39 - 00:00:41] 定位是一个非盈利的组织
[00:00:42 - 00:00:43] 在当时的环境下
[00:00:43 - 00:00:46] 它通过各种方式来积极的筹集捐款
[00:00:46 - 00:00:48] 一心专注在技术研发
[00:00:48 - 00:00:50] 将资金回报放在了次要的位置
[00:00:51 - 00:00:53] 那会它的核心目标也是要开发出
[00:00:53 - 00:00:55] 能够造福人类的人工智能技术
[00:00:55 - 00:00:58] 而并不是要为少数股东来谋取利益
[00:00:59 - 00:01:01] 然而呢,隨著公司的不斷發展壯大
[00:01:01 - 00:01:04] OPI在人工智能領域逐漸形成了領跑的優勢
[00:01:04 - 00:01:08] 內部和外部對於公司的組織架構變更的問題
[00:01:08 - 00:01:10] 也開始產生了激烈的爭議
[00:01:10 - 00:01:13] 就在前幾天,OPI發布了一篇重要的博文
[00:01:13 - 00:01:16] 宣布公司將採用全新的企業架構
[00:01:16 - 00:01:18] 這個全新架構的核心
[00:01:18 - 00:01:21] 就是將公司拆分成截然不同的兩個部分
[00:01:21 - 00:01:25] 其中的一部分採用公共利益公司結構PBC
[00:01:25 - 00:01:27] 主要的任務是全力追求營收
[00:01:27 - 00:01:29] 并且不断扩大盈利规模
[00:01:29 - 00:01:31] 以此来获取充足的资金
[00:01:31 - 00:01:34] 确保公司在激烈的市场经中中
[00:01:34 - 00:01:36] 有足够的资源来支持持续的发展
[00:01:36 - 00:01:40] 另一部分则坚守非盈利组织的形式
[00:01:40 - 00:01:44] 致力于在医疗、教育和科学等关键领域开展慈善事业
[00:01:44 - 00:01:47] 推动人物智能在这些领域的应用和发展
[00:01:47 - 00:01:49] 渐行造福人类的使命
[00:01:49 - 00:01:53] 同时呢,Open还明确了下一步的使命口号
[00:01:53 - 00:01:56] 那就是帮助建立AGI经济并且确保它造福人类
[00:01:56 - 00:01:59] 在2024年科技界的兩位重要人物
[00:01:59 - 00:02:01] 馬斯克和扎克伯格
[00:02:01 - 00:02:03] 分別都針對於OPI的架構轉變
[00:02:03 - 00:02:05] 表達了強烈的反對態度
[00:02:05 - 00:02:07] 馬斯克多次提起訴訟
[00:02:07 - 00:02:10] 扎克伯格也向政府發出請求
[00:02:10 - 00:02:13] 他們共同呼籲阻止OPI從非盈利性
[00:02:13 - 00:02:14] 向盈利性公司轉變
[00:02:14 - 00:02:17] 認為這種轉變會破壞市場的公平性
[00:02:17 - 00:02:20] 但是從目前的形勢來看
[00:02:20 - 00:02:22] OPI追求盈利來獲取更多的
[00:02:22 - 00:02:24] 發展資金的決心十分的堅定
[00:02:24 - 00:02:28] 一场围绕AJI市场的全新变局正在敲然的上演
[00:02:28 - 00:02:30] 围绕这次架构调整
[00:02:30 - 00:02:33] OPEN-I的管理层其实已经进行了好几个月的深入讨论
[00:02:33 - 00:02:37] 只是在前期并没有对外透露太多的细节
[00:02:37 - 00:02:38] 按照OPEN-I自己的说法
[00:02:38 - 00:02:41] 公司的计划从现有的有限盈利性机构
[00:02:41 - 00:02:43] 转变为公共利益公司性质
[00:02:43 - 00:02:46] 在未来OPEN-I还打算发行普通股
[00:02:46 - 00:02:50] 并且始终将公司的使命作为其公益利益的核心
[00:02:50 - 00:02:53] OPEN-I相信盈利组织如果能够取得成功
[00:02:53 - 00:02:56] 將會為非營利組織帶來充足的資金支持
[00:02:56 - 00:02:59] 從而使非營利組織能夠更好地維持運營
[00:02:59 - 00:03:02] 並且在完成最初設定的使命方面
[00:03:02 - 00:03:03] 處於更為有利的地位
[00:03:03 - 00:03:05] 其實最近幾年來
[00:03:05 - 00:03:08] 這種PPC的架構在科技企業中也逐漸受到關注
[00:03:08 - 00:03:10] 它是一種充分考慮
[00:03:10 - 00:03:12] 公共社會利益的新型企業形式
[00:03:12 - 00:03:14] 比方說安斯拉貝克就採用了
[00:03:14 - 00:03:17] 公益公司加長期利益信託基金的模式
[00:03:17 - 00:03:19] 而馬斯克創建的XAI
[00:03:19 - 00:03:21] 則採用了公益企業的架構
[00:03:21 - 00:03:23] 這些都與OPI的PPC架構
[00:03:23 - 00:03:24] 有著相似之處
[00:03:24 - 00:03:26] 在未來的發展進程中
[00:03:26 - 00:03:27] PBC架構的一大優勢
[00:03:27 - 00:03:31] 在於能夠讓OPI以常規的市場條件進行融資
[00:03:31 - 00:03:34] 這對於公司的資金籌集和業務拓展至關重要
[00:03:34 - 00:03:36] 在上次融資的時候
