BV号：BV1DeXUYbEjB
标题：BV1DeXUYbEjB
链接：https://www.bilibili.com/video/BV1DeXUYbEjB
识别语言：zh
语言置信度：1
分段数：667
生成时间：2026-08-30 12:35:45

[00:00:00 - 00:00:03] R1,KIMI K1.5等技術的解读
[00:00:03 - 00:00:06] 也是对之前O1解读的一个叙作
[00:00:07 - 00:00:09] 这是我们这次讨论的一个目录
[00:00:09 - 00:00:14] 涵盖了包括Deepseeker R1,KIMI K1.5的具体的技术分析和讲解
[00:00:14 - 00:00:18] 同时也包括对其背后的社会和经济效益
[00:00:18 - 00:00:22] 以及一些Insights和Takeaways的分析
[00:00:22 - 00:00:25] 具体来说我们还会进行相应的技术细节的讨论
[00:00:25 - 00:00:28] 比如说基于STAR的方法和基于强硬学习的方法
[00:00:28 - 00:00:34] 进行强退力模型付现的区分和产生的效果都不同
[00:00:34 - 00:00:38] 这里面就包括了DeepC卡1,Kimik1.5和O系列的模型
[00:00:38 - 00:00:42] 那么我们也会分析帧流和强硬学习驱动下
[00:00:42 - 00:00:45] 不同的强退路径付现的区别
[00:00:45 - 00:00:49] 同时也会探讨PRM和MCTS
[00:00:49 - 00:00:54] 也就是摩托卡罗斯索索在整个强退力模型
[00:00:54 - 00:00:55] 跟構建過程中的作用
[00:00:55 - 00:01:00] 其次我們也會探討一些從文本模檯到動物檯的實踐
[00:01:00 - 00:01:04] 最後我們會對Velvet Fossil進行一個分析和探討
[00:01:04 - 00:01:11] 包括一個模檯穿透的探索合成數據以及強退了以下的安全
[00:01:11 - 00:01:15] 那我們也會補充拓展一個DPC V3的解讀
[00:01:18 - 00:01:21] 那麼近期的後訓練階段開始成為語言模型中
[00:01:21 - 00:01:24] 在完整訓練過程中非常關鍵的一環
[00:01:24 - 00:01:29] 包括去提升退利能力和社会价值对戏方面起到了非常重要的作用
[00:01:29 - 00:01:34] 那自从OpenIOE开启后训练强化学习新饭时候
[00:01:34 - 00:01:36] 社区去研究Inference Time Scaling
[00:01:36 - 00:01:42] 通过增强COT的长度的热情也是在逐渐增高
[00:01:42 - 00:01:44] 那么其中一个关键的问题就是
[00:01:44 - 00:01:48] 如何通过有效的测试阶段的时间的扩展
[00:01:48 - 00:01:53] 来提升它的退利能力变成了一个非常重要的问题
[00:01:53 - 00:01:59] 那么近期DPSCRE的开源能力是再次让我们看到了强化学习的潜力
[00:01:59 - 00:02:02] 那得益于纯的大规模强化学习
[00:02:02 - 00:02:05] DPSCREZERO和DPSCRER1
[00:02:06 - 00:02:13] 那它的出现其实大大提升了这个推理能力和这个长文本的思考能力
[00:02:13 - 00:02:14] 那其中
[00:02:15 - 00:02:19] REZERO它是完全从基础模型开始构建
[00:02:19 - 00:02:22] 完全依赖强化学习而不使用
[00:02:22 - 00:02:24] 人类专家标注的监督微调
[00:02:24 - 00:02:27] 那么在训练过程中随着训练布置的增加
[00:02:27 - 00:02:31] 模型也是逐渐展现出长文本推理以及长连续修复的能力
[00:02:31 - 00:02:33] 随着推理路径的逐步增长
[00:02:33 - 00:02:35] 模型还表现出自我反思的能力
[00:02:35 - 00:02:38] 能够发现并修复之前的错误
[00:02:39 - 00:02:43] 那么得益于强大的推理能力和长文本思考能力
[00:02:43 - 00:02:47] Deepseeker1在开源以来就备受关注
[00:02:47 - 00:02:50] 其中他在著名的数学代码任务榜单上
[00:02:50 - 00:02:53] 也是获得了非常突出的表现
[00:02:53 - 00:02:57] 比如在AME2024上取得了79.8的成绩
[00:02:57 - 00:02:59] 也是超过了OpenLi OE
[00:02:59 - 00:03:00] 其中也在编码的任务上
[00:03:00 - 00:03:02] 别人出了专家水平
[00:03:03 - 00:03:07] 与此同时DPCGRE也在知识类问答的任务上
[00:03:07 - 00:03:10] 推众的科学探索的编辑
[00:03:10 - 00:03:13] 在无论MLU还是JPQA等
[00:03:13 - 00:03:17] 一些基于科学问答和理工类的
[00:03:17 - 00:03:19] 榜单上都是取得了比较好的表现
[00:03:19 - 00:03:25] 更令人惊艳的是,R1在一些常本依赖的任务上
[00:03:25 - 00:03:29] 比如Frames和一些市值性推大任务上是表现突出
[00:03:29 - 00:03:34] 那其实也展现出来了强退力模型在AI驱动的一些research
[00:03:34 - 00:03:37] 包括一些研究的一个潜力
[00:03:37 - 00:03:41] 那我们先首先回过一下预训的阶段的扩展率
[00:03:41 - 00:03:44] 那其实也就是在预训面模型上
[00:03:44 - 00:03:49] 计算量,数据和参数量成一个类似于证比的关系
[00:03:49 - 00:03:53] 也就是算力等于6倍的参数量乘上数据量
[00:03:53 - 00:03:56] 因此在大模型时代发展的初期
[00:03:56 - 00:03:59] 图人卡提升了预训练的算力和模型参数
[00:03:59 - 00:04:00] 变成了主要目标
[00:04:01 - 00:04:03] 随着OpenIo1的发布
[00:04:03 - 00:04:06] 也证明了在强化学院加持下
[00:04:06 - 00:04:08] 后训练时代一个新的扩展率
[00:04:08 - 00:04:12] 也就是随着模型在后训练阶段的训练式计算量
[00:04:12 - 00:04:14] 和测试式计算量的提升
[00:04:14 - 00:04:17] 模型的性能特别是数学代码能力
[00:04:17 - 00:04:19] 也会随之提升
[00:04:19 - 00:04:21] 那么在后训练扩展率下
