BV号：BV1DhddYsEsV
标题：BV1DhddYsEsV
链接：https://www.bilibili.com/video/BV1DhddYsEsV
识别语言：zh
语言置信度：1
分段数：351
生成时间：2026-08-30 08:36:49

[00:00:00 - 00:00:03] 大家好 这里是最佳拍档 我是大飞
[00:00:03 - 00:00:04] 在AI的发展过程中
[00:00:04 - 00:00:07] 芯片是个始终绕不过去的环节
[00:00:07 - 00:00:10] 也奠定了如今AI飞速发展的基石
[00:00:10 - 00:00:14] 两周前 知名波克20VC的主持人哈里斯·德斌斯
[00:00:14 - 00:00:17] 采访了CyberBrice公司的联合创始人
[00:00:17 - 00:00:19] 兼CEO安德鲁·菲尔德曼
[00:00:19 - 00:00:23] 聊到了他对AI芯片领域的许多前沿信息和深刻见解
[00:00:23 - 00:00:26] 今天大飞就来给大家分享一下
[00:00:26 - 00:00:29] 谈话从回顾CyberBrice的创立开始
[00:00:29 - 00:00:31] 时间回到2015年
[00:00:31 - 00:00:34] 当时AI的发展还处于相对早期的阶段
[00:00:34 - 00:00:36] 但是Cyberus的几名联合创神
[00:00:36 - 00:00:40] 却敏锐的决查到了其中运寒的巨大机遇
[00:00:40 - 00:00:41] 他们意识到
[00:00:41 - 00:00:43] AI软件对于底层芯片处理器的需求
[00:00:43 - 00:00:46] 与传统计算场景截然不同
[00:00:46 - 00:00:49] 需要为AI打造一个更适配的硬件系统
[00:00:49 - 00:00:50] 事实证明
[00:00:50 - 00:00:52] 他们的判断是极具前瞻性的
[00:00:52 - 00:00:54] 尽管他们最开始的时候
[00:00:54 - 00:00:56] 也低估了AI市场的规模
[00:00:56 - 00:00:57] 但是还是深刻认识到了
[00:00:57 - 00:00:59] 内存贷宽和通信架构
[00:00:59 - 00:01:02] 将成为制约AI发展的关键因素
[00:01:02 - 00:01:03] 正是基于这些判断
[00:01:03 - 00:01:05] Celbrus公司依然投身到了
[00:01:05 - 00:01:08] AI芯片的研发浪潮之中
[00:01:08 - 00:01:10] 芯片的核心功能简单来说
[00:01:10 - 00:01:12] 其实就是执行运算和传输数据
[00:01:12 - 00:01:15] 偶尔也涉及一些数据存储
[00:01:15 - 00:01:17] 但是AI运算有着自身的特点
[00:01:17 - 00:01:20] 那就是它的基础运算其实并不复杂
[00:01:20 - 00:01:22] 主要是举证惩罚
[00:01:22 - 00:01:25] 对于一名大二电子工程系的学生来说
[00:01:25 - 00:01:28] 设计一个辅典数成绩了一家运算单元
[00:01:28 - 00:01:29] 并非什么难事
[00:01:29 - 00:01:31] 但是真正的挑战在于
[00:01:31 - 00:01:34] AI运算需要进行海量级的简单计算
[00:01:34 - 00:01:36] 这意味着数据量极其庞大
[00:01:36 - 00:01:38] 并且运算的结果和中间结果
[00:01:38 - 00:01:41] 需要频繁的在内存中转移
[00:01:41 - 00:01:44] 还常常要被拆分之后划GPU传输
[00:01:44 - 00:01:46] 严重影响了整个系统的效率
[00:01:46 - 00:01:49] 因此Celbrus在芯片设计理念上
[00:01:49 - 00:01:51] 充分考虑了AI运算的这些特点
[00:01:51 - 00:01:53] 他们明白要想打造出
[00:01:53 - 00:01:55] 更快更节能的AI计算系统
[00:01:55 - 00:01:56] 就必须要功课
[00:01:56 - 00:01:59] 数据频繁转移这个核心的难题
[00:01:59 - 00:02:01] 在技术路线的选择上
[00:02:01 - 00:02:03] CyberRX没有局限于模型的微条
[00:02:03 - 00:02:06] 训练或者是推理中的某一个环节
[00:02:06 - 00:02:08] 而是选择三者兼顾
[00:02:08 - 00:02:09] 从计算层面来看
[00:02:09 - 00:02:12] 训练和微条的需求基本上是一致的
[00:02:12 - 00:02:13] 虽然的目的有所差异
[00:02:13 - 00:02:17] 但是本质上都是对数据进行处理和优化
[00:02:17 - 00:02:20] 但是推理与训练却存在着明显的差异
[00:02:20 - 00:02:22] 尤其是生成式的推理
[00:02:22 - 00:02:24] 对内存贷宽提出了极高的要求
[00:02:25 - 00:02:27] 以一个700亿参数的常规模型为例
[00:02:27 - 00:02:28] 每个参数16位
[00:02:29 - 00:02:32] 生成一个单词就需要移动140GB的数据
[00:02:32 - 00:02:34] 如此巨大的数据班运量
[00:02:34 - 00:02:35] 难度可想而知
[00:02:35 - 00:02:38] 而GPU采用的HBm存储器
[00:02:38 - 00:02:40] 虽然在图形计算时代表现出色
[00:02:40 - 00:02:44] 但是在AI推理场景中却存在着速度的局限
[00:02:44 - 00:02:45] 因为在图形计算中
[00:02:45 - 00:02:47] 内存交互的频率相对较低
[00:02:48 - 00:02:51] 而AI推理需要频繁的读取和写入数据
[00:02:51 - 00:02:53] HBM就显得力不从心了
[00:02:53 - 00:02:55] 与之形成对比的是SRAM
[00:02:55 - 00:02:57] 它虽然速度极快
[00:02:57 - 00:03:00] 但是传统芯片尺寸的SRAM容量有限
[00:03:00 - 00:03:02] 根本无法承载完整的模型参数
[00:03:02 - 00:03:06] 如果用传统的SRAM芯片运行4000亿参数的模型
[00:03:06 - 00:03:09] 可能就需要4000维芯片协同工作才行
