BV号：BV1DwUBBLEr2
标题：BV1DwUBBLEr2
链接：https://www.bilibili.com/video/BV1DwUBBLEr2
识别语言：zh
语言置信度：1
分段数：203
生成时间：2026-08-29 22:06:41

[00:00:00 - 00:00:03] 沃倫巴菲特 投资界的传奇
[00:00:03 - 00:00:07] 最近发布了他最后一封感恩节信
[00:00:07 - 00:00:10] 这可不只是一封普通的股东信
[00:00:10 - 00:00:12] 他更像是一份时代的告别
[00:00:12 - 00:00:15] 也是一份非常深刻的人生感悟
[00:00:15 - 00:00:18] 所以今天咱们就一起深入地看看
[00:00:18 - 00:00:20] 他到底都说了些什么呢
[00:00:20 - 00:00:23] 你看这封信一上来就放了个大招
[00:00:23 - 00:00:25] 巴菲特用了一句特别有分量的话
[00:00:25 - 00:00:28] 说自己正在归于成绩
[00:00:28 - 00:00:33] 哇,这话一出,大家就知道这不仅仅是退休那么简单
[00:00:33 - 00:00:36] 一个时代可能真的要结束了
[00:00:36 - 00:00:40] 好,那咱们今天就跟着这个路线图一步步地来拆解这封信
[00:00:40 - 00:00:43] 我们会聊到时代的落幕
[00:00:43 - 00:00:45] 他眼中奥马哈的魔力
[00:00:45 - 00:00:47] 他的运气和人生的反思
[00:00:47 - 00:00:52] 当然还有伯克希尔的未来和他留给我们的最后中告
[00:00:52 - 00:00:54] 咱们先来看第一部分
[00:00:54 - 00:00:56] 一个时代的落幕
[00:00:56 - 00:00:59] 这可以说是信里最重磅的一个消息了
[00:00:59 - 00:01:01] 核心信息非常明确
[00:01:01 - 00:01:03] 格雷格阿贝尔将在2025年底
[00:01:03 - 00:01:05] 正式接替巴菲特
[00:01:05 - 00:01:07] 成为伯克希尔的CEO
[00:01:07 - 00:01:08] 但是呢
[00:01:08 - 00:01:11] 巴菲特也不会就这么彻底消失
[00:01:11 - 00:01:12] 他承诺了以后
[00:01:12 - 00:01:14] 还是会通过感恩结性的方式
[00:01:14 - 00:01:16] 继续和股东们交流
[00:01:16 - 00:01:17] 所以说啊
[00:01:17 - 00:01:19] 这既是一次正式的交接
[00:01:19 - 00:01:21] 也是一种承诺的延续
[00:01:21 - 00:01:22] 好
