BV号：BV1DyX9BiE74
标题：BV1DyX9BiE74
链接：https://www.bilibili.com/video/BV1DyX9BiE74
识别语言：zh
语言置信度：1
分段数：402
生成时间：2026-08-29 07:20:47

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 今天我们来聊一个每个前端
[00:00:04 - 00:00:06] 每个UI工程师都遇到过
[00:00:06 - 00:00:09] 但又很少有人真正去死磕的底层黑魔法
[00:00:09 - 00:00:13] 在开始之前 我想问大家一个极其反常史的问题
[00:00:13 - 00:00:15] 在今天的现代浏览器里
[00:00:15 - 00:00:17] 什么样的操作最容易让你的网页掉真
[00:00:17 - 00:00:19] 卡顿甚至直接把主线程锁死
[00:00:19 - 00:00:21] 让你的页面变成PPT
[00:00:21 - 00:00:24] 是加载一张4K的超高清大图吗
[00:00:24 - 00:00:27] 是跑一个复杂的WebGL3D模型吗
[00:00:27 - 00:00:29] 还是在后台用Web3部里狂算哈西值
[00:00:29 - 00:00:31] 其实都不是
[00:00:31 - 00:00:33] 在很多重度交互的网页里
[00:00:33 - 00:00:35] 最离谱最隐蔽的性能杀手
[00:00:36 - 00:00:38] 往往是一件听起来无比简单
[00:00:38 - 00:00:39] 甚至有点可笑的事情
[00:00:39 - 00:00:41] 测一段文字到底有多高
[00:00:41 - 00:00:43] 你可能会觉得这有什么难的
[00:00:43 - 00:00:44] 浏览器不就是干这个的吗
[00:00:45 - 00:00:47] 文字有多高排出来不就知道了吗
[00:00:47 - 00:00:49] 没错 浏览器确实会排
[00:00:49 - 00:00:51] 但问题恰恰出在这个排字上
[00:00:51 - 00:00:54] 在绝大多数时候很多高级的前端组件
[00:00:54 - 00:00:56] 比如无线滚动的虚拟列表
[00:00:56 - 00:00:58] 高度层次不齐的瀑布流
[00:00:58 - 00:01:02] 或者是那些要求文字紧凑贴合的聊天气泡
[00:01:02 - 00:01:05] 他们在真正把像素画到屏幕上之前
[00:01:05 - 00:01:08] 都极度渴望提前知道这段文字最终长什么样
[00:01:08 - 00:01:09] 因为只有知道了高度
[00:01:09 - 00:01:13] 虚拟滚动才能精准地计算滚动条的绝对偏一辆
[00:01:13 - 00:01:17] 只有知道了宽度铺不留才能决定把这张卡片
[00:01:17 - 00:01:19] 塞进左边还是右边的列里
[00:01:19 - 00:01:21] 那传统前端是怎么做的呢
[00:01:21 - 00:01:23] 我们只能走一条极其卑微的路线
[00:01:23 - 00:01:26] 把文字偷偷塞进一个不可见的DOM节点里
[00:01:26 - 00:01:29] 然后调用那个臭名昭著的API
[00:01:29 - 00:01:30] Get Bound and Client Tracked
[00:01:30 - 00:01:32] 或者去读Offset Height
[00:01:32 - 00:01:34] 这一读恶梦就开始了
[00:01:34 - 00:01:37] 可能瞬间就把主线程锁住触发一连串的重排
[00:01:37 - 00:01:38] 那问题来了
[00:01:38 - 00:01:40] 在2026年的今天
[00:01:40 - 00:01:42] 在AI都可以帮我们写代码的时代
[00:01:42 - 00:01:44] 我们就不能不碰Dumb
[00:01:44 - 00:01:47] 直接在内存里算出稳字的高度和换行吗
[00:01:47 - 00:01:49] 今天我们要硬核拆解的就是
[00:01:49 - 00:01:52] 前端基础设施里的一个新物种Pretext
[00:01:52 - 00:01:54] 它不仅试图把网页排版
[00:01:54 - 00:01:56] 从被CSS限制的黑箱
[00:01:56 - 00:01:59] 理应声声的抢回到JavaScript的手里
[00:01:59 - 00:02:00] 更是在向我们揭示
[00:02:00 - 00:02:03] 在AI时代未来的UI到底应该怎么画
[00:02:03 - 00:02:05] 要理解这个新物中有多猛
[00:02:05 - 00:02:06] 我们得先搞清楚
[00:02:06 - 00:02:09] 为什么赌一个GetBundingClientTrack都会这么贵
[00:02:09 - 00:02:11] 这里我们要稍微复习一下
[00:02:11 - 00:02:13] 浏览器的底层渲染管线
[00:02:13 - 00:02:14] 当你用js改了一段文本
[00:02:14 - 00:02:16] 或者换了一个样式
[00:02:16 - 00:02:18] 浏览器并不是立刻就把像素
[00:02:18 - 00:02:19] 画到屏幕上的
[00:02:19 - 00:02:21] 它有一套极其严格的流水线
[00:02:21 - 00:02:25] 先构建DOM数在匹配CSOM算样式
[00:02:25 - 00:02:28] 然后把它们合并成渲染数Render Tree
[00:02:28 - 00:02:31] 接下来是最最耗时也最消耗CPU的布局
[00:02:31 - 00:02:32] Layout
[00:02:32 - 00:02:33] 阶段
[00:02:33 - 00:02:35] 浏览器要像搭机幕一样
[00:02:35 - 00:02:36] 算出每一个盒子
[00:02:36 - 00:02:39] 每一行文字在屏幕上的精确X和Y坐标
[00:02:39 - 00:02:40] 最后才是绘制
[00:02:40 - 00:02:41] Paint
[00:02:41 - 00:02:42] 和合成
[00:02:42 - 00:02:44] Composite
[00:02:44 - 00:02:45] 在这个流水线里
[00:02:45 - 00:02:47] 浏览器是非常聪明的
[00:02:47 - 00:02:48] 它极其擅长P处理
[00:02:48 - 00:02:51] 你用JS连续改了10个地步的颜色
[00:02:51 - 00:02:52] 改了20个元素的编剧
[00:02:52 - 00:02:54] 浏览器也会笑笑不说话
[00:02:54 - 00:02:56] 把这些任务默默攒起来
[00:02:56 - 00:02:57] 等到下一帧
[00:02:57 - 00:02:59] 也就是16.6毫秒之后
[00:02:59 - 00:03:00] 以自行算完
[00:03:00 - 00:03:03] 但是当你在这个批处理的过程中
[00:03:03 - 00:03:04] 突然用js问了一句
[00:03:04 - 00:03:05] 哎兄弟
[00:03:05 - 00:03:07] 刚才那个div现在到底有多高
[00:03:07 - 00:03:09] 浏览器瞬间就崩溃了
[00:03:09 - 00:03:10] 为了保证给你的这个数据
[00:03:10 - 00:03:12] 是绝对真实绝对准确的
[00:03:12 - 00:03:14] 浏览器别无选择
[00:03:14 - 00:03:16] 只能立刻停下手里所有攒着的工作
[00:03:16 - 00:03:20] 强行把整个页面的布局提前算一遍
[00:03:20 - 00:03:23] 这一步在工程上叫做同步强制布局
[00:03:23 - 00:03:24] Forced synchronous layout
[00:03:24 - 00:03:26] 或者叫同步 reflow
[00:03:26 - 00:03:28] 更惨的是真实的业务项目
[00:03:28 - 00:03:30] 组建A网页面里写了一段文字
[00:03:30 - 00:03:32] 然后立刻读了一下高度
[00:03:32 - 00:03:33] 紧接着
[00:03:33 - 00:03:35] 组建B也写了一段文字又读了一下高度
[00:03:35 - 00:03:38] A写B读A再写B再读
[00:03:38 - 00:03:40] 这种读写交错的操作
[00:03:40 - 00:03:43] 在前端有一个极其血型的名字
[00:03:43 - 00:03:44] 叫做Layout Threshing
[00:03:44 - 00:03:45] 布局抖动
[00:03:45 - 00:03:47] 它会让浏览器在一帧的时间里
[00:03:47 - 00:03:49] 反复进行全局排版
[00:03:49 - 00:03:51] 这就好比你让你妈帮你找衣服
[00:03:51 - 00:03:53] 你妈刚把整个衣柜翻乱
[00:03:53 - 00:03:55] 你又说算了我不穿这件了
[00:03:55 - 00:03:56] 给我找另一件
[00:03:56 - 00:03:57] 你妈肯定要打死你
[00:03:57 - 00:04:00] 这就是复杂UI最大的性能地域
[00:04:00 - 00:04:02] 只要你还在依赖DOM来获取尺寸
[00:04:02 - 00:04:04] 你就永远逃不出这个黑洞
[00:04:04 - 00:04:05] 为了解决这个问题
[00:04:05 - 00:04:08] 最近前端圈的大佬Cheng Lu
[00:04:08 - 00:04:09] 开训了一个叫Pretax的项目
[00:04:09 - 00:04:14] 这是一个极其硬核的纯JSTS多航文本测量与布局库
[00:04:14 - 00:04:15] 它的目标非常狠
[00:04:15 - 00:04:18] 彻底在用户态做文本布局
[00:04:18 - 00:04:19] 什么叫用户台
[00:04:19 - 00:04:21] 就是不在依赖CSS的声明
[00:04:21 - 00:04:23] 不再去读DOM的结果
[00:04:23 - 00:04:26] 整个系统运行在浏览器最热的执行路经理
[00:04:26 - 00:04:29] 只做最纯粹的算数运算
[00:04:29 - 00:04:30] 它不仅支持英文
[00:04:30 - 00:04:31] 还支持CJK
[00:04:31 - 00:04:33] 中日韩文字
[00:04:33 - 00:04:34] Emoji
[00:04:34 - 00:04:35] 甚至是从右
[00:04:35 - 00:04:39] 像左读的阿拉伯文等复杂的双向文字混排
[00:04:39 - 00:04:41] 算出来的结果你可以自由支配
[00:04:41 - 00:04:43] 输出到DOM里画在CANVAS上
[00:04:43 - 00:04:47] 导称SVG甚至在NodeJS服务器端直接把板排好
[00:04:47 - 00:04:50] 把高度绝对定死再发给前端客户端
[00:04:50 - 00:04:51] 听到这里你可能会想
[00:04:51 - 00:04:52] 既然不走
[00:04:52 - 00:04:53] Dumb
[00:04:53 - 00:04:55] 那它到底是怎么量出文字宽度的
[00:04:55 - 00:04:57] 它走了一条看起来很笨
[00:04:57 - 00:04:59] 但极其稳妥且巧妙的路
[00:04:59 - 00:05:00] 利用
[00:05:00 - 00:05:02] Canvas Demagertext 扩号 API
[00:05:02 - 00:05:04] Canvas这个东西很有意思
[00:05:04 - 00:05:05] 它是一个独立的画布
[00:05:05 - 00:05:08] 你在上面用JS写自画图
[00:05:08 - 00:05:10] 它是完全有利于刚才我们说的
[00:05:10 - 00:05:13] 那个庞大的DOM渲染管线之外的
[00:05:13 - 00:05:16] Canvas内部自带了一个测量文字宽度的能力
[00:05:16 - 00:05:20] 最关键的是调用它,绝不会触发整个页面的DOM重新布局
[00:05:20 - 00:05:24] 它直接底层调用浏览器的C++字体引擎需要数据
[00:05:24 - 00:05:28] 但是Kanvas只能告诉你,这一串字如果连在一起写
[00:05:28 - 00:05:31] 总共有多款它根本不懂怎么换行
[00:05:31 - 00:05:33] 不懂断落,不懂复杂的排版规则
[00:05:33 - 00:05:36] 所以Pretax像一把极其精密的手术刀
[00:05:36 - 00:05:39] 把文本排版这个难题优雅的切成了两半
[00:05:39 - 00:05:41] Prepare和Layout
[00:05:41 - 00:05:45] 第一半是Prepare扩号,这是一次性的重火
[00:05:45 - 00:05:47] 在这个阶段Pretax的会像一个
[00:05:47 - 00:05:50] 精通多国语言的语言学家一样
[00:05:50 - 00:05:52] 把你的长篇大论大谢八块
[00:05:52 - 00:05:56] 首先是归一化空白合并多余的不可见字符
[00:05:56 - 00:05:57] 然后是分词和分断
[00:05:57 - 00:06:00] 找出人类语言里到底哪里可以换行
[00:06:00 - 00:06:02] 接着应用复杂的年连规则
[00:06:02 - 00:06:04] 比如中文的豆号和句号
[00:06:04 - 00:06:06] 绝对不能单独掉在文手
[00:06:06 - 00:06:08] 英文单词也不能随便从中间劈开
[00:06:08 - 00:06:09] 再处理BD
[00:06:10 - 00:06:10] 双向文本
[00:06:11 - 00:06:13] 如果一段从左到右的中文里
[00:06:13 - 00:06:16] 加砸了一句從右到左的阿拉伯文
[00:06:16 - 00:06:18] 排版的坐標軸該怎麼定
[00:06:18 - 00:06:20] 最後它拿了這些切好的
[00:06:20 - 00:06:22] 符合人類閱讀習慣的小詞塊
[00:06:22 - 00:06:24] 去Campus裡瘋狂的量取寬度
[00:06:24 - 00:06:26] 然後把這些極其寶貴的寬度數據
[00:06:26 - 00:06:28] 死死地緩存起來
[00:06:28 - 00:06:29] 第二半是Layout
[00:06:29 - 00:06:31] 這是超輕量級的熱路徑
[00:06:31 - 00:06:33] 什麼叫熱路徑
[00:06:33 - 00:06:35] 就是用戶在瘋狂滾動鼠標
[00:06:35 - 00:06:37] 脫罩改變瀏覽器窗口大小
[00:06:37 - 00:06:40] 或者做流暢的彈簧動畫時
[00:06:40 - 00:06:41] 每一秒要執行60次
[00:06:41 - 00:06:43] 甚至120字的代码
[00:06:43 - 00:06:44] 在这个阶段
[00:06:44 - 00:06:47] 它完全不再触碰任何浏览器API
[00:06:47 - 00:06:49] 只做纯粹的JS算数
[00:06:49 - 00:06:51] 因为它在第一阶段已经
[00:06:51 - 00:06:53] 知道了每一个词的精确宽度
[00:06:53 - 00:06:56] 它现在只需要玩一个贪心算法的拼图游戏
[00:06:56 - 00:06:58] 在这个给定的动态容器宽度下
[00:06:58 - 00:07:00] 能塞几个词就塞几个词
[00:07:00 - 00:07:01] 塞不下了就换一行
[00:07:01 - 00:07:03] 最后急速突出一个完美的总高度
[00:07:03 - 00:07:06] 总航数甚至每一个字的XY坐标
[00:07:06 - 00:07:08] 我们来看一下官方快照里
[00:07:08 - 00:07:10] 令人胆寒的Bunchmark跑分
[00:07:10 - 00:07:11] 在Chrome环境下
[00:07:11 - 00:07:15] 除了一批包含500个文本段落的重活Prepair扩号
[00:07:15 - 00:07:18] 大约需要18.85毫秒
[00:07:18 - 00:07:19] 但是一旦进入热路径
[00:07:19 - 00:07:22] 进行Layout的纯算数重排版时
[00:07:22 - 00:07:24] 仅仅只需要0.09毫秒
[00:07:24 - 00:07:27] 注意这个几十倍性能落差的恐怖意义
[00:07:27 - 00:07:30] 这意味着只要你的文本内容不发生改变
[00:07:30 - 00:07:32] 无论外面的盒子怎么变换大小
[00:07:32 - 00:07:34] 你的瀑布流怎么重做
[00:07:34 - 00:07:36] 你的虚拟列表怎么疯狂上下附用节点
[00:07:36 - 00:07:39] 它的排版计算成本无限趋近于零
[00:07:39 - 00:07:42] 这就是对传统Dum排版的降位打击
[00:07:42 - 00:07:44] 看到这里很多写过Litcode
[00:07:44 - 00:07:46] Litcode的同学可能会不懈一顾
[00:07:46 - 00:07:50] 却这不就是一个算宽度的贪心断航算法吗
[00:07:50 - 00:07:52] 我大二的数据结构课就写过了
[00:07:52 - 00:07:53] 如果你这么想
[00:07:53 - 00:07:56] 那你就太小看网页文本这个深渊了
[00:07:56 - 00:07:58] 真实的文本排版根本不是算法题
[00:07:58 - 00:08:00] 而是无尽的语言地域
[00:08:00 - 00:08:03] 因为在这个世界上构成信息的不仅仅是内
[00:08:03 - 00:08:06] 26个整齐化一的英文字母
[00:08:06 - 00:08:07] 你怎么处理CK
[00:08:07 - 00:08:11] 中日韩,极其复杂的壁头尾和标点几压规则。
[00:08:11 - 00:08:12] 你怎么处理Emoji?
[00:08:12 - 00:08:16] 你知道一个看似简单的一家四口,Emoji。
[00:08:16 - 00:08:23] 在底层可能占十几个字节,是通过Graphon Cluster,自塑醋,加上零宽帘字,ZWJ。
[00:08:23 - 00:08:25] 强行拼接出来的吗?
[00:08:25 - 00:08:29] 你用代码一刀切错位置,它立刻就变成了一堆诡异的乱码。
[00:08:29 - 00:08:36] 更让人绝望的是哪怕是同样的字体,在不同的浏览器,不同的操作系统上,渲染结果都不一样。
[00:08:36 - 00:08:37] 都不一样
[00:08:37 - 00:08:40] 项目的研究日治里甚至绝望的写道
[00:08:40 - 00:08:43] Kanvas和Dom在某些特定的字号下
[00:08:43 - 00:08:45] 居然会把Melcos里的system UI
[00:08:45 - 00:08:48] 解析成完全不同的字体家族
[00:08:48 - 00:08:50] 这意味着你用js算出来的宽度
[00:08:50 - 00:08:52] 跟浏览器最终画出来的宽度
[00:08:52 - 00:08:55] 可能会差那么致命的几个像素
[00:08:55 - 00:08:57] 所以pretext的巨大的工程量
[00:08:57 - 00:08:59] 并不在于那个0.09米秒的算法
[00:08:59 - 00:09:00] 而是在于
[00:09:01 - 00:09:03] 它硬生生的把浏览器当成了绝对的裁判
[00:09:04 - 00:09:06] 把所有人类语言的编较料
[00:09:06 - 00:09:08] 所有的恶心边界情况
[00:09:08 - 00:09:09] 全跑了一遍
[00:09:09 - 00:09:10] 在官方的回归测试里
[00:09:10 - 00:09:12] 它在各大主流浏器设定的
[00:09:12 - 00:09:15] 几千个严苛用力上跑出了满分
[00:09:15 - 00:09:18] 这几乎是在用于公一山的方式
[00:09:18 - 00:09:21] 去抹平各个流浏器的底层怪品
[00:09:21 - 00:09:23] 但是作为一期专业的工程频道
[00:09:23 - 00:09:25] 我在这里必须给大家泼一盆冷水
[00:09:25 - 00:09:28] 现在网上有很多营销号高潮了
[00:09:28 - 00:09:31] 准数说有了这个CSS就要过时了
[00:09:31 - 00:09:33] 我们要抛弃流浏器布局了
[00:09:33 - 00:09:35] 朋友们在前端工程领域
[00:09:35 - 00:09:37] 永远没有魔法 只有权衡
[00:09:37 - 00:09:38] Tradoff
[00:09:38 - 00:09:40] 当你把排版权从瀏览器Dump数里抢过来
[00:09:40 - 00:09:42] 用JS算好位置
[00:09:42 - 00:09:45] 拆成绝对定位的Spand或者直接画到Canvas上时
[00:09:45 - 00:09:47] 你付出的代价是什么
[00:09:47 - 00:09:49] 代价是瀏览器原生为你
[00:09:49 - 00:09:52] 保价护航了几十年的基础设施瞬间崩塌
[00:09:52 - 00:09:54] 第一是无障碍访问
