BV号：BV1EHqYYtEUL
标题：BV1EHqYYtEUL
链接：https://www.bilibili.com/video/BV1EHqYYtEUL
识别语言：zh
语言置信度：1
分段数：379
生成时间：2026-08-31 03:31:06

[00:00:00 - 00:00:03] 大家好 这里是最佳拍档 我是大飞
[00:00:03 - 00:00:05] 2024年 诺贝尔物理学奖
[00:00:05 - 00:00:07] 首次受益了人工智能领域的科学家
[00:00:07 - 00:00:10] 约翰 霍普 菲尔德和杰弗里.辛顿
[00:00:10 - 00:00:14] 他们因为在十年网络领域的开创性贡献而融获输融
[00:00:14 - 00:00:17] 在12月8日 瑞典斯德戈尔摩的颁奖典礼上
[00:00:17 - 00:00:21] 辛顿发表了一场名为《波尔兹曼基》的主题演讲
[00:00:21 - 00:00:24] 在这次演讲中 辛顿尝试挑战了一下
[00:00:24 - 00:00:28] 不借助任何公式 向观众们解释这个复杂的技术概念
[00:00:28 - 00:00:30] 也希望藉此讓大家了解到
[00:00:30 - 00:00:32] 人工智能是如何像人類的大腦一樣
[00:00:32 - 00:00:34] 來理解和思考的
[00:00:34 - 00:00:36] 今天大飛就在我個人的理解之上
[00:00:36 - 00:00:39] 跟大家分享一下新頓的這次演講
[00:00:39 - 00:00:42] 首先新頓介紹了一下霍菲爾德網絡
[00:00:42 - 00:00:45] 想像有一個由二岩神經元組成的網絡
[00:00:45 - 00:00:47] 這些神經元的狀態只有兩種
[00:00:47 - 00:00:48] 一或者是零
[00:00:48 - 00:00:49] 就像開關一樣
[00:00:49 - 00:00:51] 要么開要么關
[00:00:51 - 00:00:53] 我們可以把這個網絡的整體狀態
[00:00:53 - 00:00:54] 成為配置
[00:00:54 - 00:00:55] configuration
[00:00:55 - 00:00:56] 每個配置都有一個良度
[00:00:56 - 00:00:57] goodness
[00:00:57 - 00:00:59] 这个良度是怎么计算的呢
[00:00:59 - 00:01:03] 就是把所有同时激活的神经员队的权重加起来
[00:01:03 - 00:01:08] 比如说左边三个神经员队的权重之合是3加2加-1
[00:01:08 - 00:01:10] 所以它的良度就是4
[00:01:10 - 00:01:12] 而能量就是良度的相反数
[00:01:12 - 00:01:13] 也就是-4
[00:01:13 - 00:01:16] 霍武菲尔德网络有一个很重要的特点
[00:01:16 - 00:01:19] 就是它会自动演化到能量的最低点
[00:01:19 - 00:01:20] 这是怎么做到的呢
[00:01:20 - 00:01:22] 每个神经员会根据接收到的
[00:01:22 - 00:01:25] 来自于其他神经员的信号来降低能量
[00:01:25 - 00:01:27] 也就是降低坏度Badness
[00:01:28 - 00:01:30] 如果接收到的总加权输入是正的
[00:01:30 - 00:01:32] 这个神经员就会被激活
[00:01:32 - 00:01:34] 如果是负的就会被关闭
[00:01:34 - 00:01:37] 如果每个神经员都按照这个规则行动
[00:01:37 - 00:01:39] 并且我们随机选择神经员来
[00:01:39 - 00:01:41] 持续地应用这个规则
[00:01:41 - 00:01:44] 那么网络最终会稳定在一个能量的最低点
[00:01:44 - 00:01:46] 另外一个HopeFair的网络
