BV号：BV1ESZCYrEFe
标题：BV1ESZCYrEFe
链接：https://www.bilibili.com/video/BV1ESZCYrEFe
识别语言：zh
语言置信度：1
分段数：279
生成时间：2026-08-30 10:01:10

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 前几天我们在做GTC2025节目的时候
[00:00:05 - 00:00:07] 有观众评论说
[00:00:07 - 00:00:09] 想听听《量子日专场》的活动内容
[00:00:09 - 00:00:12] 这样天大飞我总结了一下
[00:00:12 - 00:00:13] 在这次活动上
[00:00:13 - 00:00:15] 黄泳勋罕见地公开承认了
[00:00:15 - 00:00:17] 自己之前做出的错误的判断
[00:00:17 - 00:00:19] 甚至还找了一群嘉宾
[00:00:19 - 00:00:20] 特意来证明自己错了
[00:00:20 - 00:00:22] 让人摸不着头脑
[00:00:22 - 00:00:23] 究竟是不是这样呢
[00:00:23 - 00:00:26] 今天大飞就来给大家分享一下
[00:00:26 - 00:00:28] 时间回溯到2025年的年初
[00:00:28 - 00:00:29] 黄仁勋曾经宣称
[00:00:29 - 00:00:32] 量子计算技术需要15年到20年
[00:00:32 - 00:00:34] 才能够完成实用化
[00:00:34 - 00:00:36] 这还是乐观的估计
[00:00:36 - 00:00:38] 当时这个言论对于资本市场来说
[00:00:38 - 00:00:40] 就像是投入了一颗重磅炸弹
[00:00:40 - 00:00:42] 引发了量子计算的概念股
[00:00:42 - 00:00:44] 集体下错了14%到40%
[00:00:44 - 00:00:45] 要知道
[00:00:45 - 00:00:48] 资本市场对科技领域的风吹草动
[00:00:48 - 00:00:50] 本来就是十分敏感的
[00:00:50 - 00:00:52] 而量子计算作为急剧潜力的一个
[00:00:52 - 00:00:53] 新兴领域
[00:00:53 - 00:00:55] 所以黄仁勋的这一个预判
[00:00:55 - 00:00:57] 直接影响了大量投资者的信心
[00:00:57 - 00:01:01] 而3月21日的JTC 2025量子日活动
[00:01:01 - 00:01:04] 是英伟达专门为量子计算行业所举办的
[00:01:04 - 00:01:08] 参与者包括AWS 微软等等传统科技巨头的代表
[00:01:08 - 00:01:11] 以及12家量子公司和出创企业的代表
[00:01:11 - 00:01:14] 这场建制派与革新力量的对话
[00:01:14 - 00:01:18] 也被CNBC分析认为标志着传统计算巨头
[00:01:18 - 00:01:20] 英伟达与量子产业达成了阶段性的共识
[00:01:20 - 00:01:25] 此前因为黄泳勋年初对于量子神话进程的保守预判
[00:01:25 - 00:01:28] 曾经引发多家量子企业的CEO和高管
[00:01:28 - 00:01:30] 联名公开质疑黄二勋
[00:01:30 - 00:01:33] 如今双方终于选择坐下来深入的交流
[00:01:33 - 00:01:34] 在原桌对谈中
[00:01:34 - 00:01:37] 黄二勋首次公开修正了自己在年初的预测
[00:01:37 - 00:01:40] 并且承认预判出现了偏差
[00:01:40 - 00:01:42] 他坦言20年的周期确实是
[00:01:42 - 00:01:45] 业界更为普遍认可的凭空框架
[00:01:45 - 00:01:46] 但是他也表示
[00:01:46 - 00:01:48] 如果说我必须犯错
[00:01:48 - 00:01:51] 才能够向全世界证明量子计算是值得去做的
[00:01:51 - 00:01:54] 证明这个行业是由了不起的人组成的
[00:01:54 - 00:01:57] 并且证明这个行业所做的工作将产生巨大的影响
[00:01:57 - 00:01:59] 那么我的任务已经完成了
[00:01:59 - 00:02:00] 当然了
[00:02:00 - 00:02:02] 大佬的话也不能这么直接去听
[00:02:02 - 00:02:03] 其实大肥我觉得
[00:02:03 - 00:02:06] 黄仁勋之前的预测也没什么太大谋病
