BV号：BV1EtrzYpEWn
标题：BV1EtrzYpEWn
链接：https://www.bilibili.com/video/BV1EtrzYpEWn
识别语言：zh
语言置信度：1
分段数：189
生成时间：2026-08-30 20:35:06

[00:00:00 - 00:00:00] 哈好
[00:00:01 - 00:00:03] 今天我给大家讲一下
[00:00:04 - 00:00:08] 面向notepads开发人员的mcp快速入门
[00:00:08 - 00:00:11] mcp在我上一篇文章中间有讲
[00:00:12 - 00:00:15] 是大语言模型的上下文的通用协议
[00:00:16 - 00:00:21] 最终就是通过mcp的方式可以构建比较标准的
[00:00:21 - 00:00:24] 大语言的一个上下文的依赖
[00:00:24 - 00:00:27] 那本教程主要是讲
[00:00:27 - 00:00:28] 这个
[00:00:28 - 00:00:34] 如何去编写一个服务端的MCP
[00:00:34 - 00:00:40] 做一个关于大圆模型怎么来调用天气服务的这样的一个服务端
[00:00:40 - 00:00:46] 并且将这个服务端可以连接到Cloud的一个作面应用
[00:00:46 - 00:00:52] 这篇本身的这个教程在Cloud也是一个官方文档的一个教程
[00:00:52 - 00:00:56] 我这里做了一个本地化的一个翻译
[00:00:56 - 00:00:59] 我们要实现一个什么样的效果
[00:00:59 - 00:01:03] 主要是要实现一个在用Cloud的桌面端
[00:01:03 - 00:01:05] 它能够去调用两个工具
[00:01:05 - 00:01:08] 一个叫get alerts 还有一个get forecast
[00:01:08 - 00:01:12] 这两个都会连接到我们CP的服务端
[00:01:12 - 00:01:16] 就可以去查询天气情况和以及天气的一些告警
[00:01:16 - 00:01:19] 那下面我们就一步一步来往下做
[00:01:19 - 00:01:20] 官方文道也说了
[00:01:20 - 00:01:23] 为什么现在要用桌面端
[00:01:23 - 00:01:26] 而不是其他的这种方式
[00:01:26 - 00:01:30] 说其他的这种连接方式可能还在开发当中
[00:01:30 - 00:01:35] 所以目前我们这种远程的这种服务端可能暂时还用不了
[00:01:35 - 00:01:39] 我们看一下它CP的一个核心理念
[00:01:39 - 00:01:42] 核心理念主要是一个就是资源
[00:01:42 - 00:01:43] 第二是工具
[00:01:43 - 00:01:45] 还有第三个就是提示词
[00:01:46 - 00:01:51] 它资源扣护端可以读取某一类的文件或者数据是吧
[00:01:51 - 00:01:52] 或者API的一个响应
[00:01:52 - 00:01:58] 工具就是由大圆模型调用具体的一些功能
[00:01:58 - 00:02:03] 比如说它可能可以去操作我们桌面上的某些应用
[00:02:03 - 00:02:06] 提示词可以预先编号一些提示词的模板
[00:02:06 - 00:02:09] 可以帮助用户去完成一些特定的人物
[00:02:09 - 00:02:13] 本教程主要关注的就是工具这个层面
[00:02:13 - 00:02:20] 我们就用天气服务器来做这样的一个演示
[00:02:20 - 00:02:23] 首先第一个我这边主要是面向NodeJS的方向
[00:02:23 - 00:02:23] 所以
[00:02:24 - 00:02:29] 默认大家应该都对TypeScript应该是比较了解的
[00:02:29 - 00:02:35] 另外就是对大员模型的使用可能也比较了解
[00:02:35 - 00:02:37] 像Cloud, OpenAI之类的
[00:02:37 - 00:02:43] 那对系统要求它是需要有NodeJS的一个版本要求
[00:02:43 - 00:02:45] 是版本号要16以上
[00:02:45 - 00:02:47] 对我们这边看一下
[00:02:47 - 00:02:49] 我这边肯定是符合这个版本要求的
[00:02:49 - 00:02:54] 一个是22一个是npn是10 9.0
[00:02:54 - 00:02:56] 那我们接着往下走
[00:02:56 - 00:02:58] 接下来我们就来出实化我们的项目
[00:02:58 - 00:03:04] 这个对于前端同学或者说之前写王多德.js的开发同学应该就比较了解
[00:03:04 - 00:03:09] 就相当于我们创建一个weather的一个项目
[00:03:09 - 00:03:16] 这里面他会去去去到这个目录底下去创建这个目录到这个目录底下去安装一些包
[00:03:16 - 00:03:18] 好我们这个包已经安装完成了
[00:03:18 - 00:03:20] 接下来会创建一个Pocket.json
[00:03:20 - 00:03:24] 根据这个Pocket.json里面去可能会去安装一个
[00:03:24 - 00:03:27] MCP的一个协议的一个SDK
[00:03:27 - 00:03:29] 还有一个Zode去做一个教验
[00:03:29 - 00:03:31] 就是类型教验
[00:03:31 - 00:03:35] 还有我们可能会用到的Node.js的类型定义
[00:03:36 - 00:03:40] 以及TypeScript本身这两个是开发时候的一个依赖
[00:03:40 - 00:03:47] 接下来我们可能到这个我们用VSCode打开这个当前的这个项目
[00:03:47 - 00:03:52] 这个时候我们这个项目的这个目录里面的index文件这些都有了
[00:03:52 - 00:03:54] 但是呢可能还缺少一些配置
[00:03:54 - 00:03:56] 我们下一步去讲一下这个配置
[00:03:56 - 00:03:59] 这块它官方提供了这样的一个配置
[00:03:59 - 00:04:03] 说可能得用类型应该是这种模块的
[00:04:03 - 00:04:10] 同时也是需要在构建完之后去修改一下这个文件的访问权限
[00:04:10 - 00:04:15] 那我们把这一段代码扣到我们的这个pocket接生里面去了
[00:04:15 - 00:04:16] 替换掉这个secrubiter这部分
[00:04:16 - 00:04:19] 这里有个错误,把这个都号去掉
[00:04:20 - 00:04:23] 这样子我们的项目的配置应该就差不多了
[00:04:24 - 00:04:26] 我们走下一个的我们的一个编译的配置
[00:04:26 - 00:04:30] 可能需要去写一个insconfig的一个json
[00:04:30 - 00:04:32] insconfig.json可能对于
[00:04:33 - 00:04:35] 结果ts的同学来说应该就比较熟悉了
[00:04:35 - 00:04:37] 就出手把这一个ts
[00:04:37 - 00:04:40] 把这里边的ts的一些配置把它贴进去
[00:04:41 - 00:04:42] 这个时候
[00:04:43 - 00:04:46] 我们可能要去写一下我们具体的一个实现了
[00:04:46 - 00:04:49] 那这个时候在我们具体的实现
[00:04:49 - 00:04:50] 因为这个叫声比较简单
[00:04:50 - 00:04:51] 就一个文件
[00:04:51 - 00:04:55] 所以他把所有的东西都写在这个index.ts里面
[00:04:55 - 00:04:58] 这边是导入他依赖的一些包
[00:04:58 - 00:05:05] 那下一步我们去定义一下调用这个天气的API
[00:05:05 - 00:05:11] 天气API这边他用了一个应该是美国政府提供的一个天气的API
[00:05:11 - 00:05:13] 在这应该也是能用的
[00:05:13 - 00:05:15] 那我们把这块代码烤下来
[00:05:15 - 00:05:18] 这里边可能他需要去传入一些信息
[00:05:18 - 00:05:22] 通过zoom的对这个skimarch做一些教验
[00:05:22 - 00:05:28] 接下来我们再看一下具体要实现的这两个工具的注册的列表
[00:05:29 - 00:05:33] 这两个列表里边就定义了它的入餐是什么
[00:05:33 - 00:05:35] 它最后入餐的要求是什么
[00:05:35 - 00:05:36] 是吧
[00:05:36 - 00:05:41] 其实这个是对大原模型的一个Dialtan Horse的一个格式
[00:05:41 - 00:05:44] 接下来我们把这一段代码也贴进去
[00:05:44 - 00:05:46] 接下来我们再看下一个
[00:05:46 - 00:05:49] 这时候我们就生命了两个工具
[00:05:49 - 00:05:50] 一个叫get alert
[00:05:50 - 00:05:52] 一个叫get get forecast
[00:05:52 - 00:05:53] 第三步
[00:05:53 - 00:05:55] 我们去写它捅作函数
[00:05:55 - 00:05:58] 捅作函数就是用来去调用国家天气局的
[00:05:58 - 00:06:00] 气象局的API
[00:06:00 - 00:06:03] 并且把它格式成我们想要的格式
[00:06:03 - 00:06:05] 把这个贴进去
[00:06:05 - 00:06:06] 应该这个也没什么问题
[00:06:06 - 00:06:09] 具体的大家如果想仔细去看一下这里边的内容
[00:06:09 - 00:06:12] 可以到时候可以看我这个文档
[00:06:12 - 00:06:14] 回头也会贴在这个视频的链接
[00:06:14 - 00:06:15] 视频的下方
[00:06:15 - 00:06:21] 最后我们可能要去把一个具体调用服务的这些方法
[00:06:21 - 00:06:22] 要去把它实现一下
[00:06:22 - 00:06:27] 这里边它应该是会去调用上面这个辅助函数
