BV号：BV1F5w6eCE7M
标题：BV1F5w6eCE7M
链接：https://www.bilibili.com/video/BV1F5w6eCE7M
识别语言：zh
语言置信度：1
分段数：45
生成时间：2026-08-30 19:07:30

[00:00:00 - 00:00:02] 95%的AI
[00:00:02 - 00:00:05] 我們在內地有1000個應用程序
[00:00:05 - 00:00:07] 所以AI,你還要記得
[00:00:07 - 00:00:10] ModernAI是一個有機能的層面
[00:00:10 - 00:00:12] 它可以用來改善所有的東西
[00:00:12 - 00:00:13] 它會改善所有的東西
[00:00:13 - 00:00:17] 這是最大的電力
[00:00:17 - 00:00:19] 我去過一個
[00:00:19 - 00:00:20] 藝術館
[00:00:20 - 00:00:21] 在 Luxembourg
[00:00:21 - 00:00:24] 藝術館是300歲的
[00:00:24 - 00:00:26] 在那間藝術館
[00:00:26 - 00:00:28] 那間 museum 當中
[00:00:28 - 00:00:32] 是電力電源
[00:00:32 - 00:00:34] 100 歲
[00:00:34 - 00:00:37] 因為他們想要
[00:00:37 - 00:00:40] 能夠改變電源的效果
[00:00:40 - 00:00:42] 沒有電源
[00:00:42 - 00:00:46] 所以他們要建造他們的電源
[00:00:46 - 00:00:48] 他們做了他們的電源
[00:00:48 - 00:00:50] 那時候那是大家做的
[00:00:50 - 00:00:52] 如果一個家居想要電源
[00:00:52 - 00:00:54] 他們也有自己的電源
[00:00:54 - 00:00:59] 我看了這段影片,我認為這是今天的進步
[00:00:59 - 00:01:01] 每個人都要有自己的資料中心
[00:01:01 - 00:01:03] 這不一定會最後的
[00:01:03 - 00:01:04] 沒有理由
[00:01:04 - 00:01:06] 你會買一個電腦,用來買電腦
[00:01:06 - 00:01:08] 這是AWS
[00:01:08 - 00:01:09] 我們在網站做了
[00:01:09 - 00:01:11] 我們用了電腦,我們用了電腦
[00:01:11 - 00:01:12] 我們用了電腦,我們用了電腦
[00:01:12 - 00:01:13] 我們用了電腦,我們用了電腦
[00:01:13 - 00:01:15] 這很有趣的故事
[00:01:15 - 00:01:16] 但是
[00:01:16 - 00:01:18] 這些
[00:01:18 - 00:01:19] 這些像是
[00:01:19 - 00:01:24] 像是電子機器和電子機器
[00:01:24 - 00:01:27] 現在是藝術智能
[00:01:27 - 00:01:28] 它們都在哪裡
[00:01:28 - 00:01:30] 我對你來說
[00:01:30 - 00:01:32] 它們不只是一個應用
[00:01:32 - 00:01:33] 你能想像的
[00:01:33 - 00:01:35] 它們不只是一個應用
[00:01:35 - 00:01:35] 它們是藝術智能
