BV号：BV1Fjw6eGEFH
标题：BV1Fjw6eGEFH
链接：https://www.bilibili.com/video/BV1Fjw6eGEFH
识别语言：zh
语言置信度：1
分段数：302
生成时间：2026-08-30 19:11:37

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 常看我们频道的观众应该都知道
[00:00:05 - 00:00:08] 自从2017年Athensis Oyuni的一文
[00:00:08 - 00:00:09] 引入了注意力机制
[00:00:09 - 00:00:11] Transformer架构横空出事
[00:00:11 - 00:00:14] 成为了现代大语研模型发展的关键及时
[00:00:14 - 00:00:17] 不过呢 就像再强大的战士也有弱点一样
[00:00:17 - 00:00:20] Transformer在面对长序列处理时候
[00:00:20 - 00:00:21] 存在着严重的缺陷
[00:00:21 - 00:00:23] 难以扩展到更长的上下文
[00:00:23 - 00:00:24] 为了解决这个问题
[00:00:24 - 00:00:27] 谷歌的研究团队最近提出了一个新的架构
[00:00:27 - 00:00:28] Titans
[00:00:28 - 00:00:30] 创新的引入了神经长期记忆模块
[00:00:30 - 00:00:33] 有望解决Transformer的长序列处理难题
[00:00:33 - 00:00:36] 今天大飞就来为大家解读一下这篇论文
[00:00:36 - 00:00:38] 在介绍Titans的架构之前
[00:00:38 - 00:00:41] 我们先来看看传统架构的工作方式是什么样子的
[00:00:41 - 00:00:43] 论文的研究人员指出
[00:00:43 - 00:00:45] 大多数现有架构都是将记忆
[00:00:45 - 00:00:48] 视为由输入引起的神经更新过程
[00:00:48 - 00:00:50] 而学习则是在给定目标下
[00:00:50 - 00:00:52] 有效获取有用记忆的一个过程
[00:00:52 - 00:00:54] 以循环神经网络RN为例
[00:00:54 - 00:00:56] 它具有象量值记忆模块
[00:00:56 - 00:00:58] 也就是隐藏状态
[00:00:58 - 00:01:00] 在時間T接觸到新書XT的時候
[00:01:00 - 00:01:03] 會經過更新記憶和減索記憶兩個步驟
[00:01:03 - 00:01:06] 而Transformer架構其實也有類似之處
[00:01:06 - 00:01:09] 它可以看作是具有不斷增長記憶的架構
[00:01:09 - 00:01:13] 它的步驟包括將鍵和值附加到記憶中來更新記憶
[00:01:13 - 00:01:16] 然後通過查找查詢項量與鍵項量的相似性
[00:01:16 - 00:01:18] 來減索查詢項量的對應記憶
[00:01:18 - 00:01:22] 並且利用這些記憶的加權值項量來生成最終的輸出
[00:01:22 - 00:01:26] 但是記憶其實是分為短期記憶、工作記憶和長期記憶的
[00:01:26 - 00:01:29] 他们在不同的场景下发挥着不同的作用
[00:01:29 - 00:01:31] 并且具有不同的神经结构
[00:01:31 - 00:01:34] 为此Titans的研究人员提出了两个关键的问题
[00:01:34 - 00:01:37] 一是如何巧妙的设计一个高效的架构
[00:01:37 - 00:01:41] 将这些不同但是又相互关联的记忆模块整合在一起
[00:01:41 - 00:01:44] 二是否需要一个深度记忆模块
[00:01:44 - 00:01:47] 以便更加有效的存储和记住长期的历史信息
[00:01:47 - 00:01:48] 为了解决这些问题
[00:01:48 - 00:01:52] 谷歌的团队设计了一个独特的神经长期记忆模块
[00:01:52 - 00:01:55] 这个模块的设计灵感来源于人类的长期记忆系统
[00:01:55 - 00:01:58] 它能够存储和检索过去的信息
[00:01:58 - 00:02:01] 不过它并不是一股脑的记住所有的信息
[00:02:01 - 00:02:04] 而是会通过一种称为惊讶度的机制
[00:02:04 - 00:02:07] 来选择性的记住那些重要或者令人惊讶的信息
[00:02:07 - 00:02:10] 那这里的惊讶度是怎么衡量的呢?
[00:02:10 - 00:02:12] 其实是相对于输入的T度
[00:02:12 - 00:02:15] T度越大说明输入数据与过去数据的差异就越大
[00:02:15 - 00:02:17] 也就是越值得被记住
[00:02:17 - 00:02:20] 而且这个记忆模块也不是一生不变的
[00:02:20 - 00:02:22] 它会根据新的信息来动态更新
[00:02:22 - 00:02:25] 就像人類在不斷學習新的知識的過程中
[00:02:25 - 00:02:27] 會更新自己的記憶一樣
[00:02:27 - 00:02:31] 這就使得模型能夠很好的去適應新的數據和任務需求
[00:02:31 - 00:02:33] 為了更好的管理有限的內存資源
