BV号：BV1GhAxebEGE
标题：BV1GhAxebEGE
链接：https://www.bilibili.com/video/BV1GhAxebEGE
识别语言：zh
语言置信度：1
分段数：297
生成时间：2026-08-30 12:54:47

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:04] 2月18号的中午
[00:00:04 - 00:00:06] 马斯克率领XAI的团队一起
[00:00:06 - 00:00:09] 如约召开了Grogg3和Grogg3 mini的发布会
[00:00:09 - 00:00:11] 在Grogg3发布前
[00:00:11 - 00:00:13] 马斯克就信心满满地放话出去
[00:00:13 - 00:00:16] Grogg3将成为史上最聪明的AI
[00:00:16 - 00:00:19] 所以这场发布会也吸引了很多的关注
[00:00:19 - 00:00:21] 今天我们就来盘点一下发布会的内容
[00:00:21 - 00:00:23] 发布会一开始
[00:00:23 - 00:00:25] 马斯克再次解释了Grogg一次的含义
[00:00:25 - 00:00:28] 这个词来自于罗布特海音来音的小说
[00:00:28 - 00:00:29] 一相一刻
[00:00:29 - 00:00:32] 被用在一个在火星长大的角色上
[00:00:32 - 00:00:34] 意思是充分而深刻的理解某件事情
[00:00:34 - 00:00:36] 同时还要具有同理心
[00:00:36 - 00:00:37] 马斯克称
[00:00:37 - 00:00:39] Grogg3之所以能够在很短的时间内
[00:00:39 - 00:00:41] 就超越Grogg2
[00:00:41 - 00:00:43] 是因为背后有一只强大的
[00:00:43 - 00:00:45] 纪录团队和数据中心的支持
[00:00:45 - 00:00:47] 根据XAI团队的介绍
[00:00:47 - 00:00:49] 要想训练出超级规模的模型
[00:00:49 - 00:00:52] 就需要一个超级规模的数据中心来做支持
[00:00:52 - 00:00:54] 所以他们先是花费了122天
[00:00:54 - 00:00:56] 建成了10万卡的数据中心
[00:00:56 - 00:00:58] 但是随后他们发现
[00:00:58 - 00:00:59] 这还远远不够
[00:00:59 - 00:01:01] 于是他们又用了92天
[00:01:01 - 00:01:03] 将原来的Colossus集群规模
[00:01:03 - 00:01:05] 从10万卡扩建到了20万卡
[00:01:05 - 00:01:07] 然后在此基础上训练了Goruk3
[00:01:08 - 00:01:09] 这次发布的Goruk3
[00:01:09 - 00:01:10] 最引人注目的特点
[00:01:10 - 00:01:13] 应该就是将推力能力整合到了模型中
[00:01:13 - 00:01:15] 从而让模型在尝试解决问题之前
[00:01:15 - 00:01:17] 可以花费大量的时间进行思考
[00:01:18 - 00:01:19] 大约一个月以前
[00:01:19 - 00:01:20] Goruk3完成了预训练
[00:01:20 - 00:01:21] 从那个时候起
[00:01:21 - 00:01:23] XAi的团队就一直在努力的
[00:01:23 - 00:01:26] 将推力能力整合到当前的Goruk3模型中
[00:01:26 - 00:01:29] 不过这个工作目前还处于早期的阶段
[00:01:29 - 00:01:31] 模型也仍然在训练中
[00:01:31 - 00:01:33] 所以今天在发布会上展示的
[00:01:33 - 00:01:35] 其实是Grogg3推理模型的一部分
[00:01:35 - 00:01:38] 此外XA也训练了一个迷你版本的推理模型
[00:01:38 - 00:01:39] Grogg3迷你
[00:01:39 - 00:01:43] Grogg3迷你与Grogg3在推理上取得的结果相差不大
[00:01:43 - 00:01:44] 相比来说
[00:01:44 - 00:01:46] Grogg3迷你训练的时间更长
[00:01:46 - 00:01:47] 所以有的时候
[00:01:47 - 00:01:50] 它的表现甚至要略微忧于Grogg3推理模型
[00:01:50 - 00:01:51] 在本场发布会中
[00:01:51 - 00:01:53] Grogg3还引入了Deep Search
[00:01:53 - 00:01:55] 这是一种新型的搜索引擎
[00:01:55 - 00:01:58] 和类似于Agent功能结合的早期版本
[00:01:58 - 00:02:00] 根据XAI的工程师介绍
[00:02:00 - 00:02:03] Deep Search是XAI的第一代Agent的工具
[00:02:03 - 00:02:05] 会扫描互联网和X平台
[00:02:05 - 00:02:06] 分析信息
[00:02:06 - 00:02:08] 并且针对于查询给出内容摘要
[00:02:08 - 00:02:10] 此外Glock3还包含了一个名为
[00:02:10 - 00:02:11] BigBrain的功能
[00:02:11 - 00:02:13] 这是一个加强的退利模式
[00:02:13 - 00:02:16] 允许模型花费更多的计算和时间
[00:02:16 - 00:02:18] 来进行更为深入的思考
[00:02:18 - 00:02:19] 马斯克指出
[00:02:19 - 00:02:21] 17个月前最初的Glock模型
[00:02:21 - 00:02:23] 几乎不能解决高中问题
[00:02:23 - 00:02:25] 而现在它已经进步了许多
[00:02:25 - 00:02:26] 他用过的比喻
[00:02:26 - 00:02:28] Grogg已经准备好了上大学了
[00:02:28 - 00:02:29] 根据马斯克的介绍
[00:02:29 - 00:02:31] Grogg3现在支持两种订阅模式
[00:02:31 - 00:02:34] X平台的Premium Plus深度用户
[00:02:34 - 00:02:35] 和月费30美元
[00:02:35 - 00:02:38] 或者是年费300美元的SuperGrogg用户可以使用
[00:02:38 - 00:02:41] 现在已经推出了网页版和App版
[00:02:41 - 00:02:43] 并且XAI将在一周的时间内
[00:02:43 - 00:02:45] 在Grogg3中上线语音模式
[00:02:45 - 00:02:47] 几周后对企业用户将提供
[00:02:47 - 00:02:49] 包含Deep Search的API接入方案
[00:02:49 - 00:02:50] 最后在几个月之后
[00:02:50 - 00:02:53] 会对Grogg2进行全面的开源
[00:02:53 - 00:02:55] 接下来我们来具体看一看
[00:02:55 - 00:02:57] Glock3的性能表现究竟怎么样
[00:02:57 - 00:03:00] 首先要明确一下XA的使用场景目标
[00:03:00 - 00:03:02] 马斯克在直播中表示
[00:03:02 - 00:03:05] 希望能够使用Glock3来完成特别重要的现实任务
[00:03:05 - 00:03:07] 比如说打造一台特斯拉
[00:03:07 - 00:03:09] 解决太空发射问题
[00:03:09 - 00:03:11] 或者是应用到数据中心等等
[00:03:11 - 00:03:12] 根据马斯克的预测
[00:03:12 - 00:03:14] 两年之内会发生两件事情
[00:03:14 - 00:03:16] 分别是计算机在各个方面打败人类
[00:03:16 - 00:03:19] 帮助人类实现诺贝尔吉的科学数据突破
[00:03:19 - 00:03:22] 而下一次重大突破将在明年的11月出现
[00:03:22 - 00:03:24] SpaceX会真正的登陆火星
[00:03:24 - 00:03:26] 以及应用Grog模型
[00:03:26 - 00:03:28] 来去计算整个的发射过程
[00:03:28 - 00:03:32] 同时XAI宣布将成了一家AI游戏工作室来制作游戏
[00:03:32 - 00:03:33] 所以在直播中
[00:03:33 - 00:03:36] XAI的团队现场演示了用Grog3
[00:03:36 - 00:03:40] 创造了一个融合了俄罗斯方块和保时弥震的游戏案例
[00:03:40 - 00:03:42] 不过这个演示有点翻车
[00:03:42 - 00:03:45] Grog3在多次思考卫国后直接退出了
[00:03:45 - 00:03:46] 好在又过了一段时间之后
[00:03:46 - 00:03:48] Grog3还是完成了游戏的制作
[00:03:48 - 00:03:51] 另外团队也展示了一个长思未练的势力
[00:03:51 - 00:03:55] 直接让Grogg3输出一段符合开普勒定律的天体模拟
[00:03:55 - 00:03:58] 为发射到火星的飞行器规划轨迹
[00:03:58 - 00:04:00] 可以看到Grogg3模拟了太阳
[00:04:00 - 00:04:02] 以及围绕太阳公转的地球和火星
[00:04:02 - 00:04:04] 并且模拟了一个飞行器的路线
[00:04:04 - 00:04:05] 从这里可以看出
[00:04:05 - 00:04:08] Grogg3能够思考相当复杂的问题
[00:04:08 - 00:04:10] 以及挑战需要更长推理时间的问题
[00:04:10 - 00:04:14] XA的团队成员还从数学、科学、编码三个方面
[00:04:14 - 00:04:17] 对比了Grogg3系列和当前热门的前沿模型
[00:04:17 - 00:04:19] 展示了Grogg3在多个基准测试中
[00:04:19 - 00:04:21] 都擊敗了其他的競爭對手
[00:04:21 - 00:04:24] 其中在TradBot Arena競技場中
[00:04:24 - 00:04:27] Grog3是有史以來第一個得分突破1400分的模型
[00:04:28 - 00:04:30] 並且在所有類別中都排名第一
[00:04:30 - 00:04:32] 而去年發布的Grog2模型
[00:04:32 - 00:04:34] 在Ariana測試中的得分為1280分
[00:04:35 - 00:04:37] 此外Grog3還引入了Svelin推理能力
[00:04:37 - 00:04:39] 在複雜的推理任務中的表現
[00:04:39 - 00:04:40] 也優於競爭對手
[00:04:41 - 00:04:43] 可以看到Grog3在AIME2024中
[00:04:43 - 00:04:45] 取得了93%的成績
[00:04:45 - 00:04:47] 將其他前頁模型甩在了身後
[00:04:47 - 00:04:49] 即使是Grog3 mini
[00:04:49 - 00:04:51] 也足以和其他的AM模型相媲美
[00:04:51 - 00:04:53] 另外在大约5天之前
[00:04:53 - 00:04:55] AME-2025的竞赛也结束了
[00:04:55 - 00:04:58] 随后XA团队让GorokSan和GorokSan mini
[00:04:58 - 00:05:01] 在同一个基准的同一个考试中进行了比拼
[00:05:01 - 00:05:02] 有趣的是
[00:05:02 - 00:05:03] GorokSan推理模型
[00:05:03 - 00:05:05] 在这次全新的考试中表现更好
[00:05:05 - 00:05:07] 这表明更大的模型
[00:05:07 - 00:05:08] 具有更强的泛化能力和性能
