BV号：BV1GhKWeaEde
标题：BV1GhKWeaEde
链接：https://www.bilibili.com/video/BV1GhKWeaEde
识别语言：zh
语言置信度：1
分段数：307
生成时间：2026-08-30 13:39:07

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:04] 在科技的快速发展历程中
[00:00:04 - 00:00:06] 我们常常能够见证到各种突破
[00:00:06 - 00:00:09] 但是有些突破却能从根本上
[00:00:09 - 00:00:11] 改变我们对一个领域的认知
[00:00:11 - 00:00:14] 今天的突破就发生在计算级科学的数据结构领域
[00:00:14 - 00:00:16] 主角是一位本科生
[00:00:16 - 00:00:19] 他的研究成果竟然推翻了图灵奖得主
[00:00:19 - 00:00:21] 邀期制40年前提出的猜想
[00:00:21 - 00:00:23] 还带来了全新的哈希表算法
[00:00:23 - 00:00:25] 甚至突破了搜索效率的极限
[00:00:25 - 00:00:27] 这究竟是怎么一回事呢
[00:00:27 - 00:00:29] 让我们来一起深入的了解一下
[00:00:29 - 00:00:31] 在计算机科学的庞大体系里
[00:00:31 - 00:00:32] 哈希表是一个极为基础
[00:00:32 - 00:00:34] 而且关键的数据结构
[00:00:34 - 00:00:37] 他的历史可以追溯到20世纪50年代早期
[00:00:37 - 00:00:38] 经过这么多年的发展
[00:00:38 - 00:00:42] 哈希表已经广泛应用在了各种软件和系统中
[00:00:42 - 00:00:45] 哈希表的核心思想简单来说就是通过一个哈希韩数
[00:00:45 - 00:00:47] 把任意范围的建值
[00:00:47 - 00:00:49] 硬释到一个固定大小的数组空间里
[00:00:49 - 00:00:50] 打个比方
[00:00:50 - 00:00:53] 我们可以把哈希表想象成一个巨大的文件柜
[00:00:53 - 00:00:55] 每个文件都有一个独特的编号
[00:00:55 - 00:00:58] 哈希韩数就像是根据这个编号
[00:00:58 - 00:01:00] 快速找到对应抽屉的工具
[00:01:00 - 00:01:01] 文件被放进抽屉之后
[00:01:01 - 00:01:04] 下次需要的时候就能够快速的取出来
[00:01:04 - 00:01:07] 但是哈奇表在实际使用中存在着一个棘手的问题
[00:01:07 - 00:01:10] 当这个文件柜快要被装满的时候
[00:01:10 - 00:01:12] 再想找到一个空抽屉来放新的文件
[00:01:12 - 00:01:14] 就会变得越来越困难
[00:01:14 - 00:01:15] 据说来讲
[00:01:15 - 00:01:17] 当哈奇表的占用空间接近饱和
[00:01:17 - 00:01:20] 比如说已经用了99%的空间时
[00:01:20 - 00:01:22] 要想在剩下的空间里找到一个空位
[00:01:22 - 00:01:25] 搜索的次数会和填充率成正比
[00:01:25 - 00:01:26] 这就意味着
[00:01:26 - 00:01:28] 如果哈希表99%满了
[00:01:28 - 00:01:29] 那么在最坏的情况下
[00:01:29 - 00:01:31] 可能需要尝试大约100次
[00:01:31 - 00:01:32] 才能够找到一个空位
[00:01:33 - 00:01:35] 这种情况就像是给哈希表的搜索效率
[00:01:35 - 00:01:37] 设置了一个难以突破的天花板
[00:01:37 - 00:01:38] 1985年
[00:01:38 - 00:01:39] 图灵奖得主摇棋制
[00:01:39 - 00:01:41] 在他那篇就有里程碑意义的论文
[00:01:41 - 00:01:44] 军云哈希是最优的中提出
