BV号：BV1GiX8YLEaH
标题：BV1GiX8YLEaH
链接：https://www.bilibili.com/video/BV1GiX8YLEaH
识别语言：zh
语言置信度：1
分段数：365
生成时间：2026-08-30 10:22:13

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:04] 2024年的10月份
[00:00:04 - 00:00:06] 我们做了几期诺贝尔奖的节目
[00:00:06 - 00:00:08] 其中物理学和化学奖都颁发给了
[00:00:08 - 00:00:10] 跟人工智能有关的科学家
[00:00:10 - 00:00:12] 引起了大家的很多关注
[00:00:12 - 00:00:14] 其中 化学奖的得主中
[00:00:14 - 00:00:16] 大家可能更为熟悉Dewyne的CEO
[00:00:16 - 00:00:17] 德米斯·哈萨比斯
[00:00:17 - 00:00:20] 但今天我们想介绍的是另一位获奖者
[00:00:20 - 00:00:23] 美国华盛顿大学的大卫贝克教授
[00:00:23 - 00:00:25] 他在蛋白质设计领域的卓业贡献
[00:00:25 - 00:00:28] 不仅革新了科学界对于蛋白质的认知
[00:00:28 - 00:00:30] 还为众多相关领域带来了全新的发展机遇
[00:00:30 - 00:00:33] 今天就让我们一同走进大为贝克的科研世界
[00:00:33 - 00:00:37] 探索他从哈佛哲学系走向蛋白质设计大师的传奇历程
[00:00:37 - 00:00:40] 大为贝克于1962年10月6日
[00:00:40 - 00:00:43] 出生在美国华盛顿州西亚图的一个犹太家庭
[00:00:43 - 00:00:46] 父母分别是物理学家和地球物理学家
[00:00:46 - 00:00:48] 按常理这样在家庭环境
[00:00:48 - 00:00:51] 或计会让他早早地走上科学研究之路
[00:00:51 - 00:00:52] 然而事实并非如此
[00:00:52 - 00:00:54] 在哈佛大学本科阶段
[00:00:54 - 00:00:56] 他主修的是哲学和社会研究
[00:00:56 - 00:00:58] 回顾那段时光他曾经表示
[00:00:58 - 00:01:01] 很多哲学讨论在当时看起来意义不大
[00:01:01 - 00:01:03] 感觉像是在浪费时间
[00:01:03 - 00:01:05] 直到大学的最后一年
[00:01:05 - 00:01:08] 一次偶然的经历彻底改变了他的学术轨迹
[00:01:08 - 00:01:10] 他选修了发育生物学课程
[00:01:10 - 00:01:13] 在课堂上见证了一个神奇的实验
[00:01:13 - 00:01:15] 那就是加入蛋白变性剂之后
[00:01:15 - 00:01:18] RNA失去了切割RNA的活性
[00:01:18 - 00:01:21] 但是当荣业中的变性剂被蒸发之后
[00:01:21 - 00:01:23] RNA的活性竟然奇迹般的恢复了
[00:01:23 - 00:01:25] 这个现象让它深深的着迷
[00:01:25 - 00:01:29] 但白智究竟是如何在瞬间自主找到正确的构想
[00:01:29 - 00:01:30] 并且发挥功能的呢
[00:01:30 - 00:01:33] 这种对于科学问题明确答案的追求
[00:01:33 - 00:01:35] 比哲学的模糊性更让他感到兴奋
[00:01:35 - 00:01:38] 从此他开始如今似可的阅读
[00:01:38 - 00:01:41] 细胞分子生物学这本经典的教材
[00:01:41 - 00:01:43] 对生物学的兴趣也越发的浓厚
[00:01:43 - 00:01:46] 随后他加入了诺贝尔生理和医学奖得主
[00:01:46 - 00:01:48] 兰迪·谢克曼的实验室
[00:01:48 - 00:01:50] 并于1989年获得了加州大学
[00:01:50 - 00:01:53] 伯克利分校的生物学化学博士学位
[00:01:53 - 00:01:54] 博士毕业后
[00:01:54 - 00:01:56] 他进入了加州大学旧金山分校
[00:01:56 - 00:01:57] 大卫阿加德教授的实验室
[00:01:57 - 00:01:59] 进行博士后研究
[00:01:59 - 00:02:00] 在那里
[00:02:00 - 00:02:02] 他接触到了用计算机解析
[00:02:02 - 00:02:03] 经体结构的工作
[00:02:03 - 00:02:05] 却发现传统的人工匹配方式
[00:02:05 - 00:02:06] 效率低下
[00:02:06 - 00:02:07] 而且困难重重
[00:02:07 - 00:02:09] 于是他蒙生了用计算机
[00:02:09 - 00:02:11] 来预测弹牌制结构的想法
[00:02:11 - 00:02:12] 1993年
[00:02:12 - 00:02:15] 贝克回到家乡西雅图的华盛顿大学
[00:02:15 - 00:02:16] 开启了他研发
[00:02:16 - 00:02:18] 弹牌制结构预测软件的征途
[00:02:18 - 00:02:20] 这就是后来文明侠尔的柔猜塔
[00:02:20 - 00:02:21] 在研发过程中
[00:02:24 - 00:02:26] 蛋白质结构预测是一个极其复杂的问题
[00:02:26 - 00:02:28] 需要考虑到安极算序列
[00:02:28 - 00:02:29] 蛋白质的折叠方式
[00:02:29 - 00:02:31] 以及各种物理化学因素
[00:02:31 - 00:02:32] 为了解决这些问题
[00:02:32 - 00:02:35] 贝克带领团队基于物理学的原理
[00:02:35 - 00:02:37] 让Rossetta通过对于蛋白质的构象
[00:02:37 - 00:02:39] 进行能量最小化计算
[00:02:39 - 00:02:41] 来预测最稳定的三位结构
[00:02:41 - 00:02:43] 也就是接近自然状态下的
[00:02:43 - 00:02:44] 蛋白质稳定构象
[00:02:44 - 00:02:45] 1998年
[00:02:45 - 00:02:46] Rossetta正式发布
[00:02:46 - 00:02:49] 为了验证它的蛋白质结构预测中的准确性
[00:02:49 - 00:02:52] 贝格团队积极参与了CASP竞赛
[00:02:52 - 00:02:53] 在这个竞赛中
[00:02:53 - 00:02:56] 参赛者需要对一批上没有公开结构的蛋白质
[00:02:56 - 00:02:57] 进行盲测预测
[00:02:57 - 00:02:59] 以此来评估不同算法的性能
[00:02:59 - 00:03:02] Rosetta在竞赛中逐渐地展露头角
[00:03:02 - 00:03:05] 而2004年的CASP6竞赛成为了它的高光时刻
[00:03:05 - 00:03:08] 针对于目标蛋白T0281
[00:03:08 - 00:03:10] Rosetta首次实现了接近于原子精度的
[00:03:10 - 00:03:12] 从头蛋白质结构预测
[00:03:12 - 00:03:15] 这个成果震惊了整个蛋白质结构预测预测
[00:03:15 - 00:03:18] 也让Roceta一度成为这个领域的领导者
[00:03:18 - 00:03:19] 但是随着研究的深入
[00:03:19 - 00:03:20] 更准确的预测
[00:03:20 - 00:03:23] 意味着需要消耗更多的计算资源
[00:03:23 - 00:03:24] 购买新的计算机
[00:03:24 - 00:03:25] 不仅成本高昂
[00:03:25 - 00:03:27] 还面临着空间不足的问题
[00:03:27 - 00:03:28] 为了解决这一难题
[00:03:28 - 00:03:31] Beg团队启动了Roceta Home项目
[00:03:31 - 00:03:33] 这是一个极具创新性的项目
[00:03:33 - 00:03:35] 它邀请全球各地的人们
[00:03:35 - 00:03:36] 用自己闲置的算力
[00:03:36 - 00:03:38] 来进行蛋白结构计算
[00:03:38 - 00:03:40] 当计算机运行一个屏幕保护程序的时候
[00:03:40 - 00:03:43] 屏幕上会显示正在折叠的蛋白质
[00:03:43 - 00:03:46] 让参与者也能够直观感受到科学研究的魅力
[00:03:46 - 00:03:48] 如今Roceta Home项目已经吸引了
