BV号：BV1GrMj6ZEdg
标题：BV1GrMj6ZEdg
链接：https://www.bilibili.com/video/BV1GrMj6ZEdg
识别语言：zh
语言置信度：1
分段数：274
生成时间：2026-08-29 18:25:38

[00:00:00 - 00:00:02] 大家好,我是为什么叫QQ
[00:00:02 - 00:00:04] 现在用AI写代码越来越贵
[00:00:04 - 00:00:05] 每次让Cloud改个bug
[00:00:05 - 00:00:07] 它不仅要读你的代码
[00:00:07 - 00:00:09] 还要重新读一遍系统提示词
[00:00:09 - 00:00:11] 工具文档所有对话历史
[00:00:11 - 00:00:13] 这就像每次问老板一个问题
[00:00:13 - 00:00:15] 都要先给它背一遍公司章程
[00:00:15 - 00:00:16] 结果是什么
[00:00:16 - 00:00:18] 账单像火箭一样往上篡
[00:00:18 - 00:00:22] 但最近我发现了一个极其疯狂的开源项目
[00:00:22 - 00:00:23] 这个老哥为了省钱
[00:00:23 - 00:00:24] 想出了一个绝招
[00:00:24 - 00:00:27] 他把符合条件的长上下文块
[00:00:27 - 00:00:28] 比如系统提示词
[00:00:28 - 00:00:31] 工具文档就利史和大段工具輸出
[00:00:31 - 00:00:32] 渲染成圖片
[00:00:32 - 00:00:34] 然后当成截图发给Cloud
[00:00:34 - 00:00:35] 结果呢
[00:00:35 - 00:00:38] 他把输入token减少了约68%
[00:00:38 - 00:00:40] 按端到端账单算
[00:00:40 - 00:00:44] readme报告节省大约59%到70%
[00:00:44 - 00:00:45] 取决于工作负载
[00:00:45 - 00:00:47] 给大模型看图片
[00:00:47 - 00:00:49] 竟然比看纯文本便宜的多
[00:00:49 - 00:00:51] 这到底是安特拉培克的济费漏洞
[00:00:51 - 00:00:53] 还是多模太模型隐藏的超能力
[00:00:53 - 00:00:55] 今天我们就从工程视角
[00:00:55 - 00:00:58] 深度拆解这个名为PXPipe的项目
[00:00:58 - 00:01:00] 很多人一听这个想法
[00:01:00 - 00:01:02] 会觉得不就是个简单的格式转换吗
[00:01:02 - 00:01:04] 把文本转成图片大模型
[00:01:04 - 00:01:05] 再用欧西亚识别出来
[00:01:05 - 00:01:07] 多大点试
[00:01:07 - 00:01:09] 当作者把这种方法用在早期的
[00:01:09 - 00:01:11] Cloud Opus模型上时
