BV号：BV1GxdgYwEBt
标题：BV1GxdgYwEBt
链接：https://www.bilibili.com/video/BV1GxdgYwEBt
识别语言：zh
语言置信度：1
分段数：427
生成时间：2026-08-30 09:04:21

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 在近期举行的GTC-2025上
[00:00:05 - 00:00:07] 机器学习大佬彼得.阿比尔
[00:00:07 - 00:00:10] 进行了一场关于机器人训练数据的主题演讲
[00:00:10 - 00:00:14] 主要探讨了如何解决人形机器人的数据困境问题
[00:00:14 - 00:00:17] 今天就来给大家总结一下其中的核心内容
[00:00:17 - 00:00:19] 我们先简单介绍一下彼得.阿比尔
[00:00:19 - 00:00:21] 他不仅是加州大学
[00:00:21 - 00:00:24] 伯克利分校电器工程与计算机科学系的教授
[00:00:24 - 00:00:27] 同时也是伯克利机器人学习实验室主任
[00:00:27 - 00:00:29] 以及伯克利人工智能研究实验室
[00:00:29 - 00:00:30] 贝尔的联合主任
[00:00:31 - 00:00:33] 在当今一线AI企业的知名创始人中
[00:00:33 - 00:00:35] 至少有12位都是他的学生
[00:00:36 - 00:00:37] 包括OpenEye的创始团队成员
[00:00:37 - 00:00:38] 约翰·舒尔曼
[00:00:38 - 00:00:40] Purplexity的CEO
[00:00:40 - 00:00:41] 阿拉文德·斯里尼瓦斯
[00:00:42 - 00:00:44] 以及Inception AI的阿迪亚·格罗弗
[00:00:44 - 00:00:45] 好了 话不多说
[00:00:45 - 00:00:47] 我们来看看比较阿比尔这次演讲
[00:00:47 - 00:00:48] 都讲了哪些内容
[00:00:49 - 00:00:50] 首先 阿比尔介绍到
[00:00:50 - 00:00:52] 随着硬件的不断进步
[00:00:52 - 00:00:54] 如今机器人缺少的就是大脑
[00:00:54 - 00:00:56] 而大脑的关键驱动力就是AI
[00:00:56 - 00:00:58] 如今 大家似乎都感受到了
[00:00:58 - 00:01:00] 基于Transformer的大语研模型的能力
[00:01:00 - 00:01:03] 就是因为基于海量的互联网数据
[00:01:03 - 00:01:05] 能够训练出非常庞大的神经网络
[00:01:05 - 00:01:06] 而这些数据中
[00:01:06 - 00:01:09] 有一些又经过了有效的筛选
[00:01:09 - 00:01:11] 同时又有大量的算力来支持训练
[00:01:11 - 00:01:13] 于是就形成了有效的方法
[00:01:13 - 00:01:14] 那么人形机器人
[00:01:15 - 00:01:17] 我们能够用哪些数据来训练他们
[00:01:18 - 00:01:19] 阿贬指出
[00:01:19 - 00:01:21] 目前世界上还没有真正的人形机器人
[00:01:21 - 00:01:23] 也就没有大量的行为数据
[00:01:23 - 00:01:25] 因此找到有效的数据员
[00:01:25 - 00:01:27] 是机器人领域中的一大挑战
[00:01:27 - 00:01:28] 也是一大机遇
[00:01:28 - 00:01:30] 其中的一个天然的数据员
[00:01:30 - 00:01:32] 就是通过远程操作来直接获取到
[00:01:32 - 00:01:35] 关节角度操作力度等等数据
[00:01:35 - 00:01:36] 在很多方面
[00:01:36 - 00:01:38] 这类似于大原模型的数据获取方式
[00:01:38 - 00:01:41] 也就是直接获取与目标任务相匹配的数据
[00:01:41 - 00:01:44] 但是远程操作是非常耗时和昂贵的
[00:01:44 - 00:01:48] 目前通过这种方式采集到的数据量仍然很小
[00:01:48 - 00:01:49] 还有人提出
[00:01:49 - 00:01:52] 只需要在视频中追踪人类的手部动作就好了
[00:01:52 - 00:01:54] 毕竟手部动作在物理事业中
[00:01:54 - 00:01:56] 产生了关键性的影响
[00:01:56 - 00:01:57] 但是阿比爾認為
[00:01:57 - 00:01:59] 好的計算機視學技術
[00:01:59 - 00:02:01] 確實可以追蹤手部的運動
[00:02:01 - 00:02:04] 但是這些視頻並不都是完全符合需求的
[00:02:04 - 00:02:05] 還有一種方式
[00:02:05 - 00:02:07] 就是通過大規模的仿真來獲取數據
[00:02:07 - 00:02:10] 這樣也能夠確切的知道機器人在做什麼
[00:02:10 - 00:02:13] 但是仿真並不總是與現實完全吻合的
[00:02:13 - 00:02:16] 因為我們無法將所有的現實世界元素
[00:02:16 - 00:02:18] 以及場景都融入到模擬器中
[00:02:18 - 00:02:21] 那麼為什麼不直接讓機器人
[00:02:21 - 00:02:22] 在現實世界中學習呢
[00:02:22 - 00:02:25] 儘管這種方法原則上是可以的
[00:02:25 - 00:02:27] 但是如何在现实世界中
[00:02:27 - 00:02:29] 让机器人安全地进行强化学习
[00:02:29 - 00:02:30] 试措学习
[00:02:30 - 00:02:32] 要在哪里去设置它们呢
[00:02:32 - 00:02:34] 这些还都是无法实现的
