BV号：BV1H2qSYLEUm
标题：BV1H2qSYLEUm
链接：https://www.bilibili.com/video/BV1H2qSYLEUm
识别语言：zh
语言置信度：1
分段数：287
生成时间：2026-08-31 04:10:57

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:06] 今天我们来继续OPEN-i 12天联播的第二天
[00:00:06 - 00:00:09] 仍然是短短的20分钟 但是重要性却不低
[00:00:09 - 00:00:12] 大家之前也许都听说过监督微调SFT
[00:00:12 - 00:00:15] 而这次登场的则是强化微调
[00:00:15 - 00:00:16] Reinforcement Fine Tube
[00:00:16 - 00:00:18] 为什么说重要呢?
[00:00:18 - 00:00:20] 因为首先这是OPEN-i第一次
[00:00:20 - 00:00:24] 将之前仅限于给自家模型使用的强化学习技术
[00:00:24 - 00:00:25] 开放给外部的开发者
[00:00:25 - 00:00:29] 其次开发者只需要提供最低几十个的高质量任务
[00:00:29 - 00:00:33] 就能够通过强化微条实现领域专家模型的定制
[00:00:33 - 00:00:35] 而且还能够根据提供的参考答案
[00:00:35 - 00:00:37] 对模型的回应进行评分
[00:00:37 - 00:00:40] 最后强化微条不仅加强了模型
[00:00:40 - 00:00:43] 在处理领域特定问题时的推理能力
[00:00:43 - 00:00:45] 还提升了在特定任务上的准确性
[00:00:45 - 00:00:49] 对于那些要求高精确性和专业支持的领域
[00:00:49 - 00:00:51] 强化微条将会发挥至关重要的作用
[00:00:52 - 00:00:54] 从OpenI的官方演示中可以看到
[00:00:54 - 00:00:56] 经过强化微条的O1 mini
[00:00:56 - 00:00:59] 竟然全面超越了当今最强的基础模型O1
[00:00:59 - 00:01:02] 其中强化微调版的O1 mini
[00:01:02 - 00:01:05] 在套布一准确率上直接跃升了180%
[00:01:05 - 00:01:07] 达到了31%
[00:01:07 - 00:01:09] 远超O1的25%
[00:01:09 - 00:01:11] 对此Otaman激动的表示
[00:01:11 - 00:01:13] 这项工作效果初期的好
[00:01:13 - 00:01:15] 是我2024年最大的惊喜之一
[00:01:15 - 00:01:17] 非常期待大家会用它去构建什么
[00:01:17 - 00:01:20] 只不过强化微调还是一个期货的产品
[00:01:20 - 00:01:23] 将于2025年的第一季度公开发布
[00:01:23 - 00:01:26] 目前已经对企业、大学和研究院
[00:01:26 - 00:01:27] 开放了申请测试的通道
[00:01:28 - 00:01:28] 好了
[00:01:28 - 00:01:30] 我们先来回顾一下这场发布会
[00:01:30 - 00:01:32] 再来聊聊究竟什么是强化微条
[00:01:32 - 00:01:34] 这次上任直播的四个人
[00:01:34 - 00:01:35] 分别是Opening的研究员
[00:01:35 - 00:01:36] Mark Chen
[00:01:36 - 00:01:37] 约翰.阿拉德
[00:01:37 - 00:01:38] 朱利王
[00:01:38 - 00:01:41] 以及柏克利实验室的计算生物学家
[00:01:41 - 00:01:42] 甲斯汀.李斯
[00:01:42 - 00:01:43] 根据他们的介绍
[00:01:43 - 00:01:45] 现在的用户已经可以在自己的数据级上
[00:01:45 - 00:01:47] 取微条O1模型了
[00:01:47 - 00:01:48] 只不过要强调的是
[00:01:48 - 00:01:50] 这次并不是传统的微条
[00:01:50 - 00:01:52] 而是强化微条
[00:01:52 - 00:01:53] 简单来说
[00:01:53 - 00:01:55] 强化微条能够让开发者
[00:01:55 - 00:01:57] 研究人员和技術學習工程師
[00:01:57 - 00:01:59] 首次有機會使用強化學習
[00:01:59 - 00:02:00] 來創建專家級的模型
[00:02:01 - 00:02:03] 幫助用戶把自己的優質數據級
[00:02:03 - 00:02:05] 轉化為獨一無二的產品
[00:02:05 - 00:02:06] 在特定領域的任務中
[00:02:06 - 00:02:08] 帶來前所未有的卓越表現
[00:02:08 - 00:02:12] 對於法律、金融、工程、保險等等這些領域來說
[00:02:12 - 00:02:14] 這項技術簡直是良身打造的
[00:02:14 - 00:02:15] 舉例來說
[00:02:15 - 00:02:17] OPEN-I最近和湯森路透合作
[00:02:17 - 00:02:20] 利用強化微調對歐萬米尼模型進行了微調
[00:02:20 - 00:02:22] 把它變成了一名法律助手
[00:02:22 - 00:02:25] 帮助法律的专业人士完成了一些复杂
[00:02:25 - 00:02:27] 而且需要深度分析的工作流程
[00:02:27 - 00:02:28] 在去年年初
[00:02:28 - 00:02:30] OPEN-I推出了监督微调的API
[00:02:30 - 00:02:33] 这项技术在当时非常的强大
[00:02:33 - 00:02:35] 核心目标的就是让模型去复制
[00:02:35 - 00:02:38] 在输入的文本或者图像中发现的特征
[00:02:38 - 00:02:40] 而这次在强化微调中
[00:02:40 - 00:02:42] 它不仅是教模型去模仿输入
[00:02:42 - 00:02:45] 更是去学习如何在自定义的领域上
[00:02:45 - 00:02:47] 以全新的方式来进行推理
[00:02:47 - 00:02:49] 当模型看到一个问题的时候
[00:02:49 - 00:02:51] 研究者会给它空间来思考问题
[00:02:51 - 00:02:53] 然后给它的最终答案进行评分
[00:02:53 - 00:02:55] 接下来利用强化学习的强大能力
[00:02:55 - 00:02:58] 他们会强化那些导致正确答案的思维路径
[00:02:58 - 00:03:01] 同时意志那些导致错误答案的思维路径
[00:03:01 - 00:03:05] 这样一来只需要数十个到数千个高质量的势力
[00:03:05 - 00:03:08] 模型就能够学会以新的有效的方式
[00:03:08 - 00:03:10] 在特定领域的问题中进行推理了
[00:03:10 - 00:03:13] 这是传统微调技术所难以实现的
[00:03:13 - 00:03:14] 这也是史上首次
[00:03:14 - 00:03:18] OPEN-I在模型定制平台上支持了强化学习
[00:03:18 - 00:03:23] 而这也是OpenI内部用来训练GPT-4O和O1等顶尖模型所使用的技术
[00:03:23 - 00:03:25] 随后,罗克力实验室的Jastin
[00:03:25 - 00:03:28] 介绍了强化微条给他的研究带来的巨大帮助
[00:03:28 - 00:03:31] 他研究的是使用计算方法
[00:03:31 - 00:03:33] 来理解罕见疾病背后的遗传原因
[00:03:33 - 00:03:37] 不过现在对于罕见疾病的评估并不容易
[00:03:37 - 00:03:40] 首先你要对医学有专业领域的知识
[00:03:40 - 00:03:43] 还要能对生物医学数据进行系统化的推理
[00:03:43 - 00:03:47] 而这些O1模型都可以凭借高级的推理能力提供帮助
[00:03:47 - 00:03:48] 在这个项目中
[00:03:48 - 00:03:50] 甲斯丁和同事们从数百篇
[00:03:50 - 00:03:52] 关于罕见疾病的科学病例报告中
[00:03:52 - 00:03:55] 提取除了疾病的相关信息
[00:03:55 - 00:03:57] 包括患者的体征和症状
[00:03:57 - 00:03:59] 他们希望能够根据患者的症状
[00:03:59 - 00:04:00] 找出可能发生突变
[00:04:00 - 00:04:02] 导致这些症状的基因
[00:04:02 - 00:04:04] 为此他们和Open Eye团队
[00:04:04 - 00:04:05] 一起训练了欧湾模型
[00:04:05 - 00:04:07] 让它能够更加高效的
[00:04:07 - 00:04:08] 推力疾病的成因
[00:04:08 - 00:04:09] 而在根据一系列症状
[00:04:09 - 00:04:11] 来预测可能引发
[00:04:11 - 00:04:13] 集传疾病的基因这个任务上
[00:04:13 - 00:04:15] 经过强化微调后的欧湾迷你模型
[00:04:15 - 00:04:18] 表现竟然超过了原本的O1模型
[00:04:18 - 00:04:19] 这一点非常重要
[00:04:19 - 00:04:22] 因为O1迷你比O1更小更快
[00:04:22 - 00:04:23] 而且成本更低
[00:04:23 - 00:04:26] 而实际上在OPI的开发平台上
[00:04:26 - 00:04:28] 他们已经对模型进行监督微调一年多了
[00:04:28 - 00:04:29] 为了训练模型
[00:04:29 - 00:04:31] 他们上传了一个训练数据级
[00:04:31 - 00:04:33] 包含1100个实例
[00:04:33 - 00:04:35] 我们拿一个单独的数据点为例
[00:04:35 - 00:04:37] 其中包括病例报告指令
[00:04:37 - 00:04:39] 争取答案三个部分
[00:04:39 - 00:04:41] 在这份病例报告中显示
[00:04:41 - 00:04:42] 患者为51岁的女性
[00:04:42 - 00:04:45] 疾病发病时间没有具体说明
