BV号：BV1HSGH6aEwH
标题：BV1HSGH6aEwH
链接：https://www.bilibili.com/video/BV1HSGH6aEwH
识别语言：zh
语言置信度：1
分段数：417
生成时间：2026-08-29 08:54:18

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:05] 5月20日OpenAI发布了一篇博客文章
[00:00:05 - 00:00:07] 他们的一个内部通用推理模型
[00:00:07 - 00:00:11] 自动给出了埃尔德时平面单位距离猜想的反例
[00:00:11 - 00:00:13] 很多人把这件事理解反了
[00:00:13 - 00:00:15] 这不是说AI已经求出了N个点
[00:00:15 - 00:00:17] 最多有多少单位距离对的完整答案
[00:00:17 - 00:00:20] 更准确的说它推翻了数学界
[00:00:20 - 00:00:22] 长期相信的一个核心上界
[00:00:22 - 00:00:24] 数学家们长期认为
[00:00:24 - 00:00:27] 单位距离对的数量最多也只是比线性多一点点
[00:00:27 - 00:00:29] 而这次结果说明
[00:00:29 - 00:00:33] 它在无穷多个n上可以达到n的一家delta次方级别
[00:00:33 - 00:00:37] OpenAI原证明给出了某个固定的delta大于0
[00:00:37 - 00:00:39] 后来普林斯顿的威尔索温
[00:00:39 - 00:00:42] 把它显示化到delta等于0.014
[00:00:42 - 00:00:45] 真正震撼的地方不是算的快
[00:00:45 - 00:00:48] 而是它把代数数论里的类域塔和哥洛德
[00:00:48 - 00:00:49] 沙法列为奇理论
[00:00:49 - 00:00:52] 搬到了一个看起来很初等的平面几何问题里
[00:00:52 - 00:00:55] 这就像让学画画的朋友帮你修电脑
[00:00:55 - 00:00:58] 结果它不仅修好了还顺便写了个新操作系统
[00:00:58 - 00:01:01] 我感觉我们正站在一个新时代的起点
[00:01:01 - 00:01:03] 这个难题到底是什么
[00:01:03 - 00:01:07] 1946年保罗艾尔德时提出了一个看似简单的问题
[00:01:07 - 00:01:09] 如果我们在平面上摆放N的点
[00:01:09 - 00:01:12] 最多能有多少对点之间的距离刚好是1
[00:01:12 - 00:01:14] 这就是平面单位距离问题
[00:01:14 - 00:01:15] 听起来很简单
[00:01:15 - 00:01:18] 但它让数学界最聪明的大脑舌了腰
[00:01:18 - 00:01:19] 这个问题很重要
[00:01:19 - 00:01:22] 它涉及到组合几何的核心问题
[00:01:22 - 00:01:24] 和计算几何离散数学理论
[00:01:24 - 00:01:26] 计算及科学都有密切联系
[00:01:26 - 00:01:29] 解决它需要集身的数学动茶
[00:01:29 - 00:01:32] 艾尔德时是二十世纪最伟大的数学家之一
[00:01:32 - 00:01:34] 他特别喜欢悬赏问题
[00:01:34 - 00:01:36] 这个问题被他列为最喜欢的问题之一
[00:01:36 - 00:01:38] 2005年出版的
[00:01:38 - 00:01:40] 离散几何研究问题书直接说
[00:01:40 - 00:01:43] 这可能是组合几何中最有名
[00:01:43 - 00:01:44] 也是最简单可以解释的问题
[00:01:44 - 00:01:49] 普林斯顿大学组合数学顶尖专家诺加阿龙也说
[00:01:49 - 00:01:51] 这是艾尔德时最喜欢的问题之一
[00:01:51 - 00:01:54] 让我们看看这个问题的历史和难度
[00:01:54 - 00:01:55] 用数学语言来说
[00:01:55 - 00:01:57] 我们要找的是un
[00:01:57 - 00:01:59] 也就是在平面上放n个点式
[00:02:00 - 00:02:03] 单位距离对的最大数量最简单的例子很容易构造
[00:02:03 - 00:02:06] 如果你把n个点排成一条直线
[00:02:06 - 00:02:09] 间距都是1就有n-1对单位距离
[00:02:09 - 00:02:13] 如果你把点排成一个n×n的方格网
[00:02:13 - 00:02:15] 每个点大约有4个0点距离是1
[00:02:15 - 00:02:18] 大约有2n对单位距离能不能做得更好
[00:02:18 - 00:02:21] 从1946年艾尔德时提出这个问题开始
[00:02:21 - 00:02:22] 数学家们发现
[00:02:22 - 00:02:24] 这种众缩放方格往构造
[00:02:24 - 00:02:26] 长期是最佳一只构造
[00:02:26 - 00:02:28] 也被广泛认为可能达到了正确量级
[00:02:28 - 00:02:31] 这种构造能得到的单位距离对数量
[00:02:31 - 00:02:34] 大概是n的1加c处于loglogn四方
[00:02:34 - 00:02:36] c是个长数
[00:02:36 - 00:02:38] 因为loglogn增长特别慢
[00:02:38 - 00:02:40] 这个指数差不多就是1
[00:02:40 - 00:02:42] 也就是只比线性增长快一点点
[00:02:42 - 00:02:44] 大家猜想应该没有更好的构造了
[00:02:44 - 00:02:47] 最多就是n的1加小o四方
[00:02:47 - 00:02:49] 小o是一个随着n增大
[00:02:49 - 00:02:51] 趋向于零的像
[00:02:51 - 00:02:53] 这个猜想在数学界几乎成了铁律
[00:02:53 - 00:02:56] 1984年斯潘赛迈雷迪
[00:02:56 - 00:02:58] 赫特罗特证明了一个上界是
