BV号：BV1Hrq1YAEYe
标题：BV1Hrq1YAEYe
链接：https://www.bilibili.com/video/BV1Hrq1YAEYe
识别语言：zh
语言置信度：1
分段数：402
生成时间：2026-08-31 04:18:08

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:04] 大约一个月以前
[00:00:04 - 00:00:07] OpenI的安全系统团队负责人翁丽·丽林翁
[00:00:07 - 00:00:10] 宣布从工作了近7年的OpenI离职
[00:00:10 - 00:00:11] 当时他就表示
[00:00:11 - 00:00:14] 离职后可能有更多的时间来写博客了
[00:00:14 - 00:00:15] 而就在几天前
[00:00:15 - 00:00:18] 他更新了一篇关于强化学业中奖励黑客的博客
[00:00:18 - 00:00:20] 迅速引起了大家的围观学习
[00:00:20 - 00:00:23] 这篇博客之所以会受到管控的关注
[00:00:23 - 00:00:24] 是因为奖励黑客问题
[00:00:24 - 00:00:27] 在当前的人工智能发展中就有重要的意义
[00:00:27 - 00:00:30] 当强化学习Agent利用奖励函数
[00:00:30 - 00:00:32] 或者环境中的缺陷来最大化奖励
[00:00:32 - 00:00:34] 却没有学习到预期行为的时候
[00:00:34 - 00:00:36] 就会发生奖励黑客攻击
[00:00:36 - 00:00:37] 在现实中
[00:00:37 - 00:00:40] 随着我们越来越多的部署自主AI模型
[00:00:40 - 00:00:43] 这个问题也逐渐成为了主要的障碍之一
[00:00:43 - 00:00:46] 孟丽在博客中呼吁对奖励黑客
[00:00:46 - 00:00:47] 特别是对大业模型
[00:00:47 - 00:00:49] 和基于人类反馈的强化学习中
[00:00:49 - 00:00:50] 奖励黑客的环减策略
[00:00:50 - 00:00:52] 要进行更多的研究
[00:00:52 - 00:00:53] 博客的原文很长
[00:00:53 - 00:00:55] 孟丽自己认为全读下来
[00:00:55 - 00:00:56] 都要37分钟左右
[00:00:56 - 00:00:58] 更不用说去理解它了
[00:00:58 - 00:01:00] 所以今天大飞就来给大家
[00:01:00 - 00:01:01] 简单的整理和解读一下
[00:01:01 - 00:01:03] 希望能够对大家有所帮助
[00:01:03 - 00:01:05] 要想理解蒋利黑克
[00:01:05 - 00:01:06] 我们必须先来说一说
[00:01:06 - 00:01:08] 强化学习中的蒋利韩树
[00:01:08 - 00:01:11] 蒋利韩树可是任务定义的一个关键
[00:01:11 - 00:01:14] 它对学习效率和准确性有着显著的影响
[00:01:14 - 00:01:16] 设计强化学习任务的蒋利韩树
[00:01:16 - 00:01:18] 就像是一门玄学
[00:01:18 - 00:01:21] 比如说如何把大目标分解成小目标
[00:01:21 - 00:01:22] 蒋利是西叔的好
[00:01:22 - 00:01:23] 还是秘籍的好
[00:01:23 - 00:01:25] 又该如何衡量奖励的成功呢?
[00:01:25 - 00:01:28] 不同的选择可能会导致学习的动态良好
[00:01:28 - 00:01:30] 但也可能会引发问题
[00:01:30 - 00:01:31] 比如任务无法学习
[00:01:31 - 00:01:34] 或者奖励函数可以被破解等等
[00:01:34 - 00:01:35] 早在1999年
[00:01:35 - 00:01:37] 温达等人就在论文
[00:01:37 - 00:01:39] 奖励转换下的策略不变性
[00:01:39 - 00:01:41] 奖励塑造的理论和应用中
[00:01:41 - 00:01:44] 研究了如何修改马尔科夫角色过程中
[00:01:44 - 00:01:46] 也就是MDP中的奖励函数
[00:01:46 - 00:01:48] 来让最优策略保持不变
[00:01:48 - 00:01:50] 他们发现现行变换是有效的
[00:01:50 - 00:01:51] 简单来说
[00:01:51 - 00:01:54] 就是通过对奖励函数进行特定的变换
[00:01:54 - 00:01:56] 引导学习算法更高效的学习
[00:01:56 - 00:01:58] 同时确保最优策略不受影响
[00:01:58 - 00:02:00] 这为我们理解奖励函数的设计
[00:02:00 - 00:02:02] 提供了重要的理论基础
[00:02:02 - 00:02:05] 另一个与奖励黑客密切相关的概念
[00:02:05 - 00:02:06] 就是虚假相关性
[00:02:06 - 00:02:07] 也叫捷径学习
[00:02:07 - 00:02:09] 在分类任务中
[00:02:09 - 00:02:11] 虚假或者是捷径特征
[00:02:11 - 00:02:14] 可能会让分类器无法按照预期学习和泛化
[00:02:14 - 00:02:15] 给大家举个例子
[00:02:15 - 00:02:17] 如果所有的狼的训练图片中
[00:02:17 - 00:02:18] 都包含了白雪
[00:02:18 - 00:02:21] 那么用来区分狼和哈士奇的二元分类器
[00:02:21 - 00:02:24] 可能就会因为血井这个特征而过你和
[00:02:24 - 00:02:26] 从而在分布外测试机上表现很差
[00:02:26 - 00:02:28] 有研究表明
[00:02:28 - 00:02:31] 最小化训练数据的损失是风险的合理替代
[00:02:31 - 00:02:34] 但是这会导致模型依赖所有类型的细节特征
[00:02:34 - 00:02:36] 包括不可靠的虚假特征
[00:02:36 - 00:02:38] 无论任务是多么的简单
[00:02:38 - 00:02:40] 模型都可能会出现这种情况
[00:02:40 - 00:02:45] 这就说明虚假相关性是一个在机器学义中普遍存在的
[00:02:45 - 00:02:46] 而且需要重视的问题
[00:02:46 - 00:02:49] 他与奖励黑客的问题相互交織
[00:02:49 - 00:02:51] 共同影响着模型的性能和行为
[00:02:51 - 00:02:54] 接下来咱们来详细讲讲什么是奖励黑客
[00:02:54 - 00:02:57] 近年来人们提出了几个相关的概念
[00:02:57 - 00:03:01] 比如说奖励黑客 奖励腐化 奖励塑造 规范博异
[00:03:01 - 00:03:05] 客观鲁棒性 目标错误概括 奖励错误指定等等
[00:03:05 - 00:03:09] 他们都指的是某种形式的奖励黑客行为
[00:03:09 - 00:03:12] 这个概念最早源于阿摩代仪等人在2016年的研究
[00:03:12 - 00:03:16] 他们将奖励黑客列为人工智能的关键安全问题之一
[00:03:16 - 00:03:18] 指的是Agent通过不良的行为
[00:03:18 - 00:03:21] 欺骗奖励函数来获得高额奖励的可能性
[00:03:21 - 00:03:24] 规范博弈也是类似的概念
[00:03:24 - 00:03:25] 及满足目标的字面规范
[00:03:25 - 00:03:28] 但是没有实现预期结果的行为
[00:03:28 - 00:03:31] 这里要注意区分的是奖励黑客和奖励塑造
[00:03:31 - 00:03:34] 奖励塑造是一种丰富奖励函数的技术
[00:03:34 - 00:03:36] 能让Agent更加容易学习
[00:03:36 - 00:03:37] 但是如果设计不到
[00:03:37 - 00:03:39] 可能就会改变最优策略的轨迹
[00:03:39 - 00:03:40] 准确的说
[00:03:40 - 00:03:43] 设计一个好的奖励函数本身就是极具挑战性的
[00:03:43 - 00:03:45] 因为是一道任务复杂性
[00:03:45 - 00:03:47] 状态部分可观察
[00:03:47 - 00:03:48] 以及多个维度等等因素
[00:03:48 - 00:03:51] 为了让大家更好的理解蒋立黑客
[00:03:51 - 00:03:53] 孟丽给大家列举了一些实际中的案例
[00:03:53 - 00:03:56] 比如说在训练抓取物体的机械手时
[00:03:56 - 00:04:01] 她可能会学会通过将手放在物体和相机之间来欺骗人
[00:04:01 - 00:04:03] 让人们以为她成功抓取了物体
[00:04:03 - 00:04:06] 在训练最大化跳跃高度的A阵的时候
[00:04:06 - 00:04:08] 她可能会利用物理模拟器中的错误
[00:04:08 - 00:04:10] 来实现不切实际的高度
[00:04:10 - 00:04:12] 当A阵被训练骑自行车到达目标
[00:04:12 - 00:04:15] 并且在接近目标的时候获得奖励
[00:04:15 - 00:04:18] 他可能就会选择在目标周围绕小圈骑行
[00:04:18 - 00:04:22] 因为这样远离目标的时候就不会受到处罚
[00:04:22 - 00:04:23] 而在足球比赛中
[00:04:23 - 00:04:26] 如果Agent出球就分配奖励
[00:04:26 - 00:04:29] 于是他就会一直保持在球的旁边高频的出球
[00:04:29 - 00:04:31] 在Cost de Rennes赛船游戏中
[00:04:31 - 00:04:33] Agent控制船进行比赛
[00:04:33 - 00:04:36] 当机重绿色的方块有奖励的时候
[00:04:36 - 00:04:37] 他就会改为绕圈航行
[00:04:37 - 00:04:39] 并反复的机重同一方块
[00:04:39 - 00:04:42] 在大远模型的任务中也存在奖励黑客的现象
[00:04:42 - 00:04:45] 比如说用来生成摘药的语言模型
[00:04:45 - 00:04:47] 可能会利用指标中的缺陷来获得高分
[00:04:47 - 00:04:50] 但是生成的摘药却几乎不可读
[00:04:50 - 00:04:53] 编码模型可能会学习更改单元测试
[00:04:53 - 00:04:54] 来通过编码问题
[00:04:54 - 00:04:57] 甚至直接修改用来计算奖励的代码
[00:04:57 - 00:04:59] 现实中国中也不乏这样的例子
[00:04:59 - 00:05:01] 社交媒体的推荐算法
[00:05:01 - 00:05:03] 本来应该是提供有用的信息
[00:05:03 - 00:05:06] 但是由于用点赞 评论数量等等带离指标
[00:05:06 - 00:05:07] 来衡量有用性
[00:05:07 - 00:05:09] 最终可能就会推荐
[00:05:09 - 00:05:10] 离谱的极端的内容
[00:05:10 - 00:05:12] 来增加用户的参与度
[00:05:12 - 00:05:14] 针对视频网站的错误指标进行优化
[00:05:14 - 00:05:17] 可能会大幅增加用户的观看时间
[00:05:17 - 00:05:20] 却偏离了优化用户主观幸福感的真正目标
[00:05:21 - 00:05:23] 2008年房地产泡沫引发的金融危机
[00:05:24 - 00:05:25] 人们试图玩弄金融体系
[00:05:25 - 00:05:28] 这也是一种社会层面的奖励黑客攻击
[00:05:28 - 00:05:30] 那么为什么奖励黑客会存在呢
[00:05:31 - 00:05:33] 这里就不得不提到古德哈特定律
[00:05:33 - 00:05:34] Gunhastlo
[00:05:34 - 00:05:37] 他指出当一个指标成为目标的时候
[00:05:37 - 00:05:39] 他就不再是一个好的指标了
[00:05:39 - 00:05:42] 一旦对某个指标施加过大的压力进行优化
[00:05:42 - 00:05:43] 它就容易被破坏
[00:05:43 - 00:05:48] 在强化学习中指定百分之百准确的奖励目标是非常困难的
[00:05:48 - 00:05:51] 任何Agent都面临被黑客攻击的风险
[00:05:51 - 00:05:54] 因为强化学习算法会利用奖励函数定义中的小缺陷
[00:05:54 - 00:05:59] 古达哈特定律有回归 及职 因果 对抗 四种辨体
[00:05:59 - 00:06:04] 这些辨体进一步解释了指标在成为目标之后出现问题的不同情况
[00:06:04 - 00:06:06] 根据阿墨代仪等人的总结
[00:06:06 - 00:06:09] 奖励黑客攻击主要发生在强化学习的设置中
[00:06:09 - 00:06:12] 原因包括部分观察到的状态和目标
[00:06:12 - 00:06:14] 不能够完美的表示环境状态
[00:06:14 - 00:06:17] 系统本身很复杂 容易被黑客攻击
[00:06:17 - 00:06:21] 奖励可能会设计难以学习或者描述的抽象概念
[00:06:21 - 00:06:24] 高维输入的奖励函数可能会过度依赖几个维度
[00:06:24 - 00:06:28] 以及强化学习的目标是让奖励函数高度优化
[00:06:28 - 00:06:29] 这就存在天生的冲突
[00:06:29 - 00:06:33] 使得设计良好的强化学习目标极具挑战性
[00:06:33 - 00:06:36] 特別是具有自我強化反饋組件的獎勵函數
[00:06:36 - 00:06:38] 獎勵可能會被放大和扭曲
[00:06:38 - 00:06:39] 破壞原始的意圖
[00:06:39 - 00:06:41] 此外我們通常也不可能設計出
[00:06:41 - 00:06:44] 能夠優化Agent的行為的最佳獎勵函數
[00:06:44 - 00:06:46] 因為在固定的環境中
[00:06:46 - 00:06:49] 可能存在無數個與觀察到的策略一致的獎勵函數
[00:06:49 - 00:06:51] 這就會導致Agent可能會找到
[00:06:51 - 00:06:53] 獎勵函數設計中的漏洞
[00:06:53 - 00:06:55] 從而出現獎勵黑客行為
[00:06:55 - 00:06:57] 另外有研究指出
[00:06:57 - 00:06:59] 更聰明的Agent更有能力去找到
[00:06:59 - 00:07:01] 獎勵函數設計中的漏洞
[00:07:01 - 00:07:02] 获取更高的代理獎勵
[00:07:02 - 00:07:04] 但是真實的獎勵卻更低
[00:07:04 - 00:07:07] 相反 較弱的算法可能找不到漏洞
[00:07:07 - 00:07:09] 所以當模型不夠強大的時候
[00:07:09 - 00:07:11] 我們可能觀察不到獎勵黑客的現象
[00:07:11 - 00:07:14] 也難以發現當前獎勵函數設計中的問題
[00:07:14 - 00:07:17] 有趣的是即使真實獎勵和代理獎勵
[00:07:17 - 00:07:18] 存在著正相關性
[00:07:18 - 00:07:20] 獎勵黑客攻擊仍然可能發生
[00:07:21 - 00:07:24] 接下來我們再來說說大模型RHF中的黑客行為
[00:07:24 - 00:07:27] 基於人類反饋的強化學習RHF
[00:07:27 - 00:07:30] 如今已經成為了語言模型對齊訓練的常用方法
[00:07:30 - 00:07:34] 在RHF中 训练人员会先基于人类反馈数据
[00:07:34 - 00:07:35] 训练一个奖励模型
[00:07:35 - 00:07:38] 然后通过强化学习对与言模型进行微调
[00:07:38 - 00:07:41] 来优化人类偏好的代理奖励
[00:07:41 - 00:07:43] 这里有三种类型的奖励值得关注
[00:07:43 - 00:07:45] 分别是金牌奖励
[00:07:45 - 00:07:47] 代表着我们真正希望大模型优化的目标
[00:07:47 - 00:07:50] 人类奖励是指实践中收集的
[00:07:50 - 00:07:51] 评估大模型的奖励
[00:07:51 - 00:07:54] 但是由于人类反馈可能不一致或者是犯错
[00:07:54 - 00:07:57] 不能完全准确表示金牌奖励
[00:07:57 - 00:07:58] 第三个是代理奖励
[00:07:58 - 00:08:01] 是通过人类数据训练的奖励模型预测的分数
[00:08:01 - 00:08:05] 继承了人类奖励的弱点和潜在建模的偏差
[00:08:05 - 00:08:08] 虽然RLHF会优化带离奖励的分数
