BV号：BV1Hy5F6VEhg
标题：BV1Hy5F6VEhg
链接：https://www.bilibili.com/video/BV1Hy5F6VEhg
识别语言：zh
语言置信度：1
分段数：163
生成时间：2026-08-29 17:46:32

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 现在很多程序员都在焦虑
[00:00:04 - 00:00:05] 觉得AI写代码越来越牛
[00:00:05 - 00:00:07] 自己迟早要被淘汰
[00:00:07 - 00:00:08] 大家都在卷大模型
[00:00:08 - 00:00:10] 卷各种套客应用
[00:00:10 - 00:00:10] 但结果呢
[00:00:10 - 00:00:13] 套客产品分分钟被别人复制
[00:00:13 - 00:00:15] 但这里有个很离谱的地方
[00:00:15 - 00:00:17] 就在大家觉得技术贬值的时候
[00:00:17 - 00:00:19] OpenAI Anthropic这些AI顶流
[00:00:19 - 00:00:20] 正在把FDE
[00:00:20 - 00:00:23] 变成企业AI落地的核心岗位
[00:00:23 - 00:00:24] 这个职位叫FDE
[00:00:24 - 00:00:26] 你可能会问什么是FDE
[00:00:26 - 00:00:28] 全称是Forward Deployed Engineer
[00:00:28 - 00:00:32] 前方部署工程师为什么在智能似乎越来越廉价的今天
[00:00:32 - 00:00:35] 这些需要亲自跑到客户现场
[00:00:35 - 00:00:38] 甚至要天天跟非技术高管打交道的工程师
[00:00:38 - 00:00:39] 反而成了香波波
[00:00:39 - 00:00:44] Athropic甚至联合Blackstone Helman, Freedman, and Goldman Sachs
[00:00:44 - 00:00:46] 成立新的企业AI服务公司
[00:00:46 - 00:00:49] 把Cloud的部署能力推到中型企业现场
[00:00:49 - 00:00:54] 今天这期视频我们就来深度拆解FDE到底是个什么神仙职业
[00:00:54 - 00:00:58] 以及它给我们在AI冲击下的转型带来了什么起事
[00:00:58 - 00:01:01] FDE这个概念其实不是AI全发明的
[00:01:01 - 00:01:04] 它最早来自那家神秘的大数据公司PALENT
[00:01:04 - 00:01:06] 早在阿富汗战争时期
[00:01:06 - 00:01:09] PALENT就把工程师推到军事客户现场
[00:01:09 - 00:01:11] 在真实任务环境里快速迭代软件
[00:01:11 - 00:01:15] PALENT的核心经验是不进入真实业务环境
[00:01:15 - 00:01:17] 很难做出真正能跑的系统
[00:01:17 - 00:01:19] 现在这句话在AI时代应验了
[00:01:19 - 00:01:23] 到2026年前沿模型已经迭代到GPT 5.5
[00:01:23 - 00:01:25] Cloud Opus 4.8这一代
[00:01:25 - 00:01:27] 模型之间当然还有差距
[00:01:27 - 00:01:28] 但对企业来说
[00:01:28 - 00:01:29] 越来越难
[00:01:29 - 00:01:31] 只靠我接了一个更强模型形成壁垒
[00:01:31 - 00:01:34] 真正难的是把模型接近真实流程
[00:01:34 - 00:01:37] 真实数据真实权限和真实评估里
[00:01:37 - 00:01:39] 如果智能本身变成了商品
[00:01:39 - 00:01:41] 那关键竞争优势之一是什么
[00:01:41 - 00:01:43] 就是怎么用用在哪儿
[00:01:43 - 00:01:46] 把AI签入到一家具体公司的具体业务流理
[00:01:46 - 00:01:49] 这件事没法靠卖一个通用API来解决
[00:01:49 - 00:01:50] 只能派人去现场干
[00:01:50 - 00:01:52] 第一点 审计与诊断
[00:01:52 - 00:01:56] FDE去了客户现场往往不是急着写代吗
[00:01:56 - 00:01:58] 而是先做诊断贴着业务跑一轮
[00:01:58 - 00:02:01] 常见的做法是可能在销售运营待两周
[00:02:01 - 00:02:04] 再采购待一周再财务待一个月
[00:02:04 - 00:02:07] 他们的目标是了解业务流找出瓶颈
[00:02:07 - 00:02:09] 很多人会觉得这不就是咨询顾问干的活吗
[00:02:09 - 00:02:10] 错
[00:02:10 - 00:02:13] FDE必须判断哪些环节该用
[00:02:13 - 00:02:14] Agent哪些不该用
[00:02:14 - 00:02:17] 这里有三条非常硬核的判断标准
[00:02:17 - 00:02:20] 如果规则能抽象但输入形式千奇百怪
[00:02:20 - 00:02:24] 比如有邮件有PDF还需要调用工具
[00:02:24 - 00:02:25] 果断上Agent
[00:02:25 - 00:02:27] 如果规则和输入都很固定
[00:02:27 - 00:02:29] 老老实实写普通代码更快更便宜
[00:02:29 - 00:02:32] 如果需要模式识别加上专家经验
[00:02:32 - 00:02:34] 直接保留人工
[00:02:34 - 00:02:35] 而且别滥用AI
[00:02:35 - 00:02:37] 大多数任务一串工具调用
[00:02:37 - 00:02:39] 加上一次大模型编排就足够了
[00:02:39 - 00:02:41] 用多了全市成本
[00:02:41 - 00:02:42] 第二点
[00:02:42 - 00:02:43] 评估与信任
[00:02:43 - 00:02:44] 客户砸了上百万
[00:02:44 - 00:02:47] 你怎么证明你的AI不是在胡说八道
[00:02:47 - 00:02:49] 好的EVO不只是看最终答案
[00:02:49 - 00:02:53] 而是看过程、证据、工具调用和业务约束是否达标
[00:02:53 - 00:02:56] FDE会把人解决问题的步骤拆解开
[00:02:56 - 00:02:58] 设好检查点一步步打分
[00:02:58 - 00:03:00] 或者跟公司的资深员工一起
[00:03:00 - 00:03:03] 写出一些完美的黄金样本作为势力
[00:03:03 - 00:03:06] 拿这个当尺子去度量AI的产出
[00:03:06 - 00:03:08] 看到这里你可能会想这不就是测试吗
[00:03:08 - 00:03:09] 关键来了
[00:03:09 - 00:03:13] Evils真正用途是让那些根本不懂技术
[00:03:13 - 00:03:16] 对AI充满怀疑的高管敢于签字付款
[00:03:16 - 00:03:18] Evils首先是工程质量门槛
[00:03:18 - 00:03:22] 其次才是让客户和高管赶上线赶付款的信任机制
[00:03:22 - 00:03:24] 第三点 务实的部署
[00:03:24 - 00:03:27] 很多程序员一上来就像重购整个系统
[00:03:27 - 00:03:29] 但FDE的原则极其反直觉
[00:03:29 - 00:03:33] 常见的做法是尽量避免大规模数据迁移
[00:03:33 - 00:03:36] 客户花了几年时间几百万才把ERP弄好
[00:03:36 - 00:03:38] 绝不会让你拆了重来
[00:03:38 - 00:03:40] FDE会在现有的sharepoint
[00:03:40 - 00:03:42] 或者数据库上建议层API
[00:03:42 - 00:03:46] 让模型作为调度器去查询先搭个杀乡环境跑跑看
[00:03:46 - 00:03:48] 从最小的自治单元开始
[00:03:48 - 00:03:51] 比如先让Agent只做发现bug调查写公单
[00:03:51 - 00:03:52] 等跑本了
[00:03:52 - 00:03:54] 再给它写代码TPR的权限
[00:03:54 - 00:03:56] 事情开始变得有意思了
