BV号：BV1J2PizaE7A
标题：BV1J2PizaE7A
链接：https://www.bilibili.com/video/BV1J2PizaE7A
识别语言：zh
语言置信度：1
分段数：188
生成时间：2026-08-29 20:48:33

[00:00:00 - 00:00:02] 大家好,我是为什么叫QQ
[00:00:02 - 00:00:06] 如果你看过我们上一期的AI战争,你一定记得这样一个细节
[00:00:06 - 00:00:08] 在史诗之怒行动正式发动前4天
[00:00:08 - 00:00:12] 美国国防部长向Anthropic发出最后通牒
[00:00:12 - 00:00:17] 要求移除Cloud的所有使用限制,以便将其完全整合进自动致命武器系统
[00:00:17 - 00:00:21] 但Anthropic的CEO达里奥阿默黛伊拒绝了
[00:00:21 - 00:00:25] 随后,特朗普下令联邦机构停止使用Anthropic产品
[00:00:25 - 00:00:27] 五角大楼将其列为供应链风险
[00:00:27 - 00:00:31] 但急剧讽刺意味的是由于此前签订的6个月过渡期条款
[00:00:31 - 00:00:35] Cloud最终还是出现在了那场行动的核心情报分析环节中
[00:00:36 - 00:00:38] 上期我们讲清楚了史实之怒
[00:00:38 - 00:00:42] 行动的技术架构从Palant的战场大脑
[00:00:42 - 00:00:44] 到SpaceX的星顿通信
[00:00:44 - 00:00:47] 再到以色列的福音和薰音草系统
[00:00:47 - 00:00:49] 但有一个问题我们没有深入回答
[00:00:49 - 00:00:51] 达里奥为什么要拒绝
[00:00:51 - 00:00:52] 他在汉为什么
[00:00:52 - 00:00:54] 今天这一期就是上期的另一面
[00:00:54 - 00:00:57] 如果说AI战争讲的是AI在战场上能做什么
[00:00:57 - 00:01:00] 那么今天我们要讨论的是 AI应该做什么
[00:01:00 - 00:01:03] 以及当技术跑得比人类认知快的多时
[00:01:03 - 00:01:05] 我们该如何应对
[00:01:05 - 00:01:07] 我们先把事件的核心梳理清楚
[00:01:07 - 00:01:11] Anthropic作为最积极于美国政府合作的 AI公司之一
[00:01:11 - 00:01:15] 却在两个关键问题上与五角大楼产生了不可调和的矛盾
[00:01:15 - 00:01:18] 第一拒绝将AI用于国内的大规模监控
[00:01:18 - 00:01:21] 第二拒绝在现阶段部署全自主武器系统
[00:01:21 - 00:01:26] 这两条红线在上期视频里我们都看到了他们被突破的后果
[00:01:26 - 00:01:28] 当达里奥警告大规模监控的风险时
[00:01:28 - 00:01:31] 他所指的正是像以色列巡医草系统那样
[00:01:31 - 00:01:35] 在加沙战争中峰值标记了3.7万个人员目标
[00:01:35 - 00:01:37] 是像爸爸在哪儿
[00:01:37 - 00:01:40] 系统那样自动追踪目标与诸所的关联
[00:01:40 - 00:01:43] 实现对特定人群的全天后自动监控
[00:01:43 - 00:01:47] 这些正是达里奥所说的不应该发生的事情的真实样本
[00:01:47 - 00:01:49] 而在全自主武器问题上
[00:01:49 - 00:01:55] 它更坦诚地指出了当前AI技术在可靠性和可预测性上的根本缺陷
[00:01:55 - 00:01:58] 上期我们提到在史诗之怒行动中
[00:01:58 - 00:02:01] 从发现目标到导弹命中不到40分钟
[00:02:01 - 00:02:05] 但这40分钟里人类的确认窗口可能只有短短20秒
[00:02:05 - 00:02:07] 这20秒是否构成有意义的人类控制
[00:02:07 - 00:02:11] 当AI误判导致平民伤亡责任由谁承担
[00:02:11 - 00:02:12] 这些问题至今没有答案
[00:02:12 - 00:02:16] 将一个我们还无法完全理解和控制的黑箱
[00:02:16 - 00:02:19] 至于生死决策的核心这背后运涵的风险
[00:02:19 - 00:02:21] 不是抽象的哲学命题
[00:02:21 - 00:02:24] 而是上期视频里那些真实发生过的数字和事件
[00:02:24 - 00:02:28] 但如果我们仅仅停留在讨论这两条红线的对错
[00:02:28 - 00:02:30] 我们就错过了问题的关键
[00:02:30 - 00:02:31] 真正的核心问题是
[00:02:31 - 00:02:33] 为什么会产生这种分歧
[00:02:33 - 00:02:35] 为什么最了解技术的开发者
[00:02:35 - 00:02:37] 和最需要技术的应用者
[00:02:37 - 00:02:40] 会在最根本的原则上产生对立
[00:02:40 - 00:02:42] 答案就藏在技术发展
[00:02:42 - 00:02:44] 与人类社会眼镜的速度差力
[00:02:44 - 00:02:47] 上期我们提到了 AI 战争三个时钟理论
[00:02:47 - 00:02:50] 军事时钟被剥快了,经济时钟也在加速
[00:02:50 - 00:02:53] 而政治与伦理时钟几乎停滞不前
[00:02:53 - 00:02:55] 这个理论其实不只适用于战争
[00:02:55 - 00:02:59] 它描述的是整个AI时代人类社会面临的根本困境
[00:02:59 - 00:03:03] AI技术正以摩尔定律甚至更快的速度在指数级迭代
[00:03:03 - 00:03:07] 达里奥提到,模型的计算量每四个月就会翻一翻
[00:03:07 - 00:03:10] 而人类的法律伦理和社会共识却是过漫长的讨论
[00:03:10 - 00:03:14] 博弈和石建以一种限性的,渐进的方式发展
[00:03:14 - 00:03:16] 一边是垂直向上的技术曲线
[00:03:16 - 00:03:19] 另一边是缓慢爬升的社会适应曲线
[00:03:19 - 00:03:23] 这两者之间正在形成一个越来越大的认知鸿钩
[00:03:23 - 00:03:26] 五角大楼的困境正是这个鸿钩的体现
[00:03:26 - 00:03:28] 作为一个庞大的国家机器
[00:03:28 - 00:03:30] 它追求的是效率和确定性
[00:03:30 - 00:03:32] 它希望获得一种无限制的技术授权
[00:03:32 - 00:03:35] 来应对日益复杂的国家安全挑战
[00:03:35 - 00:03:38] 上期我们看到这种追求在战场上确实产生了
[00:03:38 - 00:03:39] 惊人的效率
[00:03:39 - 00:03:41] 2.3PB的情报
[00:03:41 - 00:03:45] 90分钟内完成分析预测准确率98.7%
[00:03:45 - 00:03:50] 但他的决策者很难像一线开发者那样对一个上载演化中的技术
[00:03:50 - 00:03:52] 有足够深刻的敬畏和认知
[00:03:52 - 00:03:55] 他们看到的是AI作为工具的强大能力
[00:03:55 - 00:03:58] 却可能低估了其作为系统的内在风险
[00:03:58 - 00:04:00] 而达里奥和Anthropic的立场
[00:04:00 - 00:04:03] 则代表了技术前沿的远见者的焦虑
[00:04:03 - 00:04:05] 他们不仅知道AI能做什么
[00:04:05 - 00:04:07] 更知道AI的不能和未知
[00:04:07 - 00:04:09] 他们看到了技术失控的潜在路径
[00:04:09 - 00:04:13] 因此他们选择了一种看似固执的方式
[00:04:13 - 00:04:14] 试图在监管的真空地带
[00:04:14 - 00:04:16] 扮演一个临时的刹车片角色
[00:04:16 - 00:04:19] 他们坚持的与其说是两条技术红线
[00:04:19 - 00:04:22] 不如说是一种面对未来的审慎责任
[00:04:22 - 00:04:25] 这场冲突的本质不是企业与政府的对抗
[00:04:25 - 00:04:27] 而是技术时间与社会时间的错位
[00:04:27 - 00:04:29] 当一个社会最前沿的生产力
[00:04:29 - 00:04:31] 已经进化到现有生产关系
[00:04:31 - 00:04:32] 无法承载的阶段
[00:04:32 - 00:04:34] 时矛盾必然会爆发
[00:04:34 - 00:04:36] 这在历史上反复上演
[00:04:36 - 00:04:38] 从争气机到互联网
[00:04:38 - 00:04:40] 每一次技术革命都伴随着
[00:04:40 - 00:04:42] 剧烈的社会结构调整
[00:04:42 - 00:04:44] 而这一次AI带来的冲击
[00:04:44 - 00:04:47] 其速度和广度都将是前所未有的
[00:04:47 - 00:04:49] 那么面对这个日益扩大的认知鸿钩
[00:04:49 - 00:04:50] 我们该怎么办?
[00:04:50 - 00:04:52] 是放任技术狂奔?
[00:04:52 - 00:04:56] 还是应业费时停下脚步等待社会规则的晚膳?
[00:04:56 - 00:04:57] 达里奥的访谈
[00:04:57 - 00:04:58] 以及整个事件
[00:04:58 - 00:05:00] 实际上为我们指明了方向
[00:05:00 - 00:05:02] 这个方向不是对抗而是协作
[00:05:02 - 00:05:04] 一种全新的
[00:05:04 - 00:05:08] 涵盖政府企业和公众的与AI共生的协作模式
[00:05:08 - 00:05:11] 首先我们需要重新定义人在AI时代的角色
[00:05:11 - 00:05:15] AI的强大不在于替代人类而在于增强人类
[00:05:15 - 00:05:18] 它能处理海量数据发现我们无法察觉的模式
[00:05:18 - 00:05:22] 但它缺乏人类的常识直觉、同理心和价值观
[00:05:22 - 00:05:26] 上期视频里Cloud在90分钟内完成了328人
[00:05:26 - 00:05:29] 工作100天的情报分析量这是AI的能力边界
[00:05:29 - 00:05:32] 但它无法回答这场行动是否应该发动
[00:05:32 - 00:05:35] 无法判断20秒的人类确认是否足够
[00:05:35 - 00:05:37] 无法承担误判评名的道德责任
[00:05:37 - 00:05:40] 这些依然是人类不可让度的判断领域
[00:05:40 - 00:05:44] 未来的核心竞争力将不再是单一的支持或技能
[00:05:44 - 00:05:48] 而是与AI高校协作同时保持独立判断的能力
[00:05:48 - 00:05:51] 其次我们需要构建一个敏捷而稳健的治理框架
[00:05:51 - 00:05:54] 达里奥呼吁国会立法这指出了长期的方向
[00:05:54 - 00:05:56] 但面对AI的迭代速度
[00:05:56 - 00:05:58] 传统的立法模式显然已经力不从心
[00:05:58 - 00:06:00] 上期提到的三个时钟理论
[00:06:00 - 00:06:02] 其实已经给出了答案的方向
[00:06:02 - 00:06:04] 我们需要让政治与伦理时钟
[00:06:04 - 00:06:06] 跑的和技术时钟一样快
[00:06:06 - 00:06:08] 这意味着治理体系本身
[00:06:08 - 00:06:11] 也需要像软件一样能够快速迭代和更新
[00:06:11 - 00:06:14] 企业在一线发现问题提出预警
[00:06:14 - 00:06:16] 政府设立灵活的杀核机制
[00:06:16 - 00:06:19] 在可控范围内进行测试和评估
[00:06:19 - 00:06:21] 而法律则需要从事后的堵漏
[00:06:21 - 00:06:23] 转向前瞻性的框架设计
[00:06:23 - 00:06:26] 为技术发展划定基本原则和底线
[00:06:26 - 00:06:30] 最后也是最重要的是提升整个社会的AI素养
[00:06:30 - 00:06:32] 这场冲突之所以引发如此大的关注
[00:06:32 - 00:06:34] 正是因为它将一个原本
[00:06:34 - 00:06:37] 属于技术圈和决策层的议题推到了公众面前
[00:06:37 - 00:06:40] 我们需要更多这样公开透明的讨论
[00:06:40 - 00:06:42] 只有当足够多的人理解了
[00:06:42 - 00:06:43] AI不是一个简单的工具
[00:06:43 - 00:06:46] 而是一个能重塑社会的系统时
[00:06:46 - 00:06:48] 我们才能形成真正有效的社会共识
[00:06:48 - 00:06:51] 去推动制度的变革去监督资源的使用
[00:06:51 - 00:06:55] 确保AI的发展方向始终服务于人类文明的福祉
[00:06:55 - 00:06:57] 上期AI战争的结尾
[00:06:57 - 00:06:59] 我们引用了历史学家赫拉利的话
[00:06:59 - 00:07:02] 我们真正应该担心的不是机器人会反抗我们
[00:07:02 - 00:07:05] 而是他们会完全听从我们的指令
[00:07:05 - 00:07:08] 这句话在达里奥拒绝五角大楼的那一刻
[00:07:08 - 00:07:09] 有了最具体的助教
[00:07:09 - 00:07:12] 当算法可以在40分钟内决定一个人的生死
[00:07:12 - 00:07:15] 当无限制的AI授权成为军事需求
[00:07:15 - 00:07:18] 赫拉利的警示就不再是哲学思变
[00:07:18 - 00:07:20] 而是正在发生的现实
[00:07:20 - 00:07:23] 达里奥阿墨带一在CBS访谈的最后说
[00:07:23 - 00:07:27] 与政府有分歧是美国价值观最核心的体现
[00:07:27 - 00:07:31] 它所捍卫的不仅仅是Anthropic的商业利益或技术伦理
[00:07:31 - 00:07:32] 更是一种权利
[00:07:32 - 00:07:33] 在技术浪潮面前
[00:07:33 - 00:07:36] 保持独立思考和审慎选择的权利
[00:07:36 - 00:07:39] Anthropic与五角大楼的冲突可能只是一个开始
[00:07:39 - 00:07:43] 未来我们将会看到更多有认知红沟引发的矛盾和挑战
[00:07:43 - 00:07:44] 但这并不可怕
[00:07:44 - 00:07:46] 可怕的是我们对此视而不见
[00:07:46 - 00:07:49] 或用简单的战队来代替深入的思考
[00:07:49 - 00:07:52] 真正的解决方案不在于AI本身
[00:07:52 - 00:07:53] 而在于我们自己
[00:07:53 - 00:07:56] 在于我们是否能以比技术迭代更快的速度
[00:07:56 - 00:07:58] 去提升我们的认知 完善我们的制度
[00:07:58 - 00:08:02] 并最终学会如何与一个比我们更聪明的造物共存
[00:08:02 - 00:08:06] 这将是人类文明在21世纪面临的最重要的课题
[00:08:06 - 00:08:09] 如果你对这两期视频有什么思考
