BV号：BV1J9XUY1Eya
标题：BV1J9XUY1Eya
链接：https://www.bilibili.com/video/BV1J9XUY1Eya
识别语言：zh
语言置信度：1
分段数：318
生成时间：2026-08-30 12:16:38

[00:00:00 - 00:00:02] 大家好 这里是最佳拍到 我是大飞
[00:00:02 - 00:00:04] 在AI飞速发展的今天
[00:00:04 - 00:00:07] 跟AI有关的新产品也是层出不穷
[00:00:07 - 00:00:10] 每一款似乎都带着改变世界的使命而诞生的
[00:00:10 - 00:00:13] 但是 在这场激烈的竞争中
[00:00:13 - 00:00:16] 也并不是所有的创新都能够迎来成功的曙光
[00:00:16 - 00:00:20] 今天我们要聊的就是这样一个充满戏剧性的产品
[00:00:20 - 00:00:21] Humai公司的AI Pin
[00:00:21 - 00:00:23] 它曾经被寄予厚望
[00:00:23 - 00:00:26] 被视为AI时代的革命性产品
[00:00:26 - 00:00:29] 可是如今却面临着即将变成电子垃圾的命运
[00:00:29 - 00:00:32] 我们在10个月之前就做过一期他翻车的视频
[00:00:32 - 00:00:35] 说实话这个结局并不意外
[00:00:35 - 00:00:38] 那么AIP机器背后的公司Humay到底都发生了什么呢
[00:00:38 - 00:00:40] 今天我们就来了解一下
[00:00:40 - 00:00:42] Humay公司成立于2018年
[00:00:42 - 00:00:45] 从创立之初就备受市场的矚目
[00:00:45 - 00:00:47] 原因在于它的创始人团队
[00:00:47 - 00:00:49] 伊姆兰-乔杜里和贝斯尼-邦娇尔诺
[00:00:49 - 00:00:52] 两个人都有着深厚的苹果背景
[00:00:52 - 00:00:55] 乔杜里曾经在苹果担任设计师长达20年
[00:00:55 - 00:00:58] 而邦娇尔诺则在苹果工作了8年
[00:00:58 - 00:01:00] 擔任OS和MacOS的軟件工程總監
[00:01:00 - 00:01:03] 應該說他們在蘋果積累了豐富的經驗
[00:01:03 - 00:01:06] 讓外界對於後面公司充滿了期待
[00:01:06 - 00:01:07] 不僅如此
[00:01:07 - 00:01:09] 後面公司還獲得了強大的資本支持
[00:01:09 - 00:01:11] 陸續獲得了Open ID的CEO
[00:01:11 - 00:01:12] SAMUATMAN
[00:01:12 - 00:01:16] 微軟 高通風頭等等知名的人物和投資公司的青睞
[00:01:16 - 00:01:18] 成功拿下了2.4億美元的投資
[00:01:18 - 00:01:19] 在資本的助力下
[00:01:19 - 00:01:22] 後面公司懷揣著改變科技行業的夢想
[00:01:22 - 00:01:23] 踏上了創新之路
[00:01:23 - 00:01:25] 經過多年的研發
[00:01:25 - 00:01:25] 2023年
[00:01:25 - 00:01:28] 合媒公司終於推出了他們的首款產品
[00:01:28 - 00:01:29] AIP
[00:01:29 - 00:01:31] 這款產品在設計上獨具降薪
[00:01:31 - 00:01:33] 長47.50毫米
[00:01:33 - 00:01:35] 寬44.50毫米
[00:01:35 - 00:01:36] 重量約34克
[00:01:36 - 00:01:38] 看起來像一個方形的別針
[00:01:38 - 00:01:39] 小巧精緻
[00:01:39 - 00:01:41] 可以通過磁吸的方式
[00:01:41 - 00:01:42] 佩戴在身上的任何地方
[00:01:42 - 00:01:45] 外殼經過揚機氧化和拋光處理
[00:01:45 - 00:01:46] 表面覆蓋著
[00:01:46 - 00:01:48] 康寧大星星玻璃觸控板
[00:01:48 - 00:01:49] 不僅質感十足
[00:01:49 - 00:01:51] 還具備良好的耐用性
[00:01:51 - 00:01:52] 頂部傾斜的面板內
[00:01:52 - 00:01:56] 集成了激光投影模塊和折疊式Tof攝像頭
[00:01:56 - 00:01:58] 旁邊的信號燈能可以清晰的指示
[00:01:58 - 00:02:00] 攝像頭和麥克風的工作狀態
[00:02:00 - 00:02:02] 在這個小小的機身中
[00:02:02 - 00:02:05] HOMEG公司塞入了一顆高通消融芯片
[00:02:05 - 00:02:07] 4GB的RAM 8GB的ROM
[00:02:07 - 00:02:10] 以及環境光 加速度計 陀螺儀
[00:02:10 - 00:02:12] GPS等等各種的傳感器
[00:02:12 - 00:02:15] 同時還將重量控制在了55克
[00:02:15 - 00:02:17] 在硬件配置上可謂是下足了功夫
[00:02:17 - 00:02:19] 在交互方式上
[00:02:19 - 00:02:21] AIP也展示出了它的創新性
[00:02:21 - 00:02:23] 他幾乎沒有物理按鍵
[00:02:23 - 00:02:26] 用戶主要通過語音手勢和觸控來控制他的工作
