BV号：BV1JRL96FEBw
标题：BV1JRL96FEBw
链接：https://www.bilibili.com/video/BV1JRL96FEBw
识别语言：zh
语言置信度：1
分段数：238
生成时间：2026-08-29 18:06:17

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] 你最近有没有这种感觉
[00:00:03 - 00:00:06] 团队里用AI写代码的人越来越多
[00:00:06 - 00:00:08] 大家提PR的速度简直像开了挂
[00:00:08 - 00:00:10] 但是你每天坐在电脑前
[00:00:10 - 00:00:13] 看着那堆几百上千行的地址脑子一片空白
[00:00:13 - 00:00:14] 你根本看不完
[00:00:14 - 00:00:17] 最后只能闭着眼睛点一个Approve
[00:00:17 - 00:00:18] 别觉得内疚
[00:00:18 - 00:00:20] 这真不是你变懒啊
[00:00:20 - 00:00:22] 最近KTH皇家理工学院
[00:00:22 - 00:00:24] 发了一篇非常硬核的论文
[00:00:24 - 00:00:25] 直接把话挑明了
[00:00:25 - 00:00:27] 传统的代码审查已经死了
[00:00:27 - 00:00:30] 而谷歌的资深工程师Eddie Osmani
[00:00:30 - 00:00:32] 更是发了一篇长文警告大家
[00:00:32 - 00:00:34] 现在软件工程最难的部分
[00:00:34 - 00:00:36] 早就不是怎么写代码了
[00:00:36 - 00:00:39] 而是你到底该不该信任这段代码
[00:00:39 - 00:00:41] 今天这期视频就带你扒一扒
[00:00:41 - 00:00:42] 为什么AI写代码越快
[00:00:42 - 00:00:44] 你的团队反而越危险
[00:00:44 - 00:00:46] 以及在这个机器产出
[00:00:46 - 00:00:47] 碾压人类阅读的时代
[00:00:47 - 00:00:48] 我们普通程序员
[00:00:48 - 00:00:50] 到底该怎么保住饭碗
[00:00:50 - 00:00:51] 我们先来思考一个问题
[00:00:51 - 00:00:53] 过去50年
[00:00:53 - 00:00:54] 为什么代码审查这个机制
[00:00:54 - 00:00:55] 能一直跑得通
[00:00:55 - 00:00:56] 其实原因特别简单
[00:00:56 - 00:00:58] 简单到有点搞笑
[00:00:58 - 00:01:02] 那就是人类写代码的速度实在是太慢了
[00:01:02 - 00:01:03] 因为你写的慢
[00:01:03 - 00:01:05] 所以我作为资深工程师
[00:01:05 - 00:01:08] 完全有时间把你憋了一天的代码花10分钟看完
[00:01:08 - 00:01:10] 在这个过程中我不光帮你找了bug
[00:01:10 - 00:01:13] 还顺便把系统的架构思路传授给了你
[00:01:13 - 00:01:14] 这叫什么
[00:01:14 - 00:01:16] 这叫完美的生态避缓
[00:01:16 - 00:01:17] 但现在呢
[00:01:17 - 00:01:18] 你对着cloud code或者couser
[00:01:18 - 00:01:19] 敲一句
[00:01:19 - 00:01:21] 帮我重构一下这个模块
[00:01:21 - 00:01:21] 啪的一下
[00:01:21 - 00:01:22] 三秒钟
[00:01:22 - 00:01:24] 1000行代码糊在我脸上
[00:01:24 - 00:01:26] 你的速度翻了100倍
[00:01:26 - 00:01:27] 但我的閱讀速度呢
[00:01:27 - 00:01:28] 抱歉
[00:01:28 - 00:01:29] 自從人類開始看屏幕以來
[00:01:29 - 00:01:30] 這速度就沒變過
[00:01:30 - 00:01:31] 所以問題來了
[00:01:31 - 00:01:34] 當機器產出代碼的速度
[00:01:34 - 00:01:36] 遠遠超過了人類閱讀的物理極限
[00:01:36 - 00:01:39] 我們以前那套TPR找人看
[00:01:39 - 00:01:40] 再合併的流程
[00:01:40 - 00:01:41] 還能撐多久
[00:01:41 - 00:01:43] 答案是已經撐不住了
[00:01:43 - 00:01:45] 這不是我在販賣焦慮
[00:01:45 - 00:01:47] 我們來看點硬核的工業界數據
[00:01:47 - 00:01:50] Ferros AI一家專門做研發效能分析的公司
[00:01:50 - 00:01:52] 最近追蹤了4000個團隊
[00:01:52 - 00:01:54] 2萬2千多名開發者
[00:01:54 - 00:01:56] 他们发现当团队深度采用AI之后
[00:01:56 - 00:02:00] 代码的变动率直接飙升了861%
[00:02:00 - 00:02:03] 好家伙,简直是代码一刷机,但代价是什么?
[00:02:03 - 00:02:07] 审查代码的时间,暴涨了441.5%
[00:02:07 - 00:02:11] 更离谱的是因为根本看不过来有31.3%的PR
[00:02:11 - 00:02:13] 是完全没有经过任何人类审查
[00:02:13 - 00:02:15] 就直接被合进了主分支
[00:02:15 - 00:02:18] 你没听错,三分之一的代码连看都没看就上线了
[00:02:18 - 00:02:24] 结果呢,开发者的缺陷率从9%直接穿到了54%
[00:02:24 - 00:02:26] 生产环境的事故率翻了2.4倍
[00:02:26 - 00:02:29] Gitclear的老板Bill Harding算过一笔账
[00:02:29 - 00:02:31] 特别扎心
[00:02:31 - 00:02:34] 他说用了AI之后你确实产出了4倍的代码量
[00:02:34 - 00:02:37] 但是你交付的实际业务价值只增加了12%
[00:02:37 - 00:02:38] 发现盲点了吗
[00:02:38 - 00:02:42] 你拿4倍的代码量换了10%的价值
[00:02:42 - 00:02:44] 但是那个倒霉的审查者
[00:02:44 - 00:02:46] 依然需要主行去读着4倍的代码
[00:02:46 - 00:02:48] 这就是为什么你现在每天
[00:02:48 - 00:02:50] 看PR看得想吐的根本原因
[00:02:50 - 00:02:51] 看到这里你可能会想
[00:02:51 - 00:02:54] 不对啊,AI写的代码明明很规范
[00:02:54 - 00:02:56] 连注释都给你写得整整齐齐
[00:02:56 - 00:02:58] 为什么看AI的代码
[00:02:58 - 00:03:00] 比看实际生写的还累
[00:03:00 - 00:03:01] 阿迪奥斯马尼在这篇博客里
[00:03:01 - 00:03:04] 一针键写的指出了三个致命原因
[00:03:04 - 00:03:07] 第一点,意图和推理过程的彻底丢失
[00:03:07 - 00:03:09] 人类写代码是有内心戏的
[00:03:09 - 00:03:11] 我为什么用哈希表不用数组
[00:03:11 - 00:03:13] 我为什么在这里加个锁
[00:03:13 - 00:03:14] 这些权衡在review的时候
[00:03:14 - 00:03:16] 你问我我能打得上来
[00:03:16 - 00:03:19] AI呢,它其实也有推理过程
[00:03:19 - 00:03:21] 比如你在对话框里能看到它在Thinking
[00:03:21 - 00:03:25] 但要命的是当它生成最终代码的那一刻
[00:03:25 - 00:03:27] 这些思考轨迹也全被丢进了垃圾桶
[00:03:27 - 00:03:30] 你面对的就是一坨冷冰冰的代码
[00:03:30 - 00:03:31] 你必须像个法医一样
[00:03:31 - 00:03:34] 对着尸体逆向推倒它生前到底想干嘛
[00:03:34 - 00:03:36] 这能不慢吗
[00:03:36 - 00:03:36] 第二点
[00:03:36 - 00:03:39] AI只管局部 不管全局
[00:03:39 - 00:03:42] 现在的agent解决单个Ration的能力极强
[00:03:42 - 00:03:44] SWE bench的测试力
[00:03:44 - 00:03:46] 它们能解决80%的问题
[00:03:46 - 00:03:48] 但是AI不懂你们公司的业务上下文
[00:03:48 - 00:03:51] 它不知道这个表字段历史上有过什么坑
[00:03:51 - 00:03:54] 他不知道你们CTO极度讨厌某种设计模式
[00:03:54 - 00:03:57] 他给出的永远是一个技术上正确
[00:03:57 - 00:03:59] 但业务上可能挖坑的局部最优简
