BV号：BV1Jyq1YcEMZ
标题：BV1Jyq1YcEMZ
链接：https://www.bilibili.com/video/BV1Jyq1YcEMZ
识别语言：zh
语言置信度：1
分段数：330
生成时间：2026-08-31 04:21:32

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:06] 上周 欧盼埃在连续12天的圣诞活动中
[00:00:06 - 00:00:09] 连续更新了和欧万模型有关的内容
[00:00:09 - 00:00:11] 包括第一天放出的正式版欧万
[00:00:11 - 00:00:13] 相较于之前的欧万Provue
[00:00:13 - 00:00:16] 正式版欧万在数学代码能力上
[00:00:16 - 00:00:17] 均有大幅的提升
[00:00:17 - 00:00:20] 分别上涨了26.6%和27%
[00:00:20 - 00:00:22] 而欧万Provue模式下的数学性能
[00:00:22 - 00:00:24] 更是上涨了35.8%
[00:00:24 - 00:00:27] 作为欧万模型的早期访问者
[00:00:27 - 00:00:29] 菲尔斯奖得主陶哲轩
[00:00:29 - 00:00:32] 在与OpenI研究高级副总裁马克诚的一次访难中
[00:00:32 - 00:00:35] 也畅谈了有关O1推理的数学未来
[00:00:35 - 00:00:38] 这场采访由OpenI的科学政策与合作负责人
[00:00:38 - 00:00:40] 詹姆斯·多诺万主持
[00:00:40 - 00:00:42] 总共对团时间将近一个小时
[00:00:42 - 00:00:44] 还有半个小时的问答环节
[00:00:44 - 00:00:46] 内容可谓是十分的丰富
[00:00:46 - 00:00:49] 在今年9月O1 Preview发布之后
[00:00:49 - 00:00:51] 唐哲轩曾经描述过一种前所未有的
[00:00:51 - 00:00:53] 由AI驱动的工业级数学
[00:00:53 - 00:00:55] 他认为至少在近期
[00:00:55 - 00:00:57] AI还不能作为一个独立性的
[00:00:57 - 00:00:59] 更加具有创造性的合作者
[00:00:59 - 00:01:01] 而更像是一种辅助工具
[00:01:01 - 00:01:04] 是数学家们提出假设和方法的认划技
[00:01:04 - 00:01:05] 但是在这场采访中
[00:01:05 - 00:01:06] 陶州先则认为
[00:01:06 - 00:01:09] 欧万可能会开启一个新的发现时代
[00:01:09 - 00:01:10] 之所以这么说
[00:01:10 - 00:01:12] 是因为如今的数学家们
[00:01:12 - 00:01:14] 一次只能专注在一个问题上
[00:01:14 - 00:01:16] 要花费几个月的时间
[00:01:16 - 00:01:17] 解决完一个问题之后
[00:01:17 - 00:01:18] 再去功课下一个问题
[00:01:19 - 00:01:20] 但是有了AI
[00:01:20 - 00:01:22] 他们可能能够同时处理数百个
[00:01:22 - 00:01:23] 甚至数千个问题
[00:01:23 - 00:01:25] 并且同时开展
[00:01:25 - 00:01:27] 完全不同类型的数学研究
[00:01:27 - 00:01:28] 一想到这种可能性
[00:01:28 - 00:01:30] 投资轩就显得异常的兴奋
[00:01:30 - 00:01:32] 马克成也肯定了这个想法
[00:01:32 - 00:01:33] 并且解释到
[00:01:33 - 00:01:35] 在过去的一年中
[00:01:35 - 00:01:37] OpenI的主要关注点之一就是推理能力
